midway through " anaconda " , documentary filmmaker terri flores ( jennifer lopez ) turns to a co-worker and says " i thought this movie would be my first big break . 	Translation	Positive	Negative	EmotionRationale
instead , it's turned into a disaster . " 	instead , it's turned into a disaster .<br> "	1	-2	 instead[0] it's[0] turned[0] into[0] a[0] disaster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
truer words have never been spoken . 	truer words have never been spoken .	2	-1	 truer[1] words[0] have[0] never[0] been[0] spoken[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " anaconda " is a monster movie with a lousy monster . 	 " anaconda " is a monster movie with a lousy monster .	1	-3	 anaconda[0] is[0] a[0] monster[-1] movie[0] with[0] a[0] lousy[-2] monster[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a suspense film that is utterly predictable . 	it's a suspense film that is utterly predictable .	1	-1	 it's[0] a[0] suspense[0] film[0] that[0] is[0] utterly[0] predictable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a mess the film does manage to drum up some scares , but only in the most elementary way , like a jack-in-the-box . 	it's a mess the film does manage to drum up some scares , but only in the most elementary way , like a jack-in-the-box .	2	-3	 it's[0] a[0] mess[0] the[0] film[0] does[0] manage[0] to[0] drum[0] up[0] some[0] scares[-3][--1 LastWordBoosterStrength] but[0] only[0] in[0] the[0] most[0] elementary[0] way[0] like[1] a[0] jack[0] in[0] the[0] box[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as you turn the crank , you're totally aware that the damn clown is going to pop up , but somehow it's still mildly startling when it happens . 	as you turn the crank , you're totally aware that the damn clown is going to pop up , but somehow it's still mildly startling when it happens .	1	-2	 as[0] you[0] turn[0] the[0] crank[0] you're[0] totally[0] aware[0] that[0] the[0] damn[-1] clown[0] is[0] going[0] to[0] pop[0] up[0] but[0] somehow[0] it's[0] still[0] mildly[0] startling[-1] when[0] it[0] happens[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the main difference between the giant snake in " anaconda " and the clown in a jack-in-the-box is that the clown is more realistic . 	the main difference between the giant snake in " anaconda " and the clown in a jack-in-the-box is that the clown is more realistic .	1	-1	 the[0] main[0] difference[0] between[0] the[0] giant[0] snake[0] in[0] anaconda[0] and[0] the[0] clown[0] in[0] a[0] jack[0] in[0] the[0] box[0] is[0] that[0] the[0] clown[0] is[0] more[0] realistic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " anaconda " boasts some of the worst special effects to appear onscreen in years . 	 " anaconda " boasts some of the worst special effects to appear onscreen in years .	2	-3	 anaconda[0] boasts[-1] some[0] of[0] the[0] worst[-2] special[1] effects[0] to[0] appear[0] onscreen[0] in[0] years[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
animatronic shots of the snake look as phony as any of those cringe- inducing robots you've endured at disney world . 	animatronic shots of the snake look as phony as any of those cringe- inducing robots you've endured at disney world .	1	-2	 animatronic[0] shots[0] of[0] the[0] snake[0] look[0] as[0] phony[0] as[0] any[0] of[0] those[0] cringe[-1] inducing[0] robots[0] you've[0] endured[0] at[0] disney[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it's the computer animated scenes that truly expand the meaning of the word lame . 	but it's the computer animated scenes that truly expand the meaning of the word lame .	2	-3	 but[0] it's[0] the[0] computer[0] animated[0] scenes[0] that[0] truly[1] expand[0] the[0] meaning[0] of[0] the[0] word[0] lame[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
