 " something is fishy in the state of universal . " 	Translation	Positive	Negative	EmotionRationale
about ten years back , with the unexpected success of mad max and the road warrior , post-apocalypse nitty-gritty survival yarns became popular at the movies . 	about ten years back , with the unexpected success of mad max and the road warrior , post-apocalypse nitty-gritty survival yarns became popular at the movies .	3	-2	 about[0] ten[0] years[0] back[0] with[0] the[0] unexpected[0] success[2] of[0] mad[-1] max[0] and[0] the[0] road[0] warrior[0] post[0] apocalypse[0] nitty[0] gritty[0] survival[0] yarns[0] became[0] popular[0] at[0] the[0] movies[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we've always had movies of this nature ; on the beach , the end of the world , damnation alley , the ultimate warrior , and so on . 	we've always had movies of this nature ; on the beach , the end of the world , damnation alley , the ultimate warrior , and so on .	1	-2	 we've[0] always[0] had[0] movies[0] of[0] this[0] nature[0] on[0] the[0] beach[0] the[0] end[0] of[0] the[0] world[0] damnation[-1] alley[0] the[0] ultimate[0] warrior[0] and[0] so[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to date , the most smoothly done were straightforward " haircuts " of the classic western plot , like the lone gunman who comes to town and protects the widow and the son against an evil organization , usually one in possession of some critical resource , like water , feed range , or a mining claim . 	to date , the most smoothly done were straightforward " haircuts " of the classic western plot , like the lone gunman who comes to town and protects the widow and the son against an evil organization , usually one in possession of some critical resource , like water , feed range , or a mining claim .	2	-3	 to[0] date[0] the[0] most[0] smoothly[0] done[0] were[0] straightforward[0] haircuts[0] of[0] the[0] classic[0] western[0] plot[0] like[1] the[0] lone[-1] gunman[-1] who[0] comes[0] to[0] town[0] and[0] protects[0] the[0] widow[0] and[0] the[0] son[0] against[-1] an[0] evil[-2] organization[0] usually[0] one[0] in[0] possession[0] of[0] some[0] critical[-1][--1 LastWordBoosterStrength] resource[0] like[1] water[0] feed[0] range[0] or[0] a[0] mining[0] claim[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
most of these grew out of venerable , but solid hero yarns like the virginian and shane . 	most of these grew out of venerable , but solid hero yarns like the virginian and shane .	3	-1	 most[0] of[0] these[0] grew[0] out[0] of[0] venerable[1] but[0] solid[0] hero[2] yarns[0] like[1] the[0] virginian[0] and[0] shane[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( my personal favorite is a patrick swayze movie called steel dawn , which was fairly well made on a small budget . ) 	 ( my personal favorite is a patrick swayze movie called steel dawn , which was fairly well made on a small budget .<br> )	2	-1	 my[0] personal[0] favorite[1] is[0] a[0] patrick[0] swayze[0] movie[0] called[0] steel[0] dawn[0] which[0] was[0] fairly[0] well[0] made[0] on[0] a[0] small[0] budget[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now we have waterworld , which again brings the traditional lone gunman to town to rescue the young widow and her daughter . 	now we have waterworld , which again brings the traditional lone gunman to town to rescue the young widow and her daughter .	1	-2	 now[0] we[0] have[0] waterworld[0] which[0] again[0] brings[0] the[0] traditional[0] lone[-1] gunman[-1] to[0] town[0] to[0] rescue[0] the[0] young[0] widow[0] and[0] her[0] daughter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( well , she's not a widow , and the kid isn't her daughter , but you get the idea . ) 	 ( well , she's not a widow , and the kid isn't her daughter , but you get the idea .<br> )	1	-1	 well[0] she's[0] not[0] a[0] widow[0] and[0] the[0] kid[0] isn't[0] her[0] daughter[0] but[0] you[0] get[0] the[0] idea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the lady is helen , played by the stunning jean tripplehorn , who isn't given a chance to be stunning , or even interesting , by the mediocre and unimaginative script . 	the lady is helen , played by the stunning jean tripplehorn , who isn't given a chance to be stunning , or even interesting , by the mediocre and unimaginative script .	2	-2	 the[0] lady[0] is[0] helen[0] played[0] by[0] the[0] stunning[0] jean[0] tripplehorn[0] who[0] isn't[0] given[0] a[0] chance[0] to[0] be[0] stunning[0] or[0] even[0] interesting[1] by[0] the[0] mediocre[-1] and[0] unimaginative[0] script[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the child enola , played by tina majorino , is living proof that a child actor need not be a bad thing to have in a movie ; she outshines her material all the way through . 	the child enola , played by tina majorino , is living proof that a child actor need not be a bad thing to have in a movie ; she outshines her material all the way through .	1	-2	 the[0] child[0] enola[0] played[0] by[0] tina[0] majorino[0] is[0] living[0] proof[0] that[0] a[0] child[0] actor[0] need[0] not[0] be[0] a[0] bad[-1] thing[0] to[0] have[0] in[0] a[0] movie[0] she[0] outshines[0] her[0] material[0] all[0] the[0] way[0] through[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in simple , the scene is earth , hundreds of years from now . 	in simple , the scene is earth , hundreds of years from now .	1	-1	 in[0] simple[0] the[0] scene[0] is[0] earth[0] hundreds[0] of[0] years[0] from[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the polar ice caps have melted , and somehow produced enough water to inundate the entire planet . 	the polar ice caps have melted , and somehow produced enough water to inundate the entire planet .	1	-2	 the[0] polar[0] ice[0] caps[0] have[0] melted[0] and[0] somehow[0] produced[0] enough[0] water[0] to[0] inundate[-1] the[0] entire[0] planet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the few remaining people live in boats and floating colonies , and survive by trade , theft , or piracy . 	the few remaining people live in boats and floating colonies , and survive by trade , theft , or piracy .	1	-2	 the[0] few[0] remaining[0] people[0] live[0] in[0] boats[0] and[0] floating[0] colonies[0] and[0] survive[0] by[0] trade[0] theft[-1] or[0] piracy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
somehow an oil tanker has survived the centuries , and its inhabitants , called " smokers , " are able to keep gasoline engines running despite the dearth of replacement parts and raw materials , so the bad guys have outboard engines , and fast-moving boats , airplanes , and jet skis . 	somehow an oil tanker has survived the centuries , and its inhabitants , called " smokers , " are able to keep gasoline engines running despite the dearth of replacement parts and raw materials , so the bad guys have outboard engines , and fast-moving boats , airplanes , and jet skis .	1	-2	 somehow[0] an[0] oil[0] tanker[0] has[0] survived[0] the[0] centuries[0] and[0] its[0] inhabitants[0] called[0] smokers[0] are[0] able[0] to[0] keep[0] gasoline[0] engines[0] running[0] despite[0] the[0] dearth[-1] of[0] replacement[0] parts[0] and[0] raw[0] materials[0] so[0] the[0] bad[-1] guys[0] have[0] outboard[0] engines[0] and[0] fast[0] moving[0] boats[0] airplanes[0] and[0] jet[0] skis[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
enola , found at sea as a young girl , has a mysterious map no one can read tattooed on her back . 	enola , found at sea as a young girl , has a mysterious map no one can read tattooed on her back .	1	-1	 enola[0] found[0] at[0] sea[0] as[0] a[0] young[0] girl[0] has[0] a[0] mysterious[0] map[0] no[0] one[0] can[0] read[0] tattooed[0] on[0] her[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we suspect early on that it is the way to the mythical " dryland , " the place where trees , crops , and animals grow , and what plot there is hinges on who has enola . 	we suspect early on that it is the way to the mythical " dryland , " the place where trees , crops , and animals grow , and what plot there is hinges on who has enola .	1	-2	 we[0] suspect[-1] early[0] on[0] that[0] it[0] is[0] the[0] way[0] to[0] the[0] mythical[0] dryland[0] the[0] place[0] where[0] trees[0] crops[0] and[0] animals[0] grow[0] and[0] what[0] plot[0] there[0] is[0] hinges[0] on[0] who[0] has[0] enola[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the psycho ruler of the smokers , the " deacon , " is trying to get her and find his way to dryland . 	the psycho ruler of the smokers , the " deacon , " is trying to get her and find his way to dryland .	1	-1	 the[0] psycho[0] ruler[0] of[0] the[0] smokers[0] the[0] deacon[0] is[0] trying[0] to[0] get[0] her[0] and[0] find[0] his[0] way[0] to[0] dryland[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
played with typical self-lampooning , rug-chewing histrionics by dennis hopper , " deacon " is the only thing in the movie that's close to amusing . 	played with typical self-lampooning , rug-chewing histrionics by dennis hopper , " deacon " is the only thing in the movie that's close to amusing .	2	-1	 played[0] with[0] typical[0] self[0] lampooning[0] rug[0] chewing[0] histrionics[0] by[0] dennis[0] hopper[0] deacon[0] is[0] the[0] only[0] thing[0] in[0] the[0] movie[0] that's[0] close[0] to[0] amusing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his performance is * almost * laughable , but there just isn't enough there to be funny . 	his performance is * almost * laughable , but there just isn't enough there to be funny .	2	-2	 his[0] performance[0] is[0] almost[0] laughable[-1] but[0] there[0] just[0] isn't[0] enough[0] there[0] to[0] be[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the star ( and a co-producer ) is kevin costner . 	the star ( and a co-producer ) is kevin costner .	1	-1	 the[0] star[0] and[0] a[0] co[0] producer[0] is[0] kevin[0] costner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's playing an un-named lone denizen of the sea , a man called the " mariner , " who turns out to be a gilled , water-breathing mutant with webbed feet . 	he's playing an un-named lone denizen of the sea , a man called the " mariner , " who turns out to be a gilled , water-breathing mutant with webbed feet .	2	-2	 he's[0] playing[1] an[0] un[0] named[0] lone[-1] denizen[0] of[0] the[0] sea[0] a[0] man[0] called[0] the[0] mariner[0] who[0] turns[0] out[0] to[0] be[0] a[0] gilled[0] water[0] breathing[0] mutant[0] with[0] webbed[0] feet[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
very little is done with this . 	very little is done with this .	1	-1	 very[0] little[0] is[0] done[0] with[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
