often similar to a little boy lost in a park that he had no right venturing into , the call of the oboe ( o toque do oboe ) is a disappointing film that seems to have wandered astray . 	Translation	Positive	Negative	EmotionRationale
many elements of the film are solid , and have potential far greater than director claudio macdowell will ever know , but they simply don't convert into a solid work . 	many elements of the film are solid , and have potential far greater than director claudio macdowell will ever know , but they simply don't convert into a solid work .	3	-1	 many[0] elements[0] of[0] the[0] film[0] are[0] solid[0] and[0] have[0] potential[0] far[0] greater[2] than[0] director[0] claudio[0] macdowell[0] will[0] ever[0] know[0] but[0] they[0] simply[0] don't[0] convert[0] into[0] a[0] solid[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although a setting is never established , it becomes apparent . 	although a setting is never established , it becomes apparent .	1	-1	 although[0] a[0] setting[0] is[0] never[0] established[0] it[0] becomes[0] apparent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film takes place somewhere in a latin american village in present day . 	the film takes place somewhere in a latin american village in present day .	1	-1	 the[0] film[0] takes[0] place[0] somewhere[0] in[0] a[0] latin[0] american[0] village[0] in[0] present[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the community is a dull one , where every day is a downhill slide from the last . 	the community is a dull one , where every day is a downhill slide from the last .	1	-2	 the[0] community[0] is[0] a[0] dull[-1] one[0] where[0] every[0] day[0] is[0] a[0] downhill[0] slide[0] from[0] the[0] last[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
over time , the people have taken to themselves . 	over time , the people have taken to themselves .	1	-1	 over[0] time[0] the[0] people[0] have[0] taken[0] to[0] themselves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the town cinema is closed , no tourist has passed through in years , and the daily funeral processions are accompanied by no one other than the grave digger . 	the town cinema is closed , no tourist has passed through in years , and the daily funeral processions are accompanied by no one other than the grave digger .	1	-3	 the[0] town[0] cinema[0] is[0] closed[0] no[0] tourist[0] has[0] passed[0] through[0] in[0] years[0] and[0] the[0] daily[0] funeral[0] processions[0] are[0] accompanied[0] by[0] no[0] one[0] other[0] than[0] the[0] grave[-2] digger[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so what happens when a " tourist " ( paolo betti ) does arrive one day ? 	so what happens when a " tourist " ( paolo betti ) does arrive one day ?	1	-1	 so[0] what[0] happens[0] when[0] a[0] tourist[0] paolo[0] betti[0] does[0] arrive[0] one[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he sends this routine and dull town into mayhem and shock . 	he sends this routine and dull town into mayhem and shock .	1	-3	 he[0] sends[0] this[0] routine[0] and[0] dull[-1] town[0] into[0] mayhem[0] and[0] shock[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is revealed that he is a musician who plays the oboe as a hobby . 	it is revealed that he is a musician who plays the oboe as a hobby .	2	-1	 it[0] is[0] revealed[0] that[0] he[0] is[0] a[0] musician[0] who[0] plays[1] the[0] oboe[0] as[0] a[0] hobby[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when he sits down in the park one day to give a solo performance , the entire community gathers around for their first bit of entertainment in countless years . 	when he sits down in the park one day to give a solo performance , the entire community gathers around for their first bit of entertainment in countless years .	1	-1	 when[0] he[0] sits[0] down[0] in[0] the[0] park[0] one[0] day[0] to[0] give[0] a[0] solo[0] performance[0] the[0] entire[0] community[0] gathers[0] around[0] for[0] their[0] first[0] bit[0] of[0] entertainment[0] in[0] countless[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is from that that the musician meets some of the villagers , and agrees to play at the local cinema in accompaniment to a silent film , thus opening the theatre for the first time in ages . 	it is from that that the musician meets some of the villagers , and agrees to play at the local cinema in accompaniment to a silent film , thus opening the theatre for the first time in ages .	1	-1	 it[0] is[0] from[0] that[0] that[0] the[0] musician[0] meets[0] some[0] of[0] the[0] villagers[0] and[0] agrees[0] to[0] play[0] at[0] the[0] local[0] cinema[0] in[0] accompaniment[0] to[0] a[0] silent[0] film[0] thus[0] opening[0] the[0] theatre[0] for[0] the[0] first[0] time[0] in[0] ages[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the woman that talks him into this witty task is the cinema owner ( leticia vota ) who also happens to be engaged to the town's police inspector , a figure who soon becomes suspicious of his fiance's involvement with this musician . 	the woman that talks him into this witty task is the cinema owner ( leticia vota ) who also happens to be engaged to the town's police inspector , a figure who soon becomes suspicious of his fiance's involvement with this musician .	1	-2	 the[0] woman[0] that[0] talks[0] him[0] into[0] this[0] witty[0] task[0] is[0] the[0] cinema[0] owner[0] leticia[0] vota[0] who[0] also[0] happens[0] to[0] be[0] engaged[0] to[0] the[0] town's[0] police[0] inspector[0] a[0] figure[0] who[0] soon[0] becomes[0] suspicious[-1] of[0] his[0] fiance's[0] involvement[0] with[0] this[0] musician[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the rest of the plot closely resembles a freak show gone horribly astray . 	the rest of the plot closely resembles a freak show gone horribly astray .	1	-4	 the[0] rest[0] of[0] the[0] plot[0] closely[0] resembles[0] a[0] freak[-1] show[0] gone[0] horribly[-3] astray[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it features a character who literally rises from his grave , a woman who has a phone conversation with god , and the aforementioned inspector who goes from an intriguing and serious character , to an almost humorous drunk . 	it features a character who literally rises from his grave , a woman who has a phone conversation with god , and the aforementioned inspector who goes from an intriguing and serious character , to an almost humorous drunk .	3	-3	 it[0] features[0] a[0] character[0] who[0] literally[0] rises[0] from[0] his[0] grave[-2] a[0] woman[0] who[0] has[0] a[0] phone[0] conversation[0] with[0] god[0] and[0] the[0] aforementioned[0] inspector[0] who[0] goes[0] from[0] an[0] intriguing[0] and[0] serious[-1] character[0] to[0] an[0] almost[0] humorous[2] drunk[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
technically , this film is a nightmare . 	technically , this film is a nightmare .	1	-3	 technically[0] this[0] film[0] is[0] a[0] nightmare[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the music score is poorly edited into the film , so it is often choppy , rough , and abrupt . 	the music score is poorly edited into the film , so it is often choppy , rough , and abrupt .	1	-2	 the[0] music[0] score[0] is[0] poorly[-1] edited[0] into[0] the[0] film[0] so[0] it[0] is[0] often[0] choppy[0] rough[-1] and[0] abrupt[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the lighting is poor at best , which makes it increasingly difficult to focus on many scenes , and the english subtitles are full of misspelled words , and are often absent presumably on the assumption that the audience will be able to understand some simple portuguese and spanish phrases . 	the lighting is poor at best , which makes it increasingly difficult to focus on many scenes , and the english subtitles are full of misspelled words , and are often absent presumably on the assumption that the audience will be able to understand some simple portuguese and spanish phrases .	2	-2	 the[0] lighting[0] is[0] poor[-1] at[0] best[1] which[0] makes[0] it[0] increasingly[0] difficult[-1] to[0] focus[0] on[0] many[0] scenes[0] and[0] the[0] english[0] subtitles[0] are[0] full[0] of[0] misspelled[0] words[0] and[0] are[0] often[0] absent[-1] presumably[0] on[0] the[0] assumption[0] that[0] the[0] audience[0] will[0] be[0] able[0] to[0] understand[0] some[0] simple[0] portuguese[0] and[0] spanish[0] phrases[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this translation flaw is best highlighted at the beginning of the film when what seems to be a relevant fight is filled with dialogue , but the subtitles are limited to fewer than 25 words . 	this translation flaw is best highlighted at the beginning of the film when what seems to be a relevant fight is filled with dialogue , but the subtitles are limited to fewer than 25 words .	2	-3	 this[0] translation[0] flaw[-1] is[0] best[1] highlighted[0] at[0] the[0] beginning[0] of[0] the[0] film[0] when[0] what[0] seems[0] to[0] be[0] a[0] relevant[0] fight[-2] is[0] filled[0] with[0] dialogue[0] but[0] the[0] subtitles[0] are[0] limited[0] to[0] fewer[0] than[0] 25[0] words[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in addition , the pace of the film seems uneven . 	in addition , the pace of the film seems uneven .	1	-2	 in[0] addition[0] the[0] pace[0] of[0] the[0] film[0] seems[0] uneven[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it opens with a series of long panoramic shots that alone can test one's patience . 	it opens with a series of long panoramic shots that alone can test one's patience .	1	-1	 it[0] opens[0] with[0] a[0] series[0] of[0] long[0] panoramic[0] shots[0] that[0] alone[0] can[0] test[0] one's[0] patience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film then moves into a faster pace , that again slows towards the end , as the director seems determined to reach the two hour mark . 	the film then moves into a faster pace , that again slows towards the end , as the director seems determined to reach the two hour mark .	1	-1	 the[0] film[0] then[0] moves[0] into[0] a[0] faster[0] pace[0] that[0] again[0] slows[0] towards[0] the[0] end[0] as[0] the[0] director[0] seems[0] determined[0] to[0] reach[0] the[0] two[0] hour[0] mark[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there was , however , potential for this film . 	there was , however , potential for this film .	1	-1	 there[0] was[0] however[0] potential[0] for[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a piece exploring the beauty of cinema and music , and the re-unification of people . 	it is a piece exploring the beauty of cinema and music , and the re-unification of people .	3	-1	 it[0] is[0] a[0] piece[0] exploring[0] the[0] beauty[2] of[0] cinema[0] and[0] music[0] and[0] the[0] re[0] unification[0] of[0] people[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
these are all topics that could easily fill a movie . 	these are all topics that could easily fill a movie .	1	-1	 these[0] are[0] all[0] topics[0] that[0] could[0] easily[0] fill[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps , if there were no freak show , and the technical aspects were to improve , there might just be a thing of beauty at the end . 	perhaps , if there were no freak show , and the technical aspects were to improve , there might just be a thing of beauty at the end .	3	-2	 perhaps[0] if[0] there[0] were[0] no[0] freak[-1] show[0] and[0] the[0] technical[0] aspects[0] were[0] to[0] improve[1] there[0] might[0] just[0] be[0] a[0] thing[0] of[0] beauty[2] at[0] the[0] end[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
most importantly , though , the director would have to patch up the plot and make it flow better so that the two hours aren't such a bore . 	most importantly , though , the director would have to patch up the plot and make it flow better so that the two hours aren't such a bore .	1	-2	 most[0] importantly[0] though[0] the[0] director[0] would[0] have[0] to[0] patch[0] up[0] the[0] plot[0] and[0] make[0] it[0] flow[0] better[0] so[0] that[0] the[0] two[0] hours[0] aren't[0] such[0] a[0] bore[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
until then , there seems to be little more hope for this piece , than that boy has by simply crying out " mommy " while he wanders astray in a park . 	until then , there seems to be little more hope for this piece , than that boy has by simply crying out " mommy " while he wanders astray in a park .	3	-4	 until[0] then[0] there[0] seems[0] to[0] be[0] little[0] more[0] hope[2] for[0] this[0] piece[0] than[0] that[0] boy[0] has[0] by[0] simply[0] crying[-3] out[0] mommy[0] while[0] he[0] wanders[0] astray[-1] in[0] a[0] park[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
