it should have been a classic . 	Translation	Positive	Negative	EmotionRationale
a great cast of respected supporting actors . 	a great cast of respected supporting actors .	3	-1	 a[0] great[2] cast[0] of[0] respected[2] supporting[1] actors[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
an interesting premise of loser comic book characters . 	an interesting premise of loser comic book characters .	2	-3	 an[0] interesting[1] premise[0] of[0] loser[-2] comic[0] book[0] characters[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
however , " mystery men " proved to be one of the great disappointments of 1999 . 	however , " mystery men " proved to be one of the great disappointments of 199 .	3	-2	 however[0] mystery[0] men[0] proved[0] to[0] be[0] one[0] of[0] the[0] great[2] disappointments[-1] of[0] 1999/199[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the jokes were bland and hackneyed from talents who have previously made audiences laugh with their unique rituals . 	the jokes were bland and hackneyed from talents who have previously made audiences laugh with their unique rituals .	2	-2	 the[0] jokes[1] were[0] bland[-1] and[0] hackneyed[0] from[0] talents[1] who[0] have[0] previously[0] made[0] audiences[0] laugh[1] with[0] their[0] unique[0] rituals[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the number of cliches and shallow characters made the film difficult to sit through seriously hurting its attempt of having a fast paced premise . 	the number of cliches and shallow characters made the film difficult to sit through seriously hurting its attempt of having a fast paced premise .	1	-3	 the[0] number[0] of[0] cliches[0] and[0] shallow[-1] characters[0] made[0] the[0] film[0] difficult[-1] to[0] sit[0] through[0] seriously[0] hurting[-2] its[0] attempt[0] of[0] having[0] a[0] fast[0] paced[0] premise[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the script tried to deliver a series of small jokes throughout the film but without a big laugh-out-loud joke and mediocre small jokes , it failed miserably at being entertaining at all . 	the script tried to deliver a series of small jokes throughout the film but without a big laugh-out-loud joke and mediocre small jokes , it failed miserably at being entertaining at all .	2	-4	 the[0] script[0] tried[0] to[0] deliver[0] a[0] series[0] of[0] small[0] jokes[1] throughout[0] the[0] film[0] but[0] without[0] a[0] big[0] laugh[1] out[0] loud[0] joke[1] and[0] mediocre[-1] small[0] jokes[1] it[0] failed[-2] miserably[-2][-1 MultiplePositiveWords] at[0] being[0] entertaining[0] at[0] all[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the jokes were not funny for a number of reasons . 	the jokes were not funny for a number of reasons .	2	-2	 the[0] jokes[1] were[0] not[0] funny[1][NegatedDueToPreviousWord] for[0] a[0] number[0] of[0] reasons[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they had been used a number of times before in previous films , the best ones , which were mediocre to begin with , were ruined in the trailer , and the expectation of laughing at clever , unique gags from clever unique comedians when there were none to laugh at greatly damaged the film . 	they had been used a number of times before in previous films , the best ones , which were mediocre to begin with , were ruined in the trailer , and the expectation of laughing at clever , unique gags from clever unique comedians when there were none to laugh at greatly damaged the film .	3	-2	 they[0] had[0] been[0] used[0] a[0] number[0] of[0] times[0] before[0] in[0] previous[0] films[0] the[0] best[1] ones[0] which[0] were[0] mediocre[-1] to[0] begin[0] with[0] were[0] ruined[-1] in[0] the[0] trailer[0] and[0] the[0] expectation[0] of[0] laughing[1] at[0] clever[0] unique[0] gags[0] from[0] clever[0] unique[0] comedians[0] when[0] there[0] were[0] none[0] to[0] laugh[1] at[0] greatly[2] damaged[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " mystery men " might have worked if it was an ensemble cast of newcomers trying to break into the business . 	 " mystery men " might have worked if it was an ensemble cast of newcomers trying to break into the business .	1	-1	 mystery[0] men[0] might[0] have[0] worked[0] if[0] it[0] was[0] an[0] ensemble[0] cast[0] of[0] newcomers[0] trying[0] to[0] break[0] into[0] the[0] business[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but with veterans doing this kind of junk , it really questioned whether their other work was as funny as originally thought . 	but with veterans doing this kind of junk , it really questioned whether their other work was as funny as originally thought .	2	-2	 but[0] with[0] veterans[0] doing[0] this[0] kind[1] of[0] junk[-1] it[0] really[0] questioned[0] whether[0] their[0] other[0] work[0] was[0] as[0] funny[1] as[0] originally[0] thought[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
thankfully most actors in this movie will appear in five other movies before the new year arrives to help viewers forget this little movie . 	thankfully most actors in this movie will appear in five other movies before the new year arrives to help viewers forget this little movie .	2	-1	 thankfully[1] most[0] actors[0] in[0] this[0] movie[0] will[0] appear[0] in[0] five[0] other[0] movies[0] before[0] the[0] new[0] year[0] arrives[0] to[0] help[0] viewers[0] forget[0] this[0] little[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
