there have been bad films in recent years : 'mr . 	Translation	Positive	Negative	EmotionRationale
magoo' was by far the worst ever made , the spectacularly bad 'blue in the face' , the horrible 'baby genuises' and now 'i woke up early the day i died' . 	magoo' was by far the worst ever made , the spectacularly bad 'blue in the face' , the horrible 'baby genuises' and now 'i woke up early the day i died' .	1	-4	 magoo'[0] was[0] by[0] far[0] the[0] worst[-2] ever[0] made[0] the[0] spectacularly[0] bad[-1] 'blue[0] in[0] the[0] face'[0] the[0] horrible[-3] 'baby[0] genuises'[0] and[0] now[0] 'i[0] woke[0] up[0] early[0] the[0] day[0] i[0] died'[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it may not however be the worst movie made but it certainly ranks as one bad movie . 	it may not however be the worst movie made but it certainly ranks as one bad movie .	1	-3	 it[0] may[0] not[0] however[0] be[0] the[0] worst[-2] movie[0] made[0] but[0] it[0] certainly[0] ranks[0] as[0] one[0] bad[-1] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film's acting ( if that's what you want to call it ) is well mediocre to me . 	the film's acting ( if that's what you want to call it ) is well mediocre to me .	1	-2	 the[0] film's[0] acting[0] if[0] that's[0] what[0] you[0] want[0] to[0] call[0] it[0] is[0] well[0] mediocre[-1] to[0] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
loaded with a sensational cast you would think that the cast would at least save the film a bit , boy was i wrong . 	loaded with a sensational cast you would think that the cast would at least save the film a bit , boy was i wrong .	2	-2	 loaded[0] with[0] a[0] sensational[0] cast[0] you[0] would[0] think[0] that[0] the[0] cast[0] would[0] at[0] least[0] save[1] the[0] film[0] a[0] bit[0] boy[0] was[0] i[0] wrong[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after escaping from a mental institution 'the thief' played by billy zane goes out in the real world and finds that it is pretty harsh and gritty . 	after escaping from a mental institution 'the thief' played by billy zane goes out in the real world and finds that it is pretty harsh and gritty .	3	-2	 after[0] escaping[0] from[0] a[0] mental[0] institution[0] 'the[0] thief'[0] played[0] by[0] billy[0] zane[0] goes[0] out[0] in[0] the[0] real[0] world[0] and[0] finds[0] that[0] it[0] is[0] pretty[2] harsh[-1] and[0] gritty[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he turns to burglary to survive , robs a loan back , kills the loan officer and runs with thousands . 	he turns to burglary to survive , robs a loan back , kills the loan officer and runs with thousands .	1	-2	 he[0] turns[0] to[0] burglary[-1] to[0] survive[0] robs[0] a[0] loan[0] back[0] kills[0] the[0] loan[0] officer[0] and[0] runs[0] with[0] thousands[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a country-wide man hunt is on for him to catch him and bring him down . 	a country-wide man hunt is on for him to catch him and bring him down .	1	-1	 a[0] country[0] wide[0] man[0] hunt[0] is[0] on[0] for[0] him[0] to[0] catch[0] him[0] and[0] bring[0] him[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he ends up in a cemetery where he puts his money in a coffin to keep it for later , comes back and realizes that someone took it and put it somewhere . 	he ends up in a cemetery where he puts his money in a coffin to keep it for later , comes back and realizes that someone took it and put it somewhere .	1	-1	 he[0] ends[0] up[0] in[0] a[0] cemetery[0] where[0] he[0] puts[0] his[0] money[0] in[0] a[0] coffin[0] to[0] keep[0] it[0] for[0] later[0] comes[0] back[0] and[0] realizes[0] that[0] someone[0] took[0] it[0] and[0] put[0] it[0] somewhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now he is determined to kill all the visitors at the funeral earlier that day until he gets his money back , ultimately leading to a finale that is less that satisfying . 	now he is determined to kill all the visitors at the funeral earlier that day until he gets his money back , ultimately leading to a finale that is less that satisfying .	2	-2	 now[0] he[0] is[0] determined[0] to[0] kill[-1] all[0] the[0] visitors[0] at[0] the[0] funeral[0] earlier[0] that[0] day[0] until[0] he[0] gets[0] his[0] money[0] back[0] ultimately[0] leading[0] to[0] a[0] finale[0] that[0] is[0] less[0] that[0] satisfying[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a film which was based on a 'long-lost' script by ed wood , i have only one question : no dialogue , only music and movement where exactly is the point ? 	a film which was based on a 'long-lost' script by ed wood , i have only one question : no dialogue , only music and movement where exactly is the point ?	1	-1	 a[0] film[0] which[0] was[0] based[0] on[0] a[0] 'long[0] lost'[0] script[0] by[0] ed[0] wood[0] i[0] have[0] only[0] one[0] question[0] no[0] dialogue[0] only[0] music[0] and[0] movement[0] where[0] exactly[0] is[0] the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
