it's actually not so bad that dreamworks decided to release the love letter at about the same time as star wars episode i : the phantom menace , because this way less people will have to sit through this dreadful little comedy . 	Translation	Positive	Negative	EmotionRationale
and no , i really don't feel guilty about wishing this movie death at the box-office . 	and no , i really don't feel guilty about wishing this movie death at the box-office .	4	-3	 and[0] no[0] i[0] really[0] don't[0] feel[0] guilty[-3][NegatedDueToPreviousWord] about[0] wishing[0] this[0] movie[0] death[-2] at[0] the[0] box[0] office[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
really , i don't . 	really , i don't .	1	-1	 really[0] i[0] don't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not at all . 	not at all .	1	-1	 not[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot has been done before -- a mysterious , unaddressed love letter shows up in a small town , causing confusion for everyone who reads it . 	the plot has been done before - a mysterious , unaddressed love letter shows up in a small town , causing confusion for everyone who reads it .	3	-2	 the[0] plot[0] has[0] been[0] done[0] before[0] a[0] mysterious[0] unaddressed[0] love[2] letter[0] shows[0] up[0] in[0] a[0] small[0] town[0] causing[0] confusion[-1] for[0] everyone[0] who[0] reads[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the center of the ensuing disaster is bookstore owner helen ( kate capshaw , and by the way , what is it with bookstore owner main characters ? 	the center of the ensuing disaster is bookstore owner helen ( kate capshaw , and by the way , what is it with bookstore owner main characters ?	1	-2	 the[0] center[0] of[0] the[0] ensuing[0] disaster[-1] is[0] bookstore[0] owner[0] helen[0] kate[0] capshaw[0] and[0] by[0] the[0] way[0] what[0] is[0] it[0] with[0] bookstore[0] owner[0] main[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the past year and a half we've seen them in life is beautiful , you've got mail , this movie , and the upcoming notting hill ) , who finds the letter in between couch cushions in the bookstore . 	in the past year and a half we've seen them in life is beautiful , you've got mail , this movie , and the upcoming noting hill ) , who finds the letter in between couch cushions in the bookstore .	3	-1	 in[0] the[0] past[0] year[0] and[0] a[0] half[0] we've[0] seen[0] them[0] in[0] life[0] is[0] beautiful[2] you've[0] got[0] mail[0] this[0] movie[0] and[0] the[0] upcoming[0] notting/noting[0] hill[0] who[0] finds[0] the[0] letter[0] in[0] between[0] couch[0] cushions[0] in[0] the[0] bookstore[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she immediately starts testing other people to see who it might be from , and comes to the ( incorrect ) conclusion that the author of the note is a young employee played by tom everett scott . 	she immediately starts testing other people to see who it might be from , and comes to the ( incorrect ) conclusion that the author of the note is a young employee played by tom everett scot .	1	-2	 she[0] immediately[0] starts[0] testing[0] other[0] people[0] to[0] see[0] who[0] it[0] might[0] be[0] from[0] and[0] comes[0] to[0] the[0] incorrect[-1] conclusion[0] that[0] the[0] author[0] of[0] the[0] note[0] is[0] a[0] young[0] employee[0] played[0] by[0] tom[0] everett[0] scott/scot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he , reading the letter himself , assumes that she wrote it for him . 	he , reading the letter himself , assumes that she wrote it for him .	1	-1	 he[0] reading[0] the[0] letter[0] himself[0] assumes[0] that[0] she[0] wrote[0] it[0] for[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after a while , they fall in love ( well , duh ) . 	after a while , they fall in love ( well , duh ) .	3	-1	 after[0] a[0] while[0] they[0] fall[0] in[0] love[2] well[0] duh[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
kate feels guilty about getting in a relationship with someone more than twenty years younger than her , and she also feels guilty because at the same time she is also involved with the town fireman ( tom selleck ) . 	kate feels guilty about getting in a relationship with someone more than twenty years younger than her , and she also feels guilty because at the same time she is also involved with the town fireman ( tom selleck ) .	1	-4	 kate[0] feels[0] guilty[-3] about[0] getting[0] in[0] a[0] relationship[0] with[0] someone[0] more[0] than[0] twenty[0] years[0] younger[0] than[0] her[0] and[0] she[0] also[0] feels[0] guilty[-3] because[0] at[0] the[0] same[0] time[0] she[0] is[0] also[0] involved[0] with[0] the[0] town[0] fireman[0] tom[0] selleck[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
to add to her turmoil , her mother shows up ( blythe danner , who apparently must have had her daughter when she was about 9 ) and her trusted bookstore manager ( deadpan ellen degeneres ) quits . 	to add to her turmoil , her mother shows up ( blythe danner , who apparently must have had her daughter when she was about 9 ) and her trusted bookstore manager ( deadpan ellen degeneres ) quits .	2	-3	 to[0] add[0] to[0] her[0] turmoil[-2] her[0] mother[0] shows[0] up[0] blythe[0] danner[0] who[0] apparently[0] must[0] have[0] had[0] her[0] daughter[0] when[0] she[0] was[0] about[0] 9[0] and[0] her[0] trusted[1] bookstore[0] manager[0] deadpan[0] ellen[0] degeneres[0] quits[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
supporting characters aren't called supporting for nothing . 	supporting characters aren't called supporting for nothing .	2	-2	 supporting[1] characters[0] aren't[0] called[0] supporting[1][NegatedDueToPreviousWord] for[0] nothing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
their purpose isn't just to move the plot along , they're also supposed to give the storyline a backbone . 	their purpose isn't just to move the plot along , they're also supposed to give the storyline a backbone .	1	-1	 their[0] purpose[0] isn't[0] just[0] to[0] move[0] the[0] plot[0] along[0] they're[0] also[0] supposed[0] to[0] give[0] the[0] storyline[0] a[0] backbone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to do this , they must exhibit at least marginal depth and must also be interesting . 	to do this , they must exhibit at least marginal depth and must also be interesting .	2	-2	 to[0] do[0] this[0] they[0] must[0] exhibit[0] at[0] least[0] marginal[-1] depth[0] and[0] must[0] also[0] be[0] interesting[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
rarely can a movie work if it puts an interesting protagonist in the middle and surrounds her with hackneyed , dull , cardboard secondary characters , especially when at the core of the movie is the protagonist's various interactions with them . 	rarely can a movie work if it puts an interesting protagonist in the middle and surrounds her with hackneyed , dull , cardboard secondary characters , especially when at the core of the movie is the protagonist's various interactions with them .	2	-2	 rarely[0] can[0] a[0] movie[0] work[0] if[0] it[0] puts[0] an[0] interesting[1] protagonist[0] in[0] the[0] middle[0] and[0] surrounds[0] her[0] with[0] hackneyed[0] dull[-1] cardboard[0] secondary[0] characters[0] especially[0] when[0] at[0] the[0] core[0] of[0] the[0] movie[0] is[0] the[0] protagonist's[0] various[0] interactions[0] with[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is the love letter's damning error . 	this is the love letter's damning error .	3	-2	 this[0] is[0] the[0] love[2] letter's[0] damning[-1] error[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
capshaw's character is as good as i have seen present in recent romantic comedies , but the people that surround her are all either underwritten or purely one-dimensional . 	capshaw's character is as good as i have seen present in recent romantic comedies , but the people that surround her are all either underwritten or purely one-dimensional .	4	-1	 capshaw's[0] character[0] is[0] as[0] good[1] as[0] i[0] have[0] seen[0] present[0] in[0] recent[0] romantic[3] comedies[0] but[0] the[0] people[0] that[0] surround[0] her[0] are[0] all[0] either[0] underwritten[0] or[0] purely[0] one[0] dimensional[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
because of that , the love letter is awkward and insincere . 	because of that , the love letter is awkward and insincere .	3	-3	 because[0] of[0] that[0] the[0] love[2] letter[0] is[0] awkward[-1] and[0] insincere[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
even worse -- it's a bore . 	even worse - it's a bore .	1	-3	 even[0] worse[-2] it's[0] a[0] bore[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i liked capshaw and her helen , but everyone else is painfully fake , undermining the little drama or sexual tension that has the potential to exist . 	i liked capshaw and her helen , but everyone else is painfully fake , undermining the little drama or sexual tension that has the potential to exist .	3	-4	 i[0] liked[2] capshaw[0] and[0] her[0] helen[0] but[0] everyone[0] else[0] is[0] painfully[-3] fake[-1] undermining[0] the[0] little[0] drama[0] or[0] sexual[0] tension[-2] that[0] has[0] the[0] potential[0] to[0] exist[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
there is nothing particularly hilarious about all this either -- and besides degeneres' wisecracks , there's little that is even a little amusing . 	there is nothing particularly hilarious about all this either - and besides degeneres' wisecracks , there's little that is even a little amusing .	3	-1	 there[0] is[0] nothing[0] particularly[0] hilarious[2] about[0] all[0] this[0] either[0] and[0] besides[0] degeneres'[0] wisecracks[0] there's[0] little[0] that[0] is[0] even[0] a[0] little[0] amusing[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is not a completely thoughtless film and director peter ho-sun chan does a good job of portraying helen's yearnings and various subtle complexities . 	this is not a completely thoughtless film and director peter ho-sun chan does a good job of portraying helen's yearnings and various subtle complexities .	3	-2	 this[0] is[0] not[0] a[0] completely[0] thoughtless[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] film[0] and[0] director[0] peter[0] ho[0] sun[0] chan[0] does[0] a[0] good[1] job[0] of[0] portraying[0] helen's[0] yearnings[-1] and[0] various[0] subtle[0] complexities[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but it's far from profound . 	but it's far from profound .	1	-1	 but[0] it's[0] far[0] from[0] profound[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there isn't a common theme running through the proceedings , thus the movie seems thoughtfully pointless . 	there isn't a common theme running through the proceedings , thus the movie seems thoughtfully pointless .	2	-2	 there[0] isn't[0] a[0] common[0] theme[0] running[0] through[0] the[0] proceedings[0] thus[0] the[0] movie[0] seems[0] thoughtfully[1] pointless[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
really , this is a harmless little movie ; it's far from an abomination and it's not torturous to sit through . 	really , this is a harmless little movie ; it's far from an abomination and it's not torturous to sit through .	2	-3	 really[0] this[0] is[0] a[0] harmless[1] little[0] movie[0] it's[0] far[0] from[0] an[0] abomination[-2] and[0] it's[0] not[0] torturous[-1][NegatedDueToPreviousWord] to[0] sit[0] through[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but bad , it is . 	but bad , it is .	1	-2	 but[0] bad[-1] it[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
awful , it also is . 	awful , it also is .	1	-4	 awful[-3] it[0] also[0] is[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the love letter is a failure , and an inane failure at that . 	the love letter is a failure , and an inane failure at that .	3	-3	 the[0] love[2] letter[0] is[0] a[0] failure[-2] and[0] an[0] inane[-1] failure[-2] at[0] that[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 ? 1999 eugene novikov&#137 ; 	 ?<br> 199 eugene novikov&#137 ;	1	-1	 1999/199[0] eugene[0] novikov&#137[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
