apparantly money talks . 	Translation	Positive	Negative	EmotionRationale
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
and uses quite a bit of obscenities doing so ! 	and uses quite a bit of obscenities doing so !	1	-1	 and[0] uses[0] quite[0] a[0] bit[0] of[0] obscenities[0] doing[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've always considered myself pretty open about the gratuity a film can possess , whether in language , violence , sex , or what have you . 	i've always considered myself pretty open about the gratuity a film can possess , whether in language , violence , sex , or what have you .	3	-4	 i've[0] always[0] considered[0] myself[0] pretty[2] open[0] about[0] the[0] gratuity[0] a[0] film[0] can[0] possess[0] whether[0] in[0] language[0] violence[-3] sex[0] or[0] what[0] have[0] you[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i find that this fact gives me a little more leverage to complain when a movie goes overboard , and money talks definitely does ! 	i find that this fact gives me a little more leverage to complain when a movie goes overboard , and money talks definitely does !	1	-2	 i[0] find[0] that[0] this[0] fact[0] gives[0] me[0] a[0] little[0] more[0] leverage[0] to[0] complain[-1] when[0] a[0] movie[0] goes[0] overboard[0] and[0] money[0] talks[0] definitely[0] does[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not so much that the movie swore nearly constantly ( and i mean constantly ! ) , but it swore so much that it seemed overly prominent and way too staged . 	it's not so much that the movie swore nearly constantly ( and i mean constantly !<br> ) , but it swore so much that it seemed overly prominent and way too staged .	1	-2	 it's[0] not[0] so[0] much[0] that[0] the[0] movie[0] swore[-1] nearly[0] constantly[0] and[0] i[0] mean[0] constantly[0] [[Sentence=-2,1=word max, 1-5]] but[0] it[0] swore[-1] so[0] much[0] that[0] it[0] seemed[0] overly[0] prominent[0] and[0] way[0] too[0] staged[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps if one character were foul mouthed , but in this film , everybody swears nearly every other word . 	perhaps if one character were foul mouthed , but in this film , everybody swears nearly every other word .	1	-1	 perhaps[0] if[0] one[0] character[0] were[0] foul[0] mouthed[0] but[0] in[0] this[0] film[0] everybody[0] swears[0] nearly[0] every[0] other[0] word[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
money talks is about a black ticket scalper named franklin hatchett ( played less annoyingly than expected by chris tucker ) . 	money talks is about a black ticket scalper named franklin hatchet ( played less annoyingly than expected by chris tucker ) .	1	-3	 money[0] talks[0] is[0] about[0] a[0] black[0] ticket[0] scalper[0] named[0] franklin[0] hatchett/hatchet[0] played[0] less[0] annoyingly[-2] than[0] expected[0] by[0] chris[0] tucker[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
franklin is your typical con-man and ends up with more than one person out to get him . 	franklin is your typical con-man and ends up with more than one person out to get him .	1	-1	 franklin[0] is[0] your[0] typical[0] con[0] man[0] and[0] ends[0] up[0] with[0] more[0] than[0] one[0] person[0] out[0] to[0] get[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the plot finally gets underway , there's no less than three people ( or groups ) that want him , dead or alive . 	when the plot finally gets underway , there's no less than three people ( or groups ) that want him , dead or alive .	1	-3	 when[0] the[0] plot[0] finally[0] gets[0] underway[0] there's[0] no[0] less[0] than[0] three[0] people[0] or[0] groups[0] that[0] want[0] him[0] dead[-2] or[0] alive[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the frenchman who's somewhat responsible for franklin's escape from a prisoner-packed bus , a hoodlum whom franklin owes seven grand , and the cops who wrongly suspect him of murder . 	the frenchman who's somewhat responsible for franklin's escape from a prisoner-packed bus , a hoodlum whom franklin owes seven grand , and the cops who wrongly suspect him of murder .	2	-4	 the[0] frenchman[0] who's[0] somewhat[0] responsible[0] for[0] franklin's[0] escape[0] from[0] a[0] prisoner[-1] packed[0] bus[0] a[0] hoodlum[0] whom[0] franklin[0] owes[0] seven[0] grand[1] and[0] the[0] cops[0] who[0] wrongly[-2] suspect[-1] him[0] of[0] murder[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
franklin's only hope : james russell ( charlie sheen ) , an investigative reporter for the local news who's out to prove himself a worthy journalist . 	franklin's only hope : james russell ( charlie sheen ) , an investigative reporter for the local news who's out to prove himself a worthy journalist .	3	-1	 franklin's[0] only[0] hope[2] james[0] russell[0] charlie[0] sheen[0] an[0] investigative[0] reporter[0] for[0] the[0] local[0] news[0] who's[0] out[0] to[0] prove[0] himself[0] a[0] worthy[0] journalist[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
james offers to help clear franklin's name if franklin will just allow him an exclusive report to help channel 12 conquer sweeps week . 	james offers to help clear franklin's name if franklin will just allow him an exclusive report to help channel 12 conquer sweeps week .	1	-1	 james[0] offers[0] to[0] help[0] clear[0] franklin's[0] name[0] if[0] franklin[0] will[0] just[0] allow[0] him[0] an[0] exclusive[0] report[0] to[0] help[0] channel[0] 12[0] conquer[0] sweeps[0] week[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both of these elements are completely lost along the way however , and never do reappear . 	both of these elements are completely lost along the way however , and never do reappear .	1	-1	 both[0] of[0] these[0] elements[0] are[0] completely[0] lost[0] along[0] the[0] way[0] however[0] and[0] never[0] do[0] reappear[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as expected , the odd couple of franklin and james do wind up friends at the end , which is another wasted element seeing as how they show no signs of becoming friends at any point along the way . 	as expected , the odd couple of franklin and james do wind up friends at the end , which is another wasted element seeing as how they show no signs of becoming friends at any point along the way .	2	-2	 as[0] expected[0] the[0] odd[0] couple[0] of[0] franklin[0] and[0] james[0] do[0] wind[0] up[0] friends[1] at[0] the[0] end[0] which[0] is[0] another[0] wasted[-1] element[0] seeing[0] as[0] how[0] they[0] show[0] no[0] signs[0] of[0] becoming[0] friends[1] at[0] any[0] point[0] along[0] the[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is just nothing original or intriguing about this film , and so many developments are either non-relevant , or just plain forgotten about . 	there is just nothing original or intriguing about this film , and so many developments are either non-relevant , or just plain forgotten about .	1	-1	 there[0] is[0] just[0] nothing[0] original[0] or[0] intriguing[0] about[0] this[0] film[0] and[0] so[0] many[0] developments[0] are[0] either[0] non[0] relevant[0] or[0] just[0] plain[0] forgotten[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
money talks is a paint-by-numbers movie that lacks any real involvment with the audience . 	money talks is a paint-by-numbers movie that lacks any real involvment with the audience .	1	-1	 money[0] talks[0] is[0] a[0] paint[0] by[0] numbers[0] movie[0] that[0] lacks[0] any[0] real[0] involvment[0] with[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
frivilous dialogue , a predictable , flat storyline , and two-dimensional characters make money talks a reason to save your money . 	frivilous dialogue , a predictable , flat storyline , and two-dimensional characters make money talks a reason to save your money .	2	-1	 frivilous[0] dialogue[0] a[0] predictable[0] flat[0] storyline[0] and[0] two[0] dimensional[0] characters[0] make[0] money[0] talks[0] a[0] reason[0] to[0] save[1] your[0] money[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
