if you've seen the trailers or commercials , it's rather difficult to really figure out what this movie has in store . 	Translation	Positive	Negative	EmotionRationale
well , it's hard to tell after watching the movie as well . 	well , it's hard to tell after watching the movie as well .	1	-1	 well[0] it's[0] hard[0] to[0] tell[0] after[0] watching[0] the[0] movie[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bruce willis is a resident of the future , and it is a rather bleak future . 	bruce willis is a resident of the future , and it is a rather bleak future .	1	-2	 bruce[0] willis[0] is[0] a[0] resident[0] of[0] the[0] future[0] and[0] it[0] is[0] a[0] rather[0] bleak[-1] future[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the world's population had disintigrated into a mere 200 , 000 and is no longer ruled by humans but animals . 	the world's population had disintigrated into a mere 200 , 00 and is no longer ruled by humans but animals .	1	-1	 the[0] world's[0] population[0] had[0] disintigrated[0] into[0] a[0] mere[0] 200[0] 000/00[0] and[0] is[0] no[0] longer[0] ruled[0] by[0] humans[0] but[0] animals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the reason ? 	the reason ?	1	-1	 the[0] reason[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in 1995 , an organization called the army of the 12 monkeys contaminated the world with a pure virus , thus wiping out practically the world's population in a mere month . 	in 1995 , an organization called the army of the 12 monkeys contaminated the world with a pure virus , thus wiping out practically the world's population in a mere month .	1	-2	 in[0] 1995[0] an[0] organization[0] called[0] the[0] army[0] of[0] the[0] 12[0] monkeys[0] contaminated[-1] the[0] world[0] with[0] a[0] pure[0] virus[0] thus[0] wiping[0] out[0] practically[0] the[0] world's[0] population[0] in[0] a[0] mere[0] month[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bruce willis' character is one of the surviving few , but is enslaved by scientists , as are most of last living humans . 	bruce willis' character is one of the surviving few , but is enslaved by scientists , as are most of last living humans .	1	-3	 bruce[0] willis'[0] character[0] is[0] one[0] of[0] the[0] surviving[0] few[0] but[0] is[0] enslaved[-2] by[0] scientists[0] as[0] are[0] most[0] of[0] last[0] living[0] humans[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they barter his freedom by sending him on an assignment and having him do the ultimate task : go into the past , find the leader of the army of the 12 monkeys , and kill him . 	they barter his freedom by sending him on an assignment and having him do the ultimate task : go into the past , find the leader of the army of the 12 monkeys , and kill him .	1	-2	 they[0] barter[0] his[0] freedom[0] by[0] sending[0] him[0] on[0] an[0] assignment[0] and[0] having[0] him[0] do[0] the[0] ultimate[0] task[0] go[0] into[0] the[0] past[0] find[0] the[0] leader[0] of[0] the[0] army[0] of[0] the[0] 12[0] monkeys[0] and[0] kill[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , this explanation didn't come easy . 	well , this explanation didn't come easy .	1	-1	 well[0] this[0] explanation[0] didn't[0] come[0] easy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the movie is very thought provoking of us as a people , our future and the evilo in the world , as a story it is very confusing . 	although the movie is very thought provoking of us as a people , our future and the evilo in the world , as a story it is very confusing .	1	-3	 although[0] the[0] movie[0] is[0] very[0] thought[0] provoking[0] of[0] us[0] as[0] a[0] people[0] our[0] future[0] and[0] the[0] evilo[-2] in[0] the[0] world[0] as[0] a[0] story[0] it[0] is[0] very[0] confusing[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and dragging . 	and dragging .	1	-1	 and[0] dragging[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i know a movie isn''t keeping my interest when i fidget in my seat or feel the need to look at my watch only to find that it's only been an hour passed . 	i know a movie isn''t keeping my interest when i fidget in my seat or feel the need to look at my watch only to find that it's only been an hour passed .	2	-2	 i[0] know[0] a[0] movie[0] isn''t[0] keeping[0] my[0] interest[1] when[0] i[0] fidget[-1] in[0] my[0] seat[0] or[0] feel[0] the[0] need[0] to[0] look[0] at[0] my[0] watch[0] only[0] to[0] find[0] that[0] it's[0] only[0] been[0] an[0] hour[0] passed[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
terry gilliam has a certain style that i realize many appreciate , and i haven't watched his previous work brazil , but this movie felt like it took too long to tell and yet when one realizes the end is near because it is very easy to figure out , you wish it were more complex , and not to mention that the movie is depressing is the only reason why it did invoke emotion from me . 	terry gilliam has a certain style that i realize many appreciate , and i haven't watched his previous work brazil , but this movie felt like it took too long to tell and yet when one realizes the end is near because it is very easy to figure out , you wish it were more complex , and not to mention that the movie is depressing is the only reason why it did invoke emotion from me .	2	-4	 terry[0] gilliam[0] has[0] a[0] certain[0] style[0] that[0] i[0] realize[0] many[0] appreciate[1] and[0] i[0] haven't[0] watched[0] his[0] previous[0] work[0] brazil[0] but[0] this[0] movie[0] felt[0] like[1] it[0] took[0] too[0] long[0] to[0] tell[0] and[0] yet[0] when[0] one[0] realizes[0] the[0] end[0] is[0] near[0] because[0] it[0] is[0] very[0] easy[0] to[0] figure[0] out[0] you[0] wish[0] it[0] were[0] more[0] complex[0] and[0] not[0] to[0] mention[0] that[0] the[0] movie[0] is[0] depressing[-3] is[0] the[0] only[0] reason[0] why[0] it[0] did[0] invoke[0] emotion[0] from[0] me[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
