i wont even pretend that i have seen the other 3 alien films . 	Translation	Positive	Negative	EmotionRationale
i saw glimpses of alien and aliens and fragments of alien 3 , but i have by no means actually sat down and watched any of them . 	i saw glimpses of alien and aliens and fragments of alien 3 , but i have by no means actually sat down and watched any of them .	1	-2	 i[0] saw[0] glimpses[0] of[0] alien[-1] and[0] aliens[0] and[0] fragments[0] of[0] alien[-1] 3[0] but[0] i[0] have[0] by[0] no[0] means[0] actually[0] sat[0] down[0] and[0] watched[0] any[0] of[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so take my opinion from an unbiased and impartial perspective : alien resurrection is not worth the large bag of lollies i was munching into after a hard day s work . 	so take my opinion from an unbiased and impartial perspective : alien resurrection is not worth the large bag of lollies i was munching into after a hard day s work .	1	-2	 so[0] take[0] my[0] opinion[0] from[0] an[0] unbiased[0] and[0] impartial[0] perspective[0] alien[-1] resurrection[0] is[0] not[0] worth[0] the[0] large[0] bag[0] of[0] lollies[0] i[0] was[0] munching[0] into[0] after[0] a[0] hard[0] day[0] s[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i didn t just dislike it so much because the plot was awful ; most of the acting was very average or the special effects got tiresome after 5 minutes of painful viewing   but also the fact that every tedious ingredient thrown in attempts to give this pointless dribble some meaning . 	i didn t just dislike it so much because the plot was awful ; most of the acting was very average or the special effects got tiresome after 5 minutes of painful viewing   but also the fact that every tedious ingredient thrown in attempts to give this pointless dribble some meaning .	2	-4	 i[0] didn[0] t[0] just[0] dislike[-2][--1 LastWordBoosterStrength] it[0] so[0] much[0] because[0] the[0] plot[0] was[0] awful[-3] most[0] of[0] the[0] acting[0] was[0] very[0] average[0] or[0] the[0] special[1] effects[0] got[0] tiresome[-1] after[0] 5[0] minutes[0] of[0] painful[-3] viewing[0] but[0] also[0] the[0] fact[0] that[0] every[0] tedious[-2] ingredient[0] thrown[0] in[0] attempts[0] to[0] give[0] this[0] pointless[-1] dribble[0] some[0] meaning[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
sigourney weaver , who s role in alien earned her an academy award nomination , plays the character of  ripley ,   who died fighting against extraterrestrial scum in alien 3 . 200 years later , scientists  use a sample of blood found at the site of her death to recreate ripley - including the alien that was stuck inside her . 	sigourney weaver , who s role in alien earned her an academy award nomination , plays the character of  ripley ,   who died fighting against extraterrestrial scum in alien 3 .<br> 200 years later , scientists  use a sample of blood found at the site of her death to recreate ripley - including the alien that was stuck inside her .	2	-3	 sigourney[0] weaver[0] who[0] s[0] role[0] in[0] alien[-1] earned[0] her[0] an[0] academy[0] award[0] nomination[0] plays[1] the[0] character[0] of[0] ripley[0] who[0] died[0] fighting[-2] against[-1] extraterrestrial[0] scum[-2] in[0] alien[-1] 3[0] [[Sentence=-3,2=word max, 1-5]] 200[0] years[0] later[0] scientists[0] use[0] a[0] sample[0] of[0] blood[0] found[0] at[0] the[0] site[0] of[0] her[0] death[-2] to[0] recreate[0] ripley[0] including[0] the[0] alien[-1] that[0] was[0] stuck[0] inside[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
in no time they remove the alien from her body and separate the two ; yet ripley is now not completely human , possessing strange amounts of strength and being able to withhold greater pain than a normal being . 	in no time they remove the alien from her body and separate the two ; yet ripley is now not completely human , possessing strange amounts of strength and being able to withold greater pain than a normal being .	3	-4	 in[0] no[0] time[0] they[0] remove[0] the[0] alien[-1] from[0] her[0] body[0] and[0] separate[0] the[0] two[0] yet[0] ripley[0] is[0] now[0] not[0] completely[0] human[0] possessing[0] strange[0] amounts[0] of[0] strength[0] and[0] being[0] able[0] to[0] withhold/withold[0] greater[2] pain[-3] than[0] a[0] normal[0] being[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i m sure someone can explain exactly why this is so , but for now we ll just ignore it and move on . 	i m sure someone can explain exactly why this is so , but for now we ll just ignore it and move on .	1	-1	 i[0] m[0] sure[0] someone[0] can[0] explain[0] exactly[0] why[0] this[0] is[0] so[0] but[0] for[0] now[0] we[0] ll[0] just[0] ignore[0] it[0] and[0] move[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why , you ask , would ripley and the alien inside her be recreated ? 	why , you ask , would ripley and the alien inside her be recreated ?	1	-2	 why[0] you[0] ask[0] would[0] ripley[0] and[0] the[0] alien[-1] inside[0] her[0] be[0] recreated[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , the smart little lab researchers believed that they would be able to discover many advancements in science from studying the alien creature . 	well , the smart little lab researchers believed that they would be able to discover many advancements in science from studying the alien creature .	2	-2	 well[0] the[0] smart[1] little[0] lab[0] researchers[0] believed[0] that[0] they[0] would[0] be[0] able[0] to[0] discover[0] many[0] advancements[0] in[0] science[0] from[0] studying[0] the[0] alien[-1] creature[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these were the same people who said they could control the alien and that their was no danger in their research . 	these were the same people who said they could control the alien and that their was no danger in their research .	1	-2	 these[0] were[0] the[0] same[0] people[0] who[0] said[0] they[0] could[0] control[0] the[0] alien[-1] and[0] that[0] their[0] was[0] no[0] danger[-1] in[0] their[0] research[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they ( yawn ) were wrong . 	they ( yawn ) were wrong .	1	-2	 they[0] yawn[-1] were[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it doesn t take a genius to figure out that the rest of the film is a continuous cat and mouse chase between the humans who die off one by one and the aliens who open their mouths on every possible occasion to show off their frightfully scary un-flossed teeth . 	it doesn t take a genius to figure out that the rest of the film is a continuous cat and mouse chase between the humans who die off one by one and the aliens who open their mouths on every possible occasion to show off their frightfully scary un-flossed teeth .	1	-5	 it[0] doesn[0] t[0] take[0] a[0] genius[0] to[0] figure[0] out[0] that[0] the[0] rest[0] of[0] the[0] film[0] is[0] a[0] continuous[0] cat[0] and[0] mouse[0] chase[-1] between[0] the[0] humans[0] who[0] die[0] off[0] one[0] by[0] one[0] and[0] the[0] aliens[0] who[0] open[0] their[0] mouths[0] on[0] every[0] possible[0] occasion[0] to[0] show[0] off[0] their[0] frightfully[-3] scary[-3][-1 MultiplePositiveWords] un[0] flossed[0] teeth[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
there s a little saying that goes something like this :  if you re going to make a bad film , do it well .   	there s a little saying that goes something like this :  if you re going to make a bad film , do it well .<br>  	2	-2	 there[0] s[0] a[0] little[0] saying[0] that[0] goes[0] something[0] like[1] this[0] if[0] you[0] re[0] going[0] to[0] make[0] a[0] bad[-1] film[0] do[0] it[0] well[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i have seen plenty of disappointing and underachieving movies , but they are not the ones that really bother me . 	i have seen plenty of disappointing and underachieving movies , but they are not the ones that really bother me .	1	-3	 i[0] have[0] seen[0] plenty[0] of[0] disappointing[-1] and[0] underachieving[0] movies[0] but[0] they[0] are[0] not[0] the[0] ones[0] that[0] really[0] bother[-1][-1 LastWordBoosterStrength] me[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
alien resurrection , a good example of a film that really gets up my nose , is not so much a discouraging experience but an off putting one . 	alien resurrection , a good example of a film that really gets up my nose , is not so much a discouraging experience but an off putting one .	2	-2	 alien[-1] resurrection[0] a[0] good[1] example[0] of[0] a[0] film[0] that[0] really[0] gets[0] up[0] my[0] nose[0] is[0] not[0] so[0] much[0] a[0] discouraging[-1] experience[0] but[0] an[0] off[0] putting[0] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is no way to describe why the australian ma rating was given to this film other than unnecessary and repulsive gore , which attempts to distract us from the wandering-but-not-going-anywhere plot . 	there is no way to describe why the australian ma rating was given to this film other than unnecessary and repulsive gore , which attempts to distract us from the wandering-but-not-going-anywhere plot .	1	-4	 there[0] is[0] no[0] way[0] to[0] describe[0] why[0] the[0] australian[0] ma[0] rating[0] was[0] given[0] to[0] this[0] film[0] other[0] than[0] unnecessary[-1] and[0] repulsive[-3] gore[0] which[0] attempts[0] to[0] distract[-1] us[0] from[0] the[0] wandering[0] but[0] not[0] going[0] anywhere[0] plot[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in one scene my stomach churned as i witnessed a mawkish looking alien put its hand on a characters head and literally ripped most of his face off . 	in one scene my stomach churned as i witnessed a mawkish looking alien put its hand on a characters head and literally ripped most of his face off .	1	-2	 in[0] one[0] scene[0] my[0] stomach[0] churned[0] as[0] i[0] witnessed[0] a[0] mawkish[0] looking[0] alien[-1] put[0] its[0] hand[0] on[0] a[0] characters[0] head[0] and[0] literally[0] ripped[0] most[0] of[0] his[0] face[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another one featured ripley sticking a knife through her hand just to impress someone she was talking to . 	another one featured ripley sticking a knife through her hand just to impress someone she was talking to .	2	-2	 another[0] one[0] featured[0] ripley[0] sticking[0] a[0] knife[-1] through[0] her[0] hand[0] just[0] to[0] impress[1] someone[0] she[0] was[0] talking[0] to[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
fair enough if it were in a horror film or even if it bared any significance to the story , but this is unfortunately not the case , and this sort of bizarre gore is inexcusable . 	fair enough if it were in a horror film or even if it bared any significance to the story , but this is unfortunately not the case , and this sort of bizarre gore is inexcusable .	1	-4	 fair[0] enough[0] if[0] it[0] were[0] in[0] a[0] horror[-3] film[0] or[0] even[0] if[0] it[0] bared[0] any[0] significance[0] to[0] the[0] story[0] but[0] this[0] is[0] unfortunately[-1] not[0] the[0] case[0] and[0] this[0] sort[0] of[0] bizarre[-1] gore[0] is[0] inexcusable[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if you think i m struggling to find one good aspect about the film , then you thought right . 	if you think i m struggling to find one good aspect about the film , then you thought right .	2	-2	 if[0] you[0] think[0] i[0] m[0] struggling[-1] to[0] find[0] one[0] good[1] aspect[0] about[0] the[0] film[0] then[0] you[0] thought[0] right[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
