several days after having seen this movie , i'm still trying to determine what director christopher guest , a man whose sense of humor i usually appreciate , found funny in either the concept or the execution of almost heroes . 	Translation	Positive	Negative	EmotionRationale
this is a dreadful motion picture ? a lowbrow example of period piece comedy with terrible production values and an exceptionally poor laughs-to-jokes ratio . 	this is a dreadful motion picture ?<br> a lowbrow example of period piece comedy with terrible production values and an exceptionally poor laughs-to-jokes ratio .	2	-4	 this[0] is[0] a[0] dreadful[-3] motion[0] picture[0] [[Sentence=-4,1=word max, 1-5]] a[0] lowbrow[-1] example[0] of[0] period[0] piece[0] comedy[0] with[0] terrible[-3] production[0] values[1] and[0] an[0] exceptionally[0] poor[-1] laughs[1] to[0] jokes[1] ratio[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
there's a kind of desperation in the movie's approach to humor that reveals the film makers' uncertainty about how entertaining the material is ; the manic style betrays itself as a last-ditch attempt to hide the flaws of a failed script . 	there's a kind of desperation in the movie's approach to humor that reveals the film makers' uncertainty about how entertaining the material is ; the manic style betrays itself as a last-ditch attempt to hide the flaws of a failed script .	3	-3	 there's[0] a[0] kind[1] of[0] desperation[-2] in[0] the[0] movie's[0] approach[0] to[0] humor[2] that[0] reveals[0] the[0] film[0] makers'[0] uncertainty[0] about[0] how[0] entertaining[0] the[0] material[0] is[0] the[0] manic[0] style[0] betrays[-2] itself[0] as[0] a[0] last[0] ditch[0] attempt[0] to[0] hide[0] the[0] flaws[0] of[0] a[0] failed[-2] script[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the premise doesn't sound especially amusing to begin with ? almost heroes tells the tale of two explorers , the effeminate leslie edwards ( matthew perry ) and the uncouth bartholomew hunt ( chris farley ) , who are racing lewis and clark on the trip to the american northwest . 	the premise doesn't sound especially amusing to begin with ?<br> almost heroes tells the tale of two explorers , the effeminate leslie edwards ( matthew perry ) and the uncouth bartholomew hunt ( chris farley ) , who are racing lewis and clark on the trip to the american northwest .	3	-2	 the[0] premise[0] doesn't[0] sound[0] especially[0] amusing[1][1 LastWordBoosterStrength] to[0] begin[0] with[0] [[Sentence=-1,3=word max, 1-5]] almost[0] heroes[2] tells[0] the[0] tale[0] of[0] two[0] explorers[0] the[0] effeminate[0] leslie[0] edwards[0] matthew[0] perry[0] and[0] the[0] uncouth[-1] bartholomew[0] hunt[0] chris[0] farley[0] who[0] are[0] racing[0] lewis[0] and[0] clark[0] on[0] the[0] trip[0] to[0] the[0] american[0] northwest[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
edwards and hunt are accompanied by the kinds of weirdoes we find in road movies ( albeit of the early-19th century variety ) , including a frenchman named guy fontenot who claims to speak hundreds of languages ( none of which prove to be useful ) , a pretty indian maiden who turns into the obligatory love interest , and a bizarre man who suffers a series of debilitating injuries . 	edwards and hunt are accompanied by the kinds of weirdoes we find in road movies ( albeit of the early-19th century variety ) , including a frenchman named guy fontenot who claims to speak hundreds of languages ( none of which prove to be useful ) , a pretty indian maiden who turns into the obligatory love interest , and a bizarre man who suffers a series of debilitating injuries .	3	-4	 edwards[0] and[0] hunt[0] are[0] accompanied[0] by[0] the[0] kinds[0] of[0] weirdoes[-1] we[0] find[0] in[0] road[0] movies[0] albeit[0] of[0] the[0] early[0] -19th[0] century[0] variety[0] including[0] a[0] frenchman[0] named[0] guy[0] fontenot[0] who[0] claims[0] to[0] speak[0] hundreds[0] of[0] languages[0] none[0] of[0] which[0] prove[0] to[0] be[0] useful[1] a[0] pretty[2] indian[0] maiden[0] who[0] turns[0] into[0] the[0] obligatory[0] love[2] interest[1] and[0] a[0] bizarre[-1] man[0] who[0] suffers[-3] a[0] series[0] of[0] debilitating[0] injuries[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
along the way , the intrepid explorers encounter bears , bald eagles , aging native american warriors , and a conquistador named hildago ( kevin dunn ) who raves about his beautiful hair . 	along the way , the intrepid explorers encounter bears , bald eagles , aging native american warriors , and a conquistador named hildago ( kevin dun ) who raves about his beautiful hair .	3	-1	 along[0] the[0] way[0] the[0] intrepid[0] explorers[0] encounter[0] bears[0] bald[0] eagles[0] aging[0] native[0] american[0] warriors[0] and[0] a[0] conquistador[0] named[0] hildago[0] kevin[0] dunn/dun[0] who[0] raves[0] about[0] his[0] beautiful[2] hair[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the explorers' trek takes them through forests , across the snow-capped rocky mountains , and over a waterfall . 	the explorers' trek takes them through forests , across the snow-capped rocky mountains , and over a waterfall .	1	-1	 the[0] explorers'[0] trek[0] takes[0] them[0] through[0] forests[0] across[0] the[0] snow[0] capped[0] rocky[0] mountains[0] and[0] over[0] a[0] waterfall[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this setup leads to a lot of shouting , a great deal of lunacy , and very few laughs . 	this setup leads to a lot of shouting , a great deal of lunacy , and very few laughs .	3	-1	 this[0] setup[0] leads[0] to[0] a[0] lot[0] of[0] shouting[0] a[0] great[2] deal[0] of[0] lunacy[0] and[0] very[0] few[0] laughs[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
farley engages in his usual shtick of falling down and bellowing , but , aside from an momentarily diverting confrontation with an eagle , his heart doesn't seem to be in it . 	farley engages in his usual shtick of falling down and bellowing , but , aside from an momentarily diverting confrontation with an eagle , his heart doesn't seem to be in it .	1	-3	 farley[0] engages[0] in[0] his[0] usual[0] shtick[0] of[0] falling[0] down[0] and[0] bellowing[0] but[0] aside[0] from[0] an[0] momentarily[0] diverting[0] confrontation[-2] with[0] an[0] eagle[0] his[0] heart[0] doesn't[0] seem[0] to[0] be[0] in[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
matthew perry , one of the stars of tv's friends ( who had some modest success in the romantic comedy , fools rush in ) is badly miscast . 	matthew perry , one of the stars of tv's friends ( who had some modest success in the romantic comedy , fools rush in ) is badly miscast .	4	-2	 matthew[0] perry[0] one[0] of[0] the[0] stars[0] of[0] tv's[0] friends[1] who[0] had[0] some[0] modest[0] success[2] in[0] the[0] romantic[3] comedy[0] fools[-1] rush[0] in[0] is[0] badly[-1] miscast[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
as a foil for farley and an antidote to his runaway energy , perry lacks the necessary edge of the proverbial straight man . 	as a foil for farley and an antidote to his runaway energy , perry lacks the necessary edge of the proverbial straight man .	1	-2	 as[0] a[0] foil[0] for[0] farley[0] and[0] an[0] antidote[0] to[0] his[0] runaway[-1] energy[0] perry[0] lacks[0] the[0] necessary[0] edge[0] of[0] the[0] proverbial[0] straight[0] man[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm not a big fan of david spade , and i didn't like tommy boy , but at least he and farley worked well together . 	i'm not a big fan of david spade , and i didn't like tommy boy , but at least he and farley worked well together .	2	-1	 i'm[0] not[0] a[0] big[0] fan[0] of[0] david[0] spade[0] and[0] i[0] didn't[0] like[1] tommy[0] boy[0] but[0] at[0] least[0] he[0] and[0] farley[0] worked[0] well[0] together[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as far as the supporting players go , none of them makes more than a fleeting impression . 	as far as the supporting players go , none of them makes more than a fleeting impression .	2	-2	 as[0] far[0] as[0] the[0] supporting[1] players[0] go[0] none[0] of[0] them[0] makes[0] more[0] than[0] a[0] fleeting[-1] impression[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eugene levy is wasted , and kevin dunn is about as interesting here as he is in godzilla . 	eugene levy is wasted , and kevin dun is about as interesting here as he is in godzilla .	2	-2	 eugene[0] levy[0] is[0] wasted[-1] and[0] kevin[0] dunn/dun[0] is[0] about[0] as[0] interesting[1] here[0] as[0] he[0] is[0] in[0] godzilla[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
frankly , it's a disappointment to see something this dumb and ugly come from christopher guest , the brilliant comic force behind such films as this is spinal tap , the big picture , and waiting for guffman . 	frankly , it's a disappointment to see something this dumb and ugly come from christopher guest , the brilliant comic force behind such films as this is spinal tap , the big picture , and waiting for guffman .	2	-3	 frankly[0] it's[0] a[0] disappointment[-1] to[0] see[0] something[0] this[0] dumb[-1] and[0] ugly[-2] come[0] from[0] christopher[0] guest[0] the[0] brilliant[1] comic[0] force[-1] behind[0] such[0] films[0] as[0] this[0] is[0] spinal[0] tap[0] the[0] big[0] picture[0] and[0] waiting[0] for[0] guffman[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
although guest gets the costumes right , this nearly-inconsequential success is no substitute for the weak script and unfunny execution . 	although guest gets the costumes right , this nearly-inconsequential success is no substitute for the weak script and unfunny execution .	3	-2	 although[0] guest[0] gets[0] the[0] costumes[0] right[0] this[0] nearly[0] inconsequential[0] success[2] is[0] no[0] substitute[0] for[0] the[0] weak[-1] script[0] and[0] unfunny[0] execution[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the special effects , such as they are , are execrable . 	the special effects , such as they are , are execrable .	2	-1	 the[0] special[1] effects[0] such[0] as[0] they[0] are[0] are[0] execrable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for an example of some really poor blue screen work , look at the scenes where the characters are shooting the rapids ( they're obviously getting buckets of water thrown on them ) and where farley is being carried off by an eagle . 	for an example of some really poor blue screen work , look at the scenes where the characters are shooting the rapids ( they're obviously getting buckets of water thrown on them ) and where farley is being carried off by an eagle .	1	-3	 for[0] an[0] example[0] of[0] some[0] really[0] poor[-1][-1 LastWordBoosterStrength] blue[0] screen[0] work[0] look[0] at[0] the[0] scenes[0] where[0] the[0] characters[0] are[0] shooting[-1] the[0] rapids[0] they're[0] obviously[0] getting[0] buckets[0] of[0] water[0] thrown[0] on[0] them[0] and[0] where[0] farley[0] is[0] being[0] carried[0] off[0] by[0] an[0] eagle[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
