 " meg ryan is irresistible in the comedy that celebrates sisterhood ! , " 	Translation	Positive	Negative	EmotionRationale
screams the television ads for " hanging up , " disastrously written by real-life sisters delia and nora ephron and sloppily directed by diane keaton . 	screams the television ads for " hanging up , " disastrously written by real-life sisters delia and nora ephron and sloppily directed by diane keaton .	1	-4	 screams[-3] the[0] television[0] ads[0] for[0] hanging[0] up[0] disastrously[-3] written[0] by[0] real[0] life[0] sisters[0] delia[0] and[0] nora[0] ephron[0] and[0] sloppily[0] directed[0] by[0] diane[0] keaton[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
make me laugh again ! 	make me laugh again !	2	-1	 make[0] me[0] laugh[1] again[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not only is " hanging up " misadvertised , since the film wholeheartedly focuses on middle sister meg ryan and gives her two co-stars , lisa kudrow and diane keaton , little more than extended cameos , but they don't actually come together until the final ten to fifteen minutes . 	not only is " hanging up " misadvertised , since the film wholeheartedly focuses on middle sister meg ryan and gives her two co-stars , lisa kudrow and diane keaton , little more than extended cameos , but they don't actually come together until the final ten to fifteen minutes .	1	-1	 not[0] only[0] is[0] hanging[0] up[0] misadvertised[0] since[0] the[0] film[0] wholeheartedly[0] focuses[0] on[0] middle[0] sister[0] meg[0] ryan[0] and[0] gives[0] her[0] two[0] co[0] stars[0] lisa[0] kudrow[0] and[0] diane[0] keaton[0] little[0] more[0] than[0] extended[0] cameos[0] but[0] they[0] don't[0] actually[0] come[0] together[0] until[0] the[0] final[0] ten[0] to[0] fifteen[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and we are supposed to believe their strong bond , and smile in the last scene when they rekindle their rocky relationship , despite them being apart for the majority of the running time ? 	and we are supposed to believe their strong bond , and smile in the last scene when they rekindle their rocky relationship , despite them being apart for the majority of the running time ?	3	-1	 and[0] we[0] are[0] supposed[0] to[0] believe[0] their[0] strong[0] bond[0] and[0] smile[2] in[0] the[0] last[0] scene[0] when[0] they[0] rekindle[0] their[0] rocky[0] relationship[0] despite[0] them[0] being[0] apart[0] for[0] the[0] majority[0] of[0] the[0] running[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
excuse me , again , while i almost bust a gut at that truly delusional notion . 	excuse me , again , while i almost bust a gut at that truly delusional notion .	2	-2	 excuse[0] me[0] again[0] while[0] i[0] almost[0] bust[0] a[0] gut[0] at[0] that[0] truly[1] delusional[-1] notion[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eve marks ( meg ryan ) is the middle mozzell sister , still living in the california town where she grew up , and with a husband ( adam arkin ) and pre-teen son ( jesse james ) . 	eve marks ( meg ryan ) is the middle mozell sister , still living in the california town where she grew up , and with a husband ( adam arkin ) and pre-teen son ( jesse james ) .	1	-1	 eve[0] marks[0] meg[0] ryan[0] is[0] the[0] middle[0] mozzell/mozell[0] sister[0] still[0] living[0] in[0] the[0] california[0] town[0] where[0] she[0] grew[0] up[0] and[0] with[0] a[0] husband[0] adam[0] arkin[0] and[0] pre[0] teen[0] son[0] jesse[0] james[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her elderly , wisecracking father , lou ( walter matthau , in his brightest performance in years ) has just recently been put into the hospital , in the final stages of what i assume is alzheimer's ( even though the film never enlightens us on exactly what is wrong with him ) . 	her elderly , wisecracking father , lou ( walter matthau , in his brightest performance in years ) has just recently been put into the hospital , in the final stages of what i assume is alzheimer's ( even though the film never enlightens us on exactly what is wrong with him ) .	1	-2	 her[0] elderly[0] wisecracking[0] father[0] lou[0] walter[0] matthau[0] in[0] his[0] brightest[0] performance[0] in[0] years[0] has[0] just[0] recently[0] been[0] put[0] into[0] the[0] hospital[0] in[0] the[0] final[0] stages[0] of[0] what[0] i[0] assume[0] is[0] alzheimer's[0] even[0] though[0] the[0] film[0] never[0] enlightens[0] us[0] on[0] exactly[0] what[0] is[0] wrong[-1] with[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while eve's relationship with her mother ( cloris leachman ) is nearly nonexistent , since she ran out on lou and her children years ago , she has had her fair share of up's and down's with lou , who used to be an alcoholic . 	while eve's relationship with her mother ( cloris leachman ) is nearly nonexistent , since she ran out on lou and her children years ago , she has had her fair share of up's and down's with lou , who used to be an alcoholic .	1	-1	 while[0] eve's[0] relationship[0] with[0] her[0] mother[0] cloris[0] leachman[0] is[0] nearly[0] nonexistent[0] since[0] she[0] ran[0] out[0] on[0] lou[0] and[0] her[0] children[0] years[0] ago[0] she[0] has[0] had[0] her[0] fair[0] share[0] of[0] up's[0] and[0] down's[0] with[0] lou[0] who[0] used[0] to[0] be[0] an[0] alcoholic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her older sister is georgia ( diane keaton ) , an editor for the self-titled magazine , " georgia , " while maddy ( lisa kudrow ) is the youngest , a soap opera actress . 	her older sister is georgia ( diane keaton ) , an editor for the self-titled magazine , " georgia , " while maddy ( lisa kudrow ) is the youngest , a soap opera actress .	1	-1	 her[0] older[0] sister[0] is[0] georgia[0] diane[0] keaton[0] an[0] editor[0] for[0] the[0] self[0] titled[0] magazine[0] georgia[0] while[0] maddy[0] lisa[0] kudrow[0] is[0] the[0] youngest[0] a[0] soap[0] opera[0] actress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
interestingly , their professions are given , but we not once ever see them working at their jobs , or , for that matter , learn much of anything about them . 	interestingly , their professions are given , but we not once ever see them working at their jobs , or , for that matter , learn much of anything about them .	2	-1	 interestingly[1] their[0] professions[0] are[0] given[0] but[0] we[0] not[0] once[0] ever[0] see[0] them[0] working[0] at[0] their[0] jobs[0] or[0] for[0] that[0] matter[0] learn[0] much[0] of[0] anything[0] about[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
