a highly intelligent life form that is completely electronic in nature , beams itself onto a russian science vessel . 	Translation	Positive	Negative	EmotionRationale
well , this is the point where the movie strays from becoming a decent and original movie and simply becomes a predictable sci-fi thriller . 	well , this is the point where the movie strays from becoming a decent and original movie and simply becomes a predictable sci-fi thriller .	2	-1	 well[0] this[0] is[0] the[0] point[0] where[0] the[0] movie[0] strays[0] from[0] becoming[0] a[0] decent[0] and[0] original[0] movie[0] and[0] simply[0] becomes[0] a[0] predictable[0] sci[0] fi[0] thriller[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
anyhow , this life form takes control of the computers on the russian vessel then starts creating highly advanced robots to help it in its gruesome task of exterminating the ? virus' known as man . 	anyhow , this life form takes control of the computers on the russian vessel then starts creating highly advanced robots to help it in its gruesome task of exterminating the ?<br> virus' known as man .	1	-2	 anyhow[0] this[0] life[0] form[0] takes[0] control[0] of[0] the[0] computers[0] on[0] the[0] russian[0] vessel[0] then[0] starts[0] creating[0] highly[0] advanced[0] robots[0] to[0] help[0] it[0] in[0] its[0] gruesome[0] task[0] of[0] exterminating[-1] the[0] [[Sentence=-2,1=word max, 1-5]] virus'[0] known[0] as[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
the original crew of the russian vessel is all but exterminated , and then a hapless crew on a tug discovers the derelict ship and tries to salvage it . 	the original crew of the russian vessel is all but exterminated , and then a hapless crew on a tug discovers the derelict ship and tries to salvage it .	1	-2	 the[0] original[0] crew[0] of[0] the[0] russian[0] vessel[0] is[0] all[0] but[0] exterminated[-1] and[0] then[0] a[0] hapless[-1] crew[0] on[0] a[0] tug[0] discovers[0] the[0] derelict[0] ship[0] and[0] tries[0] to[0] salvage[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no more needs to be said as to what happens and where the conflict lies , the movie is that predictable . 	no more needs to be said as to what happens and where the conflict lies , the movie is that predictable .	1	-3	 no[0] more[0] needs[0] to[0] be[0] said[0] as[0] to[0] what[0] happens[0] and[0] where[0] the[0] conflict[-1] lies[-2] the[0] movie[0] is[0] that[0] predictable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story is full of very shallow characters that don't do much other than subsist . 	the story is full of very shallow characters that don't do much other than subsist .	1	-3	 the[0] story[0] is[0] full[0] of[0] very[0] shallow[-1][-1 LastWordBoosterStrength] characters[0] that[0] don't[0] do[0] much[0] other[0] than[0] subsist[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the captain of the tug , played by donald sutherland , makes irrational choice after irrational choice leaving the audience wondering as to how he has survived long enough to reach his age ( looks to be in his 60's ) . 	the captain of the tug , played by donald sutherland , makes irrational choice after irrational choice leaving the audience wondering as to how he has survived long enough to reach his age ( looks to be in his 60's ) .	1	-3	 the[0] captain[0] of[0] the[0] tug[0] played[0] by[0] donald[0] sutherland[0] makes[0] irrational[-2] choice[0] after[0] irrational[-2] choice[0] leaving[0] the[0] audience[0] wondering[0] as[0] to[0] how[0] he[0] has[0] survived[0] long[0] enough[0] to[0] reach[0] his[0] age[0] looks[0] to[0] be[0] in[0] his[0] 60's[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to add to this we're shown this motley crew that at times seems to be highly skilled in specific fields , and at others seems barely capable of basic tasks . 	to add to this we're shown this motley crew that at times seems to be highly skilled in specific fields , and at others seems barely capable of basic tasks .	1	-2	 to[0] add[0] to[0] this[0] we're[0] shown[0] this[0] motley[-1] crew[0] that[0] at[0] times[0] seems[0] to[0] be[0] highly[0] skilled[0] in[0] specific[0] fields[0] and[0] at[0] others[0] seems[0] barely[0] capable[0] of[0] basic[0] tasks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some of the supposed capabilities of the characters leads one to wonder what they are doing on a tug transporting cargo in the middle of the pacific , in a typhoon no less . 	some of the supposed capabilities of the characters leads one to wonder what they are doing on a tug transporting cargo in the middle of the pacific , in a typhoon no less .	1	-1	 some[0] of[0] the[0] supposed[0] capabilities[0] of[0] the[0] characters[0] leads[0] one[0] to[0] wonder[0] what[0] they[0] are[0] doing[0] on[0] a[0] tug[0] transporting[0] cargo[0] in[0] the[0] middle[0] of[0] the[0] pacific[0] in[0] a[0] typhoon[0] no[0] less[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
none of the characters seem to work together at all ; they are always bickering and vying for some form of control . 	none of the characters seem to work together at all ; they are always bickering and vying for some form of control .	1	-1	 none[0] of[0] the[0] characters[0] seem[0] to[0] work[0] together[0] at[0] all[0] they[0] are[0] always[0] bickering[0] and[0] vying[0] for[0] some[0] form[0] of[0] control[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this makes no sense what so ever and only takes away from the story , a story that is full of holes and is extremely predictable . 	this makes no sense what so ever and only takes away from the story , a story that is full of holes and is extremely predictable .	1	-1	 this[0] makes[0] no[0] sense[0] what[0] so[0] ever[0] and[0] only[0] takes[0] away[0] from[0] the[0] story[0] a[0] story[0] that[0] is[0] full[0] of[0] holes[0] and[0] is[0] extremely[0] predictable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all the flaws of the actual story are only helped along by the special effects . 	all the flaws of the actual story are only helped along by the special effects .	2	-1	 all[0] the[0] flaws[0] of[0] the[0] actual[0] story[0] are[0] only[0] helped[0] along[0] by[0] the[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the waves that are generated to be part of the typhoon make it look like boat was is small model sitting in a tub and someone is simply creating waves . 	the waves that are generated to be part of the typhoon make it look like boat was is small model sitting in a tub and someone is simply creating waves .	2	-1	 the[0] waves[0] that[0] are[0] generated[0] to[0] be[0] part[0] of[0] the[0] typhoon[0] make[0] it[0] look[0] like[1] boat[0] was[0] is[0] small[0] model[0] sitting[0] in[0] a[0] tub[0] and[0] someone[0] is[0] simply[0] creating[0] waves[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it looks genuinely fake , granted trying to recreate a typhoon or hurricane cannot be easy by any stretch of the imagination but having the storm approach in a style similar to the huge wave of deep impact only ends up looking corny and amateurish . 	it looks genuinely fake , granted trying to recreate a typhoon or hurricane cannot be easy by any stretch of the imagination but having the storm approach in a style similar to the huge wave of deep impact only ends up looking corny and amateurish .	1	-2	 it[0] looks[0] genuinely[0] fake[-1] granted[0] trying[0] to[0] recreate[0] a[0] typhoon[0] or[0] hurricane[0] cannot[0] be[0] easy[0] by[0] any[0] stretch[0] of[0] the[0] imagination[0] but[0] having[0] the[0] storm[-1] approach[0] in[0] a[0] style[0] similar[0] to[0] the[0] huge[0] wave[0] of[0] deep[0] impact[0] only[0] ends[0] up[0] looking[0] corny[0] and[0] amateurish[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
