cradle will rock is the latest effort from director/actor tim robbins . 	Translation	Positive	Negative	EmotionRationale
while he may have had an oscar worthy film back in 1995 ( dead man walking ) , he gets a little overconfident and sloppy here . 	while he may have had an oscar worthy film back in 1995 ( dead man walking ) , he gets a little overconfident and sloppy here .	1	-3	 while[0] he[0] may[0] have[0] had[0] an[0] oscar[0] worthy[0] film[0] back[0] in[0] 1995[0] dead[-2] man[0] walking[0] he[0] gets[0] a[0] little[0] overconfident[0] and[0] sloppy[-1] here[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story is confusing , and filled with many subplots , so i'll try my best and explain it as simply as possible . 	the story is confusing , and filled with many subplots , so i'll try my best and explain it as simply as possible .	2	-2	 the[0] story[0] is[0] confusing[-1] and[0] filled[0] with[0] many[0] subplots[0] so[0] i'll[0] try[0] my[0] best[1] and[0] explain[0] it[0] as[0] simply[0] as[0] possible[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film is based on a " mostly " true story about a federal theater in the 1930s , that produced a play ( the cradle will rock ) that apparently was offensive to some , so the government shuts it down . 	the film is based on a " mostly " true story about a federal theater in the 1930s , that produced a play ( the cradle will rock ) that apparently was offensive to some , so the government shuts it down .	2	-3	 the[0] film[0] is[0] based[0] on[0] a[0] mostly[0] true[1] story[0] about[0] a[0] federal[0] theater[0] in[0] the[0] 1930s[0] that[0] produced[0] a[0] play[0] the[0] cradle[0] will[0] rock[1] that[0] apparently[0] was[0] offensive[-2] to[0] some[0] so[0] the[0] government[0] shuts[0] it[0] down[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's during the time of the depression , and all this theater wants to do is entertain and cheer up those who do not have jobs , or are poor . 	it's during the time of the depression , and all this theater wants to do is entertain and cheer up those who do not have jobs , or are poor .	2	-4	 it's[0] during[0] the[0] time[0] of[0] the[0] depression[-3] and[0] all[0] this[0] theater[0] wants[0] to[0] do[0] is[0] entertain[0] and[0] cheer[1] up[0] those[0] who[0] do[0] not[0] have[0] jobs[0] or[0] are[0] poor[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
between this conflict lies what seems like 10 subplots , about those who work in theater , or those associated . 	between this conflict lies what seems like 10 subplots , about those who work in theater , or those associated .	2	-3	 between[0] this[0] conflict[-1] lies[-2] what[0] seems[0] like[1] 10[0] subplots[0] about[0] those[0] who[0] work[0] in[0] theater[0] or[0] those[0] associated[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
also along the way are some other messages mashed together to create an even more overwhelming experience . 	also along the way are some other messages mashed together to create an even more overwhelming experience .	1	-3	 also[0] along[0] the[0] way[0] are[0] some[0] other[0] messages[0] mashed[0] together[0] to[0] create[0] an[0] even[0] more[0] overwhelming[-2] experience[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
tim robbin's just keeps piling on political views , and characters , that we just give up on the film , or in some cases walk out . 	tim robbin's just keeps piling on political views , and characters , that we just give up on the film , or in some cases walk out .	1	-1	 tim[0] robbin's[0] just[0] keeps[0] piling[0] on[0] political[0] views[0] and[0] characters[0] that[0] we[0] just[0] give[0] up[0] on[0] the[0] film[0] or[0] in[0] some[0] cases[0] walk[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for robbin's it may be a nice achievement , but to me it seemed more like a friendly get together with slightly more sophisticated dialogue , and fancy outfits . 	for robbin's it may be a nice achievement , but to me it seemed more like a friendly get together with slightly more sophisticated dialogue , and fancy outfits .	2	-1	 for[0] robbin's[0] it[0] may[0] be[0] a[0] nice[1] achievement[0] but[0] to[0] me[0] it[0] seemed[0] more[0] like[1] a[0] friendly[1] get[0] together[0] with[0] slightly[0] more[0] sophisticated[0] dialogue[0] and[0] fancy[0] outfits[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i thought the main reason for seeing the film would be for the outstanding cast , unfortunately are all uninteresting , except for a few . 	i thought the main reason for seeing the film would be for the outstanding cast , unfortunately are all uninteresting , except for a few .	3	-2	 i[0] thought[0] the[0] main[0] reason[0] for[0] seeing[0] the[0] film[0] would[0] be[0] for[0] the[0] outstanding[2] cast[0] unfortunately[-1] are[0] all[0] uninteresting[0] except[0] for[0] a[0] few[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
let me recap what each important character does , so please bear with me ( it's the least you can do , especially if you were considering seeing this ) . 	let me recap what each important character does , so please bear with me ( it's the least you can do , especially if you were considering seeing this ) .	2	-1	 let[0] me[0] recap[0] what[0] each[0] important[0] character[0] does[0] so[0] please[1] bear[0] with[0] me[0] it's[0] the[0] least[0] you[0] can[0] do[0] especially[0] if[0] you[0] were[0] considering[0] seeing[0] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
