it used to be that not just anyone could become a vampire . 	Translation	Positive	Negative	EmotionRationale
usually , you had to be an aristocrat - a count such as dracula or karnstein . 	usually , you had to be an aristocrat - a count such as dracula or karnstein .	1	-1	 usually[0] you[0] had[0] to[0] be[0] an[0] aristocrat[0] a[0] count[0] such[0] as[0] dracula[0] or[0] karnstein[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to qualify , you'd have to have a modicum of sophistication , so you'd at least look cool - or suave - when biting into some young damsel's throat . 	to qualify , you'd have to have a modicum of sophistication , so you'd at least look cool - or suave - when biting into some young damsel's throat .	2	-1	 to[0] qualify[0] you'd[0] have[0] to[0] have[0] a[0] modicum[0] of[0] sophistication[0] so[0] you'd[0] at[0] least[0] look[0] cool[1] or[0] suave[0] when[0] biting[0] into[0] some[0] young[0] damsel's[0] throat[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but today , in our overly politically correct world , any scuzzy-looking , long-haired , unshaven lout or any spiked-haired harridans can put the bite on you . 	but today , in our overly politically correct world , any scuzy-looking , long-haired , unshaven lout or any spiked-haired harridans can put the bite on you .	1	-1	 but[0] today[0] in[0] our[0] overly[0] politically[0] correct[0] world[0] any[0] scuzzy/scuzy[0] looking[0] long[0] haired[0] unshaven[0] lout[0] or[0] any[0] spiked[0] haired[0] harridans[0] can[0] put[0] the[0] bite[0] on[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the same token , to be a vampire hunter , one had to have some sort of medical training and knowledge of the occult or maybe perhaps be some sort of professional soldier , or at least one who retired with honors . 	by the same token , to be a vampire hunter , one had to have some sort of medical training and knowledge of the occult or maybe perhaps be some sort of professional soldier , or at least one who retired with honors .	1	-2	 by[0] the[0] same[0] token[0] to[0] be[0] a[0] vampire[0] hunter[-1] one[0] had[0] to[0] have[0] some[0] sort[0] of[0] medical[0] training[0] and[0] knowledge[0] of[0] the[0] occult[0] or[0] maybe[0] perhaps[0] be[0] some[0] sort[0] of[0] professional[0] soldier[0] or[0] at[0] least[0] one[0] who[0] retired[-1] with[0] honors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not in these times . 	not in these times .	1	-1	 not[0] in[0] these[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all you need are some sharp weapons , some bullets forged from silver and any yahoo can be a buffy - or a blade . 	all you need are some sharp weapons , some bullets forged from silver and any yahoo can be a buffy - or a blade .	1	-2	 all[0] you[0] need[0] are[0] some[0] sharp[0] weapons[-1] some[0] bullets[-1][--1 LastWordBoosterStrength] forged[0] from[0] silver[0] and[0] any[0] yahoo[0] can[0] be[0] a[0] buffy[0] or[0] a[0] blade[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
without sounding elitist , the fear of vampires has greatly diminished because of this lack of exclusivity . 	without sounding elitist , the fear of vampires has greatly diminished because of this lack of exclusivity .	3	-4	 without[0] sounding[0] elitist[0] the[0] fear[-3] of[0] vampires[0] has[0] greatly[2] diminished[0] because[0] of[0] this[0] lack[-1] of[0] exclusivity[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
which brings us to blade , the latest in a long line of vampire movies in which , it seems , half the population is putting the bite on the other half . 	which brings us to blade , the latest in a long line of vampire movies in which , it seems , half the population is putting the bite on the other half .	1	-1	 which[0] brings[0] us[0] to[0] blade[0] the[0] latest[0] in[0] a[0] long[0] line[0] of[0] vampire[0] movies[0] in[0] which[0] it[0] seems[0] half[0] the[0] population[0] is[0] putting[0] the[0] bite[0] on[0] the[0] other[0] half[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not only are there thousands of vampires , but they seem to move from city to city , pay off police departments and , most importantly , establish their own exclusive after-hours raves in which the highlight is the sprinkler system going off and dousing all the occupants in a blood shower . 	not only are there thousands of vampires , but they seem to move from city to city , pay off police departments and , most importantly , establish their own exclusive after-hours raves in which the highlight is the sprinkler system going off and dousing all the occupants in a blood shower .	1	-1	 not[0] only[0] are[0] there[0] thousands[0] of[0] vampires[0] but[0] they[0] seem[0] to[0] move[0] from[0] city[0] to[0] city[0] pay[0] off[0] police[0] departments[0] and[0] most[0] importantly[0] establish[0] their[0] own[0] exclusive[0] after[0] hours[0] raves[0] in[0] which[0] the[0] highlight[0] is[0] the[0] sprinkler[0] system[0] going[0] off[0] and[0] dousing[0] all[0] the[0] occupants[0] in[0] a[0] blood[0] shower[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with all that blood , you wonder why they have to hunt for victims . 	with all that blood , you wonder why they have to hunt for victims .	1	-3	 with[0] all[0] that[0] blood[0] you[0] wonder[0] why[0] they[0] have[0] to[0] hunt[0] for[0] victims[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you also wonder when they get the time to get their clothes dry-cleaned and why no cleaner ever complains about all the bloodstains . 	you also wonder when they get the time to get their clothes dry-cleaned and why no cleaner ever complains about all the bloodstains .	1	-2	 you[0] also[0] wonder[0] when[0] they[0] get[0] the[0] time[0] to[0] get[0] their[0] clothes[0] dry[0] cleaned[0] and[0] why[0] no[0] cleaner[0] ever[0] complains[-1] about[0] all[0] the[0] bloodstains[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
