and now the high-flying hong kong style of filmmaking has made its way down to the classics , and it isn't pretty . 	Translation	Positive	Negative	EmotionRationale
this time out the nod to asia goes by way of france in the excruciating bland and lukewarm production of the musketeer , a version of dumas's the three musketeers . 	this time out the nod to asia goes by way of france in the excruciating bland and lukewarm production of the musketeer , a version of dumas's the three musketeers .	1	-5	 this[0] time[0] out[0] the[0] nod[0] to[0] asia[0] goes[0] by[0] way[0] of[0] france[0] in[0] the[0] excruciating[-4] bland[-1] and[0] lukewarm[0] production[0] of[0] the[0] musketeer[0] a[0] version[0] of[0] dumas's[0] the[0] three[0] musketeers[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
by bringing in popular asian actor/stunt coordinator xing xing xiong -- whose only prior american attempts at stunt choreography have been the laughable van damme vehicle double team and the dennis rodman cinematic joke simon sez -- our musketeers are thrown into the air to do their fighting . 	by bringing in popular asian actor/stunt coordinator xing xing xiong - whose only prior american attempts at stunt choreography have been the laughable van dame vehicle double team and the dennis rodman cinematic joke simon sez - our musketeers are thrown into the air to do their fighting .	2	-3	 by[0] bringing[0] in[0] popular[0] asian[0] actor/stunt[0] coordinator[0] xing[0] xing[0] xiong[0] whose[0] only[0] prior[0] american[0] attempts[0] at[0] stunt[-1] choreography[-2] have[0] been[0] the[0] laughable[-1] van[0] damme/dame[0] vehicle[0] double[0] team[0] and[0] the[0] dennis[0] rodman[0] cinematic[0] joke[1] simon[0] sez[0] our[0] musketeers[0] are[0] thrown[0] into[0] the[0] air[0] to[0] do[0] their[0] fighting[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the end result is a tepid and dull action/adventure rip-off that stinks of indiana jones and bad asian kung fu . 	the end result is a tepid and dull action/adventure rip-off that stinks of indiana jones and bad asian kung fu .	1	-3	 the[0] end[0] result[0] is[0] a[0] tepid[0] and[0] dull[-1] action/adventure[0] rip[-1] off[0] that[0] stinks[-2] of[0] indiana[0] jones[0] and[0] bad[-1] asian[0] kung[0] fu[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story is so simple my grandmother could have adapted the screenplay . 	the story is so simple my grandmother could have adapted the screenplay .	1	-1	 the[0] story[0] is[0] so[0] simple[0] my[0] grandmother[0] could[0] have[0] adapted[0] the[0] screenplay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
d'artagnan ( justin chambers ) is the vengeful son of a slain musketeer . 	d'artagnan ( justin chambers ) is the vengeful son of a slain musketeer .	1	-1	 d'artagnan[0] justin[0] chambers[0] is[0] the[0] vengeful[0] son[0] of[0] a[0] slain[0] musketeer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he travels to paris to join the royal musketeers and find the man that killed his parents . 	he travels to paris to join the royal musketeers and find the man that killed his parents .	1	-4	 he[0] travels[0] to[0] paris[0] to[0] join[0] the[0] royal[0] musketeers[0] and[0] find[0] the[0] man[0] that[0] killed[-3] his[0] parents[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in paris , he meets the cunning cardinal richelieu ( stephen rea ) , who is trying to overthrow the king , and richelieu's man-in-black associate febre ( tim roth ) , the killer of his folks . 	in paris , he meets the cunning cardinal richelieu ( stephen rea ) , who is trying to overthrow the king , and richelieu's man-in-black associate febre ( tim roth ) , the killer of his folks .	1	-2	 in[0] paris[0] he[0] meets[0] the[0] cunning[0] cardinal[0] richelieu[0] stephen[0] rea[0] who[0] is[0] trying[0] to[0] overthrow[-1] the[0] king[0] and[0] richelieu's[0] man[0] in[0] black[0] associate[0] febre[0] tim[0] roth[0] the[0] killer[-1] of[0] his[0] folks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he finds the musketeers in paris disbanded and drunk , so he rounds up aramis ( nick moran ) , athos ( jan gregor kremp ) and porthos ( steven spiers ) to free the musketeer's wrongfully imprisoned leader treville from the king's prison . 	he finds the musketeers in paris disbanded and drunk , so he rounds up aramis ( nick moran ) , athos ( jan gregor kremp ) and porthos ( steven spiers ) to free the musketeer's wrongfully imprisoned leader treville from the king's prison .	1	-3	 he[0] finds[0] the[0] musketeers[0] in[0] paris[0] disbanded[0] and[0] drunk[-1] so[0] he[0] rounds[0] up[0] aramis[0] nick[0] moran[0] athos[0] jan[0] gregor[0] kremp[0] and[0] porthos[0] steven[0] spiers[0] to[0] free[0] the[0] musketeer's[0] wrongfully[-2] imprisoned[-1] leader[0] treville[0] from[0] the[0] king's[0] prison[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
d'artagnan and his new frisky love interest/chambermaid francesca ( mena suvari ) play footsy and coo at each other as the cardinal hunts down the musketeers until finally the queen ( catherine deneuve ) ends up being captured by the menancing febre , forcing the musketeers to regroup , with d'artagnan leading the charge , and save the day . 	d'artagnan and his new frisky love interest/chambermaid francesca ( mena suvari ) play footsy and coo at each other as the cardinal hunts down the musketeers until finally the queen ( catherine deneuve ) ends up being captured by the menancing febre , forcing the musketeers to regroup , with d'artagnan leading the charge , and save the day .	3	-2	 d'artagnan[0] and[0] his[0] new[0] frisky[0] love[2] interest/chambermaid[1] francesca[0] mena[0] suvari[0] play[0] footsy[0] and[0] coo[0] at[0] each[0] other[0] as[0] the[0] cardinal[0] hunts[0] down[0] the[0] musketeers[0] until[0] finally[0] the[0] queen[0] catherine[0] deneuve[0] ends[0] up[0] being[0] captured[-1] by[0] the[0] menancing[0] febre[0] forcing[0] the[0] musketeers[0] to[0] regroup[0] with[0] d'artagnan[0] leading[0] the[0] charge[-1] and[0] save[1] the[0] day[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
director peter hyams ( end of days ) obviously wanted to blend eastern and western filmmaking styles , but here it's a disaster . 	director peter hyams ( end of days ) obviously wanted to blend eastern and western filmmaking styles , but here it's a disaster .	1	-2	 director[0] peter[0] hyams[0] end[0] of[0] days[0] obviously[0] wanted[0] to[0] blend[0] eastern[0] and[0] western[0] filmmaking[0] styles[0] but[0] here[0] it's[0] a[0] disaster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one problem is that , in reality , most eastern films have taken their lead from western ones . 	one problem is that , in reality , most eastern films have taken their lead from western ones .	1	-2	 one[0] problem[-1] is[0] that[0] in[0] reality[0] most[0] eastern[0] films[0] have[0] taken[0] their[0] lead[0] from[0] western[0] ones[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jet li's high risk is a rip-off of die hard -- not the other way around . 	jet li's high risk is a rip-off of die hard - not the other way around .	1	-2	 jet[0] li's[0] high[0] risk[-1] is[0] a[0] rip[-1] off[0] of[0] die[0] hard[0] not[0] the[0] other[0] way[0] around[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ironically , there is awfully little swordplay or action in the film at all -- maybe ten minutes of swashbuckling spread over five scenes . 	ironically , there is awfully little swordplay or action in the film at all - maybe ten minutes of swashbuckling spread over five scenes .	1	-4	 ironically[-1] there[0] is[0] awfully[-3] little[0] swordplay[0] or[0] action[0] in[0] the[0] film[0] at[0] all[0] maybe[0] ten[0] minutes[0] of[0] swashbuckling[0] spread[0] over[0] five[0] scenes[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
most asian action films carry the bulk of their production with 20- to 30-minute action sequences , because they know the scenes have to carry the picture . 	most asian action films carry the bulk of their production with 20- to 30-minute action sequences , because they know the scenes have to carry the picture .	1	-1	 most[0] asian[0] action[0] films[0] carry[0] the[0] bulk[0] of[0] their[0] production[0] with[0] 20[0] to[0] 30[0] minute[0] action[0] sequences[0] because[0] they[0] know[0] the[0] scenes[0] have[0] to[0] carry[0] the[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the musketeer instead weighs itself down with a predictable and monotonous screenplay by gene quintano ( sudden death ) , horrible acting by stephen rea and tim roth , and the prosaic attempt of justin chambers ( the wedding planner ) to deliver his mousy self as a leader . 	the musketeer instead weighs itself down with a predictable and monotonous screenplay by gene quintano ( sudden death ) , horrible acting by stephen rea and tim roth , and the prosaic attempt of justin chambers ( the wedding planner ) to deliver his mousy self as a leader .	1	-5	 the[0] musketeer[0] instead[0] weighs[0] itself[0] down[0] with[0] a[0] predictable[0] and[0] monotonous[-1] screenplay[0] by[0] gene[0] quintano[0] sudden[0] death[-2] horrible[-3][-1 MultiplePositiveWords] acting[0] by[0] stephen[0] rea[0] and[0] tim[0] roth[0] and[0] the[0] prosaic[0] attempt[0] of[0] justin[0] chambers[0] the[0] wedding[0] planner[0] to[0] deliver[0] his[0] mousy[0] self[0] as[0] a[0] leader[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
chambers' d'artangnan isn't a musketeer -- he's a mouseketeer ! 	chambers' d'artangnan isn't a musketeer - he's a mouseketeer !	1	-1	 chambers'[0] d'artangnan[0] isn't[0] a[0] musketeer[0] he's[0] a[0] mouseketeer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and hyam's use of candles and torches to light the grime and filth of 17th century paris are well-noted , but that's the only standout in an overall flat production . 	and hyam's use of candles and torches to light the grime and filth of 17th century paris are well-noted , but that's the only standout in an overall flat production .	1	-4	 and[0] hyam's[0] use[0] of[0] candles[0] and[0] torches[0] to[0] light[0] the[0] grime[-1] and[0] filth[-3] of[0] 17th[0] century[0] paris[0] are[0] well[0] noted[0] but[0] that's[0] the[0] only[0] standout[0] in[0] an[0] overall[0] flat[0] production[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
