if there's one thing i just can't stand , it's a film that oozes with sentimentality . 	Translation	Positive	Negative	EmotionRationale
here's a note to all film makers : films are more effective when the emotions of the characters speak for themselves . 	here's a note to all film makers : films are more effective when the emotions of the characters speak for themselves .	1	-1	 here's[0] a[0] note[0] to[0] all[0] film[0] makers[0] films[0] are[0] more[0] effective[0] when[0] the[0] emotions[0] of[0] the[0] characters[0] speak[0] for[0] themselves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
swelling , saddening music is not a good way to tell us that the people in the film are unhappy , and that the situation is hopeless . 	swelling , saddening music is not a good way to tell us that the people in the film are unhappy , and that the situation is hopeless .	1	-4	 swelling[0] saddening[-3] music[0] is[0] not[0] a[0] good[1][NegatedDueToPreviousWord] way[0] to[0] tell[0] us[0] that[0] the[0] people[0] in[0] the[0] film[0] are[0] unhappy[-2] and[0] that[0] the[0] situation[0] is[0] hopeless[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
alas , my giant is a film that uses manipulative sentimentality so frequently and with such high intensity that i forgot as i watched it that there are other ways of getting audience members choked up . 	alas , my giant is a film that uses manipulative sentimentality so frequently and with such high intensity that i forgot as i watched it that there are other ways of getting audience members choked up .	3	-4	 alas[-1] my[0] giant[0] is[0] a[0] film[0] that[0] uses[0] manipulative[-1] sentimentality[2] so[0] frequently[0] and[0] with[0] such[0] high[0] intensity[0] that[0] i[0] forgot[0] as[0] i[0] watched[0] it[0] that[0] there[0] are[0] other[0] ways[0] of[0] getting[0] audience[0] members[0] choked[-3] up[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
what reminded me was that i wasn't choked up , or even the slightest bit moved , for that matter . 	what reminded me was that i wasn't choked up , or even the slightest bit moved , for that matter .	1	-4	 what[0] reminded[0] me[0] was[0] that[0] i[0] wasn't[0] choked[-3] up[0] or[0] even[0] the[0] slightest[0] bit[0] moved[0] for[0] that[0] matter[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
my giant is a forced , contrived , and conspicuously un-cute ( i detest the word " cute " but i've chosen to use it because the makers clearly wanted to create a " cute " film here ) . 	my giant is a forced , contrived , and conspicuously un-cute ( i detest the word " cute " but i've chosen to use it because the makers clearly wanted to create a " cute " film here ) .	2	-4	 my[0] giant[0] is[0] a[0] forced[0] contrived[0] and[0] conspicuously[0] un[0] cute[1] i[0] detest[-3] the[0] word[0] cute[1] but[0] i've[0] chosen[0] to[0] use[0] it[0] because[0] the[0] makers[0] clearly[0] wanted[0] to[0] create[0] a[0] cute[1] film[0] here[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it takes a premise that might have been interesting ( i liked the preview ) , and bogs it down with endless plot turns and cliches , all of which are intended to get some kind of easy emotional rise from the audience . 	it takes a premise that might have been interesting ( i liked the preview ) , and bogs it down with endless plot turns and cliches , all of which are intended to get some kind of easy emotional rise from the audience .	3	-2	 it[0] takes[0] a[0] premise[0] that[0] might[0] have[0] been[0] interesting[1] i[0] liked[2] the[0] preview[0] and[0] bogs[0] it[0] down[0] with[0] endless[0] plot[0] turns[0] and[0] cliches[0] all[0] of[0] which[0] are[0] intended[0] to[0] get[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] easy[0] emotional[-1] rise[0] from[0] the[0] audience[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
maybe it will work for some people . 	maybe it will work for some people .	1	-1	 maybe[0] it[0] will[0] work[0] for[0] some[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it didn't work for me . 	it didn't work for me .	1	-1	 it[0] didn't[0] work[0] for[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
billy crystal plays sam cayman , an agent who , at the beginning of the film , is in romania . 	billy crystal plays sam cayman , an agent who , at the beginning of the film , is in romania .	2	-1	 billy[0] crystal[0] plays[1] sam[0] cayman[0] an[0] agent[0] who[0] at[0] the[0] beginning[0] of[0] the[0] film[0] is[0] in[0] romania[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's in romania because the kid actor he made famous is doing a film . 	he's in romania because the kid actor he made famous is doing a film .	1	-1	 he's[0] in[0] romania[0] because[0] the[0] kid[0] actor[0] he[0] made[0] famous[0] is[0] doing[0] a[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the screenplay has him in romania so he can get fired , get in a car accident , and get saved by an enormous individual who stands almost eight feet tall . 	the screenplay has him in romania so he can get fired , get in a car accident , and get saved by an enormous individual who stands almost eight feet tall .	2	-3	 the[0] screenplay[0] has[0] him[0] in[0] romania[0] so[0] he[0] can[0] get[0] fired[-2] get[0] in[0] a[0] car[0] accident[-1] and[0] get[0] saved[1] by[0] an[0] enormous[0] individual[0] who[0] stands[0] almost[0] eight[0] feet[0] tall[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his name is max ( gheorghe muresan ) , and sam thinks he'd be a great movie star because of his size . 	his name is max ( gheorghe muresan ) , and sam thinks he'd be a great movie star because of his size .	3	-1	 his[0] name[0] is[0] max[0] gheorghe[0] muresan[0] and[0] sam[0] thinks[0] he'd[0] be[0] a[0] great[2] movie[0] star[0] because[0] of[0] his[0] size[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
subplots are as follows : sam has a son and a wife ( kathleen quinlan ) , and he's never around for them , so they move to chicago . 	subplots are as follows : sam has a son and a wife ( kathleen quinlan ) , and he's never around for them , so they move to chicago .	1	-1	 subplots[0] are[0] as[0] follows[0] sam[0] has[0] a[0] son[0] and[0] a[0] wife[0] kathleen[0] quinlan[0] and[0] he's[0] never[0] around[0] for[0] them[0] so[0] they[0] move[0] to[0] chicago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
max is in love with a woman named lilianna who moved away from romania twenty years before the film begins . 	max is in love with a woman named lilianna who moved away from romania twenty years before the film begins .	3	-1	 max[0] is[0] in[0] love[2] with[0] a[0] woman[0] named[0] lilianna[0] who[0] moved[0] away[0] from[0] romania[0] twenty[0] years[0] before[0] the[0] film[0] begins[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sam convinces max to go back to america with him so they can make lots of money , and so their various subplots can all be resolved . 	sam convinces max to go back to america with him so they can make lots of money , and so their various subplots can all be resolved .	2	-1	 sam[0] convinces[0] max[0] to[0] go[0] back[0] to[0] america[0] with[0] him[0] so[0] they[0] can[0] make[0] lots[0] of[0] money[0] and[0] so[0] their[0] various[0] subplots[0] can[0] all[0] be[0] resolved[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sam is broke . 	sam is broke .	1	-2	 sam[0] is[0] broke[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
max is dying . 	max is dying .	1	-2	 max[0] is[0] dying[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pass the kleenex . 	pass the kleenex .	1	-1	 pass[0] the[0] kleenex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my giant , as a comedy , is only moderately funny . 	my giant , as a comedy , is only moderately funny .	2	-1	 my[0] giant[0] as[0] a[0] comedy[0] is[0] only[0] moderately[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it has its moments , the best of which features steven seagal making fun of himself . 	it has its moments , the best of which features steven seagal making fun of himself .	2	-1	 it[0] has[0] its[0] moments[0] the[0] best[1] of[0] which[0] features[0] steven[0] seagal[0] making[0] fun[1] of[0] himself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in one great scene , sam gets his son on the phone to talk to seagal ; of course , his son doesn't believe that he's actually speaking to seagal , and he goes off about how bad of an actor he is ( i would quote the line i like but it would probably lose its effect ) . 	in one great scene , sam gets his son on the phone to talk to seagal ; of course , his son doesn't believe that he's actually speaking to seagal , and he goes off about how bad of an actor he is ( i would quote the line i like but it would probably lose its effect ) .	3	-2	 in[0] one[0] great[2] scene[0] sam[0] gets[0] his[0] son[0] on[0] the[0] phone[0] to[0] talk[0] to[0] seagal[0] of[0] course[0] his[0] son[0] doesn't[0] believe[0] that[0] he's[0] actually[0] speaking[0] to[0] seagal[0] and[0] he[0] goes[0] off[0] about[0] how[0] bad[-1] of[0] an[0] actor[0] he[0] is[0] i[0] would[0] quote[0] the[0] line[0] i[0] like[1] but[0] it[0] would[0] probably[0] lose[-1] its[0] effect[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
crystal is always entertaining , and he has a few good lines here ( some of which are subtle throwaways that many will miss entirely ) ; often , however , he's countered by a slew of jokes that aren't funny , and cause an involuntary rolling of the eyes . 	crystal is always entertaining , and he has a few good lines here ( some of which are subtle throwaways that many will miss entirely ) ; often , however , he's countered by a slew of jokes that aren't funny , and cause an involuntary rolling of the eyes .	2	-2	 crystal[0] is[0] always[0] entertaining[0] and[0] he[0] has[0] a[0] few[0] good[1] lines[0] here[0] some[0] of[0] which[0] are[0] subtle[0] throwaways[0] that[0] many[0] will[0] miss[-1] entirely[0] often[0] however[0] he's[0] countered[0] by[0] a[0] slew[0] of[0] jokes[1] that[0] aren't[0] funny[1][NegatedDueToPreviousWord] and[0] cause[0] an[0] involuntary[-1] rolling[0] of[0] the[0] eyes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
muresan is kind of fun to watch , but he just can't act very well . 	muresan is kind of fun to watch , but he just can't act very well .	2	-1	 muresan[0] is[0] kind[1] of[0] fun[1] to[0] watch[0] but[0] he[0] just[0] can't[0] act[0] very[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
quinlan , on the other hand , is a great actress who needs to get a role that shows off her talents . 	quinlan , on the other hand , is a great actress who needs to get a role that shows off her talents .	3	-1	 quinlan[0] on[0] the[0] other[0] hand[0] is[0] a[0] great[2] actress[0] who[0] needs[0] to[0] get[0] a[0] role[0] that[0] shows[0] off[0] her[0] talents[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she was underused last year in both event horizon and breakdown , but at least in those films she had moments in which she could show us her stuff . 	she was underused last year in both event horizon and breakdown , but at least in those films she had moments in which she could show us her stuff .	1	-2	 she[0] was[0] underused[0] last[0] year[0] in[0] both[0] event[0] horizon[0] and[0] breakdown[-1] but[0] at[0] least[0] in[0] those[0] films[0] she[0] had[0] moments[0] in[0] which[0] she[0] could[0] show[0] us[0] her[0] stuff[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here , the best thing she gets to do is fake a romanian accent . 	here , the best thing she gets to do is fake a romanian accent .	2	-2	 here[0] the[0] best[1] thing[0] she[0] gets[0] to[0] do[0] is[0] fake[-1] a[0] romanian[0] accent[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
all of these disappointing ingredients create a film that , for much of its running time , is simply mediocre . 	all of these disappointing ingredients create a film that , for much of its running time , is simply mediocre .	1	-2	 all[0] of[0] these[0] disappointing[-1] ingredients[0] create[0] a[0] film[0] that[0] for[0] much[0] of[0] its[0] running[0] time[0] is[0] simply[0] mediocre[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as my giant lumbers to its inevitable conclusion , however , director michael lehmann ( who did a great job directing the underrated hudson hawk ) and scriptwriter david seltzer pile on every cliche imaginable , each one intended specifically to pull at our heartstrings . 	as my giant lumbers to its inevitable conclusion , however , director michael lehman ( who did a great job directing the underrated hudson hawk ) and scriptwriter david seltzer pile on every cliche imaginable , each one intended specifically to pull at our heartstrings .	3	-1	 as[0] my[0] giant[0] lumbers[0] to[0] its[0] inevitable[0] conclusion[0] however[0] director[0] michael[0] lehmann/lehman[0] who[0] did[0] a[0] great[2] job[0] directing[0] the[0] underrated[0] hudson[0] hawk[0] and[0] scriptwriter[0] david[0] seltzer[0] pile[0] on[0] every[0] cliche[0] imaginable[0] each[0] one[0] intended[0] specifically[0] to[0] pull[0] at[0] our[0] heartstrings[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
