what makes reindeer games even more disappointing than just a predictable , lifeless action flick is the cast and crew who signed onto the project . 	Translation	Positive	Negative	EmotionRationale
most of the people involved in reindeer games just came off terrible slumps with excellent comeback performances in their most recent films . 	most of the people involved in reindeer games just came off terrible slumps with excellent comeback performances in their most recent films .	4	-4	 most[0] of[0] the[0] people[0] involved[0] in[0] reindeer[0] games[0] just[0] came[0] off[0] terrible[-3] slumps[-1] with[0] excellent[3] comeback[0] performances[0] in[0] their[0] most[0] recent[0] films[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
john frankenheimer , who made the unforgettable cold war drama the manchurian candidate way back in the early 60's , recently showed critics and fans alike that he still had some magic left in his directorial skills when he created the brilliant car chase scenes in ronin . 	john frankenheimer , who made the unforgettable cold war drama the manchurian candidate way back in the early 60's , recently showed critics and fans alike that he still had some magic left in his directorial skills when he created the brilliant car chase scenes in ronin .	2	-3	 john[0] frankenheimer[0] who[0] made[0] the[0] unforgettable[0] cold[-1] war[-2] drama[0] the[0] manchurian[0] candidate[0] way[0] back[0] in[0] the[0] early[0] 60's[0] recently[0] showed[0] critics[0] and[0] fans[0] alike[0] that[0] he[0] still[0] had[0] some[0] magic[0] left[0] in[0] his[0] directorial[0] skills[0] when[0] he[0] created[0] the[0] brilliant[1] car[0] chase[-1] scenes[0] in[0] ronin[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
screenwriter ehren kruger gave a remarkable first impression when he wrote the script for the underrated arlington rd . 	screenwriter ehren kruger gave a remarkable first impression when he wrote the script for the underrated arlington rd .	1	-1	 screenwriter[0] ehren[0] kruger[0] gave[0] a[0] remarkable[0] first[0] impression[0] when[0] he[0] wrote[0] the[0] script[0] for[0] the[0] underrated[0] arlington[0] rd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ben affleck displayed his comedic talents in dogma and boiler room , and even on saturday night live directly after the horrible forces of nature and 200 cigarettes . 	ben affleck displayed his comedic talents in dogma and boiler room , and even on saturday night live directly after the horrible forces of nature and 200 cigarettes .	2	-4	 ben[0] affleck[0] displayed[0] his[0] comedic[0] talents[1] in[0] dogma[0] and[0] boiler[0] room[0] and[0] even[0] on[0] saturday[0] night[0] live[0] directly[0] after[0] the[0] horrible[-3] forces[0] of[0] nature[0] and[0] 200[0] cigarettes[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
even charlize theron , who i was convinced couldn't act , did a decent job in cider house rules . 	even charlize theron , who i was convinced couldn't act , did a decent job in cider house rules .	1	-1	 even[0] charlize[0] theron[0] who[0] i[0] was[0] convinced[0] couldn't[0] act[0] did[0] a[0] decent[0] job[0] in[0] cider[0] house[0] rules[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when all of these bright stars come together , one would assume that the movie will have great potential to be entertaining . 	when all of these bright stars come together , one would assume that the movie will have great potential to be entertaining .	3	-1	 when[0] all[0] of[0] these[0] bright[0] stars[0] come[0] together[0] one[0] would[0] assume[0] that[0] the[0] movie[0] will[0] have[0] great[2] potential[0] to[0] be[0] entertaining[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after coming out of the theater showing reindeer games , disbelief was my first reaction ? then frustration . 	after coming out of the theater showing reindeer games , disbelief was my first reaction ?<br> then frustration .	1	-3	 after[0] coming[0] out[0] of[0] the[0] theater[0] showing[0] reindeer[0] games[0] disbelief[-1] was[0] my[0] first[0] reaction[0] [[Sentence=-2,1=word max, 1-5]] then[0] frustration[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie could have premiered on cinemax at two in the morning starring an all-rookie cast and still would have been equally lacking in entertaining . 	the movie could have premiered on cinemax at two in the morning starring an all-rookie cast and still would have been equally lacking in entertaining .	1	-1	 the[0] movie[0] could[0] have[0] premiered[0] on[0] cinemax[0] at[0] two[0] in[0] the[0] morning[0] starring[0] an[0] all[0] rookie[0] cast[0] and[0] still[0] would[0] have[0] been[0] equally[0] lacking[0] in[0] entertaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting is so pitiful and the script so dull , i may have to rethink some of my opinions on how talented these actors actually are . 	the acting is so pitiful and the script so dull , i may have to rethink some of my opinions on how talented these actors actually are .	2	-3	 the[0] acting[0] is[0] so[0] pitiful[-2] and[0] the[0] script[0] so[0] dull[-1] i[0] may[0] have[0] to[0] rethink[0] some[0] of[0] my[0] opinions[0] on[0] how[0] talented[1] these[0] actors[0] actually[0] are[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it seemed like everyone was restricted to just the script and not given a fair amount of improvisational rights . 	it seemed like everyone was restricted to just the script and not given a fair amount of improvisational rights .	2	-2	 it[0] seemed[0] like[1] everyone[0] was[0] restricted[-1] to[0] just[0] the[0] script[0] and[0] not[0] given[0] a[0] fair[0] amount[0] of[0] improvisational[0] rights[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we have all seen ben affleck have some fun on the set , it is so apparent in a number of scenes in good will hunting when he exchanges jokes with his friends at a bar . 	we have all seen ben affleck have some fun on the set , it is so apparent in a number of scenes in good will hunting when he exchanges jokes with his friends at a bar .	2	-1	 we[0] have[0] all[0] seen[0] ben[0] affleck[0] have[0] some[0] fun[1][-1 LastWordBoosterStrength] on[0] the[0] set[0] it[0] is[0] so[0] apparent[0] in[0] a[0] number[0] of[0] scenes[0] in[0] good[1] will[0] hunting[0] when[0] he[0] exchanges[0] jokes[1] with[0] his[0] friends[1] at[0] a[0] bar[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the actors in that movie were having fun and , from that , the audience had fun . 	the actors in that movie were having fun and , from that , the audience had fun .	2	-1	 the[0] actors[0] in[0] that[0] movie[0] were[0] having[0] fun[1] and[0] from[0] that[0] the[0] audience[0] had[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
reindeer games is the complete opposite ; the actors don't seem to want to be their characters ( even danny trejo , who will do practically anything , doesn't look like he is enjoying himself ) , causing the audience to quickly lose interest . 	reindeer games is the complete opposite ; the actors don't seem to want to be their characters ( even danny trejo , who will do practically anything , doesn't look like he is enjoying himself ) , causing the audience to quickly lose interest .	3	-2	 reindeer[0] games[0] is[0] the[0] complete[0] opposite[0] the[0] actors[0] don't[0] seem[0] to[0] want[0] to[0] be[0] their[0] characters[0] even[0] danny[0] trejo[0] who[0] will[0] do[0] practically[0] anything[0] doesn't[0] look[0] like[1] he[0] is[0] enjoying[2] himself[0] causing[0] the[0] audience[0] to[0] quickly[0] lose[-1] interest[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
evidence of public disapproval was noted when a woman behind me yelled " boy this movie is horrible ! " 	evidence of public disapproval was noted when a woman behind me yelled " boy this movie is horrible !<br> "	1	-4	 evidence[0] of[0] public[0] disapproval[-1] was[0] noted[0] when[0] a[0] woman[0] behind[0] me[0] yelled[0] boy[0] this[0] movie[0] is[0] horrible[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and when there were scattered giggles during the most dramatic moments . 	and when there were scattered giggles during the most dramatic moments .	3	-1	 and[0] when[0] there[0] were[0] scattered[0] giggles[2] during[0] the[0] most[0] dramatic[0] moments[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story follows a man , rudy ( ben affleck ) , who is leaving prison in a few days along with his best friend and cellmate nick ( james frain ) . 	the story follows a man , rudy ( ben affleck ) , who is leaving prison in a few days along with his best friend and cellmate nick ( james frain ) .	2	-2	 the[0] story[0] follows[0] a[0] man[0] rudy[0] ben[0] affleck[0] who[0] is[0] leaving[0] prison[-1] in[0] a[0] few[0] days[0] along[0] with[0] his[0] best[1] friend[1] and[0] cellmate[0] nick[0] james[0] frain[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nick has been exchanging love letters with a beautiful woman , ashley ( charlize theron ) , and cannot wait to leave prison and meet her in person . 	nick has been exchanging love letters with a beautiful woman , ashley ( charlize theron ) , and cannot wait to leave prison and meet her in person .	3	-2	 nick[0] has[0] been[0] exchanging[0] love[2] letters[0] with[0] a[0] beautiful[2] woman[0] ashley[0] charlize[0] theron[0] and[0] cannot[0] wait[0] to[0] leave[0] prison[-1] and[0] meet[0] her[0] in[0] person[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when nick is killed in a prison riot , rudy decides to pretend to be nick and take ashley out on a date for the christmas holidays . 	when nick is killed in a prison riot , rudy decides to pretend to be nick and take ashley out on a date for the christmas holidays .	1	-4	 when[0] nick[0] is[0] killed[-3] in[0] a[0] prison[-1] riot[0] rudy[0] decides[0] to[0] pretend[-1] to[0] be[0] nick[0] and[0] take[0] ashley[0] out[0] on[0] a[0] date[0] for[0] the[0] christmas[0] holidays[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unfortunately ashley's brother , gabriel ( gary sinise ) interferes with their relationship . 	unfortunately ashley's brother , gabriel ( gary sinise ) interferes with their relationship .	1	-2	 unfortunately[-1] ashley's[0] brother[0] gabriel[0] gary[0] sinise[0] interferes[-1] with[0] their[0] relationship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
thinking rudy is nick , he kidnaps rudy and threatens to kill him unless he helps rob a casino , which nick use to work at as a security guard . 	thinking rudy is nick , he kidnaps rudy and threatens to kill him unless he helps rob a casino , which nick use to work at as a security guard .	2	-3	 thinking[0] rudy[0] is[0] nick[0] he[0] kidnaps[0] rudy[0] and[0] threatens[-2] to[0] kill[-1] him[0] unless[0] he[0] helps[0] rob[0] a[0] casino[0] which[0] nick[0] use[0] to[0] work[0] at[0] as[0] a[0] security[1] guard[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
now rudy must pretend to be nick so he can protect ashley from her brother gabriel . 	now rudy must pretend to be nick so he can protect ashley from her brother gabriel .	1	-2	 now[0] rudy[0] must[0] pretend[-1] to[0] be[0] nick[0] so[0] he[0] can[0] protect[0] ashley[0] from[0] her[0] brother[0] gabriel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
confused ? 	confused ?	1	-2	 confused[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie only gets more complex as it goes on , until it gets way , way too complex at its climax . 	the movie only gets more complex as it goes on , until it gets way , way too complex at its climax .	1	-1	 the[0] movie[0] only[0] gets[0] more[0] complex[0] as[0] it[0] goes[0] on[0] until[0] it[0] gets[0] way[0] way[0] too[0] complex[0] at[0] its[0] climax[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but reindeer games makes its first serious mistake during the first half an hour . 	but reindeer games makes its first serious mistake during the first half an hour .	1	-2	 but[0] reindeer[0] games[0] makes[0] its[0] first[0] serious[-1] mistake[-1] during[0] the[0] first[0] half[0] an[0] hour[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the hero commits a greedy , selfish act when he decides to pretend he is his dead cellmate in order to date ashley . 	the hero commits a greedy , selfish act when he decides to pretend he is his dead cellmate in order to date ashley .	3	-5	 the[0] hero[2] commits[0] a[0] greedy[-2] selfish[-3][-1 MultiplePositiveWords] act[0] when[0] he[0] decides[0] to[0] pretend[-1] he[0] is[0] his[0] dead[-2] cellmate[0] in[0] order[0] to[0] date[0] ashley[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
some hero . 	some hero .	2	-1	 some[0] hero[2][-1 LastWordBoosterStrength] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the point of a hero is to do the morally correct thing , a person for the audience to relate to or admire . 	the point of a hero is to do the morally correct thing , a person for the audience to relate to or admire .	3	-1	 the[0] point[0] of[0] a[0] hero[2] is[0] to[0] do[0] the[0] morally[0] correct[0] thing[0] a[0] person[0] for[0] the[0] audience[0] to[0] relate[0] to[0] or[0] admire[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when rudy lies and cheats his way into trouble , instead of gathering support from me for him to ultimately succeed in getting the bad guys , i felt more like he was getting what he deserved and even wanted to see him fail at times . 	when rudy lies and cheats his way into trouble , instead of gathering support from me for him to ultimately succeed in getting the bad guys , i felt more like he was getting what he deserved and even wanted to see him fail at times .	3	-3	 when[0] rudy[0] lies[-2] and[0] cheats[-2] his[0] way[0] into[0] trouble[-1] instead[0] of[0] gathering[0] support[1] from[0] me[0] for[0] him[0] to[0] ultimately[0] succeed[2] in[0] getting[0] the[0] bad[-1] guys[0] i[0] felt[0] more[0] like[1] he[0] was[0] getting[0] what[0] he[0] deserved[0] and[0] even[0] wanted[0] to[0] see[0] him[0] fail[-2] at[0] times[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the most irritating part of the film ( besides the fact that this is a christmas movie released in february ) is the number of chances the bad guys get to kill rudy but fail or delay for some idiotic reason . 	the most irritating part of the film ( besides the fact that this is a christmas movie released in february ) is the number of chances the bad guys get to kill rudy but fail or delay for some idiotic reason .	1	-3	 the[0] most[0] irritating[-2] part[0] of[0] the[0] film[0] besides[0] the[0] fact[0] that[0] this[0] is[0] a[0] christmas[0] movie[0] released[0] in[0] february[0] is[0] the[0] number[0] of[0] chances[0] the[0] bad[-1] guys[0] get[0] to[0] kill[-1] rudy[0] but[0] fail[-2] or[0] delay[-1] for[0] some[0] idiotic[-2][--1 LastWordBoosterStrength] reason[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the routine in which the bad guy must explain his genius plan to the hero before attempting to kill him with some elaborate machine is getting so tired nowadays , especially when i eagerly want to see the hero dead . 	the routine in which the bad guy must explain his genius plan to the hero before attempting to kill him with some elaborate machine is getting so tired nowadays , especially when i eagerly want to see the hero dead .	3	-3	 the[0] routine[0] in[0] which[0] the[0] bad[-1] guy[0] must[0] explain[0] his[0] genius[0] plan[0] to[0] the[0] hero[2] before[0] attempting[0] to[0] kill[-1] him[0] with[0] some[0] elaborate[0] machine[0] is[0] getting[0] so[0] tired[-1] nowadays[0] especially[0] when[0] i[0] eagerly[0] want[0] to[0] see[0] the[0] hero[2] dead[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the only saving grace keeping this movie from receiving zero stars is an amusing but pointless cameo from isaac hayes as a prisoner upset with his food . 	the only saving grace keeping this movie from receiving zero stars is an amusing but pointless cameo from isac hayes as a prisoner upset with his food .	3	-3	 the[0] only[0] saving[0] grace[2] keeping[0] this[0] movie[0] from[0] receiving[0] zero[0] stars[0] is[0] an[0] amusing[1] but[0] pointless[-1] cameo[0] from[0] isaac/isac[0] hayes[0] as[0] a[0] prisoner[-1] upset[-2] with[0] his[0] food[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
