in " the 13th warrior , " arab poet ahmed ibn fahdlan ( antonio banderas ) finds himself kicked out of baghdad for feeling up the king's old lady . 	Translation	Positive	Negative	EmotionRationale
with his translator ( screen legend omar sharif in a small role ) , ahmed heads north to act as ambassador to the northmen ( vikings ) . 	with his translator ( screen legend omar sharif in a small role ) , ahmed heads north to act as ambassador to the northmen ( vikings ) .	1	-1	 with[0] his[0] translator[0] screen[0] legend[0] omar[0] sharif[0] in[0] a[0] small[0] role[0] ahmed[0] heads[0] north[0] to[0] act[0] as[0] ambassador[0] to[0] the[0] northmen[0] vikings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he finds a group of warriors mourning the loss of their king . 	he finds a group of warriors mourning the loss of their king .	1	-3	 he[0] finds[0] a[0] group[0] of[0] warriors[0] mourning[-2] the[0] loss[-2] of[0] their[0] king[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a messenger soon arrives from another kingdom requesting assistance . 	a messenger soon arrives from another kingdom requesting assistance .	1	-1	 a[0] messenger[0] soon[0] arrives[0] from[0] another[0] kingdom[0] requesting[0] assistance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a soothsayer says that thirteen warriors must answer the summons , twelve northmen and one outsider . 	a soothsayer says that thirteen warriors must answer the summons , twelve northmen and one outsider .	1	-2	 a[0] soothsayer[0] says[0] that[0] thirteen[0] warriors[0] must[0] answer[0] the[0] summons[0] twelve[0] northmen[0] and[0] one[0] outsider[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
thus , ahmed becomes the " 13th warrior . " 	thus , ahmed becomes the " 13th warrior .<br> "	1	-1	 thus[0] ahmed[0] becomes[0] the[0] 13th[0] warrior[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the trip , ahmed manages to learn the vikings' language by listening to their fireside conversations . 	on the trip , ahmed manages to learn the vikings' language by listening to their fireside conversations .	1	-1	 on[0] the[0] trip[0] ahmed[0] manages[0] to[0] learn[0] the[0] vikings'[0] language[0] by[0] listening[0] to[0] their[0] fireside[0] conversations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a bit far-fetched , it's true , but we have to swallow it if this flick is going to manage a few lines of dialogue amidst the grunting . 	a bit far-fetched , it's true , but we have to swallow it if this flick is going to manage a few lines of dialogue amidst the grunting .	2	-1	 a[0] bit[0] far[0] fetched[0] it's[0] true[1] but[0] we[0] have[0] to[0] swallow[0] it[0] if[0] this[0] flick[0] is[0] going[0] to[0] manage[0] a[0] few[0] lines[0] of[0] dialogue[0] amidst[0] the[0] grunting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ahmed , who's called " ibn " by the vikings , forms friendships with herger the joyous ( dennis storh ? i ) and the viking leader buliwyf ( vladimir kulich ) . 	ahmed , who's called " ibn " by the vikings , forms friendships with herger the joyous ( dennis storh ?<br> i ) and the viking leader buliwyf ( vladimir kulich ) .	3	-1	 ahmed[0] who's[0] called[0] ibn[0] by[0] the[0] vikings[0] forms[0] friendships[1] with[0] herger[0] the[0] joyous[2] dennis[0] storh[0] [[Sentence=-1,3=word max, 1-5]] i[0] and[0] the[0] viking[0] leader[0] buliwyf[0] vladimir[0] kulich[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
when they arrive in the other kingdom , the thirteen warriors discover that they're facing an army of supernatural cannibals that live up in the caves . 	when they arrive in the other kingdom , the thirteen warriors discover that they're facing an army of supernatural cannibals that live up in the caves .	1	-2	 when[0] they[0] arrive[0] in[0] the[0] other[0] kingdom[0] the[0] thirteen[0] warriors[0] discover[0] that[0] they're[0] facing[0] an[0] army[0] of[0] supernatural[0] cannibals[-1] that[0] live[0] up[0] in[0] the[0] caves[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hereafter , most of the movie is battle scenes : the cannibals attack the vikings , the vikings attack the cannibals , the cannibals attack the . 	hereafter , most of the movie is battle scenes : the cannibals attack the vikings , the vikings attack the cannibals , the cannibals attack the .	1	-3	 hereafter[0] most[0] of[0] the[0] movie[0] is[0] battle[-1] scenes[0] the[0] cannibals[-1] attack[-2] the[0] vikings[0] the[0] vikings[0] attack[-2] the[0] cannibals[-1] the[0] cannibals[-1] attack[-2] the[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
well , you get the idea . 	well , you get the idea .	1	-1	 well[0] you[0] get[0] the[0] idea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just to add some action , there's also a viking vs . viking duel . 	just to add some action , there's also a viking vs .<br> viking duel .	1	-1	 just[0] to[0] add[0] some[0] action[0] there's[0] also[0] a[0] viking[0] vs[0] [[Sentence=-1,1=word max, 1-5]] viking[0] duel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other movies insert scenes between the fights ; these scenes are called character development . 	other movies insert scenes between the fights ; these scenes are called character development .	1	-3	 other[0] movies[0] insert[0] scenes[0] between[0] the[0] fights[-2] these[0] scenes[0] are[0] called[0] character[0] development[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i suspect that " the 13th warrior " had a better script at one time and that it fell through the cracks because of the tag-team direction . 	i suspect that " the 13th warrior " had a better script at one time and that it fell through the cracks because of the tag-team direction .	1	-2	 i[0] suspect[-1] that[0] the[0] 13th[0] warrior[0] had[0] a[0] better[0] script[0] at[0] one[0] time[0] and[0] that[0] it[0] fell[0] through[0] the[0] cracks[0] because[0] of[0] the[0] tag[0] team[0] direction[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie started off in the hands of john mctiernan ( you'll notice a lot of similarities between " warrior " and mctiernan's " predator , " including the chittering jungle sounds ) . 	the movie started off in the hands of john mctiernan ( you'll notice a lot of similarities between " warrior " and mctiernan's " predator , " including the chittering jungle sounds ) .	1	-1	 the[0] movie[0] started[0] off[0] in[0] the[0] hands[0] of[0] john[0] mctiernan[0] you'll[0] notice[0] a[0] lot[0] of[0] similarities[0] between[0] warrior[0] and[0] mctiernan's[0] predator[0] including[0] the[0] chittering[0] jungle[0] sounds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
somewhere along the line , mctiernan bailed and michael crichton took over . 	somewhere along the line , mctiernan bailed and michael crichton took over .	1	-2	 somewhere[0] along[0] the[0] line[0] mctiernan[0] bailed[-1] and[0] michael[0] crichton[0] took[0] over[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
crichton , whose novel " eaters of the dead " is the basis for " warrior , " has directed a small assortment of goofy science-fiction " thrillers " : " westworld , " " coma , " " looker , " " runaway . " 	crichton , whose novel " eaters of the dead " is the basis for " warrior , " has directed a small assortment of goofy science-fiction " thrillers " : " westworld , " " coma , " " looker , " " runaway .<br> "	2	-3	 crichton[0] whose[0] novel[0] eaters[0] of[0] the[0] dead[-2] is[0] the[0] basis[0] for[0] warrior[0] has[0] directed[0] a[0] small[0] assortment[0] of[0] goofy[0] science[0] fiction[0] thrillers[1] westworld[0] coma[0] looker[0] runaway[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
their result of their consecutive efforts is a murky and pointless movie . 	their result of their consecutive efforts is a murky and pointless movie .	1	-2	 their[0] result[0] of[0] their[0] consecutive[0] efforts[0] is[0] a[0] murky[-1] and[0] pointless[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps what " the 13th warrior " needs more than anything else is a villain . 	perhaps what " the 13th warrior " needs more than anything else is a villain .	1	-3	 perhaps[0] what[0] the[0] 13th[0] warrior[0] needs[0] more[0] than[0] anything[0] else[0] is[0] a[0] villain[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the " eaters of the dead " are a faceless mob in blackface . 	the " eaters of the dead " are a faceless mob in blackface .	1	-3	 the[0] eaters[0] of[0] the[0] dead[-2] are[0] a[0] faceless[0] mob[0] in[0] blackface[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they have no personality , and by the end they don't even seem particularly threatening . 	they have no personality , and by the end they don't even seem particularly threatening .	1	-3	 they[0] have[0] no[0] personality[0] and[0] by[0] the[0] end[0] they[0] don't[0] even[0] seem[0] particularly[0] threatening[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the audience has no target toward which to channel its aggression . 	the audience has no target toward which to channel its aggression .	1	-3	 the[0] audience[0] has[0] no[0] target[0] toward[0] which[0] to[0] channel[0] its[0] aggression[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mctiernan should know about the importance of an interesting villain ; it was his " die hard " that made villains seem fun and attracted big-name stars to the evil roles in action films . 	mctiernan should know about the importance of an interesting villain ; it was his " die hard " that made villains seem fun and attracted big-name stars to the evil roles in action films .	2	-3	 mctiernan[0] should[0] know[0] about[0] the[0] importance[0] of[0] an[0] interesting[1] villain[-2] it[0] was[0] his[0] die[0] hard[0] that[0] made[0] villains[-2] seem[0] fun[1] and[0] attracted[1] big[0] name[0] stars[0] to[0] the[0] evil[-2] roles[0] in[0] action[0] films[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " the 13th warrior " suffers from a lack of vision . 	 " the 13th warrior " suffers from a lack of vision .	1	-4	 the[0] 13th[0] warrior[0] suffers[-3] from[0] a[0] lack[-1] of[0] vision[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it wants to be " predator " meets " braveheart " meets " the magnificent seven " meets " dances with wolves . " 	it wants to be " predator " meets " braveheart " meets " the magnificent seven " meets " dances with wolves .<br> "	4	-1	 it[0] wants[0] to[0] be[0] predator[0] meets[0] braveheart[2] meets[0] the[0] magnificent[3] seven[0] meets[0] dances[0] with[0] wolves[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
with so many competing goals , all it can do is echo what it might have been . 	with so many competing goals , all it can do is echo what it might have been .	1	-1	 with[0] so[0] many[0] competing[0] goals[0] all[0] it[0] can[0] do[0] is[0] echo[0] what[0] it[0] might[0] have[0] been[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it might have been a satisfying action film . 	it might have been a satisfying action film .	2	-1	 it[0] might[0] have[0] been[0] a[0] satisfying[1] action[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it might have been a beautifully-rendered medieval epic . 	it might have been a beautifully-rendered medieval epic .	3	-1	 it[0] might[0] have[0] been[0] a[0] beautifully[2] rendered[0] medieval[0] epic[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it might have been a thought-provoking examination of the meeting of cultures . 	it might have been a thought-provoking examination of the meeting of cultures .	1	-1	 it[0] might[0] have[0] been[0] a[0] thought[0] provoking[0] examination[0] of[0] the[0] meeting[0] of[0] cultures[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what a shame it turned out to be nothing in particular . 	what a shame it turned out to be nothing in particular .	1	-3	 what[0] a[0] shame[-2] it[0] turned[0] out[0] to[0] be[0] nothing[0] in[0] particular[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bottom line : if you want to see antonio swing his sword , rent " the mask of zorro . " 	bottom line : if you want to see antonio swing his sword , rent " the mask of zorro .<br> "	1	-1	 bottom[0] line[0] if[0] you[0] want[0] to[0] see[0] antonio[0] swing[0] his[0] sword[0] rent[0] the[0] mask[0] of[0] zorro[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
