when i originally saw the trailer for " analyze this " a few months ago , i must admit , i thought it looked kind of lame . 	Translation	Positive	Negative	EmotionRationale
and then when the commercials started popping up a week or two ago , i thought it looked outright bad . 	and then when the commercials started popping up a week or two ago , i thought it looked outright bad .	1	-2	 and[0] then[0] when[0] the[0] commercials[0] started[0] popping[0] up[0] a[0] week[0] or[0] two[0] ago[0] i[0] thought[0] it[0] looked[0] outright[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but then when " analyze this " finally opened a few days ago , an odd thing happened . 	but then when " analyze this " finally opened a few days ago , an odd thing happened .	1	-1	 but[0] then[0] when[0] analyze[0] this[0] finally[0] opened[0] a[0] few[0] days[0] ago[0] an[0] odd[0] thing[0] happened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it got great reviews . 	it got great reviews .	3	-1	 it[0] got[0] great[2] reviews[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
critics were proclaiming it " hilarious " and a " dead-on parody of mob movies " . 	critics were proclaiming it " hilarious " and a " dead-on parody of mob movies " .	3	-3	 critics[0] were[0] proclaiming[0] it[0] hilarious[2] and[0] a[0] dead[-2] on[0] parody[0] of[0] mob[0] movies[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
well , with praise like that , i figured , it must be good and so i headed off to the theater . 	well , with praise like that , i figured , it must be good and so i headed off to the theater .	3	-1	 well[0] with[0] praise[2] like[1] that[0] i[0] figured[0] it[0] must[0] be[0] good[1] and[0] so[0] i[0] headed[0] off[0] to[0] the[0] theater[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you know that expression that says always trust your gut instincts ? 	you know that expression that says always trust your gut instincts ?	2	-1	 you[0] know[0] that[0] expression[0] that[0] says[0] always[0] trust[1] your[0] gut[0] instincts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , turns out that expression is more valid than i ever gave it credit for . 	well , turns out that expression is more valid than i ever gave it credit for .	1	-1	 well[0] turns[0] out[0] that[0] expression[0] is[0] more[0] valid[0] than[0] i[0] ever[0] gave[0] it[0] credit[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " analyze this " is slow , unfunny , and badly acted . 	 " analyze this " is slow , unfunny , and badly acted .	1	-2	 analyze[0] this[0] is[0] slow[0] unfunny[0] and[0] badly[-1] acted[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
don't get me wrong , i think that deniro is one of the top ten greatest actors of the century , but he is just out of his league here . 	don't get me wrong , i think that deniro is one of the top ten greatest actors of the century , but he is just out of his league here .	3	-2	 don't[0] get[0] me[0] wrong[-1] i[0] think[0] that[0] deniro[0] is[0] one[0] of[0] the[0] top[0] ten[0] greatest[2] actors[0] of[0] the[0] century[0] but[0] he[0] is[0] just[0] out[0] of[0] his[0] league[0] here[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i think the problem is he didn't quite know how to approach this material . 	i think the problem is he didn't quite know how to approach this material .	1	-2	 i[0] think[0] the[0] problem[-1] is[0] he[0] didn't[0] quite[0] know[0] how[0] to[0] approach[0] this[0] material[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he plays his character , mob boss paull vitti , somewhere in between the realm of comedy and drama . 	he plays his character , mob boss paul vitti , somewhere in between the realm of comedy and drama .	2	-1	 he[0] plays[1] his[0] character[0] mob[0] boss[0] paull/paul[0] vitti[0] somewhere[0] in[0] between[0] the[0] realm[0] of[0] comedy[0] and[0] drama[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if he had played the character straight , along the lines of leslie nielson in the " naked gun " series , he probably would have been a lot more successful . 	if he had played the character straight , along the lines of leslie nielson in the " naked gun " series , he probably would have been a lot more successful .	3	-2	 if[0] he[0] had[0] played[0] the[0] character[0] straight[0] along[0] the[0] lines[0] of[0] leslie[0] nielson[0] in[0] the[0] naked[0] gun[-1] series[0] he[0] probably[0] would[0] have[0] been[0] a[0] lot[0] more[0] successful[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
