paul verhoeven , the dutch auteur who dragged his violent , sexually aggressive aesthetic into american film , has never been what i'd consider a thoughtful director ( though some of his films , notably starship troopers , have been lauded as artistic achievements ) , but he is the kind of hollywood film maker who's managed to , no matter what the budget , make his films distinctive and even sometimes smuggle stimulating themes into the lavish high concepts on which he toils . 	Translation	Positive	Negative	EmotionRationale
starship troopers was essentially a b-monster movie remake of his enthralling dutch war film soldier of orange ( a great film that's nearly impossible to find on video , yet showgirls is everywhere ) , in which he cast a troop of stunningly attractive mannequins ; the square jawed casper van dien and denise richards ( who may actually be 45% silicone ) , in what feels like an american propaganda picture set to monotonous scenes of graphic carnage . 	starship troopers was essentially a b-monster movie remake of his enthralling dutch war film soldier of orange ( a great film that's nearly impossible to find on video , yet showgirls is everywhere ) , in which he cast a troop of stunningly attractive mannequins ; the square jawed casper van dien and denise richards ( who may actually be 45% silicone ) , in what feels like an american propaganda picture set to monotonous scenes of graphic carnage .	3	-3	 starship[0] troopers[0] was[0] essentially[0] a[0] b[0] monster[-1] movie[0] remake[0] of[0] his[0] enthralling[0] dutch[0] war[-2] film[0] soldier[0] of[0] orange[0] a[0] great[2] film[0] that's[0] nearly[0] impossible[0] to[0] find[0] on[0] video[0] yet[0] showgirls[0] is[0] everywhere[0] in[0] which[0] he[0] cast[0] a[0] troop[0] of[0] stunningly[0] attractive[1] mannequins[0] the[0] square[0] jawed[0] casper[0] van[0] dien[0] and[0] denise[0] richards[0] who[0] may[0] actually[0] be[0] 45%[0] silicone[0] in[0] what[0] feels[0] like[1] an[0] american[0] propaganda[-1] picture[0] set[0] to[0] monotonous[-1] scenes[0] of[0] graphic[0] carnage[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's not a completely successful film , but as a failure it's certainly an interesting ( and mostly entertaining ) one . 	it's not a completely successful film , but as a failure it's certainly an interesting ( and mostly entertaining ) one .	2	-4	 it's[0] not[0] a[0] completely[0] successful[2][1 LastWordBoosterStrength][NegatedDueToPreviousWord] film[0] but[0] as[0] a[0] failure[-2] it's[0] certainly[0] an[0] interesting[1] and[0] mostly[0] entertaining[0] one[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
my favorite verhoeven films were the ones he made before he hit our shores ; spetters , a dark near pornographic coming of age film set within the sub-culture of drag racing and the aforementioned soldier of orange ( haven't yet gotten around to seeing the 4th man or turkish delight ) . 	my favorite verhoeven films were the ones he made before he hit our shores ; spetters , a dark near pornographic coming of age film set within the sub-culture of drag racing and the aforementioned soldier of orange ( haven't yet gotten around to seeing the 4th man or turkish delight ) .	3	-2	 my[0] favorite[1] verhoeven[0] films[0] were[0] the[0] ones[0] he[0] made[0] before[0] he[0] hit[0] our[0] shores[0] spetters[0] a[0] dark[0] near[0] pornographic[0] coming[0] of[0] age[0] film[0] set[0] within[0] the[0] sub[0] culture[0] of[0] drag[-1] racing[0] and[0] the[0] aforementioned[0] soldier[0] of[0] orange[0] haven't[0] yet[0] gotten[0] around[0] to[0] seeing[0] the[0] 4th[0] man[0] or[0] turkish[0] delight[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i believe his best hollywood film to be robocop , a bleak super-hero satire with a robotic hero that's as touching as schwarzenegger's in t2 . 	i believe his best hollywood film to be robocop , a bleak super-hero satire with a robotic hero that's as touching as schwarzenegger's in t2 .	4	-2	 i[0] believe[0] his[0] best[1] hollywood[0] film[0] to[0] be[0] robocop[0] a[0] bleak[-1] super[2] hero[2][+1 MultiplePositiveWords] satire[0] with[0] a[0] robotic[0] hero[2] that's[0] as[0] touching[0] as[0] schwarzenegger's[0] in[0] t2[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
that movie was violent but not in the overdone cartoonish manner of more recent verhoeven pics . 	that movie was violent but not in the overdone cartoonish manner of more recent verhoeven pics .	1	-3	 that[0] movie[0] was[0] violent[-2] but[0] not[0] in[0] the[0] overdone[0] cartoonish[0] manner[0] of[0] more[0] recent[0] verhoeven[0] pics[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
its violence seemed to be there for a purpose , namely to create an atmosphere of unpredictable dread , not to simply titillate an attention deprived audience . 	its violence seemed to be there for a purpose , namely to create an atmosphere of unpredictable dread , not to simply titillate an attention deprived audience .	1	-4	 its[0] violence[-3] seemed[0] to[0] be[0] there[0] for[0] a[0] purpose[0] namely[0] to[0] create[0] an[0] atmosphere[0] of[0] unpredictable[0] dread[-3] not[0] to[0] simply[0] titillate[0] an[0] attention[0] deprived[-1] audience[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there's a jaw-dropping scene within the first ten minutes of robocop wherein the lead villain toys with a cop before snuffing him . 	there's a jaw-dropping scene within the first ten minutes of robocop wherein the lead villain toys with a cop before snuffing him .	1	-3	 there's[0] a[0] jaw[0] dropping[0] scene[0] within[0] the[0] first[0] ten[0] minutes[0] of[0] robocop[0] wherein[0] the[0] lead[0] villain[-2] toys[0] with[0] a[0] cop[0] before[0] snuffing[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he tortures the officer by taking glee in his victim's every fearful tic . 	he tortures the officer by taking glee in his victim's every fearful tic .	1	-4	 he[0] tortures[-3] the[0] officer[0] by[0] taking[0] glee[0] in[0] his[0] victim's[-2] every[0] fearful[-2] tic[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's a startling moment of barbaric , maddening violence that effectively sets the tone for the film that could be designated as splatter punk-noir . 	it's a startling moment of barbaric , maddening violence that effectively sets the tone for the film that could be designated as splatter punk-noir .	1	-5	 it's[0] a[0] startling[-1] moment[0] of[0] barbaric[-2] maddening[-2][-1 MultiplePositiveWords] violence[-3][-1 MultiplePositiveWords] that[0] effectively[0] sets[0] the[0] tone[0] for[0] the[0] film[0] that[0] could[0] be[0] designated[0] as[0] splatter[0] punk[0] noir[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
in hollow man kevin bacon brutally slays a dog because it just won't shut up , he impales a co-worker , drowns another and so on . 	in hollow man kevin bacon brutally slays a dog because it just won't shut up , he impales a co-worker , drowns another and so on .	1	-3	 in[0] hollow[-1] man[0] kevin[0] bacon[0] brutally[-2] slays[0] a[0] dog[0] because[0] it[0] just[0] won't[0] shut[0] up[0] he[0] impales[0] a[0] co[0] worker[0] drowns[-1] another[0] and[0] so[0] on[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
