the year is barely a week old , and there is already a candidate for the worst of 1997--the relic , a would-be chiller that's more successful at making the audience laugh than scream . 	Translation	Positive	Negative	EmotionRationale
in this ridiculous film from uberhack peter hyams ( whose last two pictures were dreadful jean-claude van damme vehicles ) , a creature that feeds on the hypothalamuses ( hypothalamii ? ) of humans and animals goes on a killing spree in a chicago museum . 	in this ridiculous film from uberhack peter hyams ( whose last two pictures were dreadful jean-claude van dame vehicles ) , a creature that feeds on the hypothalamuses ( hypothalami ?<br> ) of humans and animals goes on a killing spree in a chicago museum .	1	-4	 in[0] this[0] ridiculous[-2] film[0] from[0] uberhack[0] peter[0] hyams[0] whose[0] last[0] two[0] pictures[0] were[0] dreadful[-3] jean[0] claude[0] van[0] damme/dame[0] vehicles[0] a[0] creature[0] that[0] feeds[0] on[0] the[0] hypothalamuses[0] hypothalamii/hypothalami[0] [[Sentence=-4,1=word max, 1-5]] of[0] humans[0] and[0] animals[0] goes[0] on[0] a[0] killing[-1] spree[0] in[0] a[0] chicago[0] museum[0] [[Sentence=-2,1=word max, 1-5]][[[1,-4 max of sentences]]]
how did this creature come into existence , and why does it feed on hormones ? 	how did this creature come into existence , and why does it feed on hormones ?	1	-1	 how[0] did[0] this[0] creature[0] come[0] into[0] existence[0] and[0] why[0] does[0] it[0] feed[0] on[0] hormones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the " scientific " explanation cooked up by the four--yes , four--credited screenwriters ( amy holden jones , john raffo , rick jaffa , and amanda silver ) takes " suspension of disbelief " to new heights , even by monster movie standards . 	the " scientific " explanation cooked up by the four-yes , four-credited screenwriters ( amy holden jones , john raffo , rick jaffa , and amanda silver ) takes " suspension of disbelief " to new heights , even by monster movie standards .	1	-2	 the[0] scientific[0] explanation[0] cooked[0] up[0] by[0] the[0] four[0] yes[0] four[0] credited[0] screenwriters[0] amy[0] holden[0] jones[0] john[0] raffo[0] rick[0] jaffa[0] and[0] amanda[0] silver[0] takes[0] suspension[-1] of[0] disbelief[-1] to[0] new[0] heights[0] even[0] by[0] monster[-1] movie[0] standards[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but as cockamamie as the science is in the film , it isn't quite as hard to swallow as the casting of the clueless penelope ann miller as a brilliant molecular biologist who specializes in evolutionary genetics . 	but as cockamamie as the science is in the film , it isn't quite as hard to swallow as the casting of the clueless penelope an miller as a brilliant molecular biologist who specializes in evolutionary genetics .	2	-1	 but[0] as[0] cockamamie[0] as[0] the[0] science[0] is[0] in[0] the[0] film[0] it[0] isn't[0] quite[0] as[0] hard[0] to[0] swallow[0] as[0] the[0] casting[0] of[0] the[0] clueless[0] penelope[0] ann/an[0] miller[0] as[0] a[0] brilliant[1] molecular[0] biologist[0] who[0] specializes[1] in[0] evolutionary[0] genetics[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
miller acts as if she wants an oscar nomination , turning every scene that requires the slightest display of emotion into an overblown oscar clip , complete with piercing wails and glycerine tears . 	miller acts as if she wants an oscar nomination , turning every scene that requires the slightest display of emotion into an overblown oscar clip , complete with piercing wails and glycerine tears .	1	-4	 miller[0] acts[0] as[0] if[0] she[0] wants[0] an[0] oscar[0] nomination[0] turning[0] every[0] scene[0] that[0] requires[0] the[0] slightest[0] display[0] of[0] emotion[0] into[0] an[0] overblown[0] oscar[0] clip[0] complete[0] with[0] piercing[0] wails[-1] and[0] glycerine[0] tears[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
give it up , penelope--it's a _monster_movie_ . 	give it up , penelope-it's a _monster_movie_ .	1	-1	 give[0] it[0] up[0] penelope[0] it's[0] a[0] _monster_movie_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the flip side , tom sizemore just phones in his performance as a police lieutenant , but his role is so thankless that it's hard to imagine it being played any more effectively . 	on the flip side , tom sizemore just phones in his performance as a police lieutenant , but his role is so thankless that it's hard to imagine it being played any more effectively .	1	-1	 on[0] the[0] flip[0] side[0] tom[0] sizemore[0] just[0] phones[0] in[0] his[0] performance[0] as[0] a[0] police[0] lieutenant[0] but[0] his[0] role[0] is[0] so[0] thankless[0] that[0] it's[0] hard[0] to[0] imagine[0] it[0] being[0] played[0] any[0] more[0] effectively[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's quite funny to see a film indulge , with the straightest of faces , in all those cheesy horror movie cliches that wes craven lampooned so well ( and so recently ) in scream . 	it's quite funny to see a film indulge , with the straightest of faces , in all those cheesy horror movie cliches that wes craven lampooned so well ( and so recently ) in scream .	2	-4	 it's[0] quite[0] funny[1] to[0] see[0] a[0] film[0] indulge[-1] with[0] the[0] straightest[0] of[0] faces[0] in[0] all[0] those[0] cheesy[0] horror[-3] movie[0] cliches[0] that[0] wes[0] craven[-1] lampooned[0] so[0] well[0] and[0] so[0] recently[0] in[0] scream[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
for example , in one early scene , a museum security guard goes into a bathroom stall late at night . 	for example , in one early scene , a museum security guard goes into a bathroom stall late at night .	2	-1	 for[0] example[0] in[0] one[0] early[0] scene[0] a[0] museum[0] security[1] guard[0] goes[0] into[0] a[0] bathroom[0] stall[0] late[0] at[0] night[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ok , we all know what's coming , but as if we didn't need any more confirmation , he pulls out a joint and starts puffing away . 	ok , we all know what's coming , but as if we didn't need any more confirmation , he pulls out a joint and starts puffing away .	1	-1	 ok[0] we[0] all[0] know[0] what's[0] coming[0] but[0] as[0] if[0] we[0] didn't[0] need[0] any[0] more[0] confirmation[0] he[0] pulls[0] out[0] a[0] joint[0] and[0] starts[0] puffing[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
