bats is this year's camp flick . 	Translation	Positive	Negative	EmotionRationale
with the world's worst dialogue , cheesiest premise and stupidest editor , this one should be heaven for those who enjoy films humorous in their inanity . 	with the world's worst dialogue , cheesiest premise and stupidest editor , this one should be heaven for those who enjoy films humorous in their inanity .	3	-3	 with[0] the[0] world's[0] worst[-2] dialogue[0] cheesiest[0] premise[0] and[0] stupidest[-1] editor[0] this[0] one[0] should[0] be[0] heaven[1] for[0] those[0] who[0] enjoy[2] films[0] humorous[2] in[0] their[0] inanity[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
as for the rest of us , well . . . 	as for the rest of us , well .<br> .<br> .	1	-1	 as[0] for[0] the[0] rest[0] of[0] us[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'd say skip it , but looking at the box office figures for this one , it seems as though most of america is following that advice anyway . 	i'd say skip it , but looking at the box office figures for this one , it seems as though most of america is following that advice anyway .	1	-1	 i'd[0] say[0] skip[0] it[0] but[0] looking[0] at[0] the[0] box[0] office[0] figures[0] for[0] this[0] one[0] it[0] seems[0] as[0] though[0] most[0] of[0] america[0] is[0] following[0] that[0] advice[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
follow their lead and you'll spare yourself 90 minutes of your life and 8 bucks to boot . 	follow their lead and you'll spare yourself 90 minutes of your life and 8 bucks to boot .	1	-1	 follow[0] their[0] lead[0] and[0] you'll[0] spare[0] yourself[0] 90[0] minutes[0] of[0] your[0] life[0] and[0] 8[0] bucks[0] to[0] boot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i love alfred hitchcock's the birds , almost as much as i love the short story on which it is based . 	i love alfred hitchcock's the birds , almost as much as i love the short story on which it is based .	3	-1	 i[0] love[2] alfred[0] hitchcock's[0] the[0] birds[0] almost[0] as[0] much[0] as[0] i[0] love[2] the[0] short[0] story[0] on[0] which[0] it[0] is[0] based[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it saddens me even more , then , to see that american treasure ripped off so blatantly by wannabe horror/schlock such as bats . 	it saddens me even more , then , to see that american treasure ripped off so blatantly by wannabe horror/schlock such as bats .	2	-4	 it[0] saddens[-3] me[0] even[0] more[0] then[0] to[0] see[0] that[0] american[0] treasure[1] ripped[0] off[0] so[0] blatantly[-1] by[0] wannabe[0] horror/schlock[-3] such[0] as[0] bats[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
when mysterious bat attacks occur in a small texas town , the authorities call in a batologist ( dina meyer ) to investigate . 	when mysterious bat attacks occur in a small texas town , the authorities call in a batologist ( dina meyer ) to investigate .	1	-3	 when[0] mysterious[0] bat[0] attacks[-2] occur[0] in[0] a[0] small[0] texas[0] town[0] the[0] authorities[0] call[0] in[0] a[0] batologist[0] dina[0] meyer[0] to[0] investigate[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it turns out that a creepy scientist ( bob gunton ) has genetically enhanced a couple bats that escaped from his lab , making them smarter and more vicious . 	it turns out that a creepy scientist ( bob gunton ) has genetically enhanced a couple bats that escaped from his lab , making them smarter and more vicious .	2	-4	 it[0] turns[0] out[0] that[0] a[0] creepy[0] scientist[0] bob[0] gunton[-1] has[0] genetically[0] enhanced[0] a[0] couple[0] bats[0] that[0] escaped[0] from[0] his[0] lab[0] making[0] them[0] smarter[1] and[0] more[0] vicious[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
why has he done this , you ask ? 	why has he done this , you ask ?	1	-1	 why[0] has[0] he[0] done[0] this[0] you[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because , you see , it is apparently a scientist's job to make things " a little better , " even if that means the death of all mankind . 	because , you see , it is apparently a scientist's job to make things " a little better , " even if that means the death of all mankind .	1	-3	 because[0] you[0] see[0] it[0] is[0] apparently[0] a[0] scientist's[0] job[0] to[0] make[0] things[0] a[0] little[0] better[0] even[0] if[0] that[0] means[0] the[0] death[-2] of[0] all[0] mankind[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
