'traffic violation' dr . daniel's review of u-turn 	Translation	Positive	Negative	EmotionRationale
dr . d's rating : critical condition ( 	dr .<br> d's rating : critical condition (	1	-2	 dr[0] [[Sentence=-1,1=word max, 1-5]] d's[0] rating[0] critical[-1] condition[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
okay , here's the deal . 	okay , here's the deal .	1	-1	 okay[0] here's[0] the[0] deal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'll be the first one to grant that everybody needs a day off now and then . 	i'll be the first one to grant that everybody needs a day off now and then .	1	-1	 i'll[0] be[0] the[0] first[0] one[0] to[0] grant[0] that[0] everybody[0] needs[0] a[0] day[0] off[0] now[0] and[0] then[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'll even go so far as to say that a vacation is a necessary part of doing any job well . 	i'll even go so far as to say that a vacation is a necessary part of doing any job well .	1	-1	 i'll[0] even[0] go[0] so[0] far[0] as[0] to[0] say[0] that[0] a[0] vacation[0] is[0] a[0] necessary[0] part[0] of[0] doing[0] any[0] job[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mean , hey , i've been known to stretch a weekend into a three-day outing , if friday looks to be a slow day . 	i mean , hey , i've been known to stretch a weekend into a three-day outing , if friday looks to be a slow day .	2	-1	 i[0] mean[0] hey[1] i've[0] been[0] known[0] to[0] stretch[0] a[0] weekend[0] into[0] a[0] three[0] day[0] outing[0] if[0] friday[0] looks[0] to[0] be[0] a[0] slow[0] day[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and if monday ain't looking like a pick-me-up , well , i've been known to give martha nell a call and say , " do me a favor , sweetheart . 	and if monday ain't looking like a pick-me-up , well , i've been known to give martha nell a call and say , " do me a favor , sweetheart .	4	-1	 and[0] if[0] monday[0] ain't[0] looking[0] like[1] a[0] pick[0] me[0] up[0] well[0] i've[0] been[0] known[0] to[0] give[0] martha[0] nell[0] a[0] call[0] and[0] say[0] do[0] me[0] a[0] favor[1] sweetheart[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
bump old man ferguson's boil lancing to tuesday morning , and tell miss audrey that i'll swing by her house monday evening and see if we can't get her trick knee back in line . " 	bump old man ferguson's boil lancing to tuesday morning , and tell miss audrey that i'll swing by her house monday evening and see if we can't get her trick knee back in line .<br> "	2	-2	 bump[0] old[0] man[0] ferguson's[0] boil[0] lancing[0] to[0] tuesday[0] morning[0] and[0] tell[0] miss[-1] audrey[0] that[0] i'll[0] swing[0] by[0] her[0] house[0] monday[0] evening[0] and[0] see[0] if[0] we[0] can't[0] get[0] her[0] trick[-1] knee[0] back[0] in[0] line[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
a simple sentence like that , and i've got a nice four-day fishing trip with the boys , or more often than not , a trip up to cherokee , n . c . , for jackpot bingo and assorted other mountain funnery . 	a simple sentence like that , and i've got a nice four-day fishing trip with the boys , or more often than not , a trip up to cherokee , n .<br> c .<br> , for jackpot bingo and assorted other mountain funnery .	2	-1	 a[0] simple[0] sentence[0] like[1] that[0] and[0] i've[0] got[0] a[0] nice[1] four[0] day[0] fishing[0] trip[0] with[0] the[0] boys[0] or[0] more[0] often[0] than[0] not[0] a[0] trip[0] up[0] to[0] cherokee[0] n[0] [[Sentence=-1,2=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]] for[0] jackpot[0] bingo[0] and[0] assorted[0] other[0] mountain[0] funnery[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the point is , if you take a day off , do something different . 	but the point is , if you take a day off , do something different .	1	-1	 but[0] the[0] point[0] is[0] if[0] you[0] take[0] a[0] day[0] off[0] do[0] something[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you've worked yourself silly for months , relax a bit . 	if you've worked yourself silly for months , relax a bit .	3	-2	 if[0] you've[0] worked[0] yourself[0] silly[-1] for[0] months[0] relax[2] a[0] bit[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sleep in . 	sleep in .	1	-1	 sleep[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eat pancakes at noon . 	eat pancakes at noon .	1	-1	 eat[0] pancakes[0] at[0] noon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
microwave an egg in its shell . 	microwave an egg in its shell .	1	-1	 microwave[0] an[0] egg[0] in[0] its[0] shell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watch pro wrestling with the sound off . 	watch pro wrestling with the sound off .	1	-1	 watch[0] pro[0] wrestling[0] with[0] the[0] sound[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
listen to some barry white records at high speed . 	listen to some barry white records at high speed .	1	-1	 listen[0] to[0] some[0] barry[0] white[0] records[0] at[0] high[0] speed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whatever . 	whatever .	1	-1	 whatever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but do not , under any circumstances , spend your vacation doing the same thing you do for a living . 	but do not , under any circumstances , spend your vacation doing the same thing you do for a living .	1	-1	 but[0] do[0] not[0] under[0] any[0] circumstances[0] spend[0] your[0] vacation[0] doing[0] the[0] same[0] thing[0] you[0] do[0] for[0] a[0] living[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , if you do , don't make the final product look ten times worse than it would any other time . 	and , if you do , don't make the final product look ten times worse than it would any other time .	1	-3	 and[0] if[0] you[0] do[0] don't[0] make[0] the[0] final[0] product[0] look[0] ten[0] times[0] worse[-2] than[0] it[0] would[0] any[0] other[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
because i do not want to hear your sob stories , oliver stone . 	because i do not want to hear your sob stories , oliver stone .	1	-4	 because[0] i[0] do[0] not[0] want[0] to[0] hear[0] your[0] sob[-3] stories[0] oliver[0] stone[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you apparently thought you needed a break from making " important films . " 	you apparently thought you needed a break from making " important films .<br> "	1	-1	 you[0] apparently[0] thought[0] you[0] needed[0] a[0] break[0] from[0] making[0] important[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cool . 	cool .	2	-1	 cool[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so you found this hinky little book and decided to make it a movie . 	so you found this hinky little book and decided to make it a movie .	1	-1	 so[0] you[0] found[0] this[0] hinky[0] little[0] book[0] and[0] decided[0] to[0] make[0] it[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's cool , too . 	that's cool , too .	2	-1	 that's[0] cool[1] too[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , ollie , old sage , do not take a good story and a hot cast and make one of the most pointless and worthless films of the decade . 	but , ollie , old sage , do not take a good story and a hot cast and make one of the most pointless and worthless films of the decade .	2	-3	 but[0] ollie[0] old[0] sage[-1] do[0] not[0] take[0] a[0] good[1] story[0] and[0] a[0] hot[0] cast[0] and[0] make[0] one[0] of[0] the[0] most[0] pointless[-1] and[0] worthless[-2] films[0] of[0] the[0] decade[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i'm just eager to meet you one day , so i can buy you a stoli , look you in the eye and say , " what in the wide world of sports were you thinking with u-turn ? " 	i'm just eager to meet you one day , so i can buy you a stoli , look you in the eye and say , " what in the wide world of sports were you thinking with you-turn ?<br> "	1	-1	 i'm[0] just[0] eager[0] to[0] meet[0] you[0] one[0] day[0] so[0] i[0] can[0] buy[0] you[0] a[0] stoli[0] look[0] you[0] in[0] the[0] eye[0] and[0] say[0] what[0] in[0] the[0] wide[0] world[0] of[0] sports[0] were[0] you[0] thinking[0] with[0] u[0] turn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and i'll stand there staring 'til i get a straight answer . 	and i'll stand there staring 'til i get a straight answer .	1	-1	 and[0] i'll[0] stand[0] there[0] staring[0] 'til[0] i[0] get[0] a[0] straight[0] answer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sean penn stars u-turn , as bobby , a drifter who's had some troubles a while back . 	sean pen stars you-turn , as bobby , a drifter who's had some troubles a while back .	1	-1	 sean[0] penn/pen[0] stars[0] u[0] turn[0] as[0] bobby[0] a[0] drifter[0] who's[0] had[0] some[0] troubles[-1][--1 LastWordBoosterStrength] a[0] while[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
