my friend here in film school just made a two minute-long film for one of his classes that includes a staged anal rape scene , done by two guys and shot on the shadow of the incident , with a banana being used as the instrument of penetration . 	Translation	Positive	Negative	EmotionRationale
as sick as this all is , watching it is one of the most admittingly hysterical moments i've ever witnessed . 	as sick as this all is , watching it is one of the most admittingly hysterical moments i've ever witnessed .	1	-2	 as[0] sick[-1] as[0] this[0] all[0] is[0] watching[0] it[0] is[0] one[0] of[0] the[0] most[0] admittingly[0] hysterical[-1] moments[0] i've[0] ever[0] witnessed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sure , it may be in bad taste , but what the hell is bad taste other than something that may be offensive to some but is riotously amusing to the rest ? 	sure , it may be in bad taste , but what the hell is bad taste other than something that may be offensive to some but is riotously amusing to the rest ?	2	-3	 sure[0] it[0] may[0] be[0] in[0] bad[-1] taste[0] but[0] what[0] the[0] hell[-1] is[0] bad[-1] taste[0] other[0] than[0] something[0] that[0] may[0] be[0] offensive[-2] to[0] some[0] but[0] is[0] riotously[0] amusing[1] to[0] the[0] rest[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
then there's " caligula . " 	then there's " caligula .<br> "	1	-1	 then[0] there's[0] caligula[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film features incest , necrophilia , beastuality , anal rape , homosexual felatio of both sexes , elaborate and lengthy orgies , a greased-up fist forced up a man's rear , wine poured down a man who's had his urinary tracts tied off , a penis chopped off and fed to hungry dogs , etc , etc , etc . this could very well be a respectable film , and if could have been had the following not occurred : a ) the events were graphically shot in clear view ; b ) the tone was not that of trying to shock comically but to , well , show " historical accuracy ; " c ) the film was a 20 million dollar production with lavish sets , a rather impressive cast , and a whopping 2 1/2 hour running time . 	this film features incest , necrophilia , beastuality , anal rape , homosexual felatio of both sexes , elaborate and lengthy orgies , a greased-up fist forced up a man's rear , wine poured down a man who's had his urinary tracts tied off , a penis chopped off and fed to hungry dogs , etc , etc , etc .<br> this could very well be a respectable film , and if could have been had the following not occurred : a ) the events were graphically shot in clear view ; b ) the tone was not that of trying to shock comically but to , well , show " historical accuracy ; " c ) the film was a 20 million dollar production with lavish sets , a rather impressive cast , and a whopping 2 1/2 hour running time .	3	-4	 this[0] film[0] features[0] incest[0] necrophilia[0] beastuality[0] anal[0] rape[-3] homosexual[0] felatio[0] of[0] both[0] sexes[0] elaborate[0] and[0] lengthy[0] orgies[0] a[0] greased[0] up[0] fist[-1] forced[0] up[0] a[0] man's[0] rear[0] wine[0] poured[0] down[0] a[0] man[0] who's[0] had[0] his[0] urinary[0] tracts[0] tied[0] off[0] a[0] penis[0] chopped[0] off[0] and[0] fed[0] to[0] hungry[-1] dogs[0] etc[0] etc[0] etc[0] [[Sentence=-4,1=word max, 1-5]] this[0] could[0] very[0] well[0] be[0] a[0] respectable[2] film[0] and[0] if[0] could[0] have[0] been[0] had[0] the[0] following[0] not[0] occurred[0] a[0] the[0] events[0] were[0] graphically[0] shot[-1] in[0] clear[0] view[0] b[0] the[0] tone[0] was[0] not[0] that[0] of[0] trying[0] to[0] shock[-2] comically[0] but[0] to[0] well[0] show[0] historical[0] accuracy[0] c[0] the[0] film[0] was[0] a[0] 20[0] million[0] dollar[0] production[0] with[0] lavish[0] sets[0] a[0] rather[0] impressive[1] cast[0] and[0] a[0] whopping[0] 2[0] 1/2[0] hour[0] running[0] time[0] [[Sentence=-3,3=word max, 1-5]][[[3,-4 max of sentences]]]
produced and funded by none other than bob guccione , owner of penthouse magazine , " caligula " comes across as the most hysterical dramatic picture since " plan 9 from outer space " because underneath there's a sense that everything this film is doing is not only accurate and justified , but also brilliantly entertaining . 	produced and funded by none other than bob guccione , owner of penthouse magazine , " caligula " comes across as the most hysterical dramatic picture since " plan 9 from outer space " because underneath there's a sense that everything this film is doing is not only accurate and justified , but also brilliantly entertaining .	2	-2	 produced[0] and[0] funded[0] by[0] none[0] other[0] than[0] bob[0] guccione[0] owner[0] of[0] penthouse[0] magazine[0] caligula[0] comes[0] across[0] as[0] the[0] most[0] hysterical[-1] dramatic[0] picture[0] since[0] plan[0] 9[0] from[0] outer[0] space[0] because[0] underneath[0] there's[0] a[0] sense[0] that[0] everything[0] this[0] film[0] is[0] doing[0] is[0] not[0] only[0] accurate[0] and[0] justified[0] but[0] also[0] brilliantly[1] entertaining[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after all , it's not really the fact that this film features the aforementioned disgusting moments , but that it actually believes in them as dramatic weaponry . 	after all , it's not really the fact that this film features the aforementioned disgusting moments , but that it actually believes in them as dramatic weaponry .	1	-4	 after[0] all[0] it's[0] not[0] really[0] the[0] fact[0] that[0] this[0] film[0] features[0] the[0] aforementioned[0] disgusting[-3] moments[0] but[0] that[0] it[0] actually[0] believes[0] in[0] them[0] as[0] dramatic[0] weaponry[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
no film should be discarded because its content , because film is never about what it's about , it's about how it's about ( as the old cliche goes ) . 	no film should be discarded because its content , because film is never about what it's about , it's about how it's about ( as the old cliche goes ) .	1	-1	 no[0] film[0] should[0] be[0] discarded[0] because[0] its[0] content[0] because[0] film[0] is[0] never[0] about[0] what[0] it's[0] about[0] it's[0] about[0] how[0] it's[0] about[0] as[0] the[0] old[0] cliche[0] goes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
those who bash this film for content are glancing over the biggest and most obvious problem with " caligula , " and that's that it's nothing but overdramaticized bullshit from start to finish , without a second of credibility in its mammoth running time . 	those who bash this film for content are glancing over the biggest and most obvious problem with " caligula , " and that's that it's nothing but overdramaticized bullshit from start to finish , without a second of credibility in its mammoth running time .	1	-3	 those[0] who[0] bash[0] this[0] film[0] for[0] content[0] are[0] glancing[0] over[0] the[0] biggest[0] and[0] most[0] obvious[0] problem[-1] with[0] caligula[0] and[0] that's[0] that[0] it's[0] nothing[0] but[0] overdramaticized[0] bullshit[-2] from[0] start[0] to[0] finish[0] without[0] a[0] second[0] of[0] credibility[0] in[0] its[0] mammoth[0] running[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " caligula " allegedly tells the true story of the evil roman emporer of the same name , a man who was so insanely decadent that his assasination came as a blessing . . . or 	 " caligula " allegedly tells the true story of the evil roman emporer of the same name , a man who was so insanely decadent that his assasination came as a blessing .<br> .<br> .<br> or	2	-3	 caligula[0] allegedly[-1] tells[0] the[0] true[1] story[0] of[0] the[0] evil[-2] roman[0] emporer[0] of[0] the[0] same[0] name[0] a[0] man[0] who[0] was[0] so[0] insanely[0] decadent[-1] that[0] his[0] assasination[0] came[0] as[0] a[0] blessing[1] [[Sentence=-3,2=word max, 1-5]] or[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
so i guess , even though almost every single roman emporer was assasinated as well and for much the same reasons . 	so i guess , even though almost every single roman emporer was assasinated as well and for much the same reasons .	1	-1	 so[0] i[0] guess[0] even[0] though[0] almost[0] every[0] single[0] roman[0] emporer[0] was[0] assasinated[0] as[0] well[0] and[0] for[0] much[0] the[0] same[0] reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
