this is an adaptation of h . g . wells' acclaimed novel 'the invisible man' . 	Translation	Positive	Negative	EmotionRationale
the actors are kevin beacon and elizabeth shue . 	the actors are kevin beacon and elizabeth shue .	1	-1	 the[0] actors[0] are[0] kevin[0] beacon[0] and[0] elizabeth[0] shue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the director is paul verhoven . 	the director is paul verhoven .	1	-1	 the[0] director[0] is[0] paul[0] verhoven[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that , plus a quick demonstration of the amazing special effects in the trailer , should be enough to lure us into the theatre . 	that , plus a quick demonstration of the amazing special effects in the trailer , should be enough to lure us into the theatre .	3	-2	 that[0] plus[0] a[0] quick[0] demonstration[0] of[0] the[0] amazing[2] special[1] effects[0] in[0] the[0] trailer[0] should[0] be[0] enough[0] to[0] lure[-1] us[0] into[0] the[0] theatre[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the problem is to keep us there . 	the problem is to keep us there .	1	-2	 the[0] problem[-1] is[0] to[0] keep[0] us[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i can't imagine anyone who would like to see this movie a second time . 	i can't imagine anyone who would like to see this movie a second time .	1	-1	 i[0] can't[0] imagine[0] anyone[0] who[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] see[0] this[0] movie[0] a[0] second[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
working on a top secret military project , sebastian caine ( kevin beacon ) -- an eccentric genius , that calls himself " god " , has discovered the secret to invisibility . 	working on a top secret military project , sebastian caine ( kevin beacon ) - an eccentric genius , that calls himself " god " , has discovered the secret to invisibility .	1	-2	 working[0] on[0] a[0] top[0] secret[0] military[0] project[0] sebastian[0] caine[0] kevin[0] beacon[0] an[0] eccentric[-1] genius[0] that[0] calls[0] himself[0] god[0] has[0] discovered[0] the[0] secret[0] to[0] invisibility[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first two faces are completed . 	the first two faces are completed .	1	-1	 the[0] first[0] two[0] faces[0] are[0] completed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , it is time for " the next logical step " -- human . 	now , it is time for " the next logical step " - human .	1	-1	 now[0] it[0] is[0] time[0] for[0] the[0] next[0] logical[0] step[0] human[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
caine volunteers for this risky experiment . 	caine volunteers for this risky experiment .	1	-2	 caine[0] volunteers[0] for[0] this[0] risky[-1] experiment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but when he is made invisible , something goes wrong . 	but when he is made invisible , something goes wrong .	1	-2	 but[0] when[0] he[0] is[0] made[0] invisible[-1] something[0] goes[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
