there ? s nothing quite like a gory anime . 	Translation	Positive	Negative	EmotionRationale
really , and this is the truth , no other genre in film gets away with such violence without a word being said in the media about it . 	really , and this is the truth , no other genre in film gets away with such violence without a word being said in the media about it .	2	-4	 really[0] and[0] this[0] is[0] the[0] truth[1] no[0] other[0] genre[0] in[0] film[0] gets[0] away[0] with[0] such[0] violence[-3] without[0] a[0] word[0] being[0] said[0] in[0] the[0] media[0] about[0] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
with anime , a common shot is watching a body getting quickly cut in two , and the rest of the insides falling out seconds afterword . 	with anime , a common shot is watching a body getting quickly cut in two , and the rest of the insides falling out seconds afterword .	1	-2	 with[0] anime[0] a[0] common[0] shot[-1] is[0] watching[0] a[0] body[0] getting[0] quickly[0] cut[0] in[0] two[0] and[0] the[0] rest[0] of[0] the[0] insides[0] falling[0] out[0] seconds[0] afterword[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a standard practice in anime , or at least the half dozen or so titles that i ? ve seen . 	this is a standard practice in anime , or at least the half dozen or so titles that i ?<br> ve seen .	1	-1	 this[0] is[0] a[0] standard[0] practice[0] in[0] anime[0] or[0] at[0] least[0] the[0] half[0] dozen[0] or[0] so[0] titles[0] that[0] i[0] [[Sentence=-1,1=word max, 1-5]] ve[0] seen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vampire hunter d is a gory , gory film . 	vampire hunter d is a gory , gory film .	1	-2	 vampire[0] hunter[-1] d[0] is[0] a[0] gory[0] gory[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if they ever made a live version of the film , it would be banned in several countries and given a rating somewhere below xxx . 	if they ever made a live version of the film , it would be banned in several countries and given a rating somewhere below x .	2	-1	 if[0] they[0] ever[0] made[0] a[0] live[0] version[0] of[0] the[0] film[0] it[0] would[0] be[0] banned[0] in[0] several[0] countries[0] and[0] given[0] a[0] rating[0] somewhere[0] below[0] xxx/x[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it ? s not that it ? s gore is unique - it ? s just like other gory animes - but this one was supposed to stand out because of the complexity it ? s story , characters , animation , etc . . . 	it ?<br> s not that it ?<br> s gore is unique - it ?<br> s just like other gory animes - but this one was supposed to stand out because of the complexity it ?<br> s story , characters , animation , etc .<br> .<br> .	1	-1	 it[0] [[Sentence=-1,1=word max, 1-5]] s[0] not[0] that[0] it[0] [[Sentence=-1,1=word max, 1-5]] s[0] gore[0] is[0] unique[0] it[0] [[Sentence=-1,1=word max, 1-5]] s[0] just[0] like[1][-1 LastWordBoosterStrength] other[0] gory[0] animes[0] but[0] this[0] one[0] was[0] supposed[0] to[0] stand[0] out[0] because[0] of[0] the[0] complexity[0] it[0] [[Sentence=-1,1=word max, 1-5]] s[0] story[0] characters[0] animation[0] etc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it really didn ? t . 	it really didn ?<br> t .	1	-1	 it[0] really[0] didn[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was disgusting and gruesome , which overshadowed the story , what little of it there was . 	it was disgusting and gruesome , which overshadowed the story , what little of it there was .	1	-4	 it[0] was[0] disgusting[-3] and[0] gruesome[0] which[0] overshadowed[0] the[0] story[0] what[0] little[0] of[0] it[0] there[0] was[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it seems that in the not too distant future vampires and evil control the world , because god knows that our local police force just can ? t seem to get a handle on vampires in the movies . 	it seems that in the not too distant future vampires and evil control the world , because god knows that our local police force just can ?<br> t seem to get a handle on vampires in the movies .	1	-3	 it[0] seems[0] that[0] in[0] the[0] not[0] too[0] distant[0] future[0] vampires[0] and[0] evil[-2] control[0] the[0] world[0] because[0] god[0] knows[0] that[0] our[0] local[0] police[0] force[-1] just[0] can[0] [[Sentence=-3,1=word max, 1-5]] t[0] seem[0] to[0] get[0] a[0] handle[0] on[0] vampires[0] in[0] the[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
one evening , a blond peasant girl , drawn to look 17 and innocent ( a foreshadow that we will see her naked , i guessed early on it would be in the shower or in a rape scene ) is out fighting evil in her local forest preserve when she stumbles onto the private property of a ten thousand year old vampire ( insert strom thurmand joke here . ) 	one evening , a blond peasant girl , drawn to look 17 and innocent ( a foreshadow that we will see her naked , i guessed early on it would be in the shower or in a rape scene ) is out fighting evil in her local forest preserve when she stumbles onto the private property of a ten thousand year old vampire ( insert strom thurmand joke here .<br> )	2	-4	 one[0] evening[0] a[0] blond[0] peasant[0] girl[0] drawn[0] to[0] look[0] 17[0] and[0] innocent[1] a[0] foreshadow[0] that[0] we[0] will[0] see[0] her[0] naked[0] i[0] guessed[0] early[0] on[0] it[0] would[0] be[0] in[0] the[0] shower[0] or[0] in[0] a[0] rape[-3] scene[0] is[0] out[0] fighting[-2] evil[-2][-1 MultiplePositiveWords] in[0] her[0] local[0] forest[0] preserve[0] when[0] she[0] stumbles[0] onto[0] the[0] private[0] property[0] of[0] a[0] ten[0] thousand[0] year[0] old[0] vampire[0] insert[0] strom[0] thurmand[0] joke[1] here[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
