the kids in the hall are an acquired taste . 	Translation	Positive	Negative	EmotionRationale
it took at least a season of watching their show on hbo before i became a believer . 	it took at least a season of watching their show on hbo before i became a believer .	1	-1	 it[0] took[0] at[0] least[0] a[0] season[0] of[0] watching[0] their[0] show[0] on[0] hbo[0] before[0] i[0] became[0] a[0] believer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe after watching a half dozen kids in the hall movies , they would grow into the big screen . 	maybe after watching a half dozen kids in the hall movies , they would grow into the big screen .	1	-1	 maybe[0] after[0] watching[0] a[0] half[0] dozen[0] kids[0] in[0] the[0] hall[0] movies[0] they[0] would[0] grow[0] into[0] the[0] big[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my recommendation is that , unless you are a big fan of the kids , skip the film . 	my recommendation is that , unless you are a big fan of the kids , skip the film .	1	-1	 my[0] recommendation[0] is[0] that[0] unless[0] you[0] are[0] a[0] big[0] fan[0] of[0] the[0] kids[0] skip[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as it is , their first--and most likely only--attempt at a full length film lacks the qualities that made their comedy work on tv . 	as it is , their first-and most likely only-attempt at a full length film lacks the qualities that made their comedy work on tv .	1	-1	 as[0] it[0] is[0] their[0] first[0] and[0] most[0] likely[0] only[0] attempt[0] at[0] a[0] full[0] length[0] film[0] lacks[0] the[0] qualities[0] that[0] made[0] their[0] comedy[0] work[0] on[0] tv[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a big-budget and glossy production can not make up for a lack of spontaneity that permeates their tv show . 	a big-budget and glossy production can not make up for a lack of spontaneity that permeates their tv show .	1	-2	 a[0] big[0] budget[0] and[0] glossy[0] production[0] can[0] not[0] make[0] up[0] for[0] a[0] lack[-1] of[0] spontaneity[0] that[0] permeates[0] their[0] tv[0] show[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the kids go through the motions , but you get the feeling that they arent really having fun doing so . 	the kids go through the motions , but you get the feeling that they arent really having fun doing so .	1	-2	 the[0] kids[0] go[0] through[0] the[0] motions[0] but[0] you[0] get[0] the[0] feeling[0] that[0] they[0] arent[0] really[0] having[0] fun[1][NegatedDueToPreviousWord] doing[0] so[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and this makes it more difficult for the audience to enjoy their antics . 	and this makes it more difficult for the audience to enjoy their antics .	3	-2	 and[0] this[0] makes[0] it[0] more[0] difficult[-1] for[0] the[0] audience[0] to[0] enjoy[2] their[0] antics[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
brain candy is a bunch of skits tied together by the story of a pharmaceutical company that develops a new drug to cure depression . 	brain candy is a bunch of skits tied together by the story of a pharmaceutical company that develops a new drug to cure depression .	1	-4	 brain[0] candy[0] is[0] a[0] bunch[0] of[0] skits[0] tied[0] together[0] by[0] the[0] story[0] of[0] a[0] pharmaceutical[0] company[0] that[0] develops[0] a[0] new[0] drug[0] to[0] cure[0] depression[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in typical sketch-comedy tradition , each actor plays several roles . 	in typical sketch-comedy tradition , each actor plays several roles .	2	-1	 in[0] typical[0] sketch[0] comedy[0] tradition[0] each[0] actor[0] plays[1] several[0] roles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
doctor cooper ( kevin mcdonald ) and his team create the drug . 	doctor cooper ( kevin mcdonald ) and his team create the drug .	1	-1	 doctor[0] cooper[0] kevin[0] mcdonald[0] and[0] his[0] team[0] create[0] the[0] drug[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then , under pressure from don roritor ( mark mckinney ) , founder and president of roritor pharmaceuticals , dr . cooper releases the drug into the marketplace . 	then , under pressure from don roritor ( mark mckinney ) , founder and president of roritor pharmaceuticals , dr .<br> cooper releases the drug into the marketplace .	1	-2	 then[0] under[0] pressure[-1] from[0] don[0] roritor[0] mark[0] mckinney[0] founder[-1] and[0] president[0] of[0] roritor[0] pharmaceuticals[0] dr[0] [[Sentence=-2,1=word max, 1-5]] cooper[0] releases[0] the[0] drug[0] into[0] the[0] marketplace[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
