i can't recall a previous film experience where the fairly good time i was having turned as sour as quickly as it did during feeling minnesota . 	Translation	Positive	Negative	EmotionRationale
for forty minutes or so , i was lured into a loopy if occasionally over-wrought romantic comedy , and i was even giving keanu reeves the benefit of the doubt . 	for forty minutes or so , i was lured into a loopy if occasionally over-wrought romantic comedy , and i was even giving keanu reeves the benefit of the doubt .	4	-2	 for[0] forty[0] minutes[0] or[0] so[0] i[0] was[0] lured[0] into[0] a[0] loopy[0] if[0] occasionally[0] over[0] wrought[0] romantic[3] comedy[0] and[0] i[0] was[0] even[0] giving[0] keanu[0] reeves[0] the[0] benefit[0] of[0] the[0] doubt[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
then , rather suddenly , i was clubbed over the head with a nasty bit of violence ; shortly thereafter , i was whacked in the gut by another . 	then , rather suddenly , i was clubbed over the head with a nasty bit of violence ; shortly thereafter , i was whacked in the gut by another .	1	-4	 then[0] rather[0] suddenly[0] i[0] was[0] clubbed[0] over[0] the[0] head[0] with[0] a[0] nasty[-2] bit[0] of[0] violence[-3] shortly[0] thereafter[0] i[0] was[0] whacked[0] in[0] the[0] gut[0] by[0] another[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
feeling minnesota is a film that made me feel violated , as though i had trusted writer-director steven baigelman to bring me a cool glass of water and instead he threw acid in my face . 	feeling minnesota is a film that made me feel violated , as though i had trusted writer-director steven baigelman to bring me a cool glass of water and instead he threw acid in my face .	2	-3	 feeling[0] minnesota[0] is[0] a[0] film[0] that[0] made[0] me[0] feel[0] violated[-2] as[0] though[0] i[0] had[0] trusted[1] writer[0] director[0] steven[0] baigelman[0] to[0] bring[0] me[0] a[0] cool[1] glass[0] of[0] water[0] and[0] instead[0] he[0] threw[0] acid[0] in[0] my[0] face[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
feeling minnesota tells the story of a topless dancer named freddie ( cameron diaz ) who finds herself in deep trouble when her boss red ( delroy lindo ) suspects her of stealing from him . 	feeling minnesota tells the story of a topless dancer named freddie ( cameron diaz ) who finds herself in deep trouble when her boss red ( delroy lindo ) suspects her of stealing from him .	1	-3	 feeling[0] minnesota[0] tells[0] the[0] story[0] of[0] a[0] topless[0] dancer[0] named[0] freddie[0] cameron[0] diaz[0] who[0] finds[0] herself[0] in[0] deep[0] trouble[-1] when[0] her[0] boss[0] red[0] delroy[0] lindo[0] suspects[0] her[0] of[0] stealing[-2] from[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
red's punishment is to force freddie to marry his bookkeeper , sam clayton ( vincent d'onofrio ) , who is far from the man of freddie's dreams . 	red's punishment is to force freddie to marry his bookeeper , sam clayton ( vincent d'onofrio ) , who is far from the man of freddie's dreams .	1	-2	 red's[0] punishment[-1] is[0] to[0] force[-1] freddie[0] to[0] marry[0] his[0] bookkeeper/bookeeper[0] sam[0] clayton[0] vincent[0] d'onofrio[0] who[0] is[0] far[0] from[0] the[0] man[0] of[0] freddie's[0] dreams[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
enter jjaks ( keanu reeves ) , sam's estranged younger brother , who arrives at the wedding just in time to catch freddie's eye and have sex with her in the bathroom . 	enter jaks ( keanu reeves ) , sam's estranged younger brother , who arrives at the wedding just in time to catch freddie's eye and have sex with her in the bathroom .	1	-2	 enter[0] jjaks/jaks[0] keanu[0] reeves[0] sam's[0] estranged[-1] younger[0] brother[0] who[0] arrives[0] at[0] the[0] wedding[0] just[0] in[0] time[0] to[0] catch[0] freddie's[0] eye[0] and[0] have[0] sex[0] with[0] her[0] in[0] the[0] bathroom[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
united in their mutual attraction and their mutual loathing of sam , jjaks and freddie take off together , but sam isn't ready to let them go without a fight . 	united in their mutual attraction and their mutual loathing of sam , jaks and freddie take off together , but sam isn't ready to let them go without a fight .	2	-3	 united[0] in[0] their[0] mutual[0] attraction[1] and[0] their[0] mutual[0] loathing[0] of[0] sam[0] jjaks/jaks[0] and[0] freddie[0] take[0] off[0] together[0] but[0] sam[0] isn't[0] ready[0] to[0] let[0] them[0] go[0] without[0] a[0] fight[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
freddie , meanwhile , isn't ready to let sam's money go without a fight , and thus begins a series of violent confrontations . 	freddie , meanwhile , isn't ready to let sam's money go without a fight , and thus begins a series of violent confrontations .	1	-4	 freddie[0] meanwhile[0] isn't[0] ready[0] to[0] let[0] sam's[0] money[0] go[0] without[0] a[0] fight[-2] and[0] thus[0] begins[0] a[0] series[0] of[0] violent[-2] confrontations[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there is both style and substance to the beginning of feeling minnesota , as baigelman opens with an effective montage showing jjaks and sam's intense sibling rivalry as boys , and their mother ( tuesday weld ) sending jjaks away to live with his father . 	there is both style and substance to the beginning of feeling minnesota , as baigelman opens with an effective montage showing jaks and sam's intense sibling rivalry as boys , and their mother ( tuesday weld ) sending jaks away to live with his father .	1	-2	 there[0] is[0] both[0] style[0] and[0] substance[0] to[0] the[0] beginning[0] of[0] feeling[0] minnesota[0] as[0] baigelman[0] opens[0] with[0] an[0] effective[0] montage[0] showing[0] jjaks/jaks[0] and[0] sam's[0] intense[0] sibling[0] rivalry[-1] as[0] boys[0] and[0] their[0] mother[0] tuesday[0] weld[0] sending[0] jjaks/jaks[0] away[0] to[0] live[0] with[0] his[0] father[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it does a great job of setting up jjaks' unstable life , a life which has landed him in trouble for petty crimes and always trying to please his family ; reeves' wounded look is just right for jjaks . 	it does a great job of setting up jaks' unstable life , a life which has landed him in trouble for petty crimes and always trying to please his family ; reeves' wounded look is just right for jaks .	3	-2	 it[0] does[0] a[0] great[2] job[0] of[0] setting[0] up[0] jjaks'/jaks'[0] unstable[-1] life[0] a[0] life[0] which[0] has[0] landed[0] him[0] in[0] trouble[-1] for[0] petty[0] crimes[-1] and[0] always[0] trying[0] to[0] please[1] his[0] family[0] reeves'[0] wounded[-1] look[0] is[0] just[0] right[0] for[0] jjaks/jaks[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
