the great actor james woods once said ( and i'm paraphrasing ) , " if sex isn't messy , then you're not doing it right " . 	Translation	Positive	Negative	EmotionRationale
a truly profound statement , and one that could be made for the entire mad slasher genre ( just replace " sex " with " your mad slasher film " ) . 	a truly profound statement , and one that could be made for the entire mad slasher genre ( just replace " sex " with " your mad slasher film " ) .	2	-2	 a[0] truly[1] profound[0] statement[0] and[0] one[0] that[0] could[0] be[0] made[0] for[0] the[0] entire[0] mad[-1] slasher[-1] genre[0] just[0] replace[0] sex[0] with[0] your[0] mad[-1] slasher[-1] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for those uninformed souls , the mad slasher genre ( or sub-genre ) is a melding of horror and exploitation elements put to the service of a plot that follows an identical outline : a usually masked but always crazed killer stalks and kills attractive teens a la halloween . 	for those uninformed souls , the mad slasher genre ( or sub-genre ) is a melding of horror and exploitation elements put to the service of a plot that follows an identical outline : a usually masked but always crazed killer stalks and kills attractive teens a la halloween .	2	-4	 for[0] those[0] uninformed[-1] souls[0] the[0] mad[-1] slasher[-1] genre[0] or[0] sub[0] genre[0] is[0] a[0] melding[0] of[0] horror[-3] and[0] exploitation[0] elements[0] put[0] to[0] the[0] service[0] of[0] a[0] plot[0] that[0] follows[0] an[0] identical[0] outline[0] a[0] usually[0] masked[0] but[0] always[0] crazed[0] killer[-1] stalks[0] and[0] kills[0] attractive[1] teens[0] a[0] la[0] halloween[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
urban legend is a mad slasher flick , but one that is so sanitary , bloodless , and nudity free , that with its irony laden dialogue and beautiful ( though not overly talented ) cast , it more closely resembles an overlong wb television special . 	urban legend is a mad slasher flick , but one that is so sanitary , bloodless , and nudity free , that with its irony laden dialogue and beautiful ( though not overly talented ) cast , it more closely resembles an overlong welcome back� television special .	3	-2	 urban[0] legend[0] is[0] a[0] mad[-1] slasher[-1] flick[0] but[0] one[0] that[0] is[0] so[0] sanitary[0] bloodless[0] and[0] nudity[0] free[0] that[0] with[0] its[0] irony[-1] laden[0] dialogue[0] and[0] beautiful[2] though[0] not[0] overly[0] talented[1][NegatedDueToPreviousWord] cast[0] it[0] more[0] closely[0] resembles[0] an[0] overlong[0] wb[0] television[0] special[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
for film makers , gore is one of the two weapons they have at their disposal in a stale , fright-free horror movie , as stephen king once said ( again paraphrasing ) " if you can't scare your audience , gross em' out , if you can't do that , make em' laugh " . 	for film makers , gore is one of the two weapons they have at their disposal in a stale , fright-free horror movie , as stephen king once said ( again paraphrasing ) " if you can't scare your audience , gross em' out , if you can't do that , make em' laugh " .	4	-4	 for[0] film[0] makers[0] gore[0] is[0] one[0] of[0] the[0] two[0] weapons[-1] they[0] have[0] at[0] their[0] disposal[-1] in[0] a[0] stale[-1] fright[-3] free[0] horror[-3] movie[0] as[0] stephen[0] king[0] once[0] said[0] again[0] paraphrasing[0] if[0] you[0] can't[0] scare[-3][NegatedDueToPreviousWord] your[0] audience[0] gross[-1] em'[0] out[0] if[0] you[0] can't[0] do[0] that[0] make[0] em'[0] laugh[1] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
alas , urban legend succeeds only at the latter , though not by intention . 	alas , urban legend succeeds only at the latter , though not by intention .	3	-2	 alas[-1] urban[0] legend[0] succeeds[2] only[0] at[0] the[0] latter[0] though[0] not[0] by[0] intention[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i actually find the fact that this film became a minor success (  40 million domestic box office gross ) more frightening than anything in it . 	i actually find the fact that this film became a minor success (  40 million domestic box office gross ) more frightening than anything in it .	3	-4	 i[0] actually[0] find[0] the[0] fact[0] that[0] this[0] film[0] became[0] a[0] minor[0] success[2] 40[0] million[0] domestic[0] box[0] office[0] gross[-1] more[0] frightening[-3] than[0] anything[0] in[0] it[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it seems that audiences' tastes have been whittled down to such a degree that any movie even claiming to be scary is given the benefit of the doubt . 	it seems that audiences' tastes have been whittled down to such a degree that any movie even claiming to be scary is given the benefit of the doubt .	1	-4	 it[0] seems[0] that[0] audiences'[0] tastes[0] have[0] been[0] whittled[0] down[0] to[0] such[0] a[0] degree[0] that[0] any[0] movie[0] even[0] claiming[0] to[0] be[0] scary[-3] is[0] given[0] the[0] benefit[0] of[0] the[0] doubt[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the promotion for urban legend sure promised thrills , but how can anyone with a three digit iq argue that it provides them . 	the promotion for urban legend sure promised thrills , but how can anyone with a three digit iq argue that it provides them .	4	-2	 the[0] promotion[0] for[0] urban[0] legend[0] sure[0] promised[1] thrills[3] but[0] how[0] can[0] anyone[0] with[0] a[0] three[0] digit[0] iq[0] argue[-1] that[0] it[0] provides[0] them[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
unfortunately , these kinds of flicks will continue to be produced because people no longer have expectations ; one idiotic super-hyped blockbuster flick after another has desensitized audiences to the point where films don't need to do anything more than promise a good time without the added pressure of delivering . 	unfortunately , these kinds of flicks will continue to be produced because people no longer have expectations ; one idiotic super-hyped blockbuster flick after another has desensitized audiences to the point where films don't need to do anything more than promise a good time without the added pressure of delivering .	3	-3	 unfortunately[-1] these[0] kinds[0] of[0] flicks[0] will[0] continue[0] to[0] be[0] produced[0] because[0] people[0] no[0] longer[0] have[0] expectations[0] one[0] idiotic[-2] super[2] hyped[0] blockbuster[-1] flick[0] after[0] another[0] has[0] desensitized[0] audiences[0] to[0] the[0] point[0] where[0] films[0] don't[0] need[0] to[0] do[0] anything[0] more[0] than[0] promise[1] a[0] good[1] time[0] without[0] the[0] added[0] pressure[-1] of[0] delivering[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
if anyone disagrees i would love for them to explain the box office successes of shit like batman and robin , wild wild west , and godzilla . 	if anyone disagrees i would love for them to explain the box office successes of shit like batman and robin , wild wild west , and godzilla .	3	-2	 if[0] anyone[0] disagrees[-1] i[0] would[0] love[2][-1 LastWordBoosterStrength] for[0] them[0] to[0] explain[0] the[0] box[0] office[0] successes[2] of[0] shit[-1] like[1] batman[0] and[0] robin[0] wild[0] wild[0] west[0] and[0] godzilla[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but forget all that , it goes without saying that mad slasher films ( or any other exploitation off-shoot ) will be made without an ounce of craft ( especially considering the sheer volume that are produced ) . 	but forget all that , it goes without saying that mad slasher films ( or any other exploitation off-shoot ) will be made without an ounce of craft ( especially considering the sheer volume that are produced ) .	1	-2	 but[0] forget[0] all[0] that[0] it[0] goes[0] without[0] saying[0] that[0] mad[-1] slasher[-1] films[0] or[0] any[0] other[0] exploitation[0] off[0] shoot[-1] will[0] be[0] made[0] without[0] an[0] ounce[0] of[0] craft[0] especially[0] considering[0] the[0] sheer[0] volume[0] that[0] are[0] produced[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
