delicatessen ( directors : marc caro/jean-pierre jeunet ; screenwriters : gilles adrien/marc caro ; cinematographer : darius khondji ; editor : herve schneid ; cast : dominique pinon ( louison ) , marie-laure dougnac ( julie clapet ) , jean-claude dreyfus ( clapet-the butcher ) , karin viard ( mademoiselle plusse ) , ticky holgado ( marcel tapioca ) , anne-marie pisani ( madame tapioca ) , jacques mathou ( roger ) , rufus ( robert kube ) , howard vernon ( frog man ) , edith ker ( granny ) , boban janevski ( young rascal ) , mikael todde ( young rascal ) , chick ortega ( postman ) , silvie laguna ( aurore interligator ) , howard vernon ( frog man ) ; runtime : 96 ; miramax/constellation/ugc/hatchette premiere ; 1991-france ) 	Translation	Positive	Negative	EmotionRationale
reviewed by dennis schwartz 	reviewed by dennis schwartz	1	-1	 reviewed[0] by[0] dennis[0] schwartz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a black comedy set in the near future in a boarding house run by a depraved butcher . 	a black comedy set in the near future in a boarding house run by a depraved butcher .	1	-4	 a[0] black[0] comedy[0] set[0] in[0] the[0] near[0] future[0] in[0] a[0] boarding[0] house[0] run[0] by[0] a[0] depraved[-3] butcher[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the comedy is played more in comic strip style for entertaining value than for deeper satire , as it features mostly zany sophomoric sight gags and relies heavily on special effects . 	the comedy is played more in comic strip style for entertaining value than for deeper satire , as it features mostly zany sophomoric sight gags and relies heavily on special effects .	2	-1	 the[0] comedy[0] is[0] played[0] more[0] in[0] comic[0] strip[0] style[0] for[0] entertaining[0] value[1] than[0] for[0] deeper[0] satire[0] as[0] it[0] features[0] mostly[0] zany[0] sophomoric[0] sight[0] gags[0] and[0] relies[0] heavily[0] on[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the world has fallen on hard times and there are food shortages which include no meat , so the butcher serves up meat from human flesh to customers who pay with grain , almost as valued a commodity . 	the world has fallen on hard times and there are food shortages which include no meat , so the butcher serves up meat from human flesh to customers who pay with grain , almost as valued a commodity .	2	-2	 the[0] world[0] has[0] fallen[0] on[0] hard[0] times[0] and[0] there[0] are[0] food[0] shortages[-1] which[0] include[0] no[0] meat[0] so[0] the[0] butcher[0] serves[0] up[0] meat[0] from[0] human[0] flesh[0] to[0] customers[0] who[0] pay[0] with[0] grain[0] almost[0] as[0] valued[1] a[0] commodity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's the big joke in the film and the novelty of that cannibalism idea wears thin mighty fast , as the characters are too absurd and sketched too thinly for us to care about them . 	that's the big joke in the film and the novelty of that cannibalism idea wears thin mighty fast , as the characters are too absurd and sketched too thinly for us to care about them .	2	-2	 that's[0] the[0] big[0] joke[1] in[0] the[0] film[0] and[0] the[0] novelty[0] of[0] that[0] cannibalism[-1] idea[0] wears[0] thin[0] mighty[0] fast[0] as[0] the[0] characters[0] are[0] too[0] absurd[-1] and[0] sketched[0] too[0] thinly[0] for[0] us[0] to[0] care[1] about[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this tasteless postapocalyptic french comedy is a first feature for the co-directors marc caro/jean-pierre jeunet . 	this tasteless postapocalyptic french comedy is a first feature for the co-directors marc caro/jean-pierre jeunet .	1	-1	 this[0] tasteless[0] postapocalyptic[0] french[0] comedy[0] is[0] a[0] first[0] feature[0] for[0] the[0] co[0] directors[0] marc[0] caro/jean[0] pierre[0] jeunet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it failed to reach my funny bone and instead left me mostly annoyed at its slight story and its dark projections for the future . 	it failed to reach my funny bone and instead left me mostly annoyed at its slight story and its dark projections for the future .	2	-3	 it[0] failed[-2] to[0] reach[0] my[0] funny[1] bone[0] and[0] instead[0] left[0] me[0] mostly[0] annoyed[-2] at[0] its[0] slight[0] story[0] and[0] its[0] dark[0] projections[0] for[0] the[0] future[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
an ex-circus clown named louison ( dominique pinon ) , the film's too-good-to-be-true hero , answers an ad for work as a handyman for clapet ( jean-claude dreyfus ) , and the butcher and landlord , offers him room and board in his house . 	an ex-circus clown named louison ( dominique pinon ) , the film's too-good-to-be-true hero , answers an ad for work as a handyman for clapet ( jean-claude dreyfus ) , and the butcher and landlord , offers him room and board in his house .	3	-1	 an[0] ex[0] circus[0] clown[0] named[0] louison[0] dominique[0] pinon[0] the[0] film's[0] too[0] good[1] to[0] be[0] true[1] hero[2] answers[0] an[0] ad[0] for[0] work[0] as[0] a[0] handyman[0] for[0] clapet[0] jean[0] claude[0] dreyfus[0] and[0] the[0] butcher[0] and[0] landlord[0] offers[0] him[0] room[0] and[0] board[0] in[0] his[0] house[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the butcher's clumsy and near-sighted daughter julie ( marie-laure dougnac ) falls in love with the skinny , weird looking clown , and the two make some music together , with her playing the cello and him a saw . 	the butcher's clumsy and near-sighted daughter julie ( marie-laure dougnac ) falls in love with the skinny , weird looking clown , and the two make some music together , with her playing the cello and him a saw .	3	-2	 the[0] butcher's[0] clumsy[-1] and[0] near[0] sighted[0] daughter[0] julie[0] marie[0] laure[0] dougnac[0] falls[0] in[0] love[2] with[0] the[0] skinny[0] weird[-1] looking[0] clown[0] and[0] the[0] two[0] make[0] some[0] music[0] together[0] with[0] her[0] playing[1] the[0] cello[0] and[0] him[0] a[0] saw[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they are the innocents , surrounded by a boarding house of misfits suffering from fear and watched over by her overbearing father , who has lured into his tenement the clown , as he has his past innocent victims , so that he can put his cleaver to him and then sell him as meat , which he intends to do as soon as the clown fixes up the tenement . 	they are the innocents , surrounded by a boarding house of misfits suffering from fear and watched over by her overbearing father , who has lured into his tenement the clown , as he has his past innocent victims , so that he can put his cleaver to him and then sell him as meat , which he intends to do as soon as the clown fixes up the tenement .	2	-4	 they[0] are[0] the[0] innocents[1] surrounded[0] by[0] a[0] boarding[0] house[0] of[0] misfits[0] suffering[-3] from[0] fear[-3] and[0] watched[0] over[0] by[0] her[0] overbearing[-1] father[0] who[0] has[0] lured[0] into[0] his[0] tenement[0] the[0] clown[0] as[0] he[0] has[0] his[0] past[0] innocent[1] victims[-2] so[0] that[0] he[0] can[0] put[0] his[0] cleaver[0] to[0] him[0] and[0] then[0] sell[0] him[0] as[0] meat[0] which[0] he[0] intends[0] to[0] do[0] as[0] soon[0] as[0] the[0] clown[0] fixes[0] up[0] the[0] tenement[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
