warner brothers ; rated pg-13 ( mild violence , sexual situations ) ; 132 minutes 	Translation	Positive	Negative	EmotionRationale
director : luis mandoki 	director : luis mandoki	1	-1	 director[0] luis[0] mandoki[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
screenplay : gerald di pego ( from the novel by nicholas sparks ) 	screenplay : gerald di pego ( from the novel by nicholas sparks )	1	-1	 screenplay[0] gerald[0] di[0] pego[0] from[0] the[0] novel[0] by[0] nicholas[0] sparks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cast : kevin costner , robin wright-penn , paul newman , illeana douglas , robbie coltrane , jesse james , john savage . 	cast : kevin costner , robin wright-pen , paul newman , illeana douglas , robbie coltrane , jesse james , john savage .	1	-3	 cast[0] kevin[0] costner[0] robin[0] wright[0] penn/pen[0] paul[0] newman[0] illeana[0] douglas[0] robbie[0] coltrane[0] jesse[0] james[0] john[0] savage[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
review by : geoff berkshire 	review by : geoff berkshire	1	-1	 review[0] by[0] geoff[0] berkshire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm not an overly cynical guy . 	i'm not an overly cynical guy .	1	-2	 i'm[0] not[0] an[0] overly[0] cynical[-1] guy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there have been many glossy hollywood romances that have carried me away with their romanticism over the years . 	there have been many glossy hollywood romances that have carried me away with their romanticism over the years .	4	-1	 there[0] have[0] been[0] many[0] glossy[0] hollywood[0] romances[3] that[0] have[0] carried[0] me[0] away[0] with[0] their[0] romanticism[3] over[0] the[0] years[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
however , i have my limits and i also have standards . 	however , i have my limits and i also have standards .	1	-1	 however[0] i[0] have[0] my[0] limits[0] and[0] i[0] also[0] have[0] standards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this brings us to the subject at hand : message in a bottle , the big ticket romance that warner brothers' unleashed upon the movie going public just in time for valentine's day . 	this brings us to the subject at hand : message in a bottle , the big ticket romance that warner brothers' unleashed upon the movie going public just in time for valentine's day .	4	-1	 this[0] brings[0] us[0] to[0] the[0] subject[0] at[0] hand[0] message[0] in[0] a[0] bottle[0] the[0] big[0] ticket[0] romance[3] that[0] warner[0] brothers'[0] unleashed[0] upon[0] the[0] movie[0] going[0] public[0] just[0] in[0] time[0] for[0] valentine's[0] day[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the story , what little of it that there is , involves boring chicago tribune reporter theresa osborne ( robin wright-penn ) dealing with her recent divorce and trying to raise her young son jason ( jesse james ) . 	the story , what little of it that there is , involves boring chicago tribune reporter theresa osborne ( robin wright-pen ) dealing with her recent divorce and trying to raise her young son jason ( jesse james ) .	1	-2	 the[0] story[0] what[0] little[0] of[0] it[0] that[0] there[0] is[0] involves[0] boring[-1] chicago[0] tribune[0] reporter[0] theresa[0] osborne[0] robin[0] wright[0] penn/pen[0] dealing[0] with[0] her[0] recent[0] divorce[-1] and[0] trying[0] to[0] raise[0] her[0] young[0] son[0] jason[0] jesse[0] james[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
during a brief stay somewhere in new england she finds the titular message in a bottle while on a morning run by the ocean . 	during a brief stay somewhere in new england she finds the titular message in a bottle while on a morning run by the ocean .	1	-1	 during[0] a[0] brief[0] stay[0] somewhere[0] in[0] new[0] england[0] she[0] finds[0] the[0] titular[0] message[0] in[0] a[0] bottle[0] while[0] on[0] a[0] morning[0] run[0] by[0] the[0] ocean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
