back in 1980s , chuck norris used to be synonym for the action films . 	Translation	Positive	Negative	EmotionRationale
he couldn't , of course , top the success and fame of big action names like sylvester stallone or arnold schwarzenegger , but sheer quantity of his films guaranteed that he was household name among shoot'em up and beat'em up genre aficionados . 	he couldn't , of course , top the success and fame of big action names like sylvester stallone or arnold schwarzenegger , but sheer quantity of his films guaranteed that he was household name among shoot'em up and beat'em up genre aficionados .	3	-2	 he[0] couldn't[0] of[0] course[0] top[0] the[0] success[2] and[0] fame[0] of[0] big[0] action[0] names[0] like[1] sylvester[0] stallone[0] or[0] arnold[0] schwarzenegger[0] but[0] sheer[0] quantity[0] of[0] his[0] films[0] guaranteed[0] that[0] he[0] was[0] household[0] name[0] among[0] shoot'em[-1] up[0] and[0] beat'em[0] up[0] genre[0] aficionados[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
that quantity was mostly provided by cannon group , prolific production company that dominated the b-movie market in previous decade by flooding it with cheap , formulaic and , more often than not , unwatchable genre products . 	that quantity was mostly provided by cannon group , prolific production company that dominated the b-movie market in previous decade by flooding it with cheap , formulaic and , more often than not , unwatchable genre products .	1	-2	 that[0] quantity[0] was[0] mostly[0] provided[0] by[0] cannon[-1] group[0] prolific[0] production[0] company[0] that[0] dominated[-1] the[0] b[0] movie[0] market[0] in[0] previous[0] decade[0] by[0] flooding[0] it[0] with[0] cheap[-1] formulaic[0] and[0] more[0] often[0] than[0] not[0] unwatchable[0] genre[0] products[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the hitman , 1991 action thriller directed by chuck's brother aaron , is one of the last among them . 	the hitman , 1991 action thriller directed by chuck's brother aron , is one of the last among them .	2	-1	 the[0] hitman[0] 1991[0] action[0] thriller[1] directed[0] by[0] chuck's[0] brother[0] aaron/aron[0] is[0] one[0] of[0] the[0] last[0] among[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
chuck norris here plays seattle cop betrayed , shot and left for dead by his partner ( which shouldn't surprise anyone , considering the fact that the partner is being played by michael parks , specialised for roles of usually very mean characters ) . 	chuck norris here plays seattle cop betrayed , shot and left for dead by his partner ( which shouldn't surprise anyone , considering the fact that the partner is being played by michael parks , specialised for roles of usually very mean characters ) .	2	-3	 chuck[0] norris[0] here[0] plays[1] seattle[0] cop[0] betrayed[-2] shot[-1] and[0] left[0] for[0] dead[-2] by[0] his[0] partner[0] which[0] shouldn't[0] surprise[0] anyone[0] considering[0] the[0] fact[0] that[0] the[0] partner[0] is[0] being[0] played[0] by[0] michael[0] parks[0] specialised[1] for[0] roles[0] of[0] usually[0] very[0] mean[0] characters[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
surviving the shooting , cop is pronounced dead and hired as deep undercover agent . 	surviving the shooting , cop is pronounced dead and hired as deep undercover agent .	1	-3	 surviving[0] the[0] shooting[-1] cop[0] is[0] pronounced[0] dead[-2] and[0] hired[0] as[0] deep[0] undercover[0] agent[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he infiltrates the underworld circles in seattle and becomes their top hitman , using his abilities to start brutal war between three major crime organisations - italians , french canadians and iranians . 	he infiltrates the underworld circles in seattle and becomes their top hitman , using his abilities to start brutal war between three major crime organisations - italians , french canadians and iranians .	1	-4	 he[0] infiltrates[-1] the[0] underworld[-1] circles[0] in[0] seattle[0] and[0] becomes[0] their[0] top[0] hitman[0] using[0] his[0] abilities[0] to[0] start[0] brutal[-2] war[-2][-1 MultiplePositiveWords] between[0] three[0] major[0] crime[-1] organisations[0] italians[0] french[0] canadians[0] and[0] iranians[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
since it is rather absurd to expect great acting ability from chuck norris , at least not in this kind of movie , the biggest attraction of this film should have been action . 	since it is rather absurd to expect great acting ability from chuck norris , at least not in this kind of movie , the biggest attraction of this film should have been action .	3	-2	 since[0] it[0] is[0] rather[0] absurd[-1] to[0] expect[0] great[2] acting[0] ability[0] from[0] chuck[0] norris[0] at[0] least[0] not[0] in[0] this[0] kind[1] of[0] movie[0] the[0] biggest[0] attraction[1] of[0] this[0] film[0] should[0] have[0] been[0] action[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
well , the action in this film falls flat - it is boring , repetitive and not at all exciting . 	well , the action in this film falls flat - it is boring , repetitive and not at all exciting .	3	-2	 well[0] the[0] action[0] in[0] this[0] film[0] falls[0] flat[0] it[0] is[0] boring[-1] repetitive[0] and[0] not[0] at[0] all[0] exciting[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is nothing more than monotonous series of scenes that contains violence too brutal even for this type of films . 	it is nothing more than monotonous series of scenes that contains violence too brutal even for this type of films .	1	-4	 it[0] is[0] nothing[0] more[0] than[0] monotonous[-1] series[0] of[0] scenes[0] that[0] contains[0] violence[-3] too[0] brutal[-2] even[0] for[0] this[0] type[0] of[0] films[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we know very little about norris' character while , on the other hand , gangsters are portrayed with more human dimension . 	we know very little about norris' character while , on the other hand , gangsters are portrayed with more human dimension .	1	-1	 we[0] know[0] very[0] little[0] about[0] norris'[0] character[0] while[0] on[0] the[0] other[0] hand[0] gangsters[0] are[0] portrayed[0] with[0] more[0] human[0] dimension[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the end we almost feel sorry for them , since they are shown totally powerless against norris and his unstoppable and bloody crusade . 	in the end we almost feel sorry for them , since they are shown totally powerless against norris and his unstoppable and bloody crusade .	1	-3	 in[0] the[0] end[0] we[0] almost[0] feel[0] sorry[-1] for[0] them[0] since[0] they[0] are[0] shown[0] totally[0] powerless[-1][-1 LastWordBoosterStrength] against[-1] norris[0] and[0] his[0] unstoppable[0] and[0] bloody[-1] crusade[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
during the film , somebody obviously became aware of that problem , so the screenwriter introduced the subplot dealing with the black boy who gets adopted by norris . 	during the film , somebody obviously became aware of that problem , so the screenwriter introduced the subplot dealing with the black boy who gets adopted by norris .	1	-2	 during[0] the[0] film[0] somebody[0] obviously[0] became[0] aware[0] of[0] that[0] problem[-1] so[0] the[0] screenwriter[0] introduced[0] the[0] subplot[0] dealing[0] with[0] the[0] black[0] boy[0] who[0] gets[0] adopted[0] by[0] norris[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that caused another problem - any questions about nature of that relationship had to be quashed with another subplot - this one dealing with lady lawyer who sleeps with the hero and gets killed after fulfilling that screenplay obligation . 	that caused another problem - any questions about nature of that relationship had to be quashed with another subplot - this one dealing with lady lawyer who sleeps with the hero and gets killed after fulfilling that screenplay obligation .	3	-4	 that[0] caused[0] another[0] problem[-1] any[0] questions[0] about[0] nature[0] of[0] that[0] relationship[0] had[0] to[0] be[0] quashed[0] with[0] another[0] subplot[0] this[0] one[0] dealing[0] with[0] lady[0] lawyer[0] who[0] sleeps[0] with[0] the[0] hero[2] and[0] gets[0] killed[-3] after[0] fulfilling[0] that[0] screenplay[0] obligation[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the photography in this film is dark , setting is depressive and this forgettable piece of 1980s style cinema leaves viewers without any reason to justify the hour and half spent in watching it . 	the photography in this film is dark , setting is depressive and this forgettable piece of 1980s style cinema leaves viewers without any reason to justify the hour and half spent in watching it .	1	-4	 the[0] photography[0] in[0] this[0] film[0] is[0] dark[0] setting[0] is[0] depressive[-3] and[0] this[0] forgettable[0] piece[0] of[0] 1980s[0] style[0] cinema[0] leaves[0] viewers[0] without[0] any[0] reason[0] to[0] justify[0] the[0] hour[0] and[0] half[0] spent[0] in[0] watching[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
