as with any gen-x mtv movie ( like last year's dead man on campus ) , the movie is marketed for a primarily male audience as indicated by its main selling points : sex and football . 	Translation	Positive	Negative	EmotionRationale
those two items , wrapped in a guilty-pleasure package , are sure to snare a sizeable box office chunk initially , but sales will decline for two reasons . 	those two items , wrapped in a guilty-pleasure package , are sure to snare a sizeable box office chunk initially , but sales will decline for two reasons .	3	-4	 those[0] two[0] items[0] wrapped[0] in[0] a[0] guilty[-3] pleasure[2] package[0] are[0] sure[0] to[0] snare[-1] a[0] sizeable[0] box[0] office[0] chunk[0] initially[0] but[0] sales[0] will[0] decline[-1] for[0] two[0] reasons[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
first , the football sequences are nothing new , nor can they be ; the sports genre isn't mainstream and it's been retread to death . 	first , the football sequences are nothing new , nor can they be ; the sports genre isn't mainstream and it's been retread to death .	1	-3	 first[0] the[0] football[0] sequences[0] are[0] nothing[0] new[0] nor[0] can[0] they[0] be[0] the[0] sports[0] genre[0] isn't[0] mainstream[0] and[0] it's[0] been[0] retread[0] to[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
second , the sex is just bad . 	second , the sex is just bad .	1	-1	 second[0] the[0] sex[0] is[0] just[0] bad[-1][--1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite the appearance of a whipped cream bikini or the all-night strip-club party , there's nothing even remotely tantalizing . 	despite the appearance of a whipped cream bikini or the all-night strip-club party , there's nothing even remotely tantalizing .	1	-1	 despite[0] the[0] appearance[0] of[0] a[0] whipped[0] cream[0] bikini[0] or[0] the[0] all[0] night[0] strip[0] club[0] party[0] there's[0] nothing[0] even[0] remotely[0] tantalizing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting is mostly mediocre , not including the fantastic jon voight . 	the acting is mostly mediocre , not including the fantastic jon voight .	3	-2	 the[0] acting[0] is[0] mostly[0] mediocre[-1] not[0] including[0] the[0] fantastic[2] jon[0] voight[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
cultivating his usual sliminess , voight gives an unexpectedly standout performance as west canaan coyotes head coach bud kilmer . 	cultivating his usual sliminess , voight gives an unexpectedly standout performance as west canan coyotes head coach bud kilmer .	1	-2	 cultivating[0] his[0] usual[0] sliminess[0] voight[0] gives[0] an[0] unexpectedly[-1] standout[0] performance[0] as[0] west[0] canaan/canan[0] coyotes[0] head[0] coach[0] bud[0] kilmer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kilmer is the driving force behind the coyotes' twenty-two conference championships and two state titles in thirty years ; this year he plans to make it twenty-three . 	kilmer is the driving force behind the coyotes' twenty-two conference championships and two state titles in thirty years ; this year he plans to make it twenty-three .	1	-2	 kilmer[0] is[0] the[0] driving[0] force[-1] behind[0] the[0] coyotes'[0] twenty[0] two[0] conference[0] championships[0] and[0] two[0] state[0] titles[0] in[0] thirty[0] years[0] this[0] year[0] he[0] plans[0] to[0] make[0] it[0] twenty[0] three[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , when his star quarterback , lance harbor ( paul walker ) , goes down for the count , he's got to rely on the unreliable abilities of backup john moxon ( james van der beek ) . 	unfortunately , when his star quarterback , lance harbor ( paul walker ) , goes down for the count , he's got to rely on the unreliable abilities of backup john moxon ( james van der beek ) .	1	-2	 unfortunately[-1] when[0] his[0] star[0] quarterback[0] lance[0] harbor[0] paul[0] walker[0] goes[0] down[0] for[0] the[0] count[0] he's[0] got[0] to[0] rely[0] on[0] the[0] unreliable[-1] abilities[0] of[0] backup[0] john[0] moxon[0] james[0] van[0] der[0] beek[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
moxon leads the team through its last four games , and then must cope with his newfound stardom , the effect it has on his relationship with girlfriend julie ( amy smart ) , and other temptations that abound in football-crazy west canaan . 	moxon leads the team through its last four games , and then must cope with his newfound stardom , the effect it has on his relationship with girlfriend julie ( amy smart ) , and other temptations that abound in football-crazy west canan .	2	-2	 moxon[0] leads[0] the[0] team[0] through[0] its[0] last[0] four[0] games[0] and[0] then[0] must[0] cope[0] with[0] his[0] newfound[0] stardom[0] the[0] effect[0] it[0] has[0] on[0] his[0] relationship[0] with[0] girlfriend[0] julie[0] amy[0] smart[1] and[0] other[0] temptations[-1] that[0] abound[0] in[0] football[0] crazy[-1] west[0] canaan/canan[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
most regions of the country are not nearly as football-crazy as texas , and so the atmosphere is likely to be lost on most . 	most regions of the country are not nearly as football-crazy as texas , and so the atmosphere is likely to be lost on most .	1	-2	 most[0] regions[0] of[0] the[0] country[0] are[0] not[0] nearly[0] as[0] football[0] crazy[-1] as[0] texas[0] and[0] so[0] the[0] atmosphere[0] is[0] likely[0] to[0] be[0] lost[0] on[0] most[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
similarly , the set design is wrong for a high school setting : the teams are decked out with sparkling uniforms , radio headsets ( which never seem to work , however , and instead require coaches to signal plays manually ) , and even a giant bronze statue of coach kilmer . 	similarly , the set design is wrong for a high school setting : the teams are decked out with sparkling uniforms , radio headsets ( which never seem to work , however , and instead require coaches to signal plays manually ) , and even a giant bronze statue of coach kilmer .	2	-2	 similarly[0] the[0] set[0] design[0] is[0] wrong[-1] for[0] a[0] high[0] school[0] setting[0] the[0] teams[0] are[0] decked[0] out[0] with[0] sparkling[0] uniforms[0] radio[0] headsets[0] which[0] never[0] seem[0] to[0] work[0] however[0] and[0] instead[0] require[0] coaches[0] to[0] signal[0] plays[1] manually[0] and[0] even[0] a[0] giant[0] bronze[0] statue[0] of[0] coach[0] kilmer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these elements ( as well as the heavy drinking and carousing ) might be more appropriate on a college campus -- but mtv's core audience is the high school demographic . 	these elements ( as well as the heavy drinking and carousing ) might be more appropriate on a college campus - but mtv's core audience is the high school demographic .	1	-1	 these[0] elements[0] as[0] well[0] as[0] the[0] heavy[0] drinking[0] and[0] carousing[0] might[0] be[0] more[0] appropriate[0] on[0] a[0] college[0] campus[0] but[0] mtv's[0] core[0] audience[0] is[0] the[0] high[0] school[0] demographic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this focus is further emphasized by the casting : james van der beek , of tv's " dawson's creek , " is an understandable choice for the reluctant hero , although he never manages to do anything with the role . 	this focus is further emphasized by the casting : james van der beek , of tv's " dawson's creek , " is an understandable choice for the reluctant hero , although he never manages to do anything with the role .	3	-2	 this[0] focus[0] is[0] further[0] emphasized[0] by[0] the[0] casting[0] james[0] van[0] der[0] beek[0] of[0] tv's[0] dawson's[0] creek[0] is[0] an[0] understandable[0] choice[0] for[0] the[0] reluctant[-1] hero[2] although[0] he[0] never[0] manages[0] to[0] do[0] anything[0] with[0] the[0] role[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
other stars are similarly young and unmemorable . 	other stars are similarly young and unmemorable .	1	-1	 other[0] stars[0] are[0] similarly[0] young[0] and[0] unmemorable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's not much that goes right about varsity blues , and there's not much to like about it , either . 	there's not much that goes right about varsity blues , and there's not much to like about it , either .	2	-1	 there's[0] not[0] much[0] that[0] goes[0] right[0] about[0] varsity[0] blues[0] and[0] there's[0] not[0] much[0] to[0] like[1] about[0] it[0] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
everything herein has already been done , and if it hasn't , the movie manages to botch it one way or another . 	everything herein has already been done , and if it hasn't , the movie manages to botch it one way or another .	1	-1	 everything[0] herein[0] has[0] already[0] been[0] done[0] and[0] if[0] it[0] hasn't[0] the[0] movie[0] manages[0] to[0] botch[0] it[0] one[0] way[0] or[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is certainly missable . 	this is certainly missable .	1	-1	 this[0] is[0] certainly[0] missable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
