everyone knows that old rule , 'never work with children and animals . ' 	Translation	Positive	Negative	EmotionRationale
in this latest horror flick mimic case , it's 'never work with children and genetically enhanced killer animals' instead , as mimic features both of these and succeeds in doing nothing except mildly engaging the audience . 	in this latest horror flick mimic case , it's 'never work with children and genetically enhanced killer animals' instead , as mimic features both of these and succeeds in doing nothing except mildly engaging the audience .	3	-4	 in[0] this[0] latest[0] horror[-3] flick[0] mimic[0] case[0] it's[0] 'never[0] work[0] with[0] children[0] and[0] genetically[0] enhanced[0] killer[-1] animals'[0] instead[0] as[0] mimic[0] features[0] both[0] of[0] these[0] and[0] succeeds[2] in[0] doing[0] nothing[0] except[0] mildly[0] engaging[0] the[0] audience[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the film begins in new york , where we see children dying from a mysterious disease , which is being carried by cockroaches . 	the film begins in new york , where we see children dying from a mysterious disease , which is being carried by cockroaches .	1	-3	 the[0] film[0] begins[0] in[0] new[0] york[0] where[0] we[0] see[0] children[0] dying[-1] from[0] a[0] mysterious[0] disease[-2] which[0] is[0] being[0] carried[0] by[0] cockroaches[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dr . susan tyler ( sorvino ) creates a genetically enhanced bug ( the 'judas' breed ) , however , which is designed to kill all cockroaches . 	dr .<br> susan tyler ( sorvino ) creates a genetically enhanced bug ( the 'judas' breed ) , however , which is designed to kill all cockroaches .	1	-2	 dr[0] [[Sentence=-1,1=word max, 1-5]] susan[0] tyler[0] sorvino[0] creates[0] a[0] genetically[0] enhanced[0] bug[-1] the[0] 'judas'[0] breed[0] however[0] which[0] is[0] designed[0] to[0] kill[-1] all[0] cockroaches[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the bug does it's job , the cockroaches all die , and the terror is gone . 	the bug does it's job , the cockroaches all die , and the terror is gone .	1	-2	 the[0] bug[-1] does[0] it's[0] job[0] the[0] cockroaches[0] all[0] die[0] and[0] the[0] terror[-1] is[0] gone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
'three years later' appears on the screen , and we discover that the judas breed is back , bigger than ever , and ready to kill . 	'three years later' appears on the screen , and we discover that the judas breed is back , bigger than ever , and ready to kill .	1	-2	 'three[0] years[0] later'[0] appears[0] on[0] the[0] screen[0] and[0] we[0] discover[0] that[0] the[0] judas[0] breed[0] is[0] back[0] bigger[0] than[0] ever[0] and[0] ready[0] to[0] kill[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the spin on this bug , however , is that it can mimic it's predator , and in this case . . . . it's 	the spin on this bug , however , is that it can mimic it's predator , and in this case .<br> .<br> .<br> .<br> it's	1	-2	 the[0] spin[0] on[0] this[0] bug[-1] however[0] is[0] that[0] it[0] can[0] mimic[0] it's[0] predator[0] and[0] in[0] this[0] case[0] [[Sentence=-2,1=word max, 1-5]] it's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
humans . 	humans .	1	-1	 humans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that should teach us for squishing all those bugs . 	that should teach us for squishing all those bugs .	1	-1	 that[0] should[0] teach[0] us[0] for[0] squishing[0] all[0] those[0] bugs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what should be a roller coaster ride with bugs everywhere , tons of gory deaths and some massive set pieces instead turns out to be a rather subdued , almost boring movie which plods along at a very slow pace . 	what should be a roller coaster ride with bugs everywhere , tons of gory deaths and some massive set pieces instead turns out to be a rather subdued , almost boring movie which plods along at a very slow pace .	1	-3	 what[0] should[0] be[0] a[0] roller[0] coaster[0] ride[0] with[0] bugs[0] everywhere[0] tons[0] of[0] gory[0] deaths[-2] and[0] some[0] massive[0] set[0] pieces[0] instead[0] turns[0] out[0] to[0] be[0] a[0] rather[0] subdued[0] almost[0] boring[-1] movie[0] which[0] plods[0] along[0] at[0] a[0] very[0] slow[0] pace[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
perhaps the movie was trying to be thought provoking , and trying to avoid the 'predator' type movie it could easily have become . 	perhaps the movie was trying to be thought provoking , and trying to avoid the 'predator' type movie it could easily have become .	1	-2	 perhaps[0] the[0] movie[0] was[0] trying[0] to[0] be[0] thought[0] provoking[0] and[0] trying[0] to[0] avoid[-1] the[0] 'predator'[0] type[0] movie[0] it[0] could[0] easily[0] have[0] become[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
