 " be gentle , " urges natasha henstridge to matthew perry in " the whole nine yards . " 	Translation	Positive	Negative	EmotionRationale
 " i haven't made love in five years . " 	 " i haven't made love in five years .<br> "	3	-1	 i[0] haven't[0] made[0] love[2] in[0] five[0] years[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " neither have i , " rebuts perry . 	 " neither have i , " rebuts perry .	1	-2	 neither[0] have[0] i[0] rebuts[-1] perry[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " i'm married ! " 	 " i'm married !<br> "	1	-1	 i'm[0] married[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if jonathan lynn's latest comedy relied simply on jokes of that caliber--and it certainly tries--then it'd be an innocuous if rather obvious little film . 	if jonathan lynn's latest comedy relied simply on jokes of that caliber-and it certainly tries-then it'd be an innocuous if rather obvious little film .	2	-1	 if[0] jonathan[0] lynn's[0] latest[0] comedy[0] relied[0] simply[0] on[0] jokes[1] of[0] that[0] caliber[0] and[0] it[0] certainly[0] tries[0] then[0] it'd[0] be[0] an[0] innocuous[0] if[0] rather[0] obvious[0] little[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead , its failings go much deeper . 	instead , its failings go much deeper .	1	-3	 instead[0] its[0] failings[-2] go[0] much[0] deeper[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
first off , who hasn't had enough of the tough wiseguy intimidates the timid wise guy genre ? 	first off , who hasn't had enough of the tough wiseguy intimidates the timid wise guy genre ?	1	-4	 first[0] off[0] who[0] hasn't[0] had[0] enough[0] of[0] the[0] tough[-1] wiseguy[0] intimidates[-3] the[0] timid[-1] wise[0] guy[0] genre[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if you want to make a pretty penny or two in hollywood nowadays simply write a " comedy " which pairs a robert de niro/james caan/bruce willis type with a billy crystal/hugh grant/matthew perry type and wait for the royalties to roll in . 	if you want to make a pretty penny or two in hollywood nowadays simply write a " comedy " which pairs a robert de niro/james can/bruce willis type with a billy crystal/hugh grant/matthew perry type and wait for the royalties to roll in .	3	-1	 if[0] you[0] want[0] to[0] make[0] a[0] pretty[2] penny[0] or[0] two[0] in[0] hollywood[0] nowadays[0] simply[0] write[0] a[0] comedy[0] which[0] pairs[0] a[0] robert[0] de[0] niro/james[0] caan/bruce/can/bruce[0] willis[0] type[0] with[0] a[0] billy[0] crystal/hugh[0] grant/matthew[0] perry[0] type[0] and[0] wait[0] for[0] the[0] royalties[0] to[0] roll[0] in[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
who's next ? 	who's next ?	1	-1	 who's[0] next[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jack nicholson and martin short ? 	jack nicholson and martin short ?	1	-1	 jack[0] nicholson[0] and[0] martin[0] short[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it certainly doesn't have to be funny . 	it certainly doesn't have to be funny .	2	-1	 it[0] certainly[0] doesn't[0] have[0] to[0] be[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " the whole nine yards " is not a particularly funny film , but it is borderline offensive . 	 " the whole nine yards " is not a particularly funny film , but it is borderline offensive .	2	-3	 the[0] whole[0] nine[0] yards[0] is[0] not[0] a[0] particularly[0] funny[1] film[0] but[0] it[0] is[0] borderline[0] offensive[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
offensive in the way it continues a trend of poking fun at career criminals who wouldn't think twice about pushing your mother-in-law off the brooklyn bridge with her feet encased in concrete . 	offensive in the way it continues a trend of poking fun at career criminals who wouldn't think twice about pushing your mother-in-law off the brooklyn bridge with her feet encased in concrete .	2	-3	 offensive[-2] in[0] the[0] way[0] it[0] continues[0] a[0] trend[0] of[0] poking[0] fun[1] at[0] career[0] criminals[-1] who[0] wouldn't[0] think[0] twice[0] about[0] pushing[0] your[0] mother[0] in[0] law[0] off[0] the[0] brooklyn[0] bridge[0] with[0] her[0] feet[0] encased[0] in[0] concrete[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
