wyatt earp details thirty-five years in the life of same from around 1865 to 1900 . 	Translation	Positive	Negative	EmotionRationale
after seeing the movie speed twice recently , i kept thinking that i was seeing wyatt's life pass before my eyes in real time . 	after seeing the movie speed twice recently , i kept thinking that i was seeing wyatt's life pass before my eyes in real time .	1	-1	 after[0] seeing[0] the[0] movie[0] speed[0] twice[0] recently[0] i[0] kept[0] thinking[0] that[0] i[0] was[0] seeing[0] wyatt's[0] life[0] pass[0] before[0] my[0] eyes[0] in[0] real[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie was boring , slow , boring , and slow . 	this movie was boring , slow , boring , and slow .	1	-2	 this[0] movie[0] was[0] boring[-1] slow[0] boring[-1] and[0] slow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there were a few scenes that tried to be great scenes that tried too hard and just fell flat . 	there were a few scenes that tried to be great scenes that tried too hard and just fell flat .	3	-1	 there[0] were[0] a[0] few[0] scenes[0] that[0] tried[0] to[0] be[0] great[2] scenes[0] that[0] tried[0] too[0] hard[0] and[0] just[0] fell[0] flat[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the script happily woman-bashes but also tries to sound like an 80s movie . 	the script happily woman-bashes but also tries to sound like an 80s movie .	3	-1	 the[0] script[0] happily[2] woman[0] bashes[0] but[0] also[0] tries[0] to[0] sound[0] like[1] an[0] 80s[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they cannot have it both ways . 	they cannot have it both ways .	1	-1	 they[0] cannot[0] have[0] it[0] both[0] ways[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " i now pronounce you husband and wife . " 	 " i now pronounce you husband and wife .<br> "	1	-1	 i[0] now[0] pronounce[0] you[0] husband[0] and[0] wife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , they said that in the 1800s . 	sure , they said that in the 1800s .	1	-1	 sure[0] they[0] said[0] that[0] in[0] the[0] 1800s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " entrepreneur . " 	 " entrepreneur .<br> "	1	-1	 entrepreneur[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure . 	sure .	1	-1	 sure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every bit of male-ego-stroking dialogue that wyatt's third wife speaks to him made me sick to listen to it . 	every bit of male-ego-stroking dialogue that wyatt's third wife speaks to him made me sick to listen to it .	1	-2	 every[0] bit[0] of[0] male[0] ego[0] stroking[0] dialogue[0] that[0] wyatt's[0] third[0] wife[0] speaks[0] to[0] him[0] made[0] me[0] sick[-1] to[0] listen[0] to[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " oh , the script was written by two men ? " 	 " oh , the script was written by two men ?<br> "	1	-1	 oh[0] the[0] script[0] was[0] written[0] by[0] two[0] men[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " no kidding ! " 	 " no kidding !<br> "	1	-1	 no[0] kidding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is torture to sit through . 	the movie is torture to sit through .	1	-4	 the[0] movie[0] is[0] torture[-3] to[0] sit[0] through[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the scenery is boring . 	the scenery is boring .	1	-2	 the[0] scenery[0] is[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
