the king and i , a warner brothers animated , musical feature , recycles the classic story of a woman who challenges the heart of a king , with obvious results . 	Translation	Positive	Negative	EmotionRationale
when anna ( miranda richardson ) , a british schoolteacher , travels to saim to educate the king's ( martin vidnovic ) children , she learns that the king is treating his people unfairly , and must say something to the greedy ruler . 	when anna ( miranda richardson ) , a british schoolteacher , travels to saim to educate the king's ( martin vidnovic ) children , she learns that the king is treating his people unfairly , and must say something to the greedy ruler .	1	-3	 when[0] anna[0] miranda[0] richardson[0] a[0] british[0] schoolteacher[0] travels[0] to[0] saim[0] to[0] educate[0] the[0] king's[0] martin[0] vidnovic[0] children[0] she[0] learns[0] that[0] the[0] king[0] is[0] treating[0] his[0] people[0] unfairly[-1] and[0] must[0] say[0] something[0] to[0] the[0] greedy[-2] ruler[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meanwhile , the king's prime minister ( ian richardson ) , the stereotypical villain , plots to overthrow the king , taking the throne . 	meanwhile , the king's prime minister ( ian richardson ) , the stereotypical villain , plots to overthrow the king , taking the throne .	1	-3	 meanwhile[0] the[0] king's[0] prime[0] minister[0] ian[0] richardson[0] the[0] stereotypical[0] villain[-2] plots[0] to[0] overthrow[-1] the[0] king[0] taking[0] the[0] throne[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the last , and most predictable , main subplot deals with the king's son ( allen d . hong ) , and his love for a servant , tuptim ( armi arabe ) , and how he conflicts with his feelings , and the ancient laws of saim . 	the last , and most predictable , main subplot deals with the king's son ( allen d .<br> hong ) , and his love for a servant , tuptim ( armi arabe ) , and how he conflicts with his feelings , and the ancient laws of saim .	3	-2	 the[0] last[0] and[0] most[0] predictable[0] main[0] subplot[0] deals[0] with[0] the[0] king's[0] son[0] allen[0] d[0] [[Sentence=-1,1=word max, 1-5]] hong[0] and[0] his[0] love[2] for[0] a[0] servant[0] tuptim[0] armi[0] arabe[0] and[0] how[0] he[0] conflicts[-1] with[0] his[0] feelings[0] and[0] the[0] ancient[0] laws[0] of[0] saim[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
not even the lone strong character of anna can save the unbelievably horrible waste of talent , as the king and i's problems could fill the blank pages of a journal . 	not even the lone strong character of anna can save the unbelievably horrible waste of talent , as the king and i's problems could fill the blank pages of a journal .	2	-4	 not[0] even[0] the[0] lone[-1] strong[0] character[0] of[0] anna[0] can[0] save[1] the[0] unbelievably[-1] horrible[-3] waste[-1] of[0] talent[1] as[0] the[0] king[0] and[0] i's[0] problems[-1] could[0] fill[0] the[0] blank[0] pages[0] of[0] a[0] journal[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i will only note the major difficulties , for it would take pages to elaborate on every detail . 	i will only note the major difficulties , for it would take pages to elaborate on every detail .	1	-2	 i[0] will[0] only[0] note[0] the[0] major[0] difficulties[-1] for[0] it[0] would[0] take[0] pages[0] to[0] elaborate[0] on[0] every[0] detail[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the screenplay , written by arthur rankin , peter bakalian , jacqeline feather , and david seidler , which is based upon the play written by richard rodgers and oscar hammerstein , has some of the worst dialogue written in a film within recent memory , as every time the obnoxious king would shout , " etc , etc , etc , " i would cringe . 	the screenplay , written by arthur rankin , peter bakalian , jacqeline feather , and david seidler , which is based upon the play written by richard rodgers and oscar hammerstein , has some of the worst dialogue written in a film within recent memory , as every time the obnoxious king would shout , " etc , etc , etc , " i would cringe .	1	-3	 the[0] screenplay[0] written[0] by[0] arthur[0] rankin[0] peter[0] bakalian[0] jacqeline[0] feather[0] and[0] david[0] seidler[0] which[0] is[0] based[0] upon[0] the[0] play[0] written[0] by[0] richard[0] rodgers[0] and[0] oscar[0] hammerstein[0] has[0] some[0] of[0] the[0] worst[-2] dialogue[0] written[0] in[0] a[0] film[0] within[0] recent[0] memory[0] as[0] every[0] time[0] the[0] obnoxious[-2] king[0] would[0] shout[0] etc[0] etc[0] etc[0] i[0] would[0] cringe[-1][--1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
literally . 	literally .	1	-1	 literally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
speaking of cringing- i did quite a bit of this during the rather short film , which is a classic display of terrible filmmaking . 	speaking of cringing- i did quite a bit of this during the rather short film , which is a classic display of terrible filmmaking .	1	-4	 speaking[0] of[0] cringing[0] i[0] did[0] quite[0] a[0] bit[0] of[0] this[0] during[0] the[0] rather[0] short[0] film[0] which[0] is[0] a[0] classic[0] display[0] of[0] terrible[-3] filmmaking[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
besides the repetitive dialogue from the king , on the whole , the songs seem out of place , and unlike the lyrics , are unmagical . 	besides the repetitive dialogue from the king , on the whole , the songs seem out of place , and unlike the lyrics , are unmagical .	1	-1	 besides[0] the[0] repetitive[0] dialogue[0] from[0] the[0] king[0] on[0] the[0] whole[0] the[0] songs[0] seem[0] out[0] of[0] place[0] and[0] unlike[0] the[0] lyrics[0] are[0] unmagical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sole song which is used cleverly is " getting to know you , " which is used as anna shows the children the great outdoors , which they have never been exposed to . 	the sole song which is used cleverly is " getting to know you , " which is used as anna shows the children the great outdoors , which they have never been exposed to .	3	-1	 the[0] sole[0] song[0] which[0] is[0] used[0] cleverly[0] is[0] getting[0] to[0] know[0] you[0] which[0] is[0] used[0] as[0] anna[0] shows[0] the[0] children[0] the[0] great[2] outdoors[0] which[0] they[0] have[0] never[0] been[0] exposed[-1][NegatedDueToPreviousWord] to[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unlike disney animated features , the king and i's songs don't add to the film , and are as uneffective as could be . 	unlike disney animated features , the king and i's songs don't add to the film , and are as uneffective as could be .	1	-1	 unlike[0] disney[0] animated[0] features[0] the[0] king[0] and[0] i's[0] songs[0] don't[0] add[0] to[0] the[0] film[0] and[0] are[0] as[0] uneffective[0] as[0] could[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
take the following scenario as an example , as the sheer horror of the king and i's music is at its worst . 	take the following scenario as an example , as the sheer horror of the king and i's music is at its worst .	1	-4	 take[0] the[0] following[0] scenario[0] as[0] an[0] example[0] as[0] the[0] sheer[0] horror[-3] of[0] the[0] king[0] and[0] i's[0] music[0] is[0] at[0] its[0] worst[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you're being hunted by a dragon ! 	you're being hunted by a dragon !	1	-1	 you're[0] being[0] hunted[0] by[0] a[0] dragon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what do you do ! ? 	what do you do !<br> ?	1	-1	 what[0] do[0] you[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sing a happy song ! 	sing a happy song !	2	-1	 sing[0] a[0] happy[1] song[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
martin vidnovic voices the king without effort or emotion- you hear the saying two negatives don't make a positive ? 	martin vidnovic voices the king without effort or emotion- you hear the saying two negatives don't make a positive ?	3	-2	 martin[0] vidnovic[0] voices[0] the[0] king[0] without[0] effort[0] or[0] emotion[0] you[0] hear[0] the[0] saying[0] two[0] negatives[-1] don't[0] make[0] a[0] positive[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
believe it ! 	believe it !	1	-1	 believe[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the terrible dialogue that the king has , along with his awful voice track , the king is completely unbelievable , only shows mild signs of any personality , and the only thing that changes in the king is that he says " etc . , etc . , etc . , " more and more as the film progresses . 	with the terrible dialogue that the king has , along with his awful voice track , the king is completely unbelievable , only shows mild signs of any personality , and the only thing that changes in the king is that he says " etc .<br> , etc .<br> , etc .<br> , " more and more as the film progresses .	1	-4	 with[0] the[0] terrible[-3] dialogue[0] that[0] the[0] king[0] has[0] along[0] with[0] his[0] awful[-3] voice[0] track[0] the[0] king[0] is[0] completely[0] unbelievable[-1][-1 LastWordBoosterStrength] only[0] shows[0] mild[0] signs[0] of[0] any[0] personality[0] and[0] the[0] only[0] thing[0] that[0] changes[0] in[0] the[0] king[0] is[0] that[0] he[0] says[0] etc[0] [[Sentence=-4,1=word max, 1-5]] etc[0] [[Sentence=-1,1=word max, 1-5]] etc[0] [[Sentence=-1,1=word max, 1-5]] more[0] and[0] more[0] as[0] the[0] film[0] progresses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
no personality at the beginning of the movie , none at the end . 	no personality at the beginning of the movie , none at the end .	1	-1	 no[0] personality[0] at[0] the[0] beginning[0] of[0] the[0] movie[0] none[0] at[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and where does this character's personality change ? 	and where does this character's personality change ?	1	-1	 and[0] where[0] does[0] this[0] character's[0] personality[0] change[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hey , i thought anna was supposed to change him ! 	hey , i thought anna was supposed to change him !	2	-1	 hey[1] i[0] thought[0] anna[0] was[0] supposed[0] to[0] change[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
isn't that the whole plot ? 	isn't that the whole plot ?	1	-1	 isn't[0] that[0] the[0] whole[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the prime minister's hideous sidekick ( darrell hammond ) brings his share of cringes as well - oh no ! 	the prime minister's hideous sidekick ( darrell hammond ) brings his share of cringes as well - oh no !	1	-2	 the[0] prime[0] minister's[0] hideous[-1] sidekick[0] darrell[0] hammond[0] brings[0] his[0] share[0] of[0] cringes[0] as[0] well[0] oh[0] no[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
