edward burns tackles his third picture with no looking back , and like his previous two , it is a working-class relationship picture . 	Translation	Positive	Negative	EmotionRationale
however , unlike his previous work , the film dwells on a more personal story , and with a female protagonist . 	however , unlike his previous work , the film dwells on a more personal story , and with a female protagonist .	1	-1	 however[0] unlike[0] his[0] previous[0] work[0] the[0] film[0] dwells[0] on[0] a[0] more[0] personal[0] story[0] and[0] with[0] a[0] female[0] protagonist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and in no looking back , he stumbles , making a slow , boring film without the spark that enlivened his previous work . 	and in no looking back , he stumbles , making a slow , boring film without the spark that enlivened his previous work .	1	-2	 and[0] in[0] no[0] looking[0] back[0] he[0] stumbles[0] making[0] a[0] slow[0] boring[-1] film[0] without[0] the[0] spark[0] that[0] enlivened[0] his[0] previous[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
claudia ( lauren holly ) is a small town waitress who is feeling stifled by her life . 	claudia ( lauren holly ) is a small town waitress who is feeling stifled by her life .	1	-2	 claudia[0] lauren[0] holly[0] is[0] a[0] small[0] town[0] waitress[0] who[0] is[0] feeling[0] stifled[-1] by[0] her[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she's at a turning point in her life , and feels as if she's going nowhere . 	she's at a turning point in her life , and feels as if she's going nowhere .	1	-1	 she's[0] at[0] a[0] turning[0] point[0] in[0] her[0] life[0] and[0] feels[0] as[0] if[0] she's[0] going[0] nowhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her boyfriend , michael ( jon bon jovi ) , is broke and in a dead end job . 	her boyfriend , michael ( jon bon jovi ) , is broke and in a dead end job .	1	-3	 her[0] boyfriend[0] michael[0] jon[0] bon[0] jovi[0] is[0] broke[-1] and[0] in[0] a[0] dead[-2] end[0] job[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if she were to marry him , she'd never get a chance to escape this town . 	if she were to marry him , she'd never get a chance to escape this town .	1	-1	 if[0] she[0] were[0] to[0] marry[0] him[0] she'd[0] never[0] get[0] a[0] chance[0] to[0] escape[0] this[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
enter charlie ( edward burns ) , claudia's old flame . 	enter charlie ( edward burns ) , claudia's old flame .	1	-3	 enter[0] charlie[0] edward[0] burns[-1] claudia's[0] old[0] flame[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he skipped town several years before , without any explanations . . . even 	he skipped town several years before , without any explanations .<br> .<br> .<br> even	1	-1	 he[0] skipped[0] town[0] several[0] years[0] before[0] without[0] any[0] explanations[0] [[Sentence=-1,1=word max, 1-5]] even[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for claudia . 	for claudia .	1	-1	 for[0] claudia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has come back to town to see her , and suddenly she is torn . 	he has come back to town to see her , and suddenly she is torn .	1	-1	 he[0] has[0] come[0] back[0] to[0] town[0] to[0] see[0] her[0] and[0] suddenly[0] she[0] is[0] torn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
