did i do something bad ? 	Translation	Positive	Negative	EmotionRationale
i must have , because sitting through this movie was sheer punishment . 	i must have , because sitting through this movie was sheer punishment .	1	-2	 i[0] must[0] have[0] because[0] sitting[0] through[0] this[0] movie[0] was[0] sheer[0] punishment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here's the plot . 	here's the plot .	1	-1	 here's[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ricky ( jeff goldblum ) is producer of the good-buy network , one of those 24-hour home shopping channels . 	ricky ( jeff goldblum ) is producer of the good-buy network , one of those 24-hour home shopping channels .	2	-1	 ricky[0] jeff[0] goldblum[0] is[0] producer[0] of[0] the[0] good[1] buy[0] network[0] one[0] of[0] those[0] 24[0] hour[0] home[0] shopping[0] channels[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the new boss ( robert loggia ) plans to can ricky's behind if he doesn't turn the previous months' flat sales numbers around , and to add to his problems , ricky also has to work with kate ( kelly preston ) , the ivy league wunderkind whom the boss has brought with him . 	the new boss ( robert loggia ) plans to can ricky's behind if he doesn't turn the previous months' flat sales numbers around , and to add to his problems , ricky also has to work with kate ( kelly preston ) , the ivy league wunderkind whom the boss has brought with him .	1	-2	 the[0] new[0] boss[0] robert[0] loggia[0] plans[0] to[0] can[0] ricky's[0] behind[0] if[0] he[0] doesn't[0] turn[0] the[0] previous[0] months'[0] flat[0] sales[0] numbers[0] around[0] and[0] to[0] add[0] to[0] his[0] problems[-1] ricky[0] also[0] has[0] to[0] work[0] with[0] kate[0] kelly[0] preston[0] the[0] ivy[0] league[0] wunderkind[0] whom[0] the[0] boss[0] has[0] brought[0] with[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kate and ricky don't get along and don't have any great ideas until they meet g ( eddie murphy ) , a spiritualist who sees something positive in everything . 	kate and ricky don't get along and don't have any great ideas until they meet grin� ( eddie murphy ) , a spiritualist who sees something positive in everything .	3	-1	 kate[0] and[0] ricky[0] don't[0] get[0] along[0] and[0] don't[0] have[0] any[0] great[2] ideas[0] until[0] they[0] meet[0] g[0] eddie[0] murphy[0] a[0] spiritualist[0] who[0] sees[0] something[0] positive[2] in[0] everything[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his soothing voice and simple logic makes people feel good , and it's this quality that will make g the new gbn television star and the key to the network's success . 	his soothing voice and simple logic makes people feel good , and it's this quality that will make grin� the new gbn television star and the key to the network's success .	3	-1	 his[0] soothing[0] voice[0] and[0] simple[0] logic[0] makes[0] people[0] feel[0] good[1] and[0] it's[0] this[0] quality[0] that[0] will[0] make[0] g[0] the[0] new[0] gbn[0] television[0] star[0] and[0] the[0] key[0] to[0] the[0] network's[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the first problem is a flaw in the plot . 	the first problem is a flaw in the plot .	1	-2	 the[0] first[0] problem[-1] is[0] a[0] flaw[-1] in[0] the[0] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sure , g makes people feel good . 	sure , grin� makes people feel good .	2	-1	 sure[0] g[0] makes[0] people[0] feel[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sure , we're told that most people feel guilty after buying an impulse item , no matter how wealthy they might be , and i'll even believe that g talks a talk that allows people to feel good about what they've bought . 	sure , we're told that most people feel guilty after buying an impulse item , no matter how wealthy they might be , and i'll even believe that grin� talks a talk that allows people to feel good about what they've bought .	2	-4	 sure[0] we're[0] told[0] that[0] most[0] people[0] feel[0] guilty[-3] after[0] buying[0] an[0] impulse[0] item[0] no[0] matter[0] how[0] wealthy[0] they[0] might[0] be[0] and[0] i'll[0] even[0] believe[0] that[0] g[0] talks[0] a[0] talk[0] that[0] allows[0] people[0] to[0] feel[0] good[1] about[0] what[0] they've[0] bought[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but , hey , that's after they've bought it . 	but , hey , that's after they've bought it .	2	-1	 but[0] hey[1] that's[0] after[0] they've[0] bought[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
