the ads for " batman and robin " scream " the event of the summer is here " and that's the problem . 	Translation	Positive	Negative	EmotionRationale
the producers were apparently so intent on creating a spectacle that they forgot to put an actual movie inside of it . 	the producers were apparently so intent on creating a spectacle that they forgot to put an actual movie inside of it .	1	-1	 the[0] producers[0] were[0] apparently[0] so[0] intent[0] on[0] creating[0] a[0] spectacle[0] that[0] they[0] forgot[0] to[0] put[0] an[0] actual[0] movie[0] inside[0] of[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " batman and robin " is 126 minutes of lavish sets , flashy costumes and big , confusing fight scenes with barely a hint of substance . 	 " batman and robin " is 126 minutes of lavish sets , flashy costumes and big , confusing fight scenes with barely a hint of substance .	1	-3	 batman[0] and[0] robin[0] is[0] 126[0] minutes[0] of[0] lavish[0] sets[0] flashy[0] costumes[0] and[0] big[0] confusing[-1] fight[-2] scenes[0] with[0] barely[0] a[0] hint[0] of[0] substance[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's like one of those cheesy kings island stage shows ; bright , busy and visually diverting , but not very much fun . 	it's like one of those cheesy kings island stage shows ; bright , busy and visually diverting , but not very much fun .	2	-2	 it's[0] like[1] one[0] of[0] those[0] cheesy[0] kings[0] island[0] stage[0] shows[0] bright[0] busy[0] and[0] visually[0] diverting[0] but[0] not[0] very[0] much[0] fun[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it wasn't always this way . 	it wasn't always this way .	1	-1	 it[0] wasn't[0] always[0] this[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tim burton's " batman " was an epic story of obsession and duality , of darkness and revenge . 	tim burton's " batman " was an epic story of obsession and duality , of darkness and revenge .	1	-3	 tim[0] burton's[0] batman[0] was[0] an[0] epic[0] story[0] of[0] obsession[-2] and[0] duality[0] of[0] darkness[0] and[0] revenge[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film , while far from perfect , was a striking mood piece with an otherworldly feel . 	the film , while far from perfect , was a striking mood piece with an otherworldly feel .	2	-1	 the[0] film[0] while[0] far[0] from[0] perfect[1] was[0] a[0] striking[0] mood[0] piece[0] with[0] an[0] otherworldly[0] feel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
batman was a creepy , brooding creature of the night . 	batman was a creepy , brooding creature of the night .	1	-2	 batman[0] was[0] a[0] creepy[0] brooding[-1] creature[0] of[0] the[0] night[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the joker , brilliantly overplayed by jack nicholson , was at once charismatic and repellent . 	the joker , brilliantly overplayed by jack nicholson , was at once charismatic and repellent .	2	-1	 the[0] joker[1] brilliantly[1] overplayed[0] by[0] jack[0] nicholson[0] was[0] at[0] once[0] charismatic[0] and[0] repellent[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
batman and the joker were opposite sides of the same coin , battling inner demons and one another over gotham city's breathtaking gothic skyline . 	batman and the joker were opposite sides of the same coin , battling inner demons and one another over gotham city's breathtaking gothic skyline .	2	-1	 batman[0] and[0] the[0] joker[1] were[0] opposite[0] sides[0] of[0] the[0] same[0] coin[0] battling[0] inner[0] demons[0] and[0] one[0] another[0] over[0] gotham[0] city's[0] breathtaking[0] gothic[0] skyline[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
those days of the dark knight are gone , replaced by a psychedelic ice capades run amuck . 	those days of the dark knight are gone , replaced by a psychedelic ice capades run amuck .	1	-1	 those[0] days[0] of[0] the[0] dark[0] knight[0] are[0] gone[0] replaced[0] by[0] a[0] psychedelic[0] ice[0] capades[0] run[0] amuck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
