 " showgirls " is the first big-budget , big-studio film to receive an nc-17 rating . 	Translation	Positive	Negative	EmotionRationale
and its release last year came at a time when senator bob dole and other politicans chastised the entertainment industry for promoting sex and violence . 	and its release last year came at a time when senator bob dole and other politicans chastised the entertainment industry for promoting sex and violence .	1	-4	 and[0] its[0] release[0] last[0] year[0] came[0] at[0] a[0] time[0] when[0] senator[0] bob[0] dole[0] and[0] other[0] politicans[0] chastised[-2] the[0] entertainment[0] industry[0] for[0] promoting[0] sex[0] and[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but if " showgirls " is any indication of hollywood's future , the folks in washington should focus their attack on a more dangerous threat to american values--bad moviemaking . 	but if " showgirls " is any indication of hollywood's future , the folks in washington should focus their attack on a more dangerous threat to american values-bad moviemaking .	2	-3	 but[0] if[0] showgirls[0] is[0] any[0] indication[0] of[0] hollywood's[0] future[0] the[0] folks[0] in[0] washington[0] should[0] focus[0] their[0] attack[-2] on[0] a[0] more[0] dangerous[-1] threat[-2] to[0] american[0] values[1] bad[-1] moviemaking[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " showgirls " is a relentlessly exploitive look at the las vegas strip scene , and the film turns out to be just as trashy as its subject matter . 	 " showgirls " is a relentlessly exploitive look at the las vegas strip scene , and the film turns out to be just as trashy as its subject matter .	1	-2	 showgirls[0] is[0] a[0] relentlessly[0] exploitive[0] look[0] at[0] the[0] las[0] vegas[0] strip[0] scene[0] and[0] the[0] film[0] turns[0] out[0] to[0] be[0] just[0] as[0] trashy[-1] as[0] its[0] subject[0] matter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director paul verhoeven and writer joe eszterhas , who collaborated on another shock-value project , 1992's " basic instinct , " follow the plight of a young woman ( teen tv star elizabeth berkley ) determined to make a name for herself as a topless dancer . 	director paul verhoeven and writer joe eszterhas , who collaborated on another shock-value project , 1992's " basic instinct , " follow the plight of a young woman ( teen tv star elizabeth berkley ) determined to make a name for herself as a topless dancer .	2	-3	 director[0] paul[0] verhoeven[0] and[0] writer[0] joe[0] eszterhas[0] who[0] collaborated[0] on[0] another[0] shock[-2] value[1] project[0] 1992's[0] basic[0] instinct[0] follow[0] the[0] plight[-1] of[0] a[0] young[0] woman[0] teen[0] tv[0] star[0] elizabeth[0] berkley[0] determined[0] to[0] make[0] a[0] name[0] for[0] herself[0] as[0] a[0] topless[0] dancer[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's a hackneyed premise to begin with , so not surprisingly , all of the stock characters are trucked out . 	it's a hackneyed premise to begin with , so not surprisingly , all of the stock characters are trucked out .	1	-1	 it's[0] a[0] hackneyed[0] premise[0] to[0] begin[0] with[0] so[0] not[0] surprisingly[0] all[0] of[0] the[0] stock[0] characters[0] are[0] trucked[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's the demanding producer . 	there's the demanding producer .	1	-1	 there's[0] the[0] demanding[0] producer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the loyal friend . 	the loyal friend .	2	-1	 the[0] loyal[1] friend[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the bitchy competitor . 	the bitchy competitor .	1	-2	 the[0] bitchy[-1] competitor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lest i forget the scummy club owner . 	lest i forget the scummy club owner .	1	-2	 lest[0] i[0] forget[0] the[0] scummy[-1] club[0] owner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , any attempt at character development or a coherent storyline is just window dressing for the film's main attraction--an endless parade of full-frontal nudity . 	of course , any attempt at character development or a coherent storyline is just window dressing for the film's main attraction-an endless parade of full-frontal nudity .	2	-1	 of[0] course[0] any[0] attempt[0] at[0] character[0] development[0] or[0] a[0] coherent[0] storyline[0] is[0] just[0] window[0] dressing[0] for[0] the[0] film's[0] main[0] attraction[1] an[0] endless[0] parade[0] of[0] full[0] frontal[0] nudity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , " showgirls " doesn't satisfy in this department . 	unfortunately , " showgirls " doesn't satisfy in this department .	2	-2	 unfortunately[-1] showgirls[0] doesn't[0] satisfy[1] in[0] this[0] department[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
verhoeven's slam-bang , in-your-face style of direction proves neither arousing nor erotic . 	verhoeven's slam-bang , in-your-face style of direction proves neither arousing nor erotic .	1	-2	 verhoeven's[0] slam[-1] bang[0] in[0] your[0] face[0] style[0] of[0] direction[0] proves[0] neither[0] arousing[0] nor[0] erotic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to make matters worse , you'll be forced to sit through the movie's clothed scenes , which don't cover up for laughable acting and some of the most absurd dialogue ever spoken in film history . 	to make matters worse , you'll be forced to sit through the movie's clothed scenes , which don't cover up for laughable acting and some of the most absurd dialogue ever spoken in film history .	1	-3	 to[0] make[0] matters[0] worse[-2] you'll[0] be[0] forced[0] to[0] sit[0] through[0] the[0] movie's[0] clothed[0] scenes[0] which[0] don't[0] cover[0] up[0] for[0] laughable[-1] acting[0] and[0] some[0] of[0] the[0] most[0] absurd[-1] dialogue[0] ever[0] spoken[0] in[0] film[0] history[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
verhoeven and ezsterhas deserve credit for trying to break ground , but if it's adult entertainment you want , stay home and watch the playboy channel . 	verhoeven and ezsterhas deserve credit for trying to break ground , but if it's adult entertainment you want , stay home and watch the playboy channel .	1	-1	 verhoeven[0] and[0] ezsterhas[0] deserve[0] credit[0] for[0] trying[0] to[0] break[0] ground[0] but[0] if[0] it's[0] adult[0] entertainment[0] you[0] want[0] stay[0] home[0] and[0] watch[0] the[0] playboy[0] channel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'll be the wiser for it . 	you'll be the wiser for it .	1	-1	 you'll[0] be[0] the[0] wiser[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
