here's something to chew on : what's the favorite food of big , cheesy-looking special effects monsters like the one lurking in the bowels of a luxury liner in deep rising ? 	Translation	Positive	Negative	EmotionRationale
the obvious answer to this question is cardboard , because that's the depth of the most fully- developed character in this painfully generic creature feature . 	the obvious answer to this question is cardboard , because that's the depth of the most fully- developed character in this painfully generic creature feature .	1	-4	 the[0] obvious[0] answer[0] to[0] this[0] question[0] is[0] cardboard[0] because[0] that's[0] the[0] depth[0] of[0] the[0] most[0] fully[0] developed[0] character[0] in[0] this[0] painfully[-3] generic[0] creature[0] feature[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
deep rising demonstrates all the originality and vitality of something scripted by a computer . 	deep rising demonstrates all the originality and vitality of something scripted by a computer .	1	-1	 deep[0] rising[0] demonstrates[0] all[0] the[0] originality[0] and[0] vitality[0] of[0] something[0] scripted[0] by[0] a[0] computer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , considering the rigid adherence to the expected formulas , perhaps it was . 	in fact , considering the rigid adherence to the expected formulas , perhaps it was .	1	-2	 in[0] fact[0] considering[0] the[0] rigid[-1] adherence[0] to[0] the[0] expected[0] formulas[0] perhaps[0] it[0] was[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the most astonishing thing about deep rising is the exceptionally high level of gore . 	the most astonishing thing about deep rising is the exceptionally high level of gore .	1	-1	 the[0] most[0] astonishing[0] thing[0] about[0] deep[0] rising[0] is[0] the[0] exceptionally[0] high[0] level[0] of[0] gore[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not since starship troopers have this many chunks of flesh ( both human and non-human ) been scattered in all directions . 	not since starship troopers have this many chunks of flesh ( both human and non-human ) been scattered in all directions .	1	-1	 not[0] since[0] starship[0] troopers[0] have[0] this[0] many[0] chunks[0] of[0] flesh[0] both[0] human[0] and[0] non[0] human[0] been[0] scattered[0] in[0] all[0] directions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we learn some bloody trivia , as well , such as how a sea monster spraypaints in red ( it drinks a human being then spits out the liquefied remains ) and what it does with half-digested leftovers . 	we learn some bloody trivia , as well , such as how a sea monster spraypaints in red ( it drinks a human being then spits out the liquefied remains ) and what it does with half-digested leftovers .	1	-2	 we[0] learn[0] some[0] bloody[-1][--1 LastWordBoosterStrength] trivia[-1] as[0] well[0] such[0] as[0] how[0] a[0] sea[0] monster[-1] spraypaints[0] in[0] red[0] it[0] drinks[0] a[0] human[0] being[0] then[0] spits[0] out[0] the[0] liquefied[0] remains[0] and[0] what[0] it[0] does[0] with[0] half[0] digested[0] leftovers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i suppose deep rising's gallery of grotesque images represents fun stuff for those who love the macabre , but it doesn't do much for me . 	i suppose deep rising's gallery of grotesque images represents fun stuff for those who love the macabre , but it doesn't do much for me .	3	-2	 i[0] suppose[0] deep[0] rising's[0] gallery[0] of[0] grotesque[-1] images[0] represents[0] fun[1] stuff[0] for[0] those[0] who[0] love[2] the[0] macabre[0] but[0] it[0] doesn't[0] do[0] much[0] for[0] me[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
on the surface , and that's about the only level at which this film can be analyzed , deep rising feels like tremors grafted onto titanic ( everyone else is citing the equally valid aliens/titanic connection , since james cameron directed both ) . 	on the surface , and that's about the only level at which this film can be analyzed , deep rising feels like tremors grafted onto titanic ( everyone else is citing the equally valid aliens/titanic connection , since james cameron directed both ) .	2	-1	 on[0] the[0] surface[0] and[0] that's[0] about[0] the[0] only[0] level[0] at[0] which[0] this[0] film[0] can[0] be[0] analyzed[0] deep[0] rising[0] feels[0] like[1] tremors[0] grafted[0] onto[0] titanic[0] everyone[0] else[0] is[0] citing[0] the[0] equally[0] valid[0] aliens/titanic[0] connection[0] since[0] james[0] cameron[0] directed[0] both[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in going for the big disaster angle of titanic and the tongue-in-cheek mayhem of tremors , deep rising somehow misses both marks by a wide margin . 	in going for the big disaster angle of titanic and the tongue-in-cheek mayhem of tremors , deep rising somehow misses both marks by a wide margin .	1	-3	 in[0] going[0] for[0] the[0] big[0] disaster[-1] angle[0] of[0] titanic[0] and[0] the[0] tongue[0] in[0] cheek[0] mayhem[0] of[0] tremors[0] deep[0] rising[0] somehow[0] misses[-2] both[0] marks[0] by[0] a[0] wide[0] margin[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film is not humorous , tense , or exciting . 	the film is not humorous , tense , or exciting .	3	-3	 the[0] film[0] is[0] not[0] humorous[2][NegatedDueToPreviousWord] tense[-2][NegatedDueToPreviousWord] or[0] exciting[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in fact , it's downright boring , and , despite being half the length of cameron's current box-office champ , deep rising feels like the longer movie . 	in fact , it's downright boring , and , despite being half the length of cameron's current box-office champ , deep rising feels like the longer movie .	2	-2	 in[0] fact[0] it's[0] downright[0] boring[-1] and[0] despite[0] being[0] half[0] the[0] length[0] of[0] cameron's[0] current[0] box[0] office[0] champ[0] deep[0] rising[0] feels[0] like[1] the[0] longer[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
is it really necessary to say anything about the plot ? 	is it really necessary to say anything about the plot ?	1	-1	 is[0] it[0] really[0] necessary[0] to[0] say[0] anything[0] about[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
probably not , since it's easy to guess , but i'll go ahead and oblige anyone who wants a synopsis . 	probably not , since it's easy to guess , but i'll go ahead and oblige anyone who wants a synopsis .	1	-1	 probably[0] not[0] since[0] it's[0] easy[0] to[0] guess[0] but[0] i'll[0] go[0] ahead[0] and[0] oblige[0] anyone[0] who[0] wants[0] a[0] synopsis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens by introducing us to a gang of bad guys on board a mercenary ship . 	the film opens by introducing us to a gang of bad guys on board a mercenary ship .	1	-2	 the[0] film[0] opens[0] by[0] introducing[0] us[0] to[0] a[0] gang[0] of[0] bad[-1] guys[0] on[0] board[0] a[0] mercenary[0] ship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in addition to the usual cast of psychopaths and lunatics , there's finnegan ( treat williams ) , the boat's pilot , who's supposed to be an indiana jones knockoff ; joey ( kevin j . o'connor ) , the inept sidekick who's supposed to be lovable and funny ( but is really just irritating ) ; and hanover ( wes studi ) , the " mastermind " ( and i use that term lightly ) of the operation . 	in addition to the usual cast of psychopaths and lunatics , there's finnegan ( treat williams ) , the boat's pilot , who's supposed to be an indiana jones knockoff ; joey ( kevin j .<br> o'connor ) , the inept sidekick who's supposed to be lovable and funny ( but is really just irritating ) ; and hanover ( wes studi ) , the " mastermind " ( and i use that term lightly ) of the operation .	2	-2	 in[0] addition[0] to[0] the[0] usual[0] cast[0] of[0] psychopaths[0] and[0] lunatics[0] there's[0] finnegan[0] treat[1] williams[0] the[0] boat's[0] pilot[0] who's[0] supposed[0] to[0] be[0] an[0] indiana[0] jones[0] knockoff[0] joey[0] kevin[0] j[0] [[Sentence=-1,2=word max, 1-5]] o'connor[0] the[0] inept[0] sidekick[0] who's[0] supposed[0] to[0] be[0] lovable[0] and[0] funny[1] but[0] is[0] really[0] just[0] irritating[-2][--1 LastWordBoosterStrength] and[0] hanover[0] wes[0] studi[0] the[0] mastermind[0] and[0] i[0] use[0] that[0] term[0] lightly[0] of[0] the[0] operation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
their goal : attack a cruise ship , clean out the safe , then sink it using some illegally-acquired torpedoes . 	their goal : attack a cruise ship , clean out the safe , then sink it using some illegally-acquired torpedoes .	2	-3	 their[0] goal[0] attack[-2] a[0] cruise[0] ship[0] clean[0] out[0] the[0] safe[1] then[0] sink[0] it[0] using[0] some[0] illegally[0] acquired[0] torpedoes[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the problem is , by the time they reach the argonautica , the titanic-like luxury liner has turned into the marie celeste . 	the problem is , by the time they reach the argonautica , the titanic-like luxury liner has turned into the marie celeste .	2	-2	 the[0] problem[-1] is[0] by[0] the[0] time[0] they[0] reach[0] the[0] argonautica[0] the[0] titanic[0] like[1] luxury[0] liner[0] has[0] turned[0] into[0] the[0] marie[0] celeste[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
aside from a beautiful jewel thief ( famke janssen ) and a couple of crew members , there's no one on board . 	aside from a beautiful jewel thief ( famke janssen ) and a couple of crew members , there's no one on board .	3	-2	 aside[0] from[0] a[0] beautiful[2] jewel[0] thief[-1] famke[0] janssen[0] and[0] a[0] couple[0] of[0] crew[0] members[0] there's[0] no[0] one[0] on[0] board[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the reason soon becomes obvious -- the ship has been taken over by a bad special effect that is supposed to resemble an octopus with teeth and more than eight tentacles . 	the reason soon becomes obvious - the ship has been taken over by a bad special effect that is supposed to resemble an octopus with teeth and more than eight tentacles .	2	-2	 the[0] reason[0] soon[0] becomes[0] obvious[0] the[0] ship[0] has[0] been[0] taken[0] over[0] by[0] a[0] bad[-1] special[1] effect[0] that[0] is[0] supposed[0] to[0] resemble[0] an[0] octopus[0] with[0] teeth[0] and[0] more[0] than[0] eight[0] tentacles[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the cast , which is led by treat williams , is primarily comprised of has-beens and probably-never-will-bes ( two exceptions : wes studi , best known as the villain in the last of the mohicans , and djimon hounsou , amistad's cinque ) . 	the cast , which is led by treat williams , is primarily comprised of has-beens and probably-never-will-bes ( two exceptions : wes studi , best known as the villain in the last of the mohicans , and djimon hounsou , amistad's cinque ) .	2	-3	 the[0] cast[0] which[0] is[0] led[0] by[0] treat[1] williams[0] is[0] primarily[0] comprised[0] of[0] has[0] beens[0] and[0] probably[0] never[0] will[0] bes[0] two[0] exceptions[0] wes[0] studi[0] best[1] known[0] as[0] the[0] villain[-2] in[0] the[0] last[0] of[0] the[0] mohicans[0] and[0] djimon[0] hounsou[0] amistad's[0] cinque[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
