in " gia " , angelina jolie plays the titular character , the first so-called supermodel . 	Translation	Positive	Negative	EmotionRationale
and right there you have the biggest hurdle this movie had to overcome ( in my eyes , anyway ) . 	and right there you have the biggest hurdle this movie had to overcome ( in my eyes , anyway ) .	1	-1	 and[0] right[0] there[0] you[0] have[0] the[0] biggest[0] hurdle[0] this[0] movie[0] had[0] to[0] overcome[0] in[0] my[0] eyes[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i just don't see how the life of a model is worthy of a two hour film . 	i just don't see how the life of a model is worthy of a two hour film .	1	-1	 i[0] just[0] don't[0] see[0] how[0] the[0] life[0] of[0] a[0] model[0] is[0] worthy[0] of[0] a[0] two[0] hour[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite this , i kept an open mind when i began watching the movie . 	despite this , i kept an open mind when i began watching the movie .	1	-1	 despite[0] this[0] i[0] kept[0] an[0] open[0] mind[0] when[0] i[0] began[0] watching[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sadly , though , my fears were realized . 	sadly , though , my fears were realized .	1	-3	 sadly[-1] though[0] my[0] fears[-2] were[0] realized[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's just not possible to make an interesting , full-length film about a person who spends their days wearing different clothes . 	it's just not possible to make an interesting , full-length film about a person who spends their days wearing different clothes .	2	-1	 it's[0] just[0] not[0] possible[0] to[0] make[0] an[0] interesting[1] full[0] length[0] film[0] about[0] a[0] person[0] who[0] spends[0] their[0] days[0] wearing[0] different[0] clothes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie follows the rise and fall of gia ( no last name ) , a tumultuous woman who doesn't particularly enjoy the world of fashion . 	the movie follows the rise and fall of gia ( no last name ) , a tumultuous woman who doesn't particularly enjoy the world of fashion .	3	-1	 the[0] movie[0] follows[0] the[0] rise[0] and[0] fall[0] of[0] gia[0] no[0] last[0] name[0] a[0] tumultuous[0] woman[0] who[0] doesn't[0] particularly[0] enjoy[2] the[0] world[0] of[0] fashion[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she becomes famous more quickly than she can handle , and finds herself hooked on drugs and on a woman she cannot have . 	she becomes famous more quickly than she can handle , and finds herself hooked on drugs and on a woman she cannot have .	1	-1	 she[0] becomes[0] famous[0] more[0] quickly[0] than[0] she[0] can[0] handle[0] and[0] finds[0] herself[0] hooked[0] on[0] drugs[0] and[0] on[0] a[0] woman[0] she[0] cannot[0] have[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the last hour of the film is just one scene after another of gia getting high , losing a job , and going into rehab . 	the last hour of the film is just one scene after another of gia getting high , losing a job , and going into rehab .	1	-3	 the[0] last[0] hour[0] of[0] the[0] film[0] is[0] just[0] one[0] scene[0] after[0] another[0] of[0] gia[0] getting[0] high[0] losing[-2] a[0] job[0] and[0] going[0] into[0] rehab[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this formula is repeated several times , and i really got tired of it . 	this formula is repeated several times , and i really got tired of it .	1	-2	 this[0] formula[0] is[0] repeated[0] several[0] times[0] and[0] i[0] really[0] got[0] tired[-1] of[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in general , i tend to dislike movies featuring heavy drug use . 	in general , i tend to dislike movies featuring heavy drug use .	1	-3	 in[0] general[0] i[0] tend[0] to[0] dislike[-2] movies[0] featuring[0] heavy[0] drug[0] use[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
