sydney lumet is the director whose work happens to be of varied quality . 	Translation	Positive	Negative	EmotionRationale
he is praised for some of the most important films of the previous decades , like twelve angry men , serpico or the verdict . 	he is praised for some of the most important films of the previous decades , like twelve angry men , serpico or the verdict .	3	-4	 he[0] is[0] praised[2] for[0] some[0] of[0] the[0] most[0] important[0] films[0] of[0] the[0] previous[0] decades[0] like[1] twelve[0] angry[-3] men[0] serpico[0] or[0] the[0] verdict[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but , in the same time , almost any of such pearls is followed by stinkers that hamper lumet's reputation . 	but , in the same time , almost any of such pearls is followed by stinkers that hamper lumet's reputation .	1	-3	 but[0] in[0] the[0] same[0] time[0] almost[0] any[0] of[0] such[0] pearls[0] is[0] followed[0] by[0] stinkers[-2] that[0] hamper[0] lumet's[0] reputation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a stranger among us , 1992 rip-off of peter weir's witness , belongs to the latter category . 	a stranger among us , 1992 rip-off of peter weir's witness , belongs to the latter category .	1	-2	 a[0] stranger[0] among[0] us[0] 1992[0] rip[-1] off[0] of[0] peter[0] weir's[0] witness[0] belongs[0] to[0] the[0] latter[0] category[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the heroine of this movie is emily eden ( melanie griffith ) , tough lady cop who sometimes shows too much enthusiasm in battling bad guys on the streets of new york . 	the heroine of this movie is emily eden ( melanie griffith ) , tough lady cop who sometimes shows too much enthusiasm in battling bad guys on the streets of new york .	3	-2	 the[0] heroine[2] of[0] this[0] movie[0] is[0] emily[0] eden[0] melanie[0] griffith[0] tough[-1] lady[0] cop[0] who[0] sometimes[0] shows[0] too[0] much[0] enthusiasm[2] in[0] battling[0] bad[-1] guys[0] on[0] the[0] streets[0] of[0] new[0] york[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
during one of such actions , her partner nick ( jamey sheridan ) got hurt and as a result , she becomes depressed . 	during one of such actions , her partner nick ( jamey sheridan ) got hurt and as a result , she becomes depressed .	1	-4	 during[0] one[0] of[0] such[0] actions[0] her[0] partner[0] nick[0] jamey[0] sheridan[0] got[0] hurt[-2] and[0] as[0] a[0] result[0] she[0] becomes[0] depressed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in order to help her recover , bosses give her rather easy task of locating missing jeweller who belonged to hassidic jew community . 	in order to help her recover , bosses give her rather easy task of locating missing jeweller who belonged to hassidic jew community .	1	-1	 in[0] order[0] to[0] help[0] her[0] recover[0] bosses[0] give[0] her[0] rather[0] easy[0] task[0] of[0] locating[0] missing[0] jeweller[0] who[0] belonged[0] to[0] hassidic[0] jew[0] community[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
emily starts investigation and soon realises that the case involves murder . 	emily starts investigation and soon realises that the case involves murder .	1	-4	 emily[0] starts[0] investigation[0] and[0] soon[0] realises[0] that[0] the[0] case[0] involves[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
concluding that the perpetrator belongs to community , she decides to go undercover . 	concluding that the perpetrator belongs to community , she decides to go undercover .	1	-1	 concluding[0] that[0] the[0] perpetrator[0] belongs[0] to[0] community[0] she[0] decides[0] to[0] go[0] undercover[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that isn't easy , because her modern manners are colliding with traditionalist ways . 	that isn't easy , because her modern manners are colliding with traditionalist ways .	1	-1	 that[0] isn't[0] easy[0] because[0] her[0] modern[0] manners[0] are[0] colliding[0] with[0] traditionalist[0] ways[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
things get even more complicated when she develops feelings for young cabalistic scholar ariel ( eric thal ) . 	things get even more complicated when she develops feelings for young cabalistic scholar ariel ( eric thal ) .	1	-2	 things[0] get[0] even[0] more[0] complicated[-1] when[0] she[0] develops[0] feelings[0] for[0] young[0] cabalistic[0] scholar[0] ariel[0] eric[0] thal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
using peter weir's formula isn't the greatest flaw of this film . 	using peter weir's formula isn't the greatest flaw of this film .	1	-3	 using[0] peter[0] weir's[0] formula[0] isn't[0] the[0] greatest[2][NegatedDueToPreviousWord] flaw[-1] of[0] this[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even the lame and unispiring crime mystery subplot works to the certain extent . 	even the lame and unispiring crime mystery subplot works to the certain extent .	1	-3	 even[0] the[0] lame[-2] and[0] unispiring[0] crime[-1] mystery[0] subplot[0] works[0] to[0] the[0] certain[0] extent[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but the worst insult to viewer's audience is terrible miscasting of melanie griffith . 	but the worst insult to viewer's audience is terrible miscasting of melanie griffith .	1	-4	 but[0] the[0] worst[-2] insult[-2][-1 MultiplePositiveWords] to[0] viewer's[0] audience[0] is[0] terrible[-3] miscasting[0] of[0] melanie[0] griffith[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the author of this review never liked this actress very much , but she was at least tolerable in some of her roles . 	the author of this review never liked this actress very much , but she was at least tolerable in some of her roles .	1	-3	 the[0] author[0] of[0] this[0] review[0] never[0] liked[2][NegatedDueToPreviousWord] this[0] actress[0] very[0] much[0] but[0] she[0] was[0] at[0] least[0] tolerable[0] in[0] some[0] of[0] her[0] roles[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
role of emily eden , unfortunately , isn't one of them . 	role of emily eden , unfortunately , isn't one of them .	1	-2	 role[0] of[0] emily[0] eden[0] unfortunately[-1] isn't[0] one[0] of[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
first of all , she can't pass for tough nypd street fighter , and her attempt to pass for orthodox jewish woman isn't much better . 	first of all , she can't pass for tough nypd street fighter , and her attempt to pass for orthodox jewish woman isn't much better .	1	-3	 first[0] of[0] all[0] she[0] can't[0] pass[0] for[0] tough[-1] nypd[0] street[0] fighter[-2] and[0] her[0] attempt[0] to[0] pass[0] for[0] orthodox[0] jewish[0] woman[0] isn't[0] much[0] better[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
