capsule : the weakest and least engaging of the alien movies , dragged down by an uninvolving story and no real tension . 	Translation	Positive	Negative	EmotionRationale
alien 3 ( the " 3 " should be in superscript ) is a sad and wan entry in what was shaping up as one of the best sf sagas ever put on screen . 	alien 3 ( the " 3 " should be in superscript ) is a sad and wan entry in what was shaping up as one of the best sf sagas ever put on screen .	2	-4	 alien[-1] 3[0] the[0] 3[0] should[0] be[0] in[0] superscript[0] is[0] a[0] sad[-3] and[0] wan[0] entry[0] in[0] what[0] was[0] shaping[0] up[0] as[0] one[0] of[0] the[0] best[1] sf[0] sagas[-1] ever[0] put[0] on[0] screen[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it continues the story of ripley , the space-trucker-turned-impromptu-survivalist , but seems remarkably uninterested in her . 	it continues the story of ripley , the space-trucker-turned-impromptu-survivalist , but seems remarkably uninterested in her .	1	-1	 it[0] continues[0] the[0] story[0] of[0] ripley[0] the[0] space[0] trucker[0] turned[0] impromptu[0] survivalist[0] but[0] seems[0] remarkably[0] uninterested[0] in[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , the movie seems lucky to be interested in anything at all , it's so elegaic and limp . 	in fact , the movie seems lucky to be interested in anything at all , it's so elegaic and limp .	2	-2	 in[0] fact[0] the[0] movie[0] seems[0] lucky[1] to[0] be[0] interested[1] in[0] anything[0] at[0] all[0] it's[0] so[0] elegaic[0] and[0] limp[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a little of this would have been nice for atmosphere , but the movie telegraphs its own tragedy from the beginning . 	a little of this would have been nice for atmosphere , but the movie telegraphs its own tragedy from the beginning .	2	-3	 a[0] little[0] of[0] this[0] would[0] have[0] been[0] nice[1] for[0] atmosphere[0] but[0] the[0] movie[0] telegraphs[0] its[0] own[0] tragedy[-2] from[0] the[0] beginning[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
at the end of the last film ( aliens ) , ripley and two survivors were on their way home . 	at the end of the last film ( aliens ) , ripley and two survivors were on their way home .	1	-1	 at[0] the[0] end[0] of[0] the[0] last[0] film[0] aliens[0] ripley[0] and[0] two[0] survivors[0] were[0] on[0] their[0] way[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , an alien pod had been deposited in their ship , and wound up triggering off their ejection in an escape pod . 	unfortunately , an alien pod had been deposited in their ship , and wound up triggering off their ejection in an escape pod .	1	-2	 unfortunately[-1] an[0] alien[-1] pod[0] had[0] been[0] deposited[0] in[0] their[0] ship[0] and[0] wound[-1] up[0] triggering[0] off[0] their[0] ejection[0] in[0] an[0] escape[0] pod[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the pod crashes on firorina 161 , a prison planet designed to house the incurably criminally violent . 	the pod crashes on firorina 161 , a prison planet designed to house the incurably criminally violent .	1	-3	 the[0] pod[0] crashes[0] on[0] firorina[0] 161[0] a[0] prison[-1] planet[0] designed[0] to[0] house[0] the[0] incurably[0] criminally[-1] violent[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ripley lives through the crash ; the others do not . 	ripley lives through the crash ; the others do not .	1	-1	 ripley[0] lives[0] through[0] the[0] crash[0] the[0] others[0] do[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the prison is a grim place , even as prisons go -- it's been built around the remnants of an abandoned steelworks , which provides no end of techno-gothic backdrops for the actors to be backlit against . 	the prison is a grim place , even as prisons go - it's been built around the remnants of an abandoned steelworks , which provides no end of techno-gothic backdrops for the actors to be backlit against .	1	-3	 the[0] prison[-1] is[0] a[0] grim[-2] place[0] even[0] as[0] prisons[-1] go[0] it's[0] been[0] built[0] around[0] the[0] remnants[0] of[0] an[0] abandoned[-1] steelworks[0] which[0] provides[0] no[0] end[0] of[0] techno[0] gothic[0] backdrops[0] for[0] the[0] actors[0] to[0] be[0] backlit[0] against[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
lice are endemic , and so ripley's head is shaved ( another surreal touch ) . 	lice are endemic , and so ripley's head is shaved ( another surreal touch ) .	1	-1	 lice[0] are[0] endemic[0] and[0] so[0] ripley's[0] head[0] is[0] shaved[0] another[0] surreal[0] touch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
