suicide is pointless , everyone should know that . 	Translation	Positive	Negative	EmotionRationale
so what's this movie like ? 	so what's this movie like ?	2	-1	 so[0] what's[0] this[0] movie[0] like[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you guessed it . . . 	you guessed it .<br> .<br> .	1	-1	 you[0] guessed[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pointless . 	pointless .	1	-2	 pointless[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the virgin suicides focuses on the lives of the five lisbon sisters , from the perspective of the teenage boys who are fascinated by them . 	the virgin suicides focuses on the lives of the five lisbon sisters , from the perspective of the teenage boys who are fascinated by them .	1	-1	 the[0] virgin[0] suicides[0] focuses[0] on[0] the[0] lives[0] of[0] the[0] five[0] lisbon[0] sisters[0] from[0] the[0] perspective[0] of[0] the[0] teenage[0] boys[0] who[0] are[0] fascinated[0] by[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the youngest lisbon sister commits suicide , it sets in motion a series of events that will change the lives of many people forever . 	when the youngest lisbon sister commits suicide , it sets in motion a series of events that will change the lives of many people forever .	1	-4	 when[0] the[0] youngest[0] lisbon[0] sister[0] commits[0] suicide[-3] it[0] sets[0] in[0] motion[0] a[0] series[0] of[0] events[0] that[0] will[0] change[0] the[0] lives[0] of[0] many[0] people[0] forever[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that's what the press materials for the film probably say . 	that's what the press materials for the film probably say .	1	-1	 that's[0] what[0] the[0] press[0] materials[0] for[0] the[0] film[0] probably[0] say[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now here's what i say : the virgin suicides is a huge waste of time . 	now here's what i say : the virgin suicides is a huge waste of time .	1	-2	 now[0] here's[0] what[0] i[0] say[0] the[0] virgin[0] suicides[0] is[0] a[0] huge[0] waste[-1] of[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
boring , arty , pretentious junk that is about as entertaining as . . . 	boring , arty , pretentious junk that is about as entertaining as .<br> .<br> .	1	-2	 boring[-1] arty[0] pretentious[-1] junk[-1] that[0] is[0] about[0] as[0] entertaining[0] as[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well as committing suicide . 	well as committing suicide .	1	-4	 well[0] as[0] committing[0] suicide[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie lost me early on , immediately following the scene where the younger daughter jumps to her death from her bedroom window . 	the movie lost me early on , immediately following the scene where the younger daughter jumps to her death from her bedroom window .	1	-3	 the[0] movie[0] lost[0] me[0] early[0] on[0] immediately[0] following[0] the[0] scene[0] where[0] the[0] younger[0] daughter[0] jumps[0] to[0] her[0] death[-2] from[0] her[0] bedroom[0] window[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
