i'm not sure i should be writing a review of the witches of eastwick , because i'm not sure just what the hell ( pardon the expression ) was going on in it . 	Translation	Positive	Negative	EmotionRationale
however , i can express the most important observation i made of it , i . e . 	however , i can express the most important observation i made of it , i .<br> e .	1	-1	 however[0] i[0] can[0] express[0] the[0] most[0] important[0] observation[0] i[0] made[0] of[0] it[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i didn't like it . 	i didn't like it .	2	-1	 i[0] didn't[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if i had to summarize this film , i think i'd conclude it was an updating of one of those old new england folk tales of someone selling their souls to old scratch and how they try to get out of the deal . 	if i had to summarize this film , i think i'd conclude it was an updating of one of those old new england folk tales of someone selling their souls to old scratch and how they try to get out of the deal .	1	-1	 if[0] i[0] had[0] to[0] summarize[0] this[0] film[0] i[0] think[0] i'd[0] conclude[0] it[0] was[0] an[0] updating[0] of[0] one[0] of[0] those[0] old[0] new[0] england[0] folk[0] tales[0] of[0] someone[0] selling[0] their[0] souls[0] to[0] old[0] scratch[0] and[0] how[0] they[0] try[0] to[0] get[0] out[0] of[0] the[0] deal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's the kernel of it , anyway . 	that's the kernel of it , anyway .	1	-1	 that's[0] the[0] kernel[0] of[0] it[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tossed into this are little bits and pieces that occasionally seem to be saying something about men and women , feminism , the role of the devil , modern reformers , and friendship . 	tossed into this are little bits and pieces that occasionally seem to be saying something about men and women , feminism , the role of the devil , modern reformers , and friendship .	2	-2	 tossed[0] into[0] this[0] are[0] little[0] bits[0] and[0] pieces[0] that[0] occasionally[0] seem[0] to[0] be[0] saying[0] something[0] about[0] men[0] and[0] women[0] feminism[0] the[0] role[0] of[0] the[0] devil[-1] modern[0] reformers[0] and[0] friendship[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , little or no effort is ever made to follow up and elucidate on these concepts ; they're simply thrown out and then left to rot while the film goes on apace . 	unfortunately , little or no effort is ever made to follow up and elucidate on these concepts ; they're simply thrown out and then left to rot while the film goes on apace .	1	-2	 unfortunately[-1] little[0] or[0] no[0] effort[0] is[0] ever[0] made[0] to[0] follow[0] up[0] and[0] elucidate[0] on[0] these[0] concepts[0] they're[0] simply[0] thrown[0] out[0] and[0] then[0] left[0] to[0] rot[-1] while[0] the[0] film[0] goes[0] on[0] apace[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
actually , i think that most of the audience was even more confused than i was . 	actually , i think that most of the audience was even more confused than i was .	1	-2	 actually[0] i[0] think[0] that[0] most[0] of[0] the[0] audience[0] was[0] even[0] more[0] confused[-1] than[0] i[0] was[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they came in expecting some kind of supernatural comedy , on the level of ghostbusters , and were a bit confused to be getting a folk tale with philosophical overtones . 	they came in expecting some kind of supernatural comedy , on the level of ghostbusters , and were a bit confused to be getting a folk tale with philosophical overtones .	1	-2	 they[0] came[0] in[0] expecting[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] supernatural[0] comedy[0] on[0] the[0] level[0] of[0] ghostbusters[0] and[0] were[0] a[0] bit[0] confused[-1] to[0] be[0] getting[0] a[0] folk[0] tale[0] with[0] philosophical[0] overtones[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they laughed , or tried to laugh , at moments that were either barely funny , or much more horrible than funny , as if that could bend the film away from it's rather frightening direction . 	they laughed , or tried to laugh , at moments that were either barely funny , or much more horrible than funny , as if that could bend the film away from it's rather frightening direction .	2	-4	 they[0] laughed[1] or[0] tried[0] to[0] laugh[1] at[0] moments[0] that[0] were[0] either[0] barely[0] funny[1] or[0] much[0] more[0] horrible[-3] than[0] funny[1] as[0] if[0] that[0] could[0] bend[0] the[0] film[0] away[0] from[0] it's[0] rather[0] frightening[-3] direction[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
three women ( cher , susan sarandon , and michelle pfieffer ) live in eastwick , a small midwestern town . 	three women ( cher , susan sarandon , and michelle pfieffer ) live in eastwick , a small midwestern town .	1	-1	 three[0] women[0] cher[0] susan[0] sarandon[0] and[0] michelle[0] pfieffer[0] live[0] in[0] eastwick[0] a[0] small[0] midwestern[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one night , while drinking late into the evening , they begin wishing for the ideal man to drop into their lives . 	one night , while drinking late into the evening , they begin wishing for the ideal man to drop into their lives .	1	-2	 one[0] night[0] while[0] drinking[0] late[0] into[0] the[0] evening[0] they[0] begin[0] wishing[0] for[0] the[0] ideal[0] man[0] to[0] drop[-1] into[0] their[0] lives[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in seeming answer to their idle daydreams , a wealthy eccentric moves into a mansion on the hill and seduces each one by attempting to be everything they want him to be . 	in seeming answer to their idle daydreams , a wealthy eccentric moves into a mansion on the hill and seduces each one by attempting to be everything they want him to be .	1	-2	 in[0] seeming[0] answer[0] to[0] their[0] idle[0] daydreams[0] a[0] wealthy[0] eccentric[-1] moves[0] into[0] a[0] mansion[0] on[0] the[0] hill[0] and[0] seduces[0] each[0] one[0] by[0] attempting[0] to[0] be[0] everything[0] they[0] want[0] him[0] to[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he soon shows evidence of mystical--perhaps demonic--power , and his devotion to the women's merest fantasies or wishes has dangerous overtones . 	he soon shows evidence of mystical-perhaps demonic-power , and his devotion to the women's merest fantasies or wishes has dangerous overtones .	3	-2	 he[0] soon[0] shows[0] evidence[0] of[0] mystical[0] perhaps[0] demonic[0] power[0] and[0] his[0] devotion[2] to[0] the[0] women's[0] merest[0] fantasies[0] or[0] wishes[0] has[0] dangerous[-1] overtones[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even worse , when ignored his moods become ugly , and he mistreats the women for spurning him . 	even worse , when ignored his moods become ugly , and he mistreats the women for spurning him .	1	-3	 even[0] worse[-2] when[0] ignored[0] his[0] moods[0] become[0] ugly[-2] and[0] he[0] mistreats[0] the[0] women[0] for[0] spurning[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
anyway , the problems : all three female characters are fairly uninteresting , and several are cardboard stereotypes , especially sarandon's character . 	anyway , the problems : all three female characters are fairly uninteresting , and several are cardboard stereotypes , especially sarandon's character .	1	-2	 anyway[0] the[0] problems[-1] all[0] three[0] female[0] characters[0] are[0] fairly[0] uninteresting[0] and[0] several[0] are[0] cardboard[0] stereotypes[0] especially[0] sarandon's[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we never get inside them , never feel sympathetic to them , because their dialogue and personalities seem pretty bland . 	we never get inside them , never feel sympathetic to them , because their dialogue and personalities seem pretty bland .	3	-2	 we[0] never[0] get[0] inside[0] them[0] never[0] feel[0] sympathetic[0] to[0] them[0] because[0] their[0] dialogue[0] and[0] personalities[0] seem[0] pretty[2] bland[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as for nicholson , well , even the devil needs a direction to go in , and while darryl van horne is the most interesting character in the movie ( due to the grace of the screenwriter and , more importantly , nicholson's acting ) , he still can't be yanked in one direction and then another without making him a little vague . 	as for nicholson , well , even the devil needs a direction to go in , and while darryl van horne is the most interesting character in the movie ( due to the grace of the screenwriter and , more importantly , nicholson's acting ) , he still can't be yanked in one direction and then another without making him a little vague .	3	-2	 as[0] for[0] nicholson[0] well[0] even[0] the[0] devil[-1] needs[0] a[0] direction[0] to[0] go[0] in[0] and[0] while[0] darryl[0] van[0] horne[0] is[0] the[0] most[0] interesting[1] character[0] in[0] the[0] movie[0] due[0] to[0] the[0] grace[2] of[0] the[0] screenwriter[0] and[0] more[0] importantly[0] nicholson's[0] acting[0] he[0] still[0] can't[0] be[0] yanked[0] in[0] one[0] direction[0] and[0] then[0] another[0] without[0] making[0] him[0] a[0] little[0] vague[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and then there's the special effects . 	and then there's the special effects .	2	-1	 and[0] then[0] there's[0] the[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not in themselves--they weren't that good--but their overuse . 	not in themselves-they weren't that good-but their overuse .	2	-1	 not[0] in[0] themselves[0] they[0] weren't[0] that[0] good[1] but[0] their[0] overuse[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i was almost positive , until i saw the credits , that the witches of eastwick was either produced by alexander salkind ( who has turned out the slop named superman ii and iii and supergirl ) , because of the big name actors in dopy stunts , or stephen spielberg , after the 18th vomit scene and the nicholson-blown-down-the-street stunt . 	i was almost positive , until i saw the credits , that the witches of eastwick was either produced by alexander salkind ( who has turned out the slop named superman i and i and supergirl ) , because of the big name actors in dopy stunts , or stephen spielberg , after the 18th vomit scene and the nicholson-blown-down-the-street stunt .	3	-3	 i[0] was[0] almost[0] positive[2] until[0] i[0] saw[0] the[0] credits[0] that[0] the[0] witches[0] of[0] eastwick[0] was[0] either[0] produced[0] by[0] alexander[0] salkind[0] who[0] has[0] turned[0] out[0] the[0] slop[0] named[0] superman[0] ii/i[0] and[0] iii/i[0][+0.6 MultipleLetters] and[0] supergirl[0] because[0] of[0] the[0] big[0] name[0] actors[0] in[0] dopy[0] stunts[0] or[0] stephen[0] spielberg[0] after[0] the[0] 18th[0] vomit[-2] scene[0] and[0] the[0] nicholson[0] blown[0] down[0] the[0] street[0] stunt[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
nope , it's another bunch of guys , and directed by george miller , who has shown great skill with stunts/special effects before ( the road warrior , " nightmare at 20 , 00 feet " episode of twilight zone : the movie ) but apparently doesn't know when to turn off the wind machine and let his people act . 	nope , it's another bunch of guys , and directed by george miller , who has shown great skill with stunts/special effects before ( the road warrior , " nightmare at 20 , 00 feet " episode of twilight zone : the movie ) but apparently doesn't know when to turn off the wind machine and let his people act .	3	-3	 nope[0] it's[0] another[0] bunch[0] of[0] guys[0] and[0] directed[0] by[0] george[0] miller[0] who[0] has[0] shown[0] great[2] skill[0] with[0] stunts/special[0] effects[0] before[0] the[0] road[0] warrior[0] nightmare[-2] at[0] 20[0] 00[0] feet[0] episode[0] of[0] twilight[0] zone[0] the[0] movie[0] but[0] apparently[0] doesn't[0] know[0] when[0] to[0] turn[0] off[0] the[0] wind[0] machine[0] and[0] let[0] his[0] people[0] act[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
f'gawds sake , guys , this is jack nicholson ! 	f'gawds sake , guys , this is jack nicholson !	1	-1	 f'gawds[0] sake[0] guys[0] this[0] is[0] jack[0] nicholson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let him loose ! 	let him loose !	1	-1	 let[0] him[0] loose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let him grin demonically ! 	let him grin demonically !	2	-1	 let[0] him[0] grin[1] demonically[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
skip the splitting earth and fake lightning ! 	skip the splitting earth and fake lightning !	1	-2	 skip[0] the[0] splitting[0] earth[0] and[0] fake[-1] lightning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
watching the scene where nicholson is tossed out of the car by the voodoo doll , all i could think of was , " what a waste " . 	watching the scene where nicholson is tossed out of the car by the voodoo doll , all i could think of was , " what a waste " .	1	-2	 watching[0] the[0] scene[0] where[0] nicholson[0] is[0] tossed[0] out[0] of[0] the[0] car[0] by[0] the[0] voodoo[0] doll[0] all[0] i[0] could[0] think[0] of[0] was[0] what[0] a[0] waste[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you're going to use slapstick like that , use it up on pee wee herman . 	if you're going to use slapstick like that , use it up on pee wee herman .	2	-2	 if[0] you're[0] going[0] to[0] use[0] slapstick[-1] like[1] that[0] use[0] it[0] up[0] on[0] pee[0] wee[-1] herman[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nicholson does what he can with the role , and when he can find his bearings , can be extremely good ( the scene in the church , for instance ) , but most of the time , he seems a bit stiff , as if he's not sure what he should be doing next . 	nicholson does what he can with the role , and when he can find his bearings , can be extremely good ( the scene in the church , for instance ) , but most of the time , he seems a bit stiff , as if he's not sure what he should be doing next .	4	-1	 nicholson[0] does[0] what[0] he[0] can[0] with[0] the[0] role[0] and[0] when[0] he[0] can[0] find[0] his[0] bearings[0] can[0] be[0] extremely[0] good[1][2 LastWordBoosterStrength] the[0] scene[0] in[0] the[0] church[0] for[0] instance[0] but[0] most[0] of[0] the[0] time[0] he[0] seems[0] a[0] bit[0] stiff[0] as[0] if[0] he's[0] not[0] sure[0] what[0] he[0] should[0] be[0] doing[0] next[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
and no wonder . 	and no wonder .	1	-1	 and[0] no[0] wonder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this script goes all over the map , giving you the feeling that it'd just love to be allegory , but it's not sure about what-- maybe if you give it time it'll think of something . 	this script goes all over the map , giving you the feeling that it'd just love to be allegory , but it's not sure about what- maybe if you give it time it'll think of something .	2	-1	 this[0] script[0] goes[0] all[0] over[0] the[0] map[0] giving[0] you[0] the[0] feeling[0] that[0] it'd[0] just[0] love[2][-1 LastWordBoosterStrength] to[0] be[0] allegory[0] but[0] it's[0] not[0] sure[0] about[0] what[0] maybe[0] if[0] you[0] give[0] it[0] time[0] it'll[0] think[0] of[0] something[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so what is the witches of eastwick ? 	so what is the witches of eastwick ?	1	-1	 so[0] what[0] is[0] the[0] witches[0] of[0] eastwick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a horror movie ? 	a horror movie ?	1	-4	 a[0] horror[-3] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a folk tale ? 	a folk tale ?	1	-1	 a[0] folk[0] tale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a comedy ? 	a comedy ?	1	-1	 a[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a statement about women ? 	a statement about women ?	1	-1	 a[0] statement[0] about[0] women[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an examination of the religious right or comparitive morality ? 	an examination of the religious right or comparitive morality ?	1	-1	 an[0] examination[0] of[0] the[0] religious[0] right[0] or[0] comparitive[0] morality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i tend to think of the image that seems to dominate the movie for me . . . watching 	i tend to think of the image that seems to dominate the movie for me .<br> .<br> .<br> watching	1	-2	 i[0] tend[0] to[0] think[0] of[0] the[0] image[0] that[0] seems[0] to[0] dominate[-1] the[0] movie[0] for[0] me[0] [[Sentence=-2,1=word max, 1-5]] watching[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
