when you've run out of old tv shows to turn into movies , i guess you try video games . 	Translation	Positive	Negative	EmotionRationale
why did i go to see mortal kombat : annihilation ? 	why did i go to see mortal kombat : annihilation ?	1	-4	 why[0] did[0] i[0] go[0] to[0] see[0] mortal[0] kombat[0] annihilation[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the quest to seek an answer to this query may prove a better movie that the one i just saw . 	the quest to seek an answer to this query may prove a better movie that the one i just saw .	1	-1	 the[0] quest[0] to[0] seek[0] an[0] answer[0] to[0] this[0] query[0] may[0] prove[0] a[0] better[0] movie[0] that[0] the[0] one[0] i[0] just[0] saw[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film was a bunch of fighting , yelling , special effects , and bad acting set to an oppressive techno music soundtrack . 	this film was a bunch of fighting , yelling , special effects , and bad acting set to an oppressive techno music soundtrack .	2	-3	 this[0] film[0] was[0] a[0] bunch[0] of[0] fighting[-2] yelling[0] special[1] effects[0] and[0] bad[-1] acting[0] set[0] to[0] an[0] oppressive[-2] techno[0] music[0] soundtrack[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the plot is fairly simple : a portal has opened between our world and the " outworld " , allowing evil forces commanded by shao kahn ( brian thompson ) to wreak havoc and attempt to destroy humanity . 	the plot is fairly simple : a portal has opened between our world and the " outworld " , allowing evil forces commanded by shao kahn ( brian thompson ) to wreak havoc and attempt to destroy humanity .	1	-3	 the[0] plot[0] is[0] fairly[0] simple[0] a[0] portal[0] has[0] opened[0] between[0] our[0] world[0] and[0] the[0] outworld[0] allowing[0] evil[-2] forces[0] commanded[0] by[0] shao[0] kahn[0] brian[0] thompson[0] to[0] wreak[0] havoc[-1] and[0] attempt[0] to[0] destroy[-2] humanity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the good guys , led by sorcerer rayden ( james remar ) and human mortal liu kang ( robin shou ) , must take the fight to outworld , where the fate of both worlds will be determined . 	the good guys , led by sorcerer rayden ( james remar ) and human mortal liu kang ( robin shou ) , must take the fight to outworld , where the fate of both worlds will be determined .	2	-3	 the[0] good[1] guys[0] led[0] by[0] sorcerer[0] rayden[0] james[0] remar[0] and[0] human[0] mortal[0] liu[0] kang[0] robin[0] shou[0] must[0] take[0] the[0] fight[-2] to[0] outworld[0] where[0] the[0] fate[0] of[0] both[0] worlds[0] will[0] be[0] determined[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
here's the catch : they must reunite princess katana ( talia soto ) , who's on the good side , with her resurrected mother queen sindel ( musetta vander ) , who's on the bad side , for their love for each other will close the portal and ensure humanity's safety for another generation . 	here's the catch : they must reunite princess katana ( talia soto ) , who's on the good side , with her resurrected mother queen sindel ( musetta vander ) , who's on the bad side , for their love for each other will close the portal and ensure humanity's safety for another generation .	3	-2	 here's[0] the[0] catch[0] they[0] must[0] reunite[0] princess[0] katana[0] talia[0] soto[0] who's[0] on[0] the[0] good[1] side[0] with[0] her[0] resurrected[0] mother[0] queen[0] sindel[0] musetta[0] vander[0] who's[0] on[0] the[0] bad[-1] side[0] for[0] their[0] love[2] for[0] each[0] other[0] will[0] close[0] the[0] portal[0] and[0] ensure[0] humanity's[0] safety[1] for[0] another[0] generation[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
how this is supposed to work , i still have no idea , but i liked katana's line , " i knew love would keep us together , " since that captain and tennille song ran through my head and i got a good laugh . 	how this is supposed to work , i still have no idea , but i liked katana's line , " i knew love would keep us together , " since that captain and tennille song ran through my head and i got a good laugh .	3	-1	 how[0] this[0] is[0] supposed[0] to[0] work[0] i[0] still[0] have[0] no[0] idea[0] but[0] i[0] liked[2] katana's[0] line[0] i[0] knew[0] love[2] would[0] keep[0] us[0] together[0] since[0] that[0] captain[0] and[0] tennille[0] song[0] ran[0] through[0] my[0] head[0] and[0] i[0] got[0] a[0] good[1] laugh[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are some seriously stupid things in this movie . 	there are some seriously stupid things in this movie .	1	-2	 there[0] are[0] some[0] seriously[0] stupid[-1] things[0] in[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
take , for example , a transportation system which utilizes the " inner winds " , generated by earth's magma flows . 	take , for example , a transportation system which utilizes the " inner winds " , generated by earth's magma flows .	1	-1	 take[0] for[0] example[0] a[0] transportation[0] system[0] which[0] utilizes[0] the[0] inner[0] winds[0] generated[0] by[0] earth's[0] magma[0] flows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you get in this metal ball which transports you through underground tunnels really fast . 	you get in this metal ball which transports you through underground tunnels really fast .	1	-1	 you[0] get[0] in[0] this[0] metal[0] ball[0] which[0] transports[0] you[0] through[0] underground[0] tunnels[0] really[0] fast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
