ok , i admit it--i find camp amusement with the spice girls . 	Translation	Positive	Negative	EmotionRationale
yes , the same spice girls of the gimmicky individual " identities , " they of the annoyingly infectious bubblegum pop hooks and cheesy unifying mantra of " girl power . " 	yes , the same spice girls of the gimmicky individual " identities , " they of the annoyingly infectious bubblegum pop hooks and cheesy unifying mantra of " girl power .<br> "	1	-3	 yes[0] the[0] same[0] spice[0] girls[0] of[0] the[0] gimmicky[0] individual[0] identities[0] they[0] of[0] the[0] annoyingly[-2] infectious[-1] bubblegum[0] pop[0] hooks[0] and[0] cheesy[0] unifying[0] mantra[0] of[0] girl[0] power[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but not even their guilty pleasure appeal isn't enough to carry their big screen debut , a junky mess which would be more aptly named shite world than spice world . 	but not even their guilty pleasure appeal isn't enough to carry their big screen debut , a junky mess which would be more aptly named shite world than spice world .	3	-4	 but[0] not[0] even[0] their[0] guilty[-3] pleasure[2] appeal[0] isn't[0] enough[0] to[0] carry[0] their[0] big[0] screen[0] debut[0] a[0] junky[0] mess[0] which[0] would[0] be[0] more[0] aptly[0] named[0] shite[-1] world[0] than[0] spice[0] world[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the film begins amusingly enough , with a cheeky 007-esque title sequence in which the british quintet-- " scary " ( melanie brown ) , " baby " ( emma bunton ) , " sporty " ( melanie chisolm ) , " ginger " ( geri halliwell ) , and " posh " ( victoria adams ) --are introduced one by one ( to , much to my surprise , excited and only slightly mocking cheers from the press audience ) as they croon the silky ballad " too much " ( a tune that would sound right at home in an actual james bond film ) . 	the film begins amusingly enough , with a cheeky 007-esque title sequence in which the british quintet- " scary " ( melanie brown ) , " baby " ( emma bunton ) , " sporty " ( melanie chisolm ) , " ginger " ( geri halliwell ) , and " posh " ( victoria adams ) -are introduced one by one ( to , much to my surprise , excited and only slightly mocking cheers from the press audience ) as they croon the silky ballad " too much " ( a tune that would sound right at home in an actual james bond film ) .	3	-4	 the[0] film[0] begins[0] amusingly[1] enough[0] with[0] a[0] cheeky[0] 007[0] esque[0] title[0] sequence[0] in[0] which[0] the[0] british[0] quintet[0] scary[-3] melanie[0] brown[0] baby[1] emma[0] bunton[0] sporty[0] melanie[0] chisolm[0] ginger[0] geri[0] halliwell[0] and[0] posh[0] victoria[0] adams[0] are[0] introduced[0] one[0] by[0] one[0] to[0] much[0] to[0] my[0] surprise[0] excited[2] and[0] only[0] slightly[0] mocking[-2][--1 LastWordBoosterStrength] cheers[0] from[0] the[0] press[0] audience[0] as[0] they[0] croon[0] the[0] silky[0] ballad[0] too[0] much[0] a[0] tune[0] that[0] would[0] sound[0] right[0] at[0] home[0] in[0] an[0] actual[0] james[0] bond[0] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
a few minutes and an elton john cameo later comes an introductory tour of the numerous plotlines that run through the film : ( 1 ) the spicy ones go on a european publicity tour leading up to their first live concert at london's royal albert hall ; ( 2 ) a film producer ( george wendt ) and a screenwriter ( mark mckinney ) pitch various film ideas to the girls' manager , clifford ( richard e . grant ) ; ( 3 ) a documentary film crew follows the girls ; ( 4 ) a pregnant " mate " ( naoki mori ) of the group rapidly approaches her due date ; and ( 5 ) a tabloid publisher ( barry humphries ) attempts to destroy the group with the help of a sneaky shutterbug ( richard o'brien ) . 	a few minutes and an elton john cameo later comes an introductory tour of the numerous plotlines that run through the film : ( 1 ) the spicy ones go on a european publicity tour leading up to their first live concert at london's royal albert hall ; ( 2 ) a film producer ( george wendt ) and a screenwriter ( mark mckinney ) pitch various film ideas to the girls' manager , clifford ( richard e .<br> grant ) ; ( 3 ) a documentary film crew follows the girls ; ( 4 ) a pregnant " mate " ( naoki mori ) of the group rapidly approaches her due date ; and ( 5 ) a tabloid publisher ( barry humphries ) attempts to destroy the group with the help of a sneaky shutterbug ( richard o'brien ) .	2	-3	 a[0] few[0] minutes[0] and[0] an[0] elton[0] john[0] cameo[0] later[0] comes[0] an[0] introductory[0] tour[0] of[0] the[0] numerous[0] plotlines[0] that[0] run[0] through[0] the[0] film[0] 1[0] the[0] spicy[0] ones[0] go[0] on[0] a[0] european[0] publicity[0] tour[0] leading[0] up[0] to[0] their[0] first[0] live[0] concert[0] at[0] london's[0] royal[0] albert[0] hall[0] 2[0] a[0] film[0] producer[0] george[0] wendt[0] and[0] a[0] screenwriter[0] mark[0] mckinney[0] pitch[0] various[0] film[0] ideas[0] to[0] the[0] girls'[0] manager[0] clifford[0] richard[0] e[0] [[Sentence=-1,1=word max, 1-5]] grant[0] 3[0] a[0] documentary[0] film[0] crew[0] follows[0] the[0] girls[0] 4[0] a[0] pregnant[0] mate[1] naoki[0] mori[0] of[0] the[0] group[0] rapidly[0] approaches[0] her[0] due[0] date[0] and[0] 5[0] a[0] tabloid[0] publisher[0] barry[0] humphries[0] attempts[0] to[0] destroy[-2] the[0] group[0] with[0] the[0] help[0] of[0] a[0] sneaky[-1] shutterbug[0] richard[0] o'brien[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
capped off by a live rendition of the girls' bouncy hit " say you'll be there , " a wealth of laughs and merriment is sure to follow , right ? 	capped off by a live rendition of the girls' bouncy hit " say you'll be there , " a wealth of laughs and merriment is sure to follow , right ?	2	-1	 capped[0] off[0] by[0] a[0] live[0] rendition[0] of[0] the[0] girls'[0] bouncy[0] hit[0] say[0] you'll[0] be[0] there[0] a[0] wealth[0] of[0] laughs[1] and[0] merriment[1] is[0] sure[0] to[0] follow[0] right[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
wrong . it's all downhill from there as spice world collapses into a series of misfired comedy sketches . 	wrong .<br> it's all downhill from there as spice world collapses into a series of misfired comedy sketches .	1	-2	 wrong[-1] [[Sentence=-2,1=word max, 1-5]] it's[0] all[0] downhill[0] from[0] there[0] as[0] spice[0] world[0] collapses[-1] into[0] a[0] series[0] of[0] misfired[0] comedy[0] sketches[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i must give the girls credit for their refreshing willingness to make fun of themselves , but writer kim fuller and director bob spiers can barely come up with a funny joke between them , much less a organized framework for all the " wacky " goings-on . 	i must give the girls credit for their refreshing willingness to make fun of themselves , but writer kim fuller and director bob spiers can barely come up with a funny joke between them , much less a organized framework for all the " wacky " goings-on .	2	-1	 i[0] must[0] give[0] the[0] girls[0] credit[0] for[0] their[0] refreshing[0] willingness[0] to[0] make[0] fun[1] of[0] themselves[0] but[0] writer[0] kim[0] fuller[0] and[0] director[0] bob[0] spiers[0] can[0] barely[0] come[0] up[0] with[0] a[0] funny[1] joke[1] between[0] them[0] much[0] less[0] a[0] organized[0] framework[0] for[0] all[0] the[0] wacky[0] goings[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
spice world jumps from vignette to vignette , subplot to subplot with no direction and little sense , at one minute having the girls meet with aliens ( no joke ) and at another having them stage a daring rescue of two young fans who fall into the water during a boat ride . 	spice world jumps from vignette to vignette , subplot to subplot with no direction and little sense , at one minute having the girls meet with aliens ( no joke ) and at another having them stage a daring rescue of two young fans who fall into the water during a boat ride .	2	-1	 spice[0] world[0] jumps[0] from[0] vignette[0] to[0] vignette[0] subplot[0] to[0] subplot[0] with[0] no[0] direction[0] and[0] little[0] sense[0] at[0] one[0] minute[0] having[0] the[0] girls[0] meet[0] with[0] aliens[0] no[0] joke[1] and[0] at[0] another[0] having[0] them[0] stage[0] a[0] daring[0] rescue[0] of[0] two[0] young[0] fans[0] who[0] fall[0] into[0] the[0] water[0] during[0] a[0] boat[0] ride[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while a decent joke slips through the cracks here and there--during a " dance bootcamp " scene , the girls sing the lyric " we know how we got this far/strength and courage and a wonderbra " --much of the material is not even funny on the chuckle level . 	while a decent joke slips through the cracks here and there-during a " dance bootcamp " scene , the girls sing the lyric " we know how we got this far/strength and courage and a wonderbra " -much of the material is not even funny on the chuckle level .	3	-2	 while[0] a[0] decent[0] joke[1] slips[0] through[0] the[0] cracks[0] here[0] and[0] there[0] during[0] a[0] dance[0] bootcamp[0] scene[0] the[0] girls[0] sing[0] the[0] lyric[0] we[0] know[0] how[0] we[0] got[0] this[0] far/strength[0] and[0] courage[1] and[0] a[0] wonderbra[0] much[0] of[0] the[0] material[0] is[0] not[0] even[0] funny[1][NegatedDueToPreviousWord] on[0] the[0] chuckle[2] level[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
some gags are just plain pointless , such as roger moore's recurring role as the mysterious chief , who dispenses cryptic , metaphor-heavy advice to clifford . 	some gags are just plain pointless , such as roger moore's recurring role as the mysterious chief , who dispenses cryptic , metaphor-heavy advice to clifford .	1	-2	 some[0] gags[0] are[0] just[0] plain[0] pointless[-1] such[0] as[0] roger[0] moore's[0] recurring[0] role[0] as[0] the[0] mysterious[0] chief[0] who[0] dispenses[-1] cryptic[0] metaphor[0] heavy[0] advice[0] to[0] clifford[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
