have you ever been in an automobile accident where you've miraculously walked away with only a few scratches , yet the car has been obliterated into an unrecognizable , mangled wreck ? 	Translation	Positive	Negative	EmotionRationale
well , that has never actually happened to me and i hope that none of us will ever experience this situation . 	well , that has never actually happened to me and i hope that none of us will ever experience this situation .	3	-1	 well[0] that[0] has[0] never[0] actually[0] happened[0] to[0] me[0] and[0] i[0] hope[2] that[0] none[0] of[0] us[0] will[0] ever[0] experience[0] this[0] situation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but after watching this inane exercise of a movie , i certainly feel that i've miraculously walked away unscathed after a two-hour ride that mercilessly careens back and forth before finally plummeting into an icy pond . 	but after watching this inane exercise of a movie , i certainly feel that i've miraculously walked away unscathed after a two-hour ride that mercilessly careens back and forth before finally plummeting into an icy pond .	1	-2	 but[0] after[0] watching[0] this[0] inane[-1] exercise[0] of[0] a[0] movie[0] i[0] certainly[0] feel[0] that[0] i've[0] miraculously[0] walked[0] away[0] unscathed[0] after[0] a[0] two[0] hour[0] ride[0] that[0] mercilessly[-1] careens[0] back[0] and[0] forth[0] before[0] finally[0] plummeting[0] into[0] an[0] icy[0] pond[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
oddly ,  eye of the beholder , ' which is a psychological-romance-thriller , starts off promisingly enough when the opening sequence introduces us to a british intelligence agent , called the eye ( ewan mcgregor ) , working in washington dc . 	oddly ,  eye of the beholder , ' which is a psychological-romance-thriller , starts off promisingly enough when the opening sequence introduces us to a british intelligence agent , called the eye ( ewan mcgregor ) , working in washington dc .	4	-1	 oddly[0] eye[0] of[0] the[0] beholder[0] '[0] which[0] is[0] a[0] psychological[0] romance[3] thriller[1] starts[0] off[0] promisingly[1] enough[0] when[0] the[0] opening[0] sequence[0] introduces[0] us[0] to[0] a[0] british[0] intelligence[0] agent[0] called[0] the[0] eye[0] ewan[0] mcgregor[0] working[0] in[0] washington[0] dc[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in the humorous opening scene , he eyes a top lawyer across the street in his office with his pants down . 	in the humorous opening scene , he eyes a top lawyer across the street in his office with his pants down .	3	-1	 in[0] the[0] humorous[2] opening[0] scene[0] he[0] eyes[0] a[0] top[0] lawyer[0] across[0] the[0] street[0] in[0] his[0] office[0] with[0] his[0] pants[0] down[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
using an array of high-tech surveillance and communications equipment , he proceeds to transmit pictures of the bared lawyer to pc screens and fax machines in his office . 	using an array of high-tech surveillance and communications equipment , he proceeds to transmit pictures of the bared lawyer to pc screens and fax machines in his office .	1	-1	 using[0] an[0] array[0] of[0] high[0] tech[0] surveillance[0] and[0] communications[0] equipment[0] he[0] proceeds[0] to[0] transmit[0] pictures[0] of[0] the[0] bared[0] lawyer[0] to[0] pc[0] screens[0] and[0] fax[0] machines[0] in[0] his[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the law firm's employees get a good chuckle . 	the law firm's employees get a good chuckle .	3	-1	 the[0] law[0] firm's[0] employees[0] get[0] a[0] good[1] chuckle[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the audience gets a good chuckle . 	the audience gets a good chuckle .	3	-1	 the[0] audience[0] gets[0] a[0] good[1] chuckle[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the eye is later given an assignment where he encounters a beautiful woman ( ashley judd ) . 	the eye is later given an assignment where he encounters a beautiful woman ( ashley judd ) .	3	-1	 the[0] eye[0] is[0] later[0] given[0] an[0] assignment[0] where[0] he[0] encounters[0] a[0] beautiful[2] woman[0] ashley[0] judd[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is something compelling about this mysterious woman . 	there is something compelling about this mysterious woman .	1	-1	 there[0] is[0] something[0] compelling[0] about[0] this[0] mysterious[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite her glamorous looks , however , we learn that she is a psychopath with a propensity to kill men that get too close to her . 	despite her glamorous looks , however , we learn that she is a psychopath with a propensity to kill men that get too close to her .	2	-2	 despite[0] her[0] glamorous[1] looks[0] however[0] we[0] learn[0] that[0] she[0] is[0] a[0] psychopath[0] with[0] a[0] propensity[0] to[0] kill[-1] men[0] that[0] get[0] too[0] close[0] to[0] her[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
