movie reviewers have an obligation to see the good , the bad , and the despicable . 	Translation	Positive	Negative	EmotionRationale
i originally wrote this review for my college newspaper back in '95 , but i wanted to re-write it because not all retro reviews should be about the classics . 	i originally wrote this review for my college newspaper back in '95 , but i wanted to re-write it because not all retro reviews should be about the classics .	1	-1	 i[0] originally[0] wrote[0] this[0] review[0] for[0] my[0] college[0] newspaper[0] back[0] in[0] '95[0] but[0] i[0] wanted[0] to[0] re[0] write[0] it[0] because[0] not[0] all[0] retro[0] reviews[0] should[0] be[0] about[0] the[0] classics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we need to be warned about some truly awful films , too . 	we need to be warned about some truly awful films , too .	1	-4	 we[0] need[0] to[0] be[0] warned[0] about[0] some[0] truly[1][-1 LastWordBoosterStrength] awful[-3] films[0] too[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this picture was so bad , it inspired the description for my 1/10 rating ( see ratings chart below ) . 	this picture was so bad , it inspired the description for my 1/10 rating ( see ratings chart below ) .	3	-2	 this[0] picture[0] was[0] so[0] bad[-1] it[0] inspired[2] the[0] description[0] for[0] my[0] 1/10[0] rating[0] see[0] ratings[0] chart[0] below[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the only thing saving it from a 0/10 rating is that being able to rent a movie like this is slightly less embarassing than renting a porno . 	the only thing saving it from a 0/10 rating is that being able to rent a movie like this is slightly less embarassing than renting a porno .	2	-1	 the[0] only[0] thing[0] saving[0] it[0] from[0] a[0] 0/10[0] rating[0] is[0] that[0] being[0] able[0] to[0] rent[0] a[0] movie[0] like[1] this[0] is[0] slightly[0] less[0] embarassing[0] than[0] renting[0] a[0] porno[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so , it does indeed have some plusses . . . 	so , it does indeed have some pluses .<br> .<br> .	1	-1	 so[0] it[0] does[0] indeed[0] have[0] some[0] plusses/pluses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fairness , elizabeth berkley is certainly worth seeing in the buff . 	in fairness , elizabeth berkley is certainly worth seeing in the buff .	1	-1	 in[0] fairness[0] elizabeth[0] berkley[0] is[0] certainly[0] worth[0] seeing[0] in[0] the[0] buff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and her ability to whine and irritate us , even while nude , was appropriate in her role as selfish temptress nomi malone . 	and her ability to whine and irritate us , even while nude , was appropriate in her role as selfish temptress nomi malone .	1	-4	 and[0] her[0] ability[0] to[0] whine[-2] and[0] irritate[-2] us[0] even[0] while[0] nude[0] was[0] appropriate[0] in[0] her[0] role[0] as[0] selfish[-3] temptress[0] nomi[0] malone[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this character is not smart , not interesting , and ( deliberately ? ) 	this character is not smart , not interesting , and ( deliberately ?<br> )	1	-2	 this[0] character[0] is[0] not[0] smart[1][NegatedDueToPreviousWord] not[0] interesting[1][NegatedDueToPreviousWord] and[0] deliberately[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
far too annoying far too often . 	far too annoying far too often .	1	-3	 far[0] too[0] annoying[-2] far[0] too[0] often[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
like in 1998s " bulworth " , when the movie was over i didn't care one little iota about the main character . 	like in 1998s " bulworth " , when the movie was over i didn't care one little iota about the main character .	2	-1	 like[1] in[0] 1998s[0] bulworth[0] when[0] the[0] movie[0] was[0] over[0] i[0] didn't[0] care[1] one[0] little[0] iota[0] about[0] the[0] main[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at least warren beatty tried to make a statement with his dreary and overrated film , though . 	at least warren beatty tried to make a statement with his dreary and overrated film , though .	1	-2	 at[0] least[0] warren[0] beatty[0] tried[0] to[0] make[0] a[0] statement[0] with[0] his[0] dreary[-1] and[0] overrated[0] film[0] though[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
