the best thing about , " lake placid " is that it's only 80 minutes long and when it's over you're glad that you didn't waste more than an hour and a half of your time . 	Translation	Positive	Negative	EmotionRationale
it's nothing more than a bad rip-off of , " jaws " ( and i think that's being kind . ) 	it's nothing more than a bad rip-off of , " jaws " ( and i think that's being kind .<br> )	2	-2	 it's[0] nothing[0] more[0] than[0] a[0] bad[-1] rip[-1] off[0] of[0] jaws[0] and[0] i[0] think[0] that's[0] being[0] kind[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it was written by david e . kelly ( " ally mcbeal " ) as a horror-comedy but fails at both , miserably . 	it was written by david e .<br> kelly ( " ally mcbeal " ) as a horror-comedy but fails at both , miserably .	1	-4	 it[0] was[0] written[0] by[0] david[0] e[0] [[Sentence=-1,1=word max, 1-5]] kelly[0] ally[0] mcbeal[0] as[0] a[0] horror[-3] comedy[0] but[0] fails[-2] at[0] both[0] miserably[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i was never scared and i think that i only laughed once . 	i was never scared and i think that i only laughed once .	4	-1	 i[0] was[0] never[0] scared[-3][NegatedDueToPreviousWord] and[0] i[0] think[0] that[0] i[0] only[0] laughed[1] once[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the crocodile even fails in comparison to the snake in , " anaconda . " 	the crocodile even fails in comparison to the snake in , " anaconda .<br> "	1	-3	 the[0] crocodile[0] even[0] fails[-2] in[0] comparison[0] to[0] the[0] snake[0] in[0] anaconda[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot begins when a man is eaten in half by the giant crocodile in black lake in maine . 	the plot begins when a man is eaten in half by the giant crocodile in black lake in maine .	1	-1	 the[0] plot[0] begins[0] when[0] a[0] man[0] is[0] eaten[0] in[0] half[0] by[0] the[0] giant[0] crocodile[0] in[0] black[0] lake[0] in[0] maine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that brings the local sheriff ( brendan gleeson ) and a fish-and-game warden ( bill pulman ) to investigate . 	that brings the local sheriff ( brendan gleeson ) and a fish-and-game warden ( bill pulman ) to investigate .	1	-1	 that[0] brings[0] the[0] local[0] sheriff[0] brendan[0] gleeson[0] and[0] a[0] fish[0] and[0] game[0] warden[0] bill[0] pulman[0] to[0] investigate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , a paleontologist ( bridget fonda ) from new york is sent to look at a tooth and an eccentric millionaire/crocodile lover ( oliver platt ) flies in because he wants to swim beside the beast . 	also , a paleontologist ( bridget fonda ) from new york is sent to look at a tooth and an eccentric millionaire/crocodile lover ( oliver platt ) flies in because he wants to swim beside the beast .	4	-2	 also[0] a[0] paleontologist[0] bridget[0] fonda[0] from[0] new[0] york[0] is[0] sent[0] to[0] look[0] at[0] a[0] tooth[0] and[0] an[0] eccentric[-1] millionaire/crocodile[0] lover[3] oliver[0] platt[0] flies[0] in[0] because[0] he[0] wants[0] to[0] swim[0] beside[0] the[0] beast[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
soon there is tension between everybody because half the people want to kill the croc and the other half want to save it . 	soon there is tension between everybody because half the people want to kill the croc and the other half want to save it .	2	-3	 soon[0] there[0] is[0] tension[-2] between[0] everybody[0] because[0] half[0] the[0] people[0] want[0] to[0] kill[-1] the[0] croc[0] and[0] the[0] other[0] half[0] want[0] to[0] save[1] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there's also an eccentric old lady ( betty white ) who lives by the lake and has a few secrets . 	there's also an eccentric old lady ( betty white ) who lives by the lake and has a few secrets .	1	-2	 there's[0] also[0] an[0] eccentric[-1] old[0] lady[0] betty[0] white[0] who[0] lives[0] by[0] the[0] lake[0] and[0] has[0] a[0] few[0] secrets[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as i mentioned before kelley and director steve minor ( h20 ) don't go for a serious approach towards the material but they also don't have anything sly or satirical or witty to say either . 	as i mentioned before kelley and director steve minor ( h20 ) don't go for a serious approach towards the material but they also don't have anything sly or satirical or witty to say either .	1	-2	 as[0] i[0] mentioned[0] before[0] kelley[0] and[0] director[0] steve[0] minor[0] h20[0] don't[0] go[0] for[0] a[0] serious[-1] approach[0] towards[0] the[0] material[0] but[0] they[0] also[0] don't[0] have[0] anything[0] sly[-1] or[0] satirical[0] or[0] witty[0] to[0] say[0] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the betty white character is completely unfunny and none of the other characters are really that interesting , they're all basically idiots . 	the betty white character is completely unfunny and none of the other characters are really that interesting , they're all basically idiots .	2	-3	 the[0] betty[0] white[0] character[0] is[0] completely[0] unfunny[0] and[0] none[0] of[0] the[0] other[0] characters[0] are[0] really[0] that[0] interesting[1] they're[0] all[0] basically[0] idiots[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if they had any brains the croc wouldn't have been that much of a challenge to catch and they wouldn't have put themselves in half of the situations that they did . 	if they had any brains the croc wouldn't have been that much of a challenge to catch and they wouldn't have put themselves in half of the situations that they did .	1	-2	 if[0] they[0] had[0] any[0] brains[0] the[0] croc[0] wouldn't[0] have[0] been[0] that[0] much[0] of[0] a[0] challenge[-1] to[0] catch[0] and[0] they[0] wouldn't[0] have[0] put[0] themselves[0] in[0] half[0] of[0] the[0] situations[0] that[0] they[0] did[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but then again , if they were smart there wouldn't be a movie . 	but then again , if they were smart there wouldn't be a movie .	2	-1	 but[0] then[0] again[0] if[0] they[0] were[0] smart[1] there[0] wouldn't[0] be[0] a[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
basically , " lake placid " is best undiscovered . 	basically , " lake placid " is best undiscovered .	2	-1	 basically[0] lake[0] placid[0] is[0] best[1] undiscovered[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
