the one question that eats at me after seeing corky romano is why touchstone spent so much money marketing this throwaway film . 	Translation	Positive	Negative	EmotionRationale
since june , i haven't been able to turn on the tv or go to the movies without getting hit by some ad depicting chris kattan as the spastic corky , shrieking out a-ha's " take on me " in his yellow miata . 	since june , i haven't been able to turn on the tv or go to the movies without getting hit by some ad depicting chris kattan as the spastic corky , shrieking out a-ha's " take on me " in his yellow miata .	1	-2	 since[0] june[0] i[0] haven't[0] been[0] able[0] to[0] turn[0] on[0] the[0] tv[0] or[0] go[0] to[0] the[0] movies[0] without[0] getting[0] hit[0] by[0] some[0] ad[0] depicting[0] chris[0] kattan[0] as[0] the[0] spastic[-1] corky[0] shrieking[-1] out[0] a[0] ha's[0] take[0] on[0] me[0] in[0] his[0] yellow[0] miata[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why would disney sink so much cash into the corky hype machine ? 	why would disney sink so much cash into the corky hype machine ?	1	-1	 why[0] would[0] disney[0] sink[0] so[0] much[0] cash[0] into[0] the[0] corky[0] hype[0] machine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
honestly , i was hoping that all the goofball ads were actually a front for a decently funny movie . 	honestly , i was hoping that all the goofball ads were actually a front for a decently funny movie .	2	-1	 honestly[0] i[0] was[0] hoping[1] that[0] all[0] the[0] goofball[0] ads[0] were[0] actually[0] a[0] front[0] for[0] a[0] decently[0] funny[1] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
man , was i wrong . 	man , was i wrong .	1	-2	 man[0] was[0] i[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
corky romano is one of those throwaway , clich ? -ridden tv-star-to-film vehicles built upon the most rickety of plots . 	corky romano is one of those throwaway , clich ?<br> -ridden tv-star-to-film vehicles built upon the most rickety of plots .	1	-1	 corky[0] romano[0] is[0] one[0] of[0] those[0] throwaway[0] clich[0] [[Sentence=-1,1=word max, 1-5]] ridden[0] tv[0] star[0] to[0] film[0] vehicles[0] built[0] upon[0] the[0] most[0] rickety[0] of[0] plots[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fortunately for chris kattan's precariously positioned career , corky does have some good laughs , even if most of them are of the lowest-brow variety . 	fortunately for chris kattan's precariously positioned career , corky does have some good laughs , even if most of them are of the lowest-brow variety .	2	-2	 fortunately[0] for[0] chris[0] kattan's[0] precariously[-1] positioned[0] career[0] corky[0] does[0] have[0] some[0] good[1][-1 LastWordBoosterStrength] laughs[1] even[0] if[0] most[0] of[0] them[0] are[0] of[0] the[0] lowest[-1] brow[0] variety[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
kattan plays the title character , the unsinkable assistant veterinarian corky who has a penchant for sunshiny '80s tunes , bright ties , and banal coffee mug slogans ( " you don't have to be crazy to work here , but it sure helps . " ) . 	kattan plays the title character , the unsinkable assistant veterinarian corky who has a penchant for sunshiny '80s tunes , bright ties , and banal coffee mug slogans ( " you don't have to be crazy to work here , but it sure helps .<br> " ) .	2	-2	 kattan[0] plays[1] the[0] title[0] character[0] the[0] unsinkable[0] assistant[0] veterinarian[0] corky[0] who[0] has[0] a[0] penchant[0] for[0] sunshiny[1] '80s[0] tunes[0] bright[0] ties[0] and[0] banal[-1] coffee[0] mug[0] slogans[0] you[0] don't[0] have[0] to[0] be[0] crazy[-1] to[0] work[0] here[0] but[0] it[0] sure[0] helps[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when his mob boss dad ( peter falk ) is about to be put away on murder charges , his bungling , lughead brothers ( peter berg and chris penn ) rope in innocent , black sheep corky to infiltrate the fbi as an agent and steal the evidence . 	when his mob boss dad ( peter falk ) is about to be put away on murder charges , his bungling , lughead brothers ( peter berg and chris pen ) rope in innocent , black sheep corky to infiltrate the fbi as an agent and steal the evidence .	2	-4	 when[0] his[0] mob[0] boss[0] dad[0] peter[0] falk[0] is[0] about[0] to[0] be[0] put[0] away[0] on[0] murder[-3] charges[-1] his[0] bungling[0] lughead[0] brothers[0] peter[0] berg[0] and[0] chris[0] penn/pen[0] rope[0] in[0] innocent[1] black[0] sheep[0] corky[0] to[0] infiltrate[-1] the[0] fbi[0] as[0] an[0] agent[0] and[0] steal[-2] the[0] evidence[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
predictably , hijinks ensue . 	predictably , hijinks ensue .	1	-1	 predictably[0] hijinks[0] ensue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if the basic plot sounds bad , wait until you get into the inner-workings of this clunker . 	if the basic plot sounds bad , wait until you get into the inner-workings of this clunker .	1	-2	 if[0] the[0] basic[0] plot[0] sounds[0] bad[-1] wait[0] until[0] you[0] get[0] into[0] the[0] inner[0] workings[0] of[0] this[0] clunker[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the writers will amaze you with the depth of their inanity . 	the writers will amaze you with the depth of their inanity .	3	-1	 the[0] writers[0] will[0] amaze[2] you[0] with[0] the[0] depth[0] of[0] their[0] inanity[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
corky's fbi agent identity is named corky pissant ( " that's pronounced pees-ahn . 	corky's fbi agent identity is named corky pissant ( " that's pronounced pees-ahn .	1	-3	 corky's[0] fbi[0] agent[0] identity[0] is[0] named[0] corky[0] pissant[-2] that's[0] pronounced[0] pees[0] ahn[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's french . " ) . 	it's french .<br> " ) .	1	-1	 it's[0] french[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he becomes a first-rate agent by accidentally stumbling mr . magoo-style onto the proper clues and talking his way in and out of situations , which plays like something out of a sitcom . 	he becomes a first-rate agent by accidentally stumbling mr .<br> magoo-style onto the proper clues and talking his way in and out of situations , which plays like something out of a sitcom .	2	-2	 he[0] becomes[0] a[0] first[0] rate[0] agent[0] by[0] accidentally[-1] stumbling[0] mr[0] [[Sentence=-2,1=word max, 1-5]] magoo[0] style[0] onto[0] the[0] proper[0] clues[0] and[0] talking[0] his[0] way[0] in[0] and[0] out[0] of[0] situations[0] which[0] plays[1] like[1] something[0] out[0] of[0] a[0] sitcom[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
and not a good sitcom , i mean . 	and not a good sitcom , i mean .	1	-2	 and[0] not[0] a[0] good[1][NegatedDueToPreviousWord] sitcom[0] i[0] mean[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
