synopsis : a small town thug convinces a dimwitted high-school student to spy on his girlfriend , who is babysitting three unruly kids for their alcoholic parents on a friday night . 	Translation	Positive	Negative	EmotionRationale
while this is going on , the thug , the father , the boyfriend , and a kid reaching the onset of puberty all have fantasies about the babysitter . 	while this is going on , the thug , the father , the boyfriend , and a kid reaching the onset of puberty all have fantasies about the babysitter .	1	-1	 while[0] this[0] is[0] going[0] on[0] the[0] thug[0] the[0] father[0] the[0] boyfriend[0] and[0] a[0] kid[0] reaching[0] the[0] onset[0] of[0] puberty[0] all[0] have[0] fantasies[0] about[0] the[0] babysitter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
comments : to say this movie is bad would be quite an understatement . 	comments : to say this movie is bad would be quite an understatement .	1	-2	 comments[0] to[0] say[0] this[0] movie[0] is[0] bad[-1] would[0] be[0] quite[0] an[0] understatement[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm not sure what writer and director ferland was hoping to accomplish with the babysitter . 	i'm not sure what writer and director ferland was hoping to accomplish with the babysitter .	2	-1	 i'm[0] not[0] sure[0] what[0] writer[0] and[0] director[0] ferland[0] was[0] hoping[1] to[0] accomplish[1] with[0] the[0] babysitter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
suspense ? 	suspense ?	1	-1	 suspense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
family drama ? 	family drama ?	1	-1	 family[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
humor ? 	humor ?	3	-1	 humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
erotica ? 	erotica ?	1	-1	 erotica[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
elements of each of these genres exist in the film , yet it fails to successfully achieve any of them . 	elements of each of these genres exist in the film , yet it fails to successfully achieve any of them .	3	-3	 elements[0] of[0] each[0] of[0] these[0] genres[0] exist[0] in[0] the[0] film[0] yet[0] it[0] fails[-2] to[0] successfully[2] achieve[0] any[0] of[0] them[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
instead , the babysitter is a dull , lifeless movie which manages to bore and ultimately irritate its viewers . 	instead , the babysitter is a dull , lifeless movie which manages to bore and ultimately irritate its viewers .	1	-3	 instead[0] the[0] babysitter[0] is[0] a[0] dull[-1] lifeless[-1] movie[0] which[0] manages[0] to[0] bore[-1] and[0] ultimately[0] irritate[-2] its[0] viewers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i suppose this film could have been watchable if it weren't for the fact that the characters are universally unappealing . 	i suppose this film could have been watchable if it weren't for the fact that the characters are universally unappealing .	1	-1	 i[0] suppose[0] this[0] film[0] could[0] have[0] been[0] watchable[0] if[0] it[0] weren't[0] for[0] the[0] fact[0] that[0] the[0] characters[0] are[0] universally[0] unappealing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
