nicolas cage comes up with an ingenious survival mechanism for his role in the wink-and-a-concussive-nudge bombast-o-rama con air . 	Translation	Positive	Negative	EmotionRationale
the opening credits sequence introduces us to cage as cameron poe , a gulf war veteran convicted of manslaughter and serving eight years in prison after an ill-fated bar-room brawl . 	the opening credits sequence introduces us to cage as cameron poe , a gulf war veteran convicted of manslaughter and serving eight years in prison after an ill-fated bar-room brawl .	1	-4	 the[0] opening[0] credits[0] sequence[0] introduces[0] us[0] to[0] cage[0] as[0] cameron[0] poe[0] a[0] gulf[0] war[-2] veteran[0] convicted[-1] of[0] manslaughter[-3] and[0] serving[0] eight[0] years[0] in[0] prison[-1] after[0] an[0] ill[-1] fated[0] bar[0] room[0] brawl[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the prison scenes are accompanied by voice-overs in which poe , in a languid southern drawl , describes prison life to his wife back home and offers simple homilies for the daughter he has never met . 	the prison scenes are accompanied by voice-overs in which poe , in a languid southern drawl , describes prison life to his wife back home and offers simple homilies for the daughter he has never met .	1	-2	 the[0] prison[-1] scenes[0] are[0] accompanied[0] by[0] voice[0] overs[0] in[0] which[0] poe[0] in[0] a[0] languid[0] southern[0] drawl[0] describes[0] prison[-1] life[0] to[0] his[0] wife[0] back[0] home[0] and[0] offers[0] simple[0] homilies[0] for[0] the[0] daughter[0] he[0] has[0] never[0] met[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if the scene gives you a tickle of familiarity , it probably should . 	if the scene gives you a tickle of familiarity , it probably should .	1	-1	 if[0] the[0] scene[0] gives[0] you[0] a[0] tickle[0] of[0] familiarity[0] it[0] probably[0] should[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cage appears to realize that con air is going to be utterly dim-witted and ridiculous , and that he's going to have to do something to keep himself entertained . 	cage appears to realize that con air is going to be utterly dim-witted and ridiculous , and that he's going to have to do something to keep himself entertained .	1	-3	 cage[0] appears[0] to[0] realize[0] that[0] con[0] air[0] is[0] going[0] to[0] be[0] utterly[0] dim[-1] witted[0] and[0] ridiculous[-2] and[0] that[0] he's[0] going[0] to[0] have[0] to[0] do[0] something[0] to[0] keep[0] himself[0] entertained[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and thus he slips into a familiar , surreal role as his own commentary on the proceedings -- cage plays cameron poe as a buffed-up version of raising arizona's h . i . mcdonnough . 	and thus he slips into a familiar , surreal role as his own commentary on the proceedings - cage plays cameron poe as a buffed-up version of raising arizona's h .<br> i .<br> mcdonnough .	2	-1	 and[0] thus[0] he[0] slips[0] into[0] a[0] familiar[0] surreal[0] role[0] as[0] his[0] own[0] commentary[0] on[0] the[0] proceedings[0] cage[0] plays[1] cameron[0] poe[0] as[0] a[0] buffed[0] up[0] version[0] of[0] raising[0] arizona's[0] h[0] [[Sentence=-1,2=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] mcdonnough[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
cage should have known what he was getting himself into . 	cage should have known what he was getting himself into .	1	-1	 cage[0] should[0] have[0] known[0] what[0] he[0] was[0] getting[0] himself[0] into[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he got a paycheck from jerry bruckheimer last year for the rock , and if there's one thing you can count on from a bruckheimer production ( even without his late partner don simpson ) , it's that you can count on seeing everything you saw in the _last_ bruckheimer production . 	he got a paycheck from jerry bruckheimer last year for the rock , and if there's one thing you can count on from a bruckheimer production ( even without his late partner don simpson ) , it's that you can count on seeing everything you saw in the _last_ bruckheimer production .	2	-1	 he[0] got[0] a[0] paycheck[0] from[0] jerry[0] bruckheimer[0] last[0] year[0] for[0] the[0] rock[1] and[0] if[0] there's[0] one[0] thing[0] you[0] can[0] count[0] on[0] from[0] a[0] bruckheimer[0] production[0] even[0] without[0] his[0] late[0] partner[0] don[0] simpson[0] it's[0] that[0] you[0] can[0] count[0] on[0] seeing[0] everything[0] you[0] saw[0] in[0] the[0] _last_[0] bruckheimer[0] production[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the critical difference between the rock and con air is cage's performance . 	the critical difference between the rock and con air is cage's performance .	2	-2	 the[0] critical[-1] difference[0] between[0] the[0] rock[1] and[0] con[0] air[0] is[0] cage's[0] performance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the rock , cage appeared to be having the time of his life jumping into the action fray for the first time . 	in the rock , cage appeared to be having the time of his life jumping into the action fray for the first time .	2	-1	 in[0] the[0] rock[1] cage[0] appeared[0] to[0] be[0] having[0] the[0] time[0] of[0] his[0] life[0] jumping[0] into[0] the[0] action[0] fray[0] for[0] the[0] first[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that sense of discovery has been replaced by a wry self-awareness . 	that sense of discovery has been replaced by a wry self-awareness .	1	-1	 that[0] sense[0] of[0] discovery[0] has[0] been[0] replaced[0] by[0] a[0] wry[0] self[0] awareness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
