here is a movie that sadly follows the hong kong-recipe of moviemaking and storytelling to the letter . 	Translation	Positive	Negative	EmotionRationale
these kinds of movies are marked by an eye-opening sequence that introduces us to the main characters ; a life-and-death plot in which these characters become involved ; the inclusion of a host of inconsequential characters ; ridiculous subplots , and sunglass-wearing henchmen . 	these kinds of movies are marked by an eye-opening sequence that introduces us to the main characters ; a life-and-death plot in which these characters become involved ; the inclusion of a host of inconsequential characters ; ridiculous subplots , and sunglass-wearing henchmen .	1	-3	 these[0] kinds[0] of[0] movies[0] are[0] marked[0] by[0] an[0] eye[0] opening[0] sequence[0] that[0] introduces[0] us[0] to[0] the[0] main[0] characters[0] a[0] life[0] and[0] death[-2] plot[0] in[0] which[0] these[0] characters[0] become[0] involved[0] the[0] inclusion[0] of[0] a[0] host[0] of[0] inconsequential[0] characters[0] ridiculous[-2] subplots[0] and[0] sunglass[0] wearing[0] henchmen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that is not to say that i don't like hong kong influenced movies ; however , it is quite obvious that these moviemakers haven't a clue that the american filmgoer needs more than hip-hop-talking thugs and stupid sight gags . 	that is not to say that i don't like hong kong influenced movies ; however , it is quite obvious that these moviemakers haven't a clue that the american filmgoer needs more than hip-hop-talking thugs and stupid sight gags .	1	-2	 that[0] is[0] not[0] to[0] say[0] that[0] i[0] don't[0] like[1][NegatedDueToPreviousWord] hong[0] kong[0] influenced[0] movies[0] however[0] it[0] is[0] quite[0] obvious[0] that[0] these[0] moviemakers[0] haven't[0] a[0] clue[0] that[0] the[0] american[0] filmgoer[0] needs[0] more[0] than[0] hip[0] hop[0] talking[0] thugs[0] and[0] stupid[-1] sight[0] gags[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
observe the opening sequence . 	observe the opening sequence .	1	-1	 observe[0] the[0] opening[0] sequence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a band of hitmen are about to storm an apartment , led by melvin ( mark wahlberg ) and cisco ( lou diamond phillips ) . 	a band of hitmen are about to storm an apartment , led by melvin ( mark wahlberg ) and cisco ( lou diamond phillips ) .	1	-2	 a[0] band[0] of[0] hitmen[0] are[0] about[0] to[0] storm[-1] an[0] apartment[0] led[0] by[0] melvin[0] mark[0] wahlberg[0] and[0] cisco[0] lou[0] diamond[0] phillips[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they are waiting for their partner to cut off the power so that they can storm the apartment with the help of infrared goggles . 	they are waiting for their partner to cut off the power so that they can storm the apartment with the help of infrared goggles .	1	-2	 they[0] are[0] waiting[0] for[0] their[0] partner[0] to[0] cut[0] off[0] the[0] power[0] so[0] that[0] they[0] can[0] storm[-1] the[0] apartment[0] with[0] the[0] help[0] of[0] infrared[0] goggles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , their partner is unsure of which cable to cut . 	however , their partner is unsure of which cable to cut .	1	-1	 however[0] their[0] partner[0] is[0] unsure[0] of[0] which[0] cable[0] to[0] cut[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is undecided . 	he is undecided .	1	-1	 he[0] is[0] undecided[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this happens for about 10 seconds . 	this happens for about 10 seconds .	1	-1	 this[0] happens[0] for[0] about[0] 10[0] seconds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the audience finds some humor in his foolishness . 	the audience finds some humor in his foolishness .	2	-2	 the[0] audience[0] finds[0] some[0] humor[2][-1 LastWordBoosterStrength] in[0] his[0] foolishness[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the lights suddenly go out . 	the lights suddenly go out .	1	-1	 the[0] lights[0] suddenly[0] go[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
