it's amazing how a comedian can have the some of the funniest stand-up around but completely fall flat in the movies . 	Translation	Positive	Negative	EmotionRationale
take adam sandler . 	take adam sandler .	1	-1	 take[0] adam[0] sandler[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the basis of his first two cds ( " they're all gonna laugh at you ! " 	on the basis of his first two cds ( " they're all gonna laugh at you !<br> "	2	-1	 on[0] the[0] basis[0] of[0] his[0] first[0] two[0] cds[0] they're[0] all[0] gonna[0] laugh[1] at[0] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and " what the hell happened to me ? " ) , 	and " what the hell happened to me ?<br> " ) ,	1	-2	 and[0] what[0] the[0] hell[-1] happened[0] to[0] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's the best thing to hit comedy since robin williams . 	he's the best thing to hit comedy since robin williams .	2	-1	 he's[0] the[0] best[1] thing[0] to[0] hit[0] comedy[0] since[0] robin[0] williams[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but when you put him in front of a camera , it just isn't the same . 	but when you put him in front of a camera , it just isn't the same .	1	-1	 but[0] when[0] you[0] put[0] him[0] in[0] front[0] of[0] a[0] camera[0] it[0] just[0] isn't[0] the[0] same[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i kind of enjoyed happy gilmore and thought that it warranted a marginal recommendation , but his latest film , the waterboy is about as funny as a root canal . 	i kind of enjoyed happy gilmore and thought that it warranted a marginal recommendation , but his latest film , the waterboy is about as funny as a root canal .	3	-2	 i[0] kind[1] of[0] enjoyed[2] happy[1] gilmore[0] and[0] thought[0] that[0] it[0] warranted[0] a[0] marginal[-1] recommendation[0] but[0] his[0] latest[0] film[0] the[0] waterboy[0] is[0] about[0] as[0] funny[1] as[0] a[0] root[0] canal[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
seriously , i'm willing to wager than there were more laughs in saving private ryan than there are here . 	seriously , i'm willing to wager than there were more laughs in saving private ryan than there are here .	2	-1	 seriously[0] i'm[0] willing[0] to[0] wager[0] than[0] there[0] were[0] more[0] laughs[1] in[0] saving[0] private[0] ryan[0] than[0] there[0] are[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , i found this movie to be more depressing than comedic . 	in fact , i found this movie to be more depressing than comedic .	1	-4	 in[0] fact[0] i[0] found[0] this[0] movie[0] to[0] be[0] more[0] depressing[-3] than[0] comedic[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the first half hour generated not one smile in me , with it's scenes of emotional abuse towards adam's character of bobby boucher not only by the cruel football players , but also by his very disturbed mother ( kathy bates - what is the world coming to ? ) . 	the first half hour generated not one smile in me , with it's scenes of emotional abuse towards adam's character of bobby boucher not only by the cruel football players , but also by his very disturbed mother ( kathy bates - what is the world coming to ?<br> ) .	1	-4	 the[0] first[0] half[0] hour[0] generated[0] not[0] one[0] smile[2][NegatedDueToPreviousWord] in[0] me[0] with[0] it's[0] scenes[0] of[0] emotional[-1] abuse[-3] towards[0] adam's[0] character[0] of[0] bobby[0] boucher[0] not[0] only[0] by[0] the[0] cruel[-3] football[0] players[0] but[0] also[0] by[0] his[0] very[0] disturbed[-1][-1 LastWordBoosterStrength] mother[0] kathy[0] bates[0] what[0] is[0] the[0] world[0] coming[0] to[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
granted , after the film gets rolling , there are a few mild chuckles throughout ( i'm even willing to admit that it actually had me laughing once or twice ) , but not nearly enough to sustain the waterboy for it's nearly hour and a half running time . 	granted , after the film gets rolling , there are a few mild chuckles throughout ( i'm even willing to admit that it actually had me laughing once or twice ) , but not nearly enough to sustain the waterboy for it's nearly hour and a half running time .	3	-1	 granted[0] after[0] the[0] film[0] gets[0] rolling[0] there[0] are[0] a[0] few[0] mild[0] chuckles[2] throughout[0] i'm[0] even[0] willing[0] to[0] admit[0] that[0] it[0] actually[0] had[0] me[0] laughing[1] once[0] or[0] twice[0] but[0] not[0] nearly[0] enough[0] to[0] sustain[0] the[0] waterboy[0] for[0] it's[0] nearly[0] hour[0] and[0] a[0] half[0] running[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you're all familiar with the plot because you've seen it at least a million times before ; everyone picks on the hero until he shows a hidden talent and leads the underdog team to victory over the champions , in the process not only winning the respect of his teammates but also getting the woman he loves . 	you're all familiar with the plot because you've seen it at least a million times before ; everyone picks on the hero until he shows a hidden talent and leads the underdog team to victory over the champions , in the process not only winning the respect of his teammates but also getting the woman he loves .	3	-2	 you're[0] all[0] familiar[0] with[0] the[0] plot[0] because[0] you've[0] seen[0] it[0] at[0] least[0] a[0] million[0] times[0] before[0] everyone[0] picks[0] on[0] the[0] hero[2] until[0] he[0] shows[0] a[0] hidden[0] talent[1] and[0] leads[0] the[0] underdog[0] team[0] to[0] victory[0] over[0] the[0] champions[0] in[0] the[0] process[0] not[0] only[0] winning[1][NegatedDueToPreviousWord] the[0] respect[2] of[0] his[0] teammates[0] but[0] also[0] getting[0] the[0] woman[0] he[0] loves[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and believe me , i'm not giving anything away by saying that sandler's team wins . 	and believe me , i'm not giving anything away by saying that sandler's team wins .	1	-1	 and[0] believe[0] me[0] i'm[0] not[0] giving[0] anything[0] away[0] by[0] saying[0] that[0] sandler's[0] team[0] wins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you would actually feel any degree of suspense watching this movie , then god be with you . 	if you would actually feel any degree of suspense watching this movie , then god be with you .	1	-1	 if[0] you[0] would[0] actually[0] feel[0] any[0] degree[0] of[0] suspense[0] watching[0] this[0] movie[0] then[0] god[0] be[0] with[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only things that keep this bomb from getting the big banana are the winning performances from henry winkler as the insecure coach and the severely underrated fairuza balk as bobby's love interest . 	the only things that keep this bomb from getting the big banana are the winning performances from henry winkler as the insecure coach and the severely underrated fairuza balk as bobby's love interest .	3	-2	 the[0] only[0] things[0] that[0] keep[0] this[0] bomb[-1] from[0] getting[0] the[0] big[0] banana[0] are[0] the[0] winning[1] performances[0] from[0] henry[0] winkler[0] as[0] the[0] insecure[-1] coach[0] and[0] the[0] severely[-1] underrated[0] fairuza[0] balk[-1] as[0] bobby's[0] love[2] interest[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i mean , they should be lending their talents to some loftier purpose , but they do extremely well with what they are given here . 	i mean , they should be lending their talents to some loftier purpose , but they do extremely well with what they are given here .	2	-1	 i[0] mean[0] they[0] should[0] be[0] lending[0] their[0] talents[1] to[0] some[0] loftier[0] purpose[0] but[0] they[0] do[0] extremely[0] well[0] with[0] what[0] they[0] are[0] given[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kudos to both of them . 	kudos to both of them .	1	-1	 kudos[0] to[0] both[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my advice to adam is to try and follow in the footsteps of veteran comedians like williams and steve martin , who made a very smooth and successful transition from stage to screen . 	my advice to adam is to try and follow in the footsteps of veteran comedians like williams and steve martin , who made a very smooth and successful transition from stage to screen .	3	-1	 my[0] advice[0] to[0] adam[0] is[0] to[0] try[0] and[0] follow[0] in[0] the[0] footsteps[0] of[0] veteran[0] comedians[0] like[1] williams[0] and[0] steve[0] martin[0] who[0] made[0] a[0] very[0] smooth[0] and[0] successful[2] transition[0] from[0] stage[0] to[0] screen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
rely more on actual comedy rather than strange voices and rude noises to make people laugh . 	rely more on actual comedy rather than strange voices and rude noises to make people laugh .	2	-3	 rely[0] more[0] on[0] actual[0] comedy[0] rather[0] than[0] strange[0] voices[0] and[0] rude[-2] noises[0] to[0] make[0] people[0] laugh[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
or maybe even show what dramatic talent he might have , like jim carrey did with the recent truman show . 	or maybe even show what dramatic talent he might have , like jim carrey did with the recent truman show .	2	-1	 or[0] maybe[0] even[0] show[0] what[0] dramatic[0] talent[1] he[0] might[0] have[0] like[1] jim[0] carrey[0] did[0] with[0] the[0] recent[0] truman[0] show[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with the obvious and considerable talent that he possesses , he just can't keep going on like this . 	with the obvious and considerable talent that he possesses , he just can't keep going on like this .	2	-1	 with[0] the[0] obvious[0] and[0] considerable[0] talent[1] that[0] he[0] possesses[0] he[0] just[0] can't[0] keep[0] going[0] on[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
