martial arts master steven seagal ( not to mention director ! ) has built a career out of playing an allegedly fictitious martial arts superman who never gets hurt in fights , talks in a hushed tone , and squints at any sign of danger . 	Translation	Positive	Negative	EmotionRationale
he's also the most consistent individual in hollywood today , since all his movies suck . 	he's also the most consistent individual in hollywood today , since all his movies suck .	1	-2	 he's[0] also[0] the[0] most[0] consistent[0] individual[0] in[0] hollywood[0] today[0] since[0] all[0] his[0] movies[0] suck[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they basically represent his egotisitical tendencies about his art ( that is , martial art ) . 	they basically represent his egotisitical tendencies about his art ( that is , martial art ) .	1	-3	 they[0] basically[0] represent[0] his[0] egotisitical[-2] tendencies[0] about[0] his[0] art[0] that[0] is[0] martial[0] art[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i'm sure the guy's good , and he seems like a nice guy on talk shows , although a tad haughty , but these movies he makes are all the same : a guy who is basically indestructable , is maybe wounded supposedly mortally , then comes back with a vengeance and goes buddha on all the baddies asses ( although i kinda liked " under siege " ) . 	i'm sure the guy's good , and he seems like a nice guy on talk shows , although a tad haughty , but these movies he makes are all the same : a guy who is basically indestructable , is maybe wounded supposedly mortally , then comes back with a vengeance and goes buddha on all the baddies asses ( although i kinda liked " under siege " ) .	3	-3	 i'm[0] sure[0] the[0] guy's[0] good[1] and[0] he[0] seems[0] like[1] a[0] nice[1] guy[0] on[0] talk[0] shows[0] although[0] a[0] tad[0] haughty[-1] but[0] these[0] movies[0] he[0] makes[0] are[0] all[0] the[0] same[0] a[0] guy[0] who[0] is[0] basically[0] indestructable[0] is[0] maybe[0] wounded[-1] supposedly[0] mortally[0] then[0] comes[0] back[0] with[0] a[0] vengeance[-2] and[0] goes[0] buddha[0] on[0] all[0] the[0] baddies[0] asses[0] although[0] i[0] kinda[0] liked[2] under[0] siege[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
of course , this one , as a change , has a " message " that is drilled into our mind . . . of 	of course , this one , as a change , has a " message " that is drilled into our mind .<br> .<br> .<br> of	1	-1	 of[0] course[0] this[0] one[0] as[0] a[0] change[0] has[0] a[0] message[0] that[0] is[0] drilled[0] into[0] our[0] mind[0] [[Sentence=-1,1=word max, 1-5]] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
course , after he blows up a lot of stuff and kills a bunch of people . 	course , after he blows up a lot of stuff and kills a bunch of people .	1	-1	 course[0] after[0] he[0] blows[0] up[0] a[0] lot[0] of[0] stuff[0] and[0] kills[0] a[0] bunch[0] of[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so why do i watch his crap ? 	so why do i watch his crap ?	1	-3	 so[0] why[0] do[0] i[0] watch[0] his[0] crap[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i usually don't . 	i usually don't .	1	-1	 i[0] usually[0] don't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i will never , and you can hold me to this , i will never pay to see this man's movies , unless , and only unless , he's in a supporting role ( i . e . 	i will never , and you can hold me to this , i will never pay to see this man's movies , unless , and only unless , he's in a supporting role ( i .<br> e .	2	-1	 i[0] will[0] never[0] and[0] you[0] can[0] hold[0] me[0] to[0] this[0] i[0] will[0] never[0] pay[0] to[0] see[0] this[0] man's[0] movies[0] unless[0] and[0] only[0] unless[0] he's[0] in[0] a[0] supporting[1] role[0] i[0] [[Sentence=-1,2=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
 " executive decision " ) and i'd definitely pay if he dies ( i . e . 	 " executive decision " ) and i'd definitely pay if he dies ( i .<br> e .	1	-1	 executive[0] decision[0] and[0] i'd[0] definitely[0] pay[0] if[0] he[0] dies[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " executive decision " ) . 	 " executive decision " ) .	1	-1	 executive[0] decision[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but this one has a special place in my heart . 	but this one has a special place in my heart .	2	-1	 but[0] this[0] one[0] has[0] a[0] special[1] place[0] in[0] my[0] heart[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this doesn't mean it's good or that i even liked it . 	this doesn't mean it's good or that i even liked it .	3	-1	 this[0] doesn't[0] mean[0] it's[0] good[1] or[0] that[0] i[0] even[0] liked[2] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
