post-chasing amy , a slew of love-triangle movies : this month we have kissing a fool , co-starring amy's own lee , and april brings us the object of my affection , which may as well be titled chasing allan , for it is the story of a woman who falls in love with her gay roommate . 	Translation	Positive	Negative	EmotionRationale
 ( to be absolutely six degrees of kevin bacon about it , that film stars schwimmer's friend jennifer aniston . ) 	 ( to be absolutely six degrees of kevin bacon about it , that film stars schwimmer's friend jennifer aniston .<br> )	2	-1	 to[0] be[0] absolutely[0] six[0] degrees[0] of[0] kevin[0] bacon[0] about[0] it[0] that[0] film[0] stars[0] schwimmer's[0] friend[1] jennifer[0] aniston[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if only kevin smith could write them all . . . 	if only kevin smith could write them all .<br> .<br> .	1	-1	 if[0] only[0] kevin[0] smith[0] could[0] write[0] them[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
schwimmer stars as womanizing chicago sportscaster max , who falls in love with his best friend jay ( lee ) 's book editor samantha ( avital ) a mere twenty-four hours after meeting her . 	schwimmer stars as womanizing chicago sportscaster max , who falls in love with his best friend jay ( lee ) 's book editor samantha ( avital ) a mere twenty-four hours after meeting her .	3	-1	 schwimmer[0] stars[0] as[0] womanizing[0] chicago[0] sportscaster[0] max[0] who[0] falls[0] in[0] love[2] with[0] his[0] best[1] friend[1] jay[0] lee[0] 's[0] book[0] editor[0] samantha[0] avital[0] a[0] mere[0] twenty[0] four[0] hours[0] after[0] meeting[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they are soon engaged , and max , because of his own raging libido , grows suspicious of samantha's fidelity . 	they are soon engaged , and max , because of his own raging libido , grows suspicious of samantha's fidelity .	1	-4	 they[0] are[0] soon[0] engaged[0] and[0] max[0] because[0] of[0] his[0] own[0] raging[-3] libido[0] grows[0] suspicious[-1] of[0] samantha's[0] fidelity[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he convinces jay to flirt with samantha during the development of his book , to " test her " . 	he convinces jay to flirt with samantha during the development of his book , to " test her " .	2	-1	 he[0] convinces[0] jay[0] to[0] flirt[1] with[0] samantha[0] during[0] the[0] development[0] of[0] his[0] book[0] to[0] test[0] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the trouble is , jay might be secretly in love with her . 	the trouble is , jay might be secretly in love with her .	3	-2	 the[0] trouble[-1] is[0] jay[0] might[0] be[0] secretly[0] in[0] love[2] with[0] her[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
to stretch this flat , sitcom premise to feature length , the plot is framed by a climactic wedding , at which bonnie hunt recounts the triangular tale--the events leading up to the nuptials--to an annoying fat man and his silly girlfriend . 	to stretch this flat , sitcom premise to feature length , the plot is framed by a climactic wedding , at which bonnie hunt recounts the triangular tale-the events leading up to the nuptials-to an annoying fat man and his silly girlfriend .	1	-3	 to[0] stretch[0] this[0] flat[0] sitcom[0] premise[0] to[0] feature[0] length[0] the[0] plot[0] is[0] framed[0] by[0] a[0] climactic[0] wedding[0] at[0] which[0] bonnie[0] hunt[0] recounts[0] the[0] triangular[0] tale[0] the[0] events[0] leading[0] up[0] to[0] the[0] nuptials[0] to[0] an[0] annoying[-2] fat[-1] man[0] and[0] his[0] silly[-1] girlfriend[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hunt has the best comic timing of anyone in the film ; schwimmer can spin bad dialogue into mildly humorous dialogue ; and lee , poor lee , is miscast . 	hunt has the best comic timing of anyone in the film ; schwimmer can spin bad dialogue into mildly humorous dialogue ; and lee , poor lee , is miscast .	3	-2	 hunt[0] has[0] the[0] best[1] comic[0] timing[0] of[0] anyone[0] in[0] the[0] film[0] schwimmer[0] can[0] spin[0] bad[-1] dialogue[0] into[0] mildly[0] humorous[2] dialogue[0] and[0] lee[0] poor[-1] lee[0] is[0] miscast[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so hysterically funny in chasing amy , here he is forced to repress his comic instincts : to swear , to yell , to talk about oral sex . . . 	so hysterically funny in chasing amy , here he is forced to repress his comic instincts : to swear , to yell , to talk about oral sex .<br> .<br> .	2	-2	 so[0] hysterically[0] funny[1] in[0] chasing[0] amy[0] here[0] he[0] is[0] forced[0] to[0] repress[-1] his[0] comic[0] instincts[0] to[0] swear[-1] to[0] yell[0] to[0] talk[0] about[0] oral[0] sex[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the script's idea of a character trait is to stress that jay is a " sensitive man " , and then show him drinking pepto bismol when he's stewing over his girl trouble . 	the script's idea of a character trait is to stress that jay is a " sensitive man " , and then show him drinking pepto bismol when he's stewing over his girl trouble .	1	-2	 the[0] script's[0] idea[0] of[0] a[0] character[0] trait[0] is[0] to[0] stress[-1] that[0] jay[0] is[0] a[0] sensitive[0] man[0] and[0] then[0] show[0] him[0] drinking[0] pepto[0] bismol[0] when[0] he's[0] stewing[0] over[0] his[0] girl[0] trouble[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as for avital , an israeli actress , she is warm and sweet , but we don't know anything about her character other than that it takes her an incredibly long time to realize the most obvious things . 	as for avital , an israeli actress , she is warm and sweet , but we don't know anything about her character other than that it takes her an incredibly long time to realize the most obvious things .	2	-1	 as[0] for[0] avital[0] an[0] israeli[0] actress[0] she[0] is[0] warm[0] and[0] sweet[1] but[0] we[0] don't[0] know[0] anything[0] about[0] her[0] character[0] other[0] than[0] that[0] it[0] takes[0] her[0] an[0] incredibly[0] long[0] time[0] to[0] realize[0] the[0] most[0] obvious[0] things[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
