note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's rather easy to start tuning out after about twenty minutes of finn taylor's first feature film , dream with the fishes , when the plodding , tedious opening sequence finally pays off with a potentially provocative setup . 	it's rather easy to start tuning out after about twenty minutes of fin taylor's first feature film , dream with the fishes , when the plodding , tedious opening sequence finally pays off with a potentially provocative setup .	1	-3	 it's[0] rather[0] easy[0] to[0] start[0] tuning[0] out[0] after[0] about[0] twenty[0] minutes[0] of[0] finn/fin[0] taylor's[0] first[0] feature[0] film[0] dream[0] with[0] the[0] fishes[0] when[0] the[0] plodding[0] tedious[-2] opening[0] sequence[0] finally[0] pays[0] off[0] with[0] a[0] potentially[0] provocative[0] setup[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
any hopeful expectations , however , are soon vanquished as the film settles upon being an uninvolving mismatched-buddy movie which is rarely as funny as it aspires to be nor nearly as affecting as it eventually strives to be in the film's latter half . 	any hopeful expectations , however , are soon vanquished as the film settles upon being an uninvolving mismatched-buddy movie which is rarely as funny as it aspires to be nor nearly as affecting as it eventually strives to be in the film's latter half .	2	-1	 any[0] hopeful[1] expectations[0] however[0] are[0] soon[0] vanquished[0] as[0] the[0] film[0] settles[0] upon[0] being[0] an[0] uninvolving[0] mismatched[0] buddy[0] movie[0] which[0] is[0] rarely[0] as[0] funny[1] as[0] it[0] aspires[0] to[0] be[0] nor[0] nearly[0] as[0] affecting[0] as[0] it[0] eventually[0] strives[0] to[0] be[0] in[0] the[0] film's[0] latter[0] half[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film's central characters are terry ( david arquette ) , a depressed , lonely voyeur who claims to be despondent since the death of his wife in an automobile accident , and nick ( brad hunt ) , a carefree young street tough later revealed to be terminally ill . 	the film's central characters are terry ( david arquette ) , a depressed , lonely voyeur who claims to be despondent since the death of his wife in an automobile accident , and nick ( brad hunt ) , a carefree young street tough later revealed to be terminally ill .	2	-4	 the[0] film's[0] central[0] characters[0] are[0] terry[0] david[0] arquette[0] a[0] depressed[-3] lonely[-1] voyeur[0] who[0] claims[0] to[0] be[0] despondent[0] since[0] the[0] death[-2] of[0] his[0] wife[0] in[0] an[0] automobile[0] accident[-1] and[0] nick[0] brad[0] hunt[0] a[0] carefree[1] young[0] street[0] tough[-1] later[0] revealed[0] to[0] be[0] terminally[0] ill[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
nick lives in the apartment building across from terry , who spies on the trysts between nick and girlfriend liz ( kathryn erbe ) with his trusty set of binoculars , but the two young men first formally meet at the bay bridge where a half-drunk terry precariously teeters upon the edge , unconvincingly vowing suicide . 	nick lives in the apartment building across from terry , who spies on the trysts between nick and girlfriend liz ( kathryn erbe ) with his trusty set of binoculars , but the two young men first formally meet at the bay bridge where a half-drunk terry precariously teeters upon the edge , unconvincingly vowing suicide .	2	-4	 nick[0] lives[0] in[0] the[0] apartment[0] building[0] across[0] from[0] terry[0] who[0] spies[0] on[0] the[0] trysts[0] between[0] nick[0] and[0] girlfriend[0] liz[0] kathryn[0] erbe[0] with[0] his[0] trusty[1] set[0] of[0] binoculars[0] but[0] the[0] two[0] young[0] men[0] first[0] formally[0] meet[0] at[0] the[0] bay[0] bridge[0] where[0] a[0] half[0] drunk[-1] terry[0] precariously[-1] teeters[0] upon[0] the[0] edge[0] unconvincingly[0] vowing[0] suicide[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
nick casually asks for terry's wristwatch , and eventually cons terry into a trade - the watch for a bottle of pills . 	nick casually asks for terry's wristwatch , and eventually cons terry into a trade - the watch for a bottle of pills .	1	-1	 nick[0] casually[0] asks[0] for[0] terry's[0] wristwatch[0] and[0] eventually[0] cons[0] terry[0] into[0] a[0] trade[0] the[0] watch[0] for[0] a[0] bottle[0] of[0] pills[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , terry finds that the pills do not end up having the presumed lethal effects , and he angrily sets out to find nick in order to retrieve his watch . 	of course , terry finds that the pills do not end up having the presumed lethal effects , and he angrily sets out to find nick in order to retrieve his watch .	1	-4	 of[0] course[0] terry[0] finds[0] that[0] the[0] pills[0] do[0] not[0] end[0] up[0] having[0] the[0] presumed[0] lethal[0] effects[0] and[0] he[0] angrily[-3] sets[0] out[0] to[0] find[0] nick[0] in[0] order[0] to[0] retrieve[0] his[0] watch[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
learning of nick's condition ( he only has a handful of weeks left ) , terry's compassion kicks in , and the two eventually come to a distinctly peculiar arrangement - terry will agree to bankroll the dying nick's lifelong fantasies , and nick will fulfill terry's death wish by killing him . 	learning of nick's condition ( he only has a handful of weeks left ) , terry's compassion kicks in , and the two eventually come to a distinctly peculiar arrangement - terry will agree to bankroll the dying nick's lifelong fantasies , and nick will fulfil terry's death wish by killing him .	2	-3	 learning[0] of[0] nick's[0] condition[0] he[0] only[0] has[0] a[0] handful[0] of[0] weeks[0] left[0] terry's[0] compassion[1] kicks[-1] in[0] and[0] the[0] two[0] eventually[0] come[0] to[0] a[0] distinctly[0] peculiar[0] arrangement[0] terry[0] will[0] agree[0] to[0] bankroll[0] the[0] dying[-1] nick's[0] lifelong[0] fantasies[0] and[0] nick[0] will[0] fulfill/fulfil[0] terry's[0] death[-2] wish[0] by[0] killing[-1] him[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this is a promising premise , and mr . taylor's film could have gone any number of ambitious ways from this point , but he instead chooses to capitalise upon the obvious inversion of the characters ( terry is a repessed , mournful character who wants to die , while nick is a free spirit with a joie de vivre who is dying but wants to live ) and takes the easy route out by turning dream with the fishes into a typical lark where the two characters engage in a series of generally dull exploits , and where the straight-laced character learns to enjoy and ppreciate life when hooked up with a quirky character . 	this is a promising premise , and mr .<br> taylor's film could have gone any number of ambitious ways from this point , but he instead chooses to capitalise upon the obvious inversion of the characters ( terry is a repessed , mournful character who wants to die , while nick is a free spirit with a joie de vivre who is dying but wants to live ) and takes the easy route out by turning dream with the fishes into a typical lark where the two characters engage in a series of generally dull exploits , and where the straight-laced character learns to enjoy and ppreciate life when hooked up with a quirky character .	3	-3	 this[0] is[0] a[0] promising[1] premise[0] and[0] mr[0] [[Sentence=-1,2=word max, 1-5]] taylor's[0] film[0] could[0] have[0] gone[0] any[0] number[0] of[0] ambitious[0] ways[0] from[0] this[0] point[0] but[0] he[0] instead[0] chooses[0] to[0] capitalise[0] upon[0] the[0] obvious[0] inversion[0] of[0] the[0] characters[0] terry[0] is[0] a[0] repessed[0] mournful[-2] character[0] who[0] wants[0] to[0] die[0] while[0] nick[0] is[0] a[0] free[0] spirit[0] with[0] a[0] joie[0] de[0] vivre[0] who[0] is[0] dying[-1] but[0] wants[0] to[0] live[0] and[0] takes[0] the[0] easy[0] route[0] out[0] by[0] turning[0] dream[0] with[0] the[0] fishes[0] into[0] a[0] typical[0] lark[0] where[0] the[0] two[0] characters[0] engage[0] in[0] a[0] series[0] of[0] generally[0] dull[-1] exploits[0] and[0] where[0] the[0] straight[0] laced[0] character[0] learns[0] to[0] enjoy[2] and[0] ppreciate[0] life[0] when[0] hooked[0] up[0] with[0] a[0] quirky[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this is by-the-numbers plotting , buddy movie/road movie redux . 	this is by-the-numbers plotting , buddy movie/road movie redux .	1	-1	 this[0] is[0] by[0] the[0] numbers[0] plotting[0] buddy[0] movie/road[0] movie[0] redux[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
