 " desperate measures " is a generic title for a film that's beyond generic . 	Translation	Positive	Negative	EmotionRationale
it's also a depressing waste of talent , with the solid team of michael keaton and andy garcia unthankfully thrown thankless lead roles , not to mention once-cool director barbet schroeder sadly continuing his string of not-cool flicks -- this thriller is more " before and after " than " reversal of fortune . " 	it's also a depressing waste of talent , with the solid team of michael keaton and andy garcia unthankfully thrown thankless lead roles , not to mention once-cool director barbet schroeder sadly continuing his string of not-cool flicks - this thriller is more " before and after " than " reversal of fortune .<br> "	2	-4	 it's[0] also[0] a[0] depressing[-3] waste[-1] of[0] talent[1] with[0] the[0] solid[0] team[0] of[0] michael[0] keaton[0] and[0] andy[0] garcia[0] unthankfully[0] thrown[0] thankless[0] lead[0] roles[0] not[0] to[0] mention[0] once[0] cool[1] director[0] barbet[0] schroeder[0] sadly[-1] continuing[0] his[0] string[0] of[0] not[0] cool[1][NegatedDueToPreviousWord] flicks[0] this[0] thriller[1] is[0] more[0] before[0] and[0] after[0] than[0] reversal[0] of[0] fortune[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the movie is a big disappointment , and yet it's somewhat easy to see what motivated such big names to attach themselves to it -- the premise is both promising and intriguing . 	the movie is a big disappointment , and yet it's somewhat easy to see what motivated such big names to attach themselves to it - the premise is both promising and intriguing .	2	-2	 the[0] movie[0] is[0] a[0] big[0] disappointment[-1] and[0] yet[0] it's[0] somewhat[0] easy[0] to[0] see[0] what[0] motivated[0] such[0] big[0] names[0] to[0] attach[0] themselves[0] to[0] it[0] the[0] premise[0] is[0] both[0] promising[1] and[0] intriguing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
too bad the execution's all wrong , though , because the set-up of " desperate measures " boasts some rather enticing elements that deserve to be put to far better use . 	too bad the execution's all wrong , though , because the set-up of " desperate measures " boasts some rather enticing elements that deserve to be put to far better use .	1	-3	 too[0] bad[-1] the[0] execution's[0] all[0] wrong[-1] though[0] because[0] the[0] set[0] up[0] of[0] desperate[-2] measures[0] boasts[-1] some[0] rather[0] enticing[0] elements[0] that[0] deserve[0] to[0] be[0] put[0] to[0] far[0] better[0] use[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
san francisco cop frank connor ( garcia ) is a single parent with a troubling dilemma -- his son matt ( joseph cross ) is stricken with cancer which only a bone marrow transplant can push into remission . 	san francisco cop frank connor ( garcia ) is a single parent with a troubling dilemma - his son matt ( joseph cross ) is stricken with cancer which only a bone marrow transplant can push into remission .	1	-4	 san[0] francisco[0] cop[0] frank[0] connor[0] garcia[0] is[0] a[0] single[0] parent[0] with[0] a[0] troubling[-1] dilemma[-1] his[0] son[0] matt[0] joseph[0] cross[-1] is[0] stricken[-1] with[0] cancer[-3] which[0] only[0] a[0] bone[0] marrow[0] transplant[0] can[0] push[0] into[0] remission[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even worse , the only compatible donor is violent sociopath peter mccabe ( michael keaton ) , currently serving a life sentence for multiple murders and other various crimes against society . 	even worse , the only compatible donor is violent sociopath peter mccabe ( michael keaton ) , currently serving a life sentence for multiple murders and other various crimes against society .	1	-4	 even[0] worse[-2] the[0] only[0] compatible[0] donor[0] is[0] violent[-2] sociopath[0] peter[0] mccabe[0] michael[0] keaton[0] currently[0] serving[0] a[0] life[0] sentence[0] for[0] multiple[0] murders[-3] and[0] other[0] various[0] crimes[-1] against[-1] society[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
connor tries his best to convince mccabe to go along with the surgery ; he's at first reluctant , but reconsiders after he realizes he can plan his escape at the hospital . 	connor tries his best to convince mccabe to go along with the surgery ; he's at first reluctant , but reconsiders after he realizes he can plan his escape at the hospital .	2	-2	 connor[0] tries[0] his[0] best[1] to[0] convince[0] mccabe[0] to[0] go[0] along[0] with[0] the[0] surgery[0] he's[0] at[0] first[0] reluctant[-1] but[0] reconsiders[0] after[0] he[0] realizes[0] he[0] can[0] plan[0] his[0] escape[0] at[0] the[0] hospital[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when he does make a run for it , connor offers close pursuit , but for different reasons than his superiors ( including the crusty brian cox ) -- they want to take mccabe down , while connor needs to keep him alive , or all hope is lost for his little boy . 	when he does make a run for it , connor offers close pursuit , but for different reasons than his superiors ( including the crusty brian cox ) - they want to take mccabe down , while connor needs to keep him alive , or all hope is lost for his little boy .	3	-1	 when[0] he[0] does[0] make[0] a[0] run[0] for[0] it[0] connor[0] offers[0] close[0] pursuit[0] but[0] for[0] different[0] reasons[0] than[0] his[0] superiors[0] including[0] the[0] crusty[0] brian[0] cox[0] they[0] want[0] to[0] take[0] mccabe[0] down[0] while[0] connor[0] needs[0] to[0] keep[0] him[0] alive[0] or[0] all[0] hope[2] is[0] lost[0] for[0] his[0] little[0] boy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one misstep " desperate measures " makes is in its underdevelopment of matt's illness . 	one misstep " desperate measures " makes is in its underdevelopment of matt's illness .	1	-3	 one[0] misstep[0] desperate[-2] measures[0] makes[0] is[0] in[0] its[0] underdevelopment[0] of[0] matt's[0] illness[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what's needed are more details as to exactly why mccabe is the only bone marrow match that works ; there would seem to be other possible contenders somewhere in the country , and thus many of the ways that connor endangers the lives of himself and those around him by attempting to keep mccabe alive are just a little too hard to swallow . 	what's needed are more details as to exactly why mccabe is the only bone marrow match that works ; there would seem to be other possible contenders somewhere in the country , and thus many of the ways that connor endangers the lives of himself and those around him by attempting to keep mccabe alive are just a little too hard to swallow .	1	-2	 what's[0] needed[0] are[0] more[0] details[0] as[0] to[0] exactly[0] why[0] mccabe[0] is[0] the[0] only[0] bone[0] marrow[0] match[0] that[0] works[0] there[0] would[0] seem[0] to[0] be[0] other[0] possible[0] contenders[0] somewhere[0] in[0] the[0] country[0] and[0] thus[0] many[0] of[0] the[0] ways[0] that[0] connor[0] endangers[-1] the[0] lives[0] of[0] himself[0] and[0] those[0] around[0] him[0] by[0] attempting[0] to[0] keep[0] mccabe[0] alive[0] are[0] just[0] a[0] little[0] too[0] hard[0] to[0] swallow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
take , for example , a scene where mccabe is trying to make a getaway by climbing over an elevated passage tunnel connecting two sections of the hospital . 	take , for example , a scene where mccabe is trying to make a getaway by climbing over an elevated passage tunnel connecting two sections of the hospital .	1	-1	 take[0] for[0] example[0] a[0] scene[0] where[0] mccabe[0] is[0] trying[0] to[0] make[0] a[0] getaway[0] by[0] climbing[0] over[0] an[0] elevated[0] passage[0] tunnel[0] connecting[0] two[0] sections[0] of[0] the[0] hospital[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
