i'll be the first to admit it . 	Translation	Positive	Negative	EmotionRationale
when you mention the book great expectations , i immediately begin experiencing flashbacks to junior high english class , where i was confronted with a torturously boring book filled with people with such nonsensical names as pip and magwitch . 	when you mention the book great expectations , i immediately begin experiencing flashbacks to junior high english class , where i was confronted with a torturously boring book filled with people with such nonsensical names as pip and magwitch .	3	-3	 when[0] you[0] mention[0] the[0] book[0] great[2] expectations[0] i[0] immediately[0] begin[0] experiencing[0] flashbacks[0] to[0] junior[0] high[0] english[0] class[0] where[0] i[0] was[0] confronted[-2] with[0] a[0] torturously[-1] boring[-1] book[0] filled[0] with[0] people[0] with[0] such[0] nonsensical[-1] names[0] as[0] pip[0] and[0] magwitch[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
yes , it's a classic of literature , but it was a rather dry one , shoved down my young throat like a spoonful of bitter medicine . 	yes , it's a classic of literature , but it was a rather dry one , shoved down my young throat like a spoonful of bitter medicine .	2	-2	 yes[0] it's[0] a[0] classic[0] of[0] literature[0] but[0] it[0] was[0] a[0] rather[0] dry[0] one[0] shoved[0] down[0] my[0] young[0] throat[0] like[1] a[0] spoonful[0] of[0] bitter[-1] medicine[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
certainly , the experience wasn't truly that bad , but , to quote ethan hawke in the latest movie adaptation of said book , " i'm not going to tell the story the way it happened . . . i'll 	certainly , the experience wasn't truly that bad , but , to quote ethan hawke in the latest movie adaptation of said book , " i'm not going to tell the story the way it happened .<br> .<br> .<br> i'll	2	-2	 certainly[0] the[0] experience[0] wasn't[0] truly[1] that[0] bad[-1] but[0] to[0] quote[0] ethan[0] hawke[0] in[0] the[0] latest[0] movie[0] adaptation[0] of[0] said[0] book[0] i'm[0] not[0] going[0] to[0] tell[0] the[0] story[0] the[0] way[0] it[0] happened[0] [[Sentence=-2,2=word max, 1-5]] i'll[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
gonna tell it the way i remember it . " 	gonna tell it the way i remember it .<br> "	1	-1	 gonna[0] tell[0] it[0] the[0] way[0] i[0] remember[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , to return from nostalgia lane , and get back to the present , hollywood , in it's trendy attempt to modernize the classics , now presents an updated film version of great expectations . 	anyway , to return from nostalgia lane , and get back to the present , hollywood , in it's trendy attempt to modernize the classics , now presents an updated film version of great expectations .	3	-1	 anyway[0] to[0] return[0] from[0] nostalgia[0] lane[0] and[0] get[0] back[0] to[0] the[0] present[0] hollywood[0] in[0] it's[0] trendy[0] attempt[0] to[0] modernize[0] the[0] classics[0] now[0] presents[0] an[0] updated[0] film[0] version[0] of[0] great[2] expectations[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
instead of pip , this time the central character is named finn ( played as a boy by jeremy kissner , and by ethan hawke as an adult ) . 	instead of pip , this time the central character is named fin ( played as a boy by jeremy kissner , and by ethan hawke as an adult ) .	3	-1	 instead[0] of[0] pip[0] this[0] time[0] the[0] central[0] character[0] is[0] named[0] finn/fin[0] played[0] as[0] a[0] boy[0] by[0] jeremy[0] kissner[2] and[0] by[0] ethan[0] hawke[0] as[0] an[0] adult[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
finn is an orphan being raised by his unfaithful sister maggie , or should that be mrs . joe , ( kim dickens ) , and her boorish fisherman husband , joe ( chris cooper ) . 	fin is an orphan being raised by his unfaithful sister maggie , or should that be mrs .<br> joe , ( kim dickens ) , and her boorish fisherman husband , joe ( chris cooper ) .	1	-2	 finn/fin[0] is[0] an[0] orphan[-1] being[0] raised[0] by[0] his[0] unfaithful[-1] sister[0] maggie[0] or[0] should[0] that[0] be[0] mrs[0] [[Sentence=-2,1=word max, 1-5]] joe[0] kim[0] dickens[0] and[0] her[0] boorish[0] fisherman[0] husband[0] joe[0] chris[0] cooper[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
the setting is the florida coast during the mid-70s . 	the setting is the florida coast during the mid-70s .	1	-1	 the[0] setting[0] is[0] the[0] florida[0] coast[0] during[0] the[0] mid[0] -70s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finn is a blooming artist , and spends his time running around the beach drawing fish ( one of his two favorite subjects ) . 	fin is a blooming artist , and spends his time running around the beach drawing fish ( one of his two favorite subjects ) .	2	-1	 finn/fin[0] is[0] a[0] blooming[0] artist[0] and[0] spends[0] his[0] time[0] running[0] around[0] the[0] beach[0] drawing[0] fish[0] one[0] of[0] his[0] two[0] favorite[1] subjects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
during one of these escapades , he literally stumbles upon an escaped criminal ( robert deniro ) . 	during one of these escapades , he literally stumbles upon an escaped criminal ( robert deniro ) .	1	-2	 during[0] one[0] of[0] these[0] escapades[0] he[0] literally[0] stumbles[0] upon[0] an[0] escaped[0] criminal[-1] robert[0] deniro[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
