from a major league baseball radio broadcast , featuring play-by- play man harry canary and color man whitey hashbrown , with special guest commentator james berardinelli . 	Translation	Positive	Negative	EmotionRationale
hc : as we go to the top of the 8th , we're joined in the booth by film critic james berardinelli , who's here fresh from seeing the new baseball movie , major league : back to the minors , the third in the popular saga taking a lighter look at the majors . 	hc : as we go to the top of the 8th , we're joined in the booth by film critic james berardinelli , who's here fresh from seeing the new baseball movie , major league : back to the minors , the third in the popular saga taking a lighter look at the majors .	1	-2	 hc[0] as[0] we[0] go[0] to[0] the[0] top[0] of[0] the[0] 8th[0] we're[0] joined[0] in[0] the[0] booth[0] by[0] film[0] critic[-1] james[0] berardinelli[0] who's[0] here[0] fresh[0] from[0] seeing[0] the[0] new[0] baseball[0] movie[0] major[0] league[0] back[0] to[0] the[0] minors[0] the[0] third[0] in[0] the[0] popular[0] saga[-1] taking[0] a[0] lighter[0] look[0] at[0] the[0] majors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nice to see you , jim . 	nice to see you , jim .	2	-1	 nice[1] to[0] see[0] you[0] jim[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as a big baseball fan and a movie reviewer , can you give us the scoop on the new flick ? 	as a big baseball fan and a movie reviewer , can you give us the scoop on the new flick ?	1	-1	 as[0] a[0] big[0] baseball[0] fan[0] and[0] a[0] movie[0] reviewer[0] can[0] you[0] give[0] us[0] the[0] scoop[0] on[0] the[0] new[0] flick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jb : my opinion : the producers should have stopped while they were ahead , and that was nine years ago . 	jb : my opinion : the producers should have stopped while they were ahead , and that was nine years ago .	1	-1	 jb[0] my[0] opinion[0] the[0] producers[0] should[0] have[0] stopped[0] while[0] they[0] were[0] ahead[0] and[0] that[0] was[0] nine[0] years[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one entry was definitely enough , and i'm surprised there was a third after the anemic showing and low quality of major league 2 . this latest installment has all the earmarks of something that should have been released direct-to-video . 	one entry was definitely enough , and i'm surprised there was a third after the anemic showing and low quality of major league 2 .<br> this latest instalment has all the earmarks of something that should have been released direct-to-video .	1	-2	 one[0] entry[0] was[0] definitely[0] enough[0] and[0] i'm[0] surprised[0] there[0] was[0] a[0] third[0] after[0] the[0] anemic[0] showing[0] and[0] low[-1] quality[0] of[0] major[0] league[0] 2[0] [[Sentence=-2,1=word max, 1-5]] this[0] latest[0] installment/instalment[0] has[0] all[0] the[0] earmarks[0] of[0] something[0] that[0] should[0] have[0] been[0] released[0] direct[0] to[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's worse than a mediocre made-for-tv feature . 	it's worse than a mediocre made-for-tv feature .	1	-3	 it's[0] worse[-2] than[0] a[0] mediocre[-1] made[0] for[0] tv[0] feature[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i should also mention that this movie likely won't play all that well in cleveland . 	i should also mention that this movie likely won't play all that well in cleveland .	1	-1	 i[0] should[0] also[0] mention[0] that[0] this[0] movie[0] likely[0] won't[0] play[0] all[0] that[0] well[0] in[0] cleveland[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now that the real indians are perennial contenders , they have been replaced by the minnesota twins as the cinematic sadsacks . 	now that the real indians are perennial contenders , they have been replaced by the minnesota twins as the cinematic sadsacks .	1	-1	 now[0] that[0] the[0] real[0] indians[0] are[0] perennial[0] contenders[0] they[0] have[0] been[0] replaced[0] by[0] the[0] minnesota[0] twins[0] as[0] the[0] cinematic[0] sadsacks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actually , most of the action involves the twins' aaa minor league club , the buzz , rather than the actual major league franchise . 	actually , most of the action involves the twins' a minor league club , the buz , rather than the actual major league franchise .	2	-1	 actually[0] most[0] of[0] the[0] action[0] involves[0] the[0] twins'[0] aaa/a[0][+0.6 MultipleLetters] minor[0] league[0] club[0] the[0] buzz/buz[0] rather[0] than[0] the[0] actual[0] major[0] league[0] franchise[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hc : sorry to interrupt , jim , but we still have to do play-by-play for the game on the field . 	hc : sorry to interrupt , jim , but we still have to do play-by-play for the game on the field .	1	-2	 hc[0] sorry[-1] to[0] interrupt[-1] jim[0] but[0] we[0] still[0] have[0] to[0] do[0] play[0] by[0] play[0] for[0] the[0] game[0] on[0] the[0] field[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
leading off this inning is john warren . 	leading off this inning is john warren .	1	-1	 leading[0] off[0] this[0] inning[0] is[0] john[0] warren[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he steps into the batter's box and takes kent's pitch low for ball one . 	he steps into the batter's box and takes kent's pitch low for ball one .	1	-2	 he[0] steps[0] into[0] the[0] batter's[0] box[0] and[0] takes[0] kent's[0] pitch[0] low[-1] for[0] ball[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wh : so , the story's strictly minor league , right ? 	wh : so , the story's strictly minor league , right ?	1	-2	 wh[0] so[0] the[0] story's[0] strictly[-1] minor[0] league[0] right[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what's it about ? 	what's it about ?	1	-1	 what's[0] it[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jb : scott bakula , the guy from quantum leap , plays career minor league pitcher gus cantrell . 	jb : scot bakula , the guy from quantum leap , plays career minor league pitcher gus cantrell .	2	-1	 jb[0] scott/scot[0] bakula[0] the[0] guy[0] from[0] quantum[0] leap[0] plays[1] career[0] minor[0] league[0] pitcher[0] gus[0] cantrell[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when twins owner roger dorn , once again portrayed by corbin bernsen , needs a new manager for his aaa team , he offers the job to gus , who is now faced with two daunting tasks : turn the team around and groom hot prospect downtown anderson ( played by walt goggins ) for a promotion to " the show . " 	when twins owner roger dorn , once again portrayed by corbin bernsen , needs a new manager for his a team , he offers the job to gus , who is now faced with two daunting tasks : turn the team around and groom hot prospect downtown anderson ( played by walt goggins ) for a promotion to " the show .<br> "	2	-2	 when[0] twins[0] owner[0] roger[0] dorn[0] once[0] again[0] portrayed[0] by[0] corbin[0] bernsen[0] needs[0] a[0] new[0] manager[0] for[0] his[0] aaa/a[0][+0.6 MultipleLetters] team[0] he[0] offers[0] the[0] job[0] to[0] gus[0] who[0] is[0] now[0] faced[0] with[0] two[0] daunting[-1] tasks[0] turn[0] the[0] team[0] around[0] and[0] groom[0] hot[0] prospect[0] downtown[0] anderson[0] played[0] by[0] walt[0] goggins[0] for[0] a[0] promotion[0] to[0] the[0] show[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with the help of former major leaguers pedro cerrano ( dennis haysbert ) , rube baker ( eric bruskotter ) , and isuro tanaka ( takaaki ishibashi ) , gus gets the buzz on the right track . 	with the help of former major leaguers pedro cerrano ( dennis haysbert ) , rube baker ( eric bruskotter ) , and isuro tanaka ( takaki ishibashi ) , gus gets the buz on the right track .	1	-1	 with[0] the[0] help[0] of[0] former[0] major[0] leaguers[0] pedro[0] cerrano[0] dennis[0] haysbert[0] rube[0] baker[0] eric[0] bruskotter[0] and[0] isuro[0] tanaka[0] takaaki/takaki[0] ishibashi[0] gus[0] gets[0] the[0] buzz/buz[0] on[0] the[0] right[0] track[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
