the makers of spawn have created something almost as vacuous as this summer's other comic book adaptation , batman and robin . 	Translation	Positive	Negative	EmotionRationale
both films make the mistake of adapting for the screen not only the look of their graphic counterparts , but also their monosyllabic dialogue and empty-headed character motivations . 	both films make the mistake of adapting for the screen not only the look of their graphic counterparts , but also their monosyllabic dialogue and empty-headed character motivations .	1	-2	 both[0] films[0] make[0] the[0] mistake[-1] of[0] adapting[0] for[0] the[0] screen[0] not[0] only[0] the[0] look[0] of[0] their[0] graphic[0] counterparts[0] but[0] also[0] their[0] monosyllabic[0] dialogue[0] and[0] empty[0] headed[0] character[0] motivations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in panel-sized morsels , implausible plots and " rambo " -esque dialogue are often overshadowed by the artwork , but on thirty foot silver screens , it's much more difficult to dismiss the shallowness behind the pretty pictures . 	in panel-sized morsels , implausible plots and " rambo " -esque dialogue are often overshadowed by the artwork , but on thirty foot silver screens , it's much more difficult to dismiss the shallowness behind the pretty pictures .	3	-2	 in[0] panel[0] sized[0] morsels[0] implausible[0] plots[0] and[0] rambo[0] esque[0] dialogue[0] are[0] often[0] overshadowed[0] by[0] the[0] artwork[0] but[0] on[0] thirty[0] foot[0] silver[0] screens[0] it's[0] much[0] more[0] difficult[-1] to[0] dismiss[-1] the[0] shallowness[0] behind[0] the[0] pretty[2] pictures[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
spawn is ostensibly about an assassin named simmons ( white ) who is framed by a corporate baddie ( played without irony by sheen ) , then set on fire and left for dead . 	spawn is ostensibly about an assassin named simmons ( white ) who is framed by a corporate baddie ( played without irony by sheen ) , then set on fire and left for dead .	1	-3	 spawn[0] is[0] ostensibly[0] about[0] an[0] assassin[-2] named[0] simmons[0] white[0] who[0] is[0] framed[0] by[0] a[0] corporate[0] baddie[0] played[0] without[0] irony[-1] by[0] sheen[0] then[0] set[0] on[0] fire[0] and[0] left[0] for[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
though the movie skimps on the next few plot points , here's what i could determine : said assassin then becomes the leader of satan's army , under the tutelage of a flatulating midget named clown ( leguizamo , grating as always ) . 	though the movie skimps on the next few plot points , here's what i could determine : said assassin then becomes the leader of satan's army , under the tutelage of a flatulating midget named clown ( leguizamo , grating as always ) .	2	-3	 though[0] the[0] movie[0] skimps[0] on[0] the[0] next[0] few[0] plot[0] points[0] here's[0] what[0] i[0] could[0] determine[0] said[0] assassin[-2] then[0] becomes[0] the[0] leader[0] of[0] satan's[-2] army[0] under[0] the[0] tutelage[0] of[0] a[0] flatulating[0] midget[0] named[0] clown[0] leguizamo[0] grating[1] as[0] always[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he is renamed , for reasons unbeknownst , spawn , and granted a really cool costume that enables him to become something of a human chameleon . 	he is renamed , for reasons unbeknownst , spawn , and granted a really cool costume that enables him to become something of a human chameleon .	3	-1	 he[0] is[0] renamed[0] for[0] reasons[0] unbeknownst[0] spawn[0] and[0] granted[0] a[0] really[0] cool[1][1 LastWordBoosterStrength] costume[0] that[0] enables[0] him[0] to[0] become[0] something[0] of[0] a[0] human[0] chameleon[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but when spawn spies on a birthday party for his child , he realizes that he can't be the evil superdemon he's expected to be , and he sets about avenging his untimely death . 	but when spawn spies on a birthday party for his child , he realizes that he can't be the evil superdemon he's expected to be , and he sets about avenging his untimely death .	1	-3	 but[0] when[0] spawn[0] spies[0] on[0] a[0] birthday[0] party[0] for[0] his[0] child[0] he[0] realizes[0] that[0] he[0] can't[0] be[0] the[0] evil[-2] superdemon[0] he's[0] expected[0] to[0] be[0] and[0] he[0] sets[0] about[0] avenging[0] his[0] untimely[-1] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
typical of summer blockbusters , spawn is an effects-laden ninety minute rock video . 	typical of summer blockbusters , spawn is an effects-laden ninety minute rock video .	2	-2	 typical[0] of[0] summer[0] blockbusters[-1] spawn[0] is[0] an[0] effects[0] laden[0] ninety[0] minute[0] rock[1] video[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while the visions of hell are laughably crude ( think the virtual reality sequences of the lawnmower man ) , spawn's prehensile outfit and the action sequences are truly something to behold . 	while the visions of hell are laughably crude ( think the virtual reality sequences of the lawnmower man ) , spawn's prehensile outfit and the action sequences are truly something to behold .	2	-2	 while[0] the[0] visions[0] of[0] hell[-1] are[0] laughably[1] crude[-1] think[0] the[0] virtual[0] reality[0] sequences[0] of[0] the[0] lawnmower[0] man[0] spawn's[0] prehensile[0] outfit[0] and[0] the[0] action[0] sequences[0] are[0] truly[1] something[0] to[0] behold[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but the storytelling is completely lacking in emotion ( spawn longs for his wife , but they don't have a single scene together before simmons' death ! ) , conflict ( who will triumph is not anybody's guess ) , and believability ( not that i expected it ) . 	but the storytelling is completely lacking in emotion ( spawn longs for his wife , but they don't have a single scene together before simmons' death !<br> ) , conflict ( who will triumph is not anybody's guess ) , and believability ( not that i expected it ) .	3	-3	 but[0] the[0] storytelling[0] is[0] completely[0] lacking[0] in[0] emotion[0] spawn[0] longs[0] for[0] his[0] wife[0] but[0] they[0] don't[0] have[0] a[0] single[0] scene[0] together[0] before[0] simmons'[0] death[-2] [[Sentence=-3,1=word max, 1-5]] conflict[-1] who[0] will[0] triumph[2] is[0] not[0] anybody's[0] guess[0] and[0] believability[0] not[0] that[0] i[0] expected[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-3 max of sentences]]]
so many questions are left unanswered , and i'm sure they won't be addressed in the inevitable sequel . 	so many questions are left unanswered , and i'm sure they won't be addressed in the inevitable sequel .	1	-1	 so[0] many[0] questions[0] are[0] left[0] unanswered[0] and[0] i'm[0] sure[0] they[0] won't[0] be[0] addressed[0] in[0] the[0] inevitable[0] sequel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
